# material: PLA 
# geometry: Cylinder
# preform_diameter: 20.0
# material_color: multi
# temperature_C: 75200.0
# drawdown_ratio: 2.73
# trial_number: 206
# operator: Ahmed_Akila_Kalan
# start_time: 2026-08-31 12:19:49
# notes: for checking the diameter control of 600 micron by changing the feeding speed 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.72,2.99,0.00,602.77
1.42,2.70,2.99,0.00,600.71
1.62,2.71,3.01,0.00,600.40
1.82,2.72,3.01,0.00,601.43
2.02,2.71,2.99,0.00,601.74
2.22,2.71,3.01,0.00,600.40
2.42,2.70,2.99,0.00,600.71
2.62,2.70,2.98,0.00,602.06
2.82,2.71,2.99,0.00,601.74
3.02,2.70,2.98,0.00,602.06
3.22,2.71,2.99,0.00,601.74
3.42,2.71,2.97,0.00,604.46
3.62,2.71,3.01,0.00,600.40
3.82,2.71,3.01,0.00,600.40
4.02,2.71,2.99,0.00,601.74
4.22,2.66,2.94,249.27,601.97
4.42,2.66,2.90,298.14,606.14
4.62,2.67,2.91,298.14,605.80
4.82,2.66,2.91,298.14,604.74
5.02,2.66,2.94,298.14,601.97
5.22,2.66,2.90,283.48,606.14
5.42,2.66,2.93,288.37,603.35
5.62,2.66,2.93,283.48,603.35
5.82,2.66,2.91,259.04,604.74
6.02,2.65,2.93,254.15,602.30
6.22,2.65,2.90,249.27,605.08
6.42,2.66,2.91,259.04,604.74
6.62,2.64,2.90,249.27,604.02
6.82,2.66,2.90,244.38,606.14
7.02,2.64,2.91,244.38,602.62
7.22,2.65,2.91,263.93,603.68
7.42,2.66,2.93,254.15,603.35
7.62,2.65,2.90,239.49,605.08
7.82,2.66,2.93,254.15,603.35
8.02,2.65,2.93,268.82,602.30
8.22,2.66,2.89,317.69,607.55
8.42,2.65,2.91,317.69,603.68
8.62,2.66,2.93,351.91,603.35
8.82,2.65,2.93,342.13,602.30
9.02,2.65,2.93,312.81,602.30
9.22,2.66,2.91,298.14,604.74
9.42,2.65,2.91,312.81,603.68
9.62,2.66,2.93,342.13,603.35
9.82,2.64,2.93,342.13,601.24
10.02,2.64,2.90,337.24,604.02
10.22,2.66,2.91,366.57,604.74
10.42,2.65,2.89,356.79,606.48
10.62,2.66,2.91,366.57,604.74
10.82,2.66,2.90,317.69,606.14
11.02,2.66,2.91,307.92,604.74
11.22,2.66,2.93,259.04,603.35
11.42,2.65,2.90,283.48,605.08
11.62,2.66,2.91,283.48,604.74
11.82,2.64,2.89,283.48,605.42
12.02,2.66,2.93,278.59,603.35
12.22,2.65,2.93,278.59,602.30
12.42,2.66,2.90,288.37,606.14
12.62,2.65,2.90,263.93,605.08
12.82,2.64,2.93,263.93,601.24
13.02,2.66,2.91,273.70,604.74
13.22,2.64,2.90,278.59,604.02
13.42,2.65,2.91,273.70,603.68
13.62,2.66,2.93,259.04,603.35
13.82,2.65,2.90,263.93,605.08
14.02,2.67,2.94,263.93,603.02
14.22,2.64,2.90,259.04,604.02
14.42,2.67,2.89,263.93,608.61
14.62,2.65,2.90,244.38,605.08
14.82,2.66,2.90,254.15,606.14
15.02,2.65,2.93,254.15,602.30
15.22,2.65,2.90,273.70,605.08
15.42,2.66,2.93,259.04,603.35
15.62,2.64,2.93,283.48,601.24
15.82,2.65,2.91,307.92,603.68
16.02,2.66,2.91,322.58,604.74
16.22,2.65,2.93,322.58,602.30
16.42,2.66,2.93,327.47,603.35
16.62,2.63,2.91,298.14,601.56
16.82,2.66,2.91,317.69,604.74
17.02,2.66,2.93,327.47,603.35
17.22,2.66,2.91,307.92,604.74
17.42,2.66,2.90,322.58,606.14
17.62,2.65,2.90,322.58,605.08
17.82,2.65,2.91,322.58,603.68
18.02,2.64,2.90,298.14,604.02
18.22,2.65,2.94,303.03,600.92
18.42,2.65,2.94,298.14,600.92
18.62,2.66,2.91,307.92,604.74
18.82,2.66,2.90,312.81,606.14
19.02,2.65,2.90,312.81,605.08
19.22,2.66,2.90,337.24,606.14
19.42,2.65,2.93,312.81,602.30
19.62,2.64,2.89,327.47,605.42
19.82,2.66,2.91,337.24,604.74
20.02,2.64,2.90,342.13,604.02
20.22,2.66,2.91,366.57,604.74
20.42,2.66,2.93,366.57,603.35
20.62,2.66,2.87,356.79,608.96
20.82,2.66,2.91,351.91,604.74
21.02,2.64,2.90,337.24,604.02
21.22,2.66,2.91,337.24,604.74
21.42,2.65,2.93,351.91,602.30
21.62,2.65,2.91,332.36,603.68
21.82,2.65,2.93,317.69,602.30
22.02,2.65,2.90,273.70,605.08
22.22,2.66,2.93,268.82,603.35
22.42,2.66,2.91,278.59,604.74
22.62,2.66,2.93,278.59,603.35
22.82,2.66,2.90,317.69,606.14
23.02,2.66,2.91,322.58,604.74
23.22,2.66,2.93,322.58,603.35
23.42,2.66,2.90,307.92,606.14
23.62,2.65,2.91,317.69,603.68
23.82,2.66,2.91,312.81,604.74
24.02,2.65,2.90,327.47,605.08
24.22,2.65,2.93,337.24,602.30
24.42,2.65,2.93,337.24,602.30
24.62,2.66,2.93,361.68,603.35
24.82,2.64,2.90,322.58,604.02
25.02,2.65,2.93,322.58,602.30
25.22,2.66,2.93,307.92,603.35
25.42,2.66,2.90,322.58,606.14
25.62,2.66,2.93,312.81,603.35
25.82,2.65,2.93,303.03,602.30
26.02,2.66,2.90,312.81,606.14
26.22,2.65,2.93,332.36,602.30
26.42,2.65,2.91,356.79,603.68
26.62,2.66,2.91,371.46,604.74
26.82,2.65,2.91,347.02,603.68
27.02,2.66,2.93,371.46,603.35
27.22,2.64,2.93,361.68,601.24
27.42,2.64,2.90,371.46,604.02
27.62,2.65,2.91,351.91,603.68
27.82,2.64,2.90,327.47,604.02
28.02,2.66,2.93,347.02,603.35
28.22,2.66,2.90,332.36,606.14
28.42,2.65,2.93,347.02,602.30
28.62,2.66,2.93,347.02,603.35
28.82,2.65,2.90,356.79,605.08
