# material: PLA
# geometry: Cross
# preform_diameter: 12.0
# material_color: Multi
# temperature_C: 50210.0
# drawdown_ratio: No
# trial_number: 044
# operator: Ahmed
# start_time: 2026-05-12 16:51:12
# notes: Observing if I can twist it while drawing
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.03,131.96,397.98
1.42,1.18,3.03,127.08,394.88
1.62,1.18,3.02,136.85,395.76
1.82,1.20,3.02,141.74,398.86
2.02,1.21,3.03,127.08,399.52
2.22,1.26,3.09,0.00,403.57
2.42,1.20,3.03,146.63,397.98
2.62,1.19,3.02,146.63,397.31
2.82,1.20,3.02,131.96,398.86
3.02,1.26,3.09,0.00,403.57
3.22,1.26,3.09,0.00,403.57
3.42,1.20,3.01,131.96,399.75
3.62,1.25,3.09,0.00,402.07
3.82,1.26,3.10,0.00,402.70
4.02,1.26,3.09,0.00,403.57
4.22,1.26,3.10,0.00,402.70
4.42,1.19,3.03,127.08,396.43
4.62,1.20,3.01,136.85,399.75
4.82,1.26,3.09,0.00,403.57
5.02,1.19,3.03,127.08,396.43
5.22,1.20,3.01,141.74,399.75
5.42,1.21,3.02,136.85,400.40
5.62,1.20,3.01,141.74,399.75
5.82,1.20,3.02,141.74,398.86
6.02,1.26,3.10,0.00,402.70
6.22,1.24,3.07,0.00,401.44
6.42,1.26,3.10,0.00,402.70
6.62,1.19,3.02,122.19,397.31
6.82,1.26,3.10,0.00,402.70
7.02,1.19,3.03,127.08,396.43
7.22,1.19,3.01,151.52,398.20
7.42,1.19,3.03,151.52,396.43
7.62,1.21,3.01,136.85,401.29
7.82,1.20,3.01,136.85,399.75
8.02,1.21,3.03,136.85,399.52
8.22,1.26,3.10,0.00,402.70
8.42,1.24,3.09,0.00,400.57
8.62,1.26,3.10,0.00,402.70
8.82,1.19,3.03,131.96,396.43
9.02,1.20,3.03,146.63,397.98
9.22,1.21,3.02,141.74,400.40
9.42,1.19,3.01,136.85,398.20
9.62,1.26,3.09,0.00,403.57
9.82,1.25,3.09,0.00,402.07
10.02,1.24,3.07,0.00,401.44
10.22,1.26,3.10,0.00,402.70
10.42,1.25,3.09,0.00,402.07
