# material: PLA
# geometry: Multicolored Cylinder
# preform_diameter: 20.0
# material_color: Multicolored
# temperature_C: 75180.0
# drawdown_ratio: 50.0
# trial_number: 204
# operator: Akila_Ahmed_Kalan
# start_time: 2026-08-31 10:46:27
# notes: Target Diameter 600 microns.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.10,1.23,195.50,596.57
1.42,1.12,1.22,200.39,604.90
1.62,1.13,1.23,195.50,604.11
1.82,1.13,1.22,215.05,607.42
2.02,1.11,1.23,190.62,599.09
2.22,1.13,1.22,215.05,607.42
2.42,1.12,1.22,210.17,604.90
2.62,1.12,1.23,239.49,601.61
2.82,1.13,1.25,215.05,600.85
3.02,1.14,1.23,219.94,606.60
3.22,1.13,1.25,229.72,600.85
3.42,1.12,1.22,205.28,604.90
3.62,1.13,1.22,215.05,607.42
3.82,1.13,1.25,200.39,600.85
4.02,1.11,1.23,190.62,599.09
4.22,1.12,1.21,205.28,608.25
4.42,1.12,1.23,224.83,601.61
4.62,1.14,1.23,185.73,606.60
4.82,1.13,1.21,195.50,610.78
5.02,1.11,1.21,210.17,605.71
5.22,1.14,1.23,210.17,606.60
5.42,1.10,1.21,185.73,603.16
5.62,1.10,1.22,180.84,599.84
5.82,1.13,1.21,180.84,610.78
6.02,1.14,1.23,190.62,606.60
6.22,1.11,1.19,180.84,609.11
6.42,1.14,1.22,185.73,609.92
6.62,1.13,1.25,185.73,600.85
6.82,1.12,1.23,180.84,601.61
7.02,1.12,1.21,175.95,608.25
7.22,1.11,1.25,215.05,595.87
7.42,1.13,1.25,195.50,600.85
7.62,1.10,1.25,210.17,593.36
7.82,1.12,1.25,205.28,598.36
8.02,1.14,1.22,224.83,609.92
8.22,1.10,1.22,195.50,599.84
8.42,1.11,1.19,195.50,609.11
8.62,1.14,1.22,200.39,609.92
8.82,1.15,1.28,219.94,599.39
9.02,1.12,1.22,205.28,604.90
9.22,1.12,1.23,219.94,601.61
9.42,1.14,1.25,195.50,603.33
9.62,1.10,1.25,195.50,593.36
9.82,1.14,1.21,215.05,613.30
10.02,1.13,1.22,234.60,607.42
10.22,1.13,1.25,229.72,600.85
10.42,1.12,1.21,229.72,608.25
10.62,1.12,1.22,190.62,604.90
10.82,1.14,1.25,205.28,603.33
11.02,1.11,1.21,205.28,605.71
11.22,1.13,1.23,215.05,604.11
11.42,1.14,1.25,195.50,603.33
11.62,1.14,1.23,195.50,606.60
11.82,1.12,1.22,195.50,604.90
12.02,1.14,1.22,195.50,609.92
12.22,1.12,1.23,171.07,601.61
12.42,1.12,1.22,175.95,604.90
12.62,1.14,1.22,185.73,609.92
12.82,1.14,1.23,180.84,606.60
13.02,1.13,1.21,185.73,610.78
13.22,1.13,1.21,200.39,610.78
13.42,1.13,1.25,185.73,600.85
13.62,1.13,1.25,185.73,600.85
13.82,1.13,1.21,195.50,610.78
14.02,1.12,1.23,190.62,601.61
14.22,1.11,1.23,161.29,599.09
14.42,1.10,1.25,175.95,593.36
14.62,1.14,1.23,190.62,606.60
14.82,1.10,1.26,175.95,590.19
15.02,1.13,1.21,205.28,610.78
15.22,1.13,1.25,185.73,600.85
15.42,1.13,1.23,190.62,604.11
15.62,1.12,1.22,180.84,604.90
15.82,1.13,1.23,185.73,604.11
16.02,1.14,1.25,166.18,603.33
16.22,1.14,1.23,166.18,606.60
16.42,1.13,1.22,190.62,607.42
16.62,1.13,1.25,161.29,600.85
16.82,1.12,1.23,161.29,601.61
17.02,1.11,1.22,180.84,602.38
17.22,1.13,1.23,190.62,604.11
17.42,1.11,1.23,156.40,599.09
17.62,1.10,1.23,166.18,596.57
17.82,1.13,1.21,166.18,610.78
18.02,1.14,1.23,175.95,606.60
18.22,1.12,1.22,166.18,604.90
18.42,1.09,1.22,190.62,597.29
18.62,1.13,1.23,166.18,604.11
18.82,1.12,1.25,156.40,598.36
19.02,1.12,1.23,156.40,601.61
19.22,1.14,1.22,171.07,609.92
19.42,1.13,1.23,161.29,604.11
19.62,1.11,1.25,156.40,595.87
19.82,1.11,1.22,156.40,602.38
20.02,1.13,1.25,151.52,600.85
20.22,1.13,1.22,151.52,607.42
20.42,1.13,1.25,141.74,600.85
20.62,1.13,1.22,166.18,607.42
20.82,1.14,1.23,141.74,606.60
21.02,1.11,1.22,141.74,602.38
21.22,1.14,1.22,156.40,609.92
21.42,1.14,1.25,146.63,603.33
21.62,1.12,1.25,161.29,598.36
21.82,1.13,1.21,166.18,610.78
22.02,1.14,1.23,166.18,606.60
22.22,1.11,1.21,156.40,605.71
22.42,1.11,1.22,175.95,602.38
22.62,1.13,1.25,161.29,600.85
22.82,1.13,1.23,151.52,604.11
23.02,1.11,1.23,146.63,599.09
23.22,1.13,1.22,171.07,607.42
23.42,1.14,1.22,151.52,609.92
23.62,1.14,1.23,166.18,606.60
23.82,1.11,1.21,166.18,605.71
24.02,1.14,1.25,171.07,603.33
24.22,1.12,1.25,175.95,598.36
24.42,1.10,1.25,171.07,593.36
24.62,1.13,1.19,171.07,614.21
24.82,1.15,1.23,166.18,609.08
25.02,1.12,1.22,161.29,604.90
25.22,1.13,1.23,166.18,604.11
25.42,1.14,1.23,171.07,606.60
25.62,1.11,1.23,171.07,599.09
25.82,1.14,1.22,190.62,609.92
26.02,1.13,1.23,205.28,604.11
26.22,1.13,1.25,215.05,600.85
26.42,1.14,1.23,190.62,606.60
26.62,1.13,1.23,219.94,604.11
26.82,1.12,1.25,195.50,598.36
27.02,1.10,1.22,205.28,599.84
27.22,1.13,1.23,205.28,604.11
27.42,1.12,1.23,200.39,601.61
27.62,1.11,1.23,185.73,599.09
27.82,1.13,1.23,190.62,604.11
28.02,1.14,1.23,200.39,606.60
28.22,1.12,1.25,224.83,598.36
28.42,1.10,1.21,219.94,603.16
28.62,1.14,1.23,239.49,606.60
28.82,1.13,1.25,190.62,600.85
29.02,1.13,1.25,205.28,600.85
29.22,1.11,1.21,171.07,605.71
29.42,1.14,1.25,175.95,603.33
29.62,1.14,1.21,175.95,613.30
29.82,1.11,1.21,175.95,605.71
30.02,1.13,1.25,190.62,600.85
30.22,1.14,1.25,180.84,603.33
30.42,1.14,1.21,166.18,613.30
30.62,1.12,1.23,180.84,601.61
30.82,1.13,1.25,166.18,600.85
31.02,1.13,1.21,171.07,610.78
31.22,1.10,1.22,166.18,599.84
31.42,1.13,1.23,190.62,604.11
31.62,1.10,1.21,171.07,603.16
31.82,1.10,1.22,156.40,599.84
32.02,1.14,1.25,166.18,603.33
32.22,1.14,1.22,185.73,609.92
32.42,1.13,1.21,175.95,610.78
32.62,1.14,1.23,171.07,606.60
32.82,1.14,1.23,185.73,606.60
33.02,1.12,1.19,175.95,611.66
33.22,1.14,1.22,171.07,609.92
33.42,1.11,1.25,161.29,595.87
33.62,1.12,1.23,166.18,601.61
33.82,1.13,1.23,166.18,604.11
34.02,1.13,1.22,166.18,607.42
34.22,1.11,1.23,146.63,599.09
34.42,1.13,1.22,161.29,607.42
34.62,1.12,1.23,151.52,601.61
34.82,1.13,1.21,151.52,610.78
35.02,1.11,1.19,171.07,609.11
35.22,1.13,1.22,175.95,607.42
35.42,1.11,1.22,156.40,602.38
35.62,1.13,1.22,175.95,607.42
35.82,1.14,1.23,175.95,606.60
36.02,1.13,1.23,161.29,604.11
36.22,1.11,1.23,171.07,599.09
36.42,1.13,1.23,156.40,604.11
36.62,1.15,1.22,156.40,612.42
36.82,1.13,1.19,171.07,614.21
37.02,1.12,1.22,161.29,604.90
37.22,1.14,1.23,146.63,606.60
37.42,1.11,1.22,161.29,602.38
37.62,1.13,1.23,156.40,604.11
37.82,1.12,1.23,131.96,601.61
38.02,1.14,1.22,127.08,609.92
38.22,1.14,1.23,136.85,606.60
38.42,1.13,1.25,151.52,600.85
38.62,1.11,1.22,136.85,602.38
38.82,1.13,1.25,156.40,600.85
39.02,1.14,1.26,171.07,600.11
39.22,1.10,1.21,156.40,603.16
39.42,1.12,1.25,161.29,598.36
39.62,1.12,1.22,161.29,604.90
39.82,1.14,1.23,156.40,606.60
40.02,1.13,1.21,156.40,610.78
40.22,1.18,1.33,0.00,596.62
40.42,1.14,1.34,136.85,581.83
40.62,1.12,1.22,146.63,604.90
40.82,1.13,1.21,141.74,610.78
41.02,1.14,1.23,175.95,606.60
41.22,1.13,1.23,156.40,604.11
41.42,1.13,1.19,141.74,614.21
41.62,1.13,1.22,151.52,607.42
41.82,1.11,1.22,136.85,602.38
42.02,1.11,1.21,146.63,605.71
42.22,1.18,1.32,0.00,599.66
42.42,1.18,1.34,0.00,593.63
42.62,1.19,1.33,0.00,598.97
42.82,1.12,1.21,151.52,608.25
43.02,1.11,1.25,136.85,595.87
43.22,1.10,1.22,136.85,599.84
43.42,1.12,1.25,151.52,598.36
43.62,1.13,1.25,161.29,600.85
43.82,1.12,1.23,166.18,601.61
44.02,1.13,1.23,156.40,604.11
44.22,1.14,1.25,141.74,603.33
44.42,1.20,1.33,0.00,601.30
44.62,1.11,1.21,136.85,605.71
44.82,1.11,1.25,151.52,595.87
45.02,1.14,1.22,151.52,609.92
45.22,1.17,1.29,0.00,603.48
45.42,1.15,1.23,146.63,609.08
45.62,1.19,1.33,0.00,598.97
45.82,1.11,1.25,136.85,595.87
46.02,1.18,1.32,0.00,599.66
46.22,1.14,1.23,156.40,606.60
46.42,1.11,1.22,166.18,602.38
46.62,1.12,1.19,171.07,611.66
46.82,1.14,1.25,156.40,603.33
47.02,1.11,1.25,136.85,595.87
47.22,1.14,1.22,161.29,609.92
47.42,1.14,1.25,161.29,603.33
47.62,1.12,1.23,146.63,601.61
47.82,1.13,1.21,166.18,610.78
48.02,1.14,1.25,166.18,603.33
48.22,1.13,1.22,151.52,607.42
48.42,1.11,1.21,166.18,605.71
48.62,1.13,1.23,185.73,604.11
48.82,1.14,1.23,185.73,606.60
49.02,1.10,1.21,161.29,603.16
49.22,1.13,1.23,180.84,604.11
49.42,1.19,1.33,0.00,598.97
49.62,1.12,1.21,195.50,608.25
49.82,1.13,1.25,190.62,600.85
50.02,1.12,1.23,210.17,601.61
50.22,1.11,1.21,185.73,605.71
50.42,1.12,1.22,219.94,604.90
50.62,1.14,1.25,205.28,603.33
50.82,1.11,1.21,200.39,605.71
51.02,1.12,1.21,215.05,608.25
51.22,1.13,1.21,215.05,610.78
