# material: PLA
# geometry: Multilayered Cylinder
# preform_diameter: 20.0
# material_color: Multicolor
# temperature_C: 75200.0
# drawdown_ratio: 50.0
# trial_number: 207
# operator: Akila_Ahmed_Kalan
# start_time: 2026-08-31 12:59:59
# notes: Feed and draw speeds set to 1.2 mm per min and 5.3 m per min to get a target temperature of 300microns.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.15,5.27,464.32,294.69
1.42,1.14,5.26,454.55,293.87
1.62,1.13,5.26,454.55,292.66
1.82,1.15,5.29,449.66,294.32
2.02,1.15,5.27,459.43,294.69
2.22,1.13,5.27,469.21,292.29
2.42,1.14,5.27,488.76,293.49
2.62,1.15,5.27,464.32,294.69
2.82,1.12,5.29,439.88,290.71
3.02,1.14,5.27,449.66,293.49
3.22,1.14,5.29,444.77,293.12
3.42,1.13,5.30,425.22,291.55
3.62,1.15,5.30,415.44,293.95
3.82,1.14,5.29,400.78,293.12
4.02,1.15,5.29,425.22,295.51
4.22,1.15,5.29,425.22,295.51
4.42,1.15,5.29,425.22,294.32
4.62,1.15,5.27,454.55,294.69
4.82,1.14,5.27,459.43,293.49
5.02,1.15,5.27,474.10,294.69
5.22,1.12,5.27,474.10,291.08
5.42,1.15,5.29,469.21,294.32
5.62,1.15,5.29,459.43,295.51
5.82,1.14,5.29,464.32,293.12
6.02,1.12,5.29,435.00,290.71
6.22,1.13,5.27,420.33,292.29
6.42,1.13,5.27,449.66,292.29
6.62,1.12,5.27,464.32,291.08
6.82,1.14,5.27,503.42,293.49
7.02,1.12,5.27,474.10,291.08
7.22,1.14,5.27,469.21,293.49
7.42,1.15,5.27,474.10,294.69
7.62,1.14,5.27,439.88,293.49
7.82,1.13,5.29,405.67,291.92
8.02,1.13,5.26,400.78,292.66
8.22,1.15,5.29,386.12,295.51
8.42,1.14,5.29,371.46,293.12
8.62,1.14,5.27,391.01,293.49
8.82,1.14,5.25,386.12,294.24
9.02,1.13,5.27,400.78,292.29
9.22,1.15,5.29,400.78,294.32
9.42,1.15,5.27,435.00,294.69
9.62,1.14,5.27,435.00,293.49
9.82,1.14,5.30,430.11,292.75
10.02,1.13,5.27,410.56,292.29
10.22,1.13,5.29,405.67,291.92
10.42,1.12,5.29,391.01,290.71
10.62,1.14,5.27,405.67,293.49
10.82,1.15,5.27,400.78,294.69
11.02,1.15,5.29,400.78,294.32
11.22,1.13,5.29,391.01,291.92
11.42,1.14,5.26,405.67,293.87
11.62,1.14,5.25,430.11,294.24
11.82,1.12,5.27,415.44,291.08
12.02,1.13,5.30,415.44,291.55
12.22,1.12,5.27,415.44,291.08
12.42,1.14,5.27,415.44,293.49
12.62,1.13,5.29,410.56,291.92
12.82,1.14,5.27,439.88,293.49
13.02,1.13,5.27,420.33,292.29
13.22,1.12,5.29,430.11,290.71
13.42,1.15,5.27,449.66,295.89
13.62,1.15,5.27,430.11,294.69
13.82,1.15,5.29,415.44,294.32
14.02,1.13,5.30,430.11,291.55
14.22,1.15,5.27,435.00,294.69
14.42,1.15,5.25,435.00,295.45
14.62,1.14,5.29,459.43,293.12
