# material: PLA
# geometry: Multilayered Cylinder
# preform_diameter: 20.0
# material_color: Multicolor
# temperature_C: 75200.0
# drawdown_ratio: 50.0
# trial_number: 208
# operator: Akila_Ahmed_Kalan
# start_time: 2026-08-31 13:29:22
# notes: Feed and draw speeds set to 1.2 mm per min and 5.33 m per min to obtain a target diameter of 300 microns
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.19,5.29,200.39,300.24
1.42,1.20,5.30,185.73,301.03
1.62,1.16,5.32,175.95,295.95
1.82,1.19,5.32,185.73,299.48
2.02,1.18,5.32,180.84,298.31
2.22,1.20,5.32,190.62,300.65
2.42,1.20,5.32,200.39,300.65
2.62,1.19,5.30,175.95,299.86
2.82,1.17,5.32,175.95,297.13
3.02,1.20,5.32,200.39,300.65
3.22,1.19,5.32,195.50,299.48
3.42,1.19,5.30,180.84,299.86
3.62,1.20,5.32,185.73,300.65
3.82,1.20,5.32,175.95,300.65
4.02,1.18,5.32,185.73,298.31
4.22,1.21,5.30,195.50,302.20
4.42,1.20,5.29,200.39,301.41
4.62,1.19,5.30,195.50,299.86
4.82,1.20,5.32,180.84,300.65
5.02,1.17,5.30,166.18,297.51
5.22,1.20,5.27,156.40,301.80
5.42,1.17,5.30,146.63,297.51
5.62,1.18,5.32,171.07,298.31
5.82,1.19,5.30,180.84,299.86
6.02,1.19,5.30,185.73,299.86
6.22,1.19,5.30,195.50,299.86
6.42,1.20,5.30,205.28,301.03
6.62,1.19,5.32,166.18,299.48
6.82,1.20,5.30,175.95,301.03
7.02,1.17,5.30,156.40,297.51
7.22,1.18,5.32,166.18,298.31
7.42,1.20,5.32,156.40,300.65
7.62,1.20,5.30,156.40,301.03
7.82,1.18,5.30,166.18,298.69
8.02,1.20,5.32,171.07,300.65
8.22,1.18,5.30,161.29,298.69
8.42,1.20,5.30,171.07,301.03
8.62,1.17,5.33,161.29,296.76
8.82,1.20,5.30,171.07,301.03
9.02,1.19,5.29,161.29,300.24
9.22,1.19,5.32,171.07,299.48
9.42,1.18,5.30,156.40,298.69
9.62,1.21,5.30,244.38,302.20
9.82,1.17,5.30,190.62,297.51
