# material: PLA
# geometry: Multilayered Cylinder
# preform_diameter: 20.0
# material_color: Multicolored
# temperature_C: 75190.0
# drawdown_ratio: 50.0
# trial_number: 205
# operator: Akila_Ahmed_Kalan
# start_time: 2026-08-31 11:33:52
# notes: Feed and draw speeds set to 1.2 mm per min and 1.33 m per min to obtain a fiber diameter of 600 microns.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.13,1.23,542.52,604.11
1.42,1.12,1.21,527.86,608.25
1.62,1.14,1.23,542.52,606.60
1.82,1.13,1.25,542.52,600.85
2.02,1.13,1.21,527.86,610.78
2.22,1.11,1.23,547.41,599.09
2.42,1.12,1.22,557.18,604.90
2.62,1.11,1.22,586.51,602.38
2.82,1.14,1.25,610.95,603.33
3.02,1.17,1.32,0.00,597.29
3.22,1.13,1.19,586.51,614.21
3.42,1.13,1.25,586.51,600.85
3.62,1.13,1.25,562.07,600.85
3.82,1.12,1.23,547.41,601.61
4.02,1.14,1.25,537.63,603.33
4.22,1.11,1.21,542.52,605.71
4.42,1.13,1.23,532.75,604.11
4.62,1.13,1.25,527.86,600.85
4.82,1.13,1.18,498.53,617.69
5.02,1.13,1.23,503.42,604.11
5.22,1.11,1.23,483.87,599.09
5.42,1.14,1.23,464.32,606.60
5.62,1.15,1.22,474.10,612.42
5.82,1.12,1.21,469.21,608.25
6.02,1.12,1.25,478.98,598.36
6.22,1.22,1.37,0.00,596.97
6.42,1.20,1.36,0.00,595.32
6.62,1.17,1.34,0.00,591.29
6.82,1.11,1.22,478.98,602.38
7.02,1.12,1.22,493.65,604.90
7.22,1.14,1.23,483.87,606.60
7.42,1.12,1.21,488.76,608.25
7.62,1.13,1.22,493.65,607.42
7.82,1.13,1.23,493.65,604.11
8.02,1.13,1.21,503.42,610.78
8.22,1.13,1.25,503.42,600.85
8.42,1.11,1.21,493.65,605.71
8.62,1.13,1.23,513.20,604.11
8.82,1.12,1.25,518.08,598.36
9.02,1.12,1.25,522.97,598.36
9.22,1.12,1.23,537.63,601.61
9.42,1.14,1.23,547.41,606.60
9.62,1.11,1.22,557.18,602.38
9.82,1.13,1.22,566.96,607.42
10.02,1.11,1.21,557.18,605.71
10.22,1.12,1.22,552.30,604.90
10.42,1.12,1.25,552.30,598.36
10.62,1.14,1.25,542.52,603.33
10.82,1.13,1.22,537.63,607.42
11.02,1.12,1.22,527.86,604.90
11.22,1.12,1.21,513.20,608.25
11.42,1.13,1.22,503.42,607.42
11.62,1.13,1.21,513.20,610.78
11.82,1.11,1.19,498.53,609.11
12.02,1.20,1.34,0.00,598.29
12.22,1.14,1.25,503.42,603.33
12.42,1.13,1.25,518.08,600.85
12.62,1.14,1.25,518.08,603.33
12.82,1.17,1.32,0.00,597.29
13.02,1.20,1.34,0.00,598.29
13.22,1.12,1.28,552.30,592.03
13.42,1.13,1.25,527.86,600.85
13.62,1.13,1.22,547.41,607.42
13.82,1.13,1.22,542.52,607.42
14.02,1.13,1.25,557.18,600.85
14.22,1.13,1.22,513.20,607.42
14.42,1.11,1.21,474.10,605.71
14.62,1.13,1.23,464.32,604.11
14.82,1.11,1.25,444.77,595.87
15.02,1.13,1.19,454.55,614.21
15.22,1.14,1.23,474.10,606.60
15.42,1.13,1.23,483.87,604.11
15.62,1.13,1.22,498.53,607.42
15.82,1.14,1.25,518.08,603.33
16.02,1.12,1.21,493.65,608.25
16.22,1.13,1.23,498.53,604.11
16.42,1.14,1.22,508.31,609.92
16.62,1.11,1.21,483.87,605.71
16.82,1.11,1.22,459.43,602.38
17.02,1.14,1.25,459.43,603.33
17.22,1.12,1.21,5000.00,608.25
17.42,1.13,1.22,464.32,607.42
17.62,1.11,1.21,435.00,605.71
17.82,1.10,1.25,435.00,593.36
18.02,1.14,1.25,439.88,603.33
18.22,1.12,1.22,435.00,604.90
18.42,1.13,1.23,459.43,604.11
18.62,1.13,1.23,483.87,604.11
18.82,1.12,1.21,503.42,608.25
19.02,1.13,1.23,503.42,604.11
19.22,1.13,1.25,503.42,600.85
19.42,1.11,1.25,527.86,595.87
19.62,1.13,1.23,542.52,604.11
19.82,1.12,1.23,576.74,601.61
20.02,1.13,1.21,527.86,610.78
20.22,1.12,1.26,532.75,595.17
20.42,1.13,1.25,508.31,600.85
20.62,1.12,1.21,503.42,608.25
20.82,1.13,1.25,522.97,600.85
