# material: PLA
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White_Arctic Teal_Red_Yellow
# temperature_C: 50190.0
# drawdown_ratio: 50.0
# trial_number: 040
# operator: Ahmed
# start_time: 2026-05-11 15:56:11
# notes: Observing the Stream
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.19,3.02,268.82,397.31
1.42,1.19,3.02,259.04,397.31
1.62,1.20,3.03,259.04,397.98
1.82,1.18,3.01,254.15,396.64
2.02,1.21,3.03,254.15,399.52
2.22,1.18,3.03,234.60,394.88
2.42,1.20,3.02,239.49,398.86
2.62,1.20,3.02,254.15,398.86
2.82,1.21,3.02,263.93,400.40
3.02,1.20,3.03,249.27,397.98
3.22,1.19,2.99,254.15,399.09
3.42,1.19,3.05,244.38,395.56
3.62,1.19,3.01,234.60,398.20
3.82,1.19,3.01,249.27,398.20
4.02,1.20,3.02,273.70,398.86
4.22,1.20,3.03,249.27,397.98
4.42,1.19,3.01,244.38,398.20
4.62,1.20,3.02,239.49,398.86
4.82,1.20,3.03,239.49,397.98
5.02,1.19,3.02,249.27,397.31
5.22,1.20,3.02,249.27,398.86
5.42,1.19,3.01,239.49,398.20
5.62,1.17,3.01,229.72,395.07
5.82,1.20,3.03,239.49,397.98
6.02,1.20,3.02,215.05,398.86
6.22,1.19,3.02,229.72,397.31
6.42,1.20,3.01,249.27,399.75
6.62,1.20,3.02,249.27,398.86
6.82,1.20,3.01,249.27,399.75
7.02,1.20,3.02,254.15,398.86
7.22,1.19,3.03,239.49,396.43
7.42,1.19,3.02,244.38,397.31
7.62,1.19,3.02,259.04,397.31
7.82,1.20,3.02,283.48,398.86
8.02,1.20,3.02,268.82,398.86
8.22,1.19,3.03,234.60,396.43
8.42,1.21,3.02,219.94,400.40
8.62,1.21,3.05,229.72,398.63
8.82,1.18,3.03,210.17,394.88
9.02,1.19,3.05,239.49,395.56
9.22,1.18,3.03,259.04,394.88
9.42,1.19,3.02,263.93,397.31
9.62,1.20,3.02,259.04,398.86
9.82,1.20,3.03,244.38,397.98
10.02,1.19,3.03,259.04,396.43
10.22,1.18,3.03,283.48,394.88
10.42,1.20,3.02,268.82,398.86
10.62,1.21,3.03,254.15,399.52
10.82,1.19,3.02,249.27,397.31
11.02,1.20,3.03,239.49,397.98
11.22,1.18,3.06,249.27,393.14
11.42,1.18,2.97,259.04,399.32
11.62,1.20,3.01,268.82,399.75
11.82,1.19,3.03,268.82,396.43
12.02,1.19,3.05,263.93,395.56
12.22,1.18,3.03,244.38,394.88
12.42,1.20,3.03,234.60,397.98
12.62,1.19,3.02,234.60,397.31
12.82,1.18,3.01,219.94,396.64
13.02,1.20,3.03,239.49,397.98
13.22,1.20,3.02,244.38,398.86
13.42,1.19,3.01,239.49,398.20
13.62,1.21,3.01,244.38,401.29
13.82,1.20,3.03,268.82,397.98
14.02,1.19,3.01,268.82,398.20
14.22,1.18,3.03,259.04,394.88
14.42,1.20,3.02,244.38,398.86
14.62,1.19,3.03,234.60,396.43
14.82,1.20,3.01,234.60,399.75
15.02,1.20,3.01,239.49,399.75
15.22,1.21,3.03,273.70,399.52
15.42,1.20,3.01,268.82,399.75
15.62,1.19,3.02,263.93,397.31
15.82,1.20,3.03,259.04,397.98
16.02,1.21,3.03,259.04,399.52
16.22,1.20,3.02,263.93,398.86
16.42,1.20,3.03,249.27,397.98
16.62,1.18,3.03,229.72,394.88
16.82,1.19,3.02,234.60,397.31
17.02,1.21,3.03,229.72,399.52
17.22,1.20,3.02,224.83,398.86
17.42,1.20,3.01,224.83,399.75
17.62,1.20,3.03,249.27,397.98
17.82,1.21,3.06,259.04,397.76
18.02,1.19,3.03,259.04,396.43
18.22,1.20,3.02,254.15,398.86
18.42,1.20,3.02,254.15,398.86
18.62,1.21,3.05,244.38,398.63
18.82,1.20,3.01,249.27,399.75
19.02,1.21,3.03,263.93,399.52
19.22,1.18,3.03,268.82,394.88
19.42,1.19,3.01,278.59,398.20
19.62,1.20,3.05,293.26,397.10
19.82,1.21,3.05,293.26,398.63
20.02,1.18,3.01,283.48,396.64
20.22,1.20,3.03,268.82,397.98
20.42,1.19,3.03,263.93,396.43
20.62,1.19,3.01,268.82,398.20
20.82,1.20,3.01,263.93,399.75
21.02,1.20,3.03,273.70,397.98
21.22,1.19,3.03,254.15,396.43
21.42,1.20,3.03,288.37,397.98
21.62,1.20,3.03,351.91,397.98
21.82,1.19,3.02,307.92,397.31
22.02,1.20,3.02,312.81,398.86
22.22,1.20,3.02,307.92,398.86
22.42,1.21,3.03,322.58,399.52
22.62,1.19,3.01,283.48,398.20
22.82,1.20,3.02,273.70,398.86
23.02,1.20,3.02,283.48,398.86
23.22,1.18,3.03,273.70,394.88
23.42,1.19,3.01,263.93,398.20
23.62,1.20,3.05,263.93,397.10
23.82,1.20,3.03,254.15,397.98
24.02,1.20,3.05,244.38,397.10
24.22,1.20,3.01,254.15,399.75
24.42,1.19,3.02,249.27,397.31
24.62,1.19,3.03,278.59,396.43
24.82,1.20,3.03,273.70,397.98
25.02,1.20,3.02,283.48,398.86
25.22,1.20,3.01,288.37,399.75
25.42,1.20,3.02,283.48,398.86
25.62,1.19,3.03,293.26,396.43
25.82,1.20,3.01,293.26,399.75
26.02,1.20,3.02,283.48,398.86
26.22,1.21,3.03,273.70,399.52
26.42,1.19,3.01,283.48,398.20
26.62,1.19,3.03,303.03,396.43
26.82,1.21,3.03,327.47,399.52
27.02,1.19,3.01,303.03,398.20
27.22,1.20,3.02,303.03,398.86
27.42,1.21,3.03,293.26,399.52
27.62,1.19,3.03,293.26,396.43
27.82,1.19,2.99,273.70,399.09
28.02,1.21,3.02,283.48,400.40
28.22,1.19,3.03,263.93,396.43
28.42,1.20,3.02,278.59,398.86
28.62,1.20,3.02,283.48,398.86
28.82,1.19,3.01,283.48,398.20
29.02,1.19,3.02,283.48,397.31
29.22,1.19,3.02,278.59,397.31
29.42,1.19,3.01,273.70,398.20
29.62,1.19,2.99,273.70,399.09
29.82,1.21,3.02,278.59,400.40
30.02,1.21,3.05,283.48,398.63
30.22,1.18,3.02,298.14,395.76
30.42,1.19,3.02,298.14,397.31
30.62,1.18,3.03,283.48,394.88
30.82,1.18,3.02,288.37,395.76
31.02,1.20,3.03,303.03,397.98
31.22,1.19,3.03,293.26,396.43
31.42,1.19,3.03,312.81,396.43
31.62,1.21,3.03,288.37,399.52
31.82,1.21,3.03,293.26,399.52
32.02,1.19,3.01,293.26,398.20
32.22,1.20,3.06,288.37,396.23
32.42,1.20,3.05,298.14,397.10
32.62,1.18,3.02,312.81,395.76
32.82,1.18,3.03,337.24,394.88
33.02,1.20,3.03,351.91,397.98
33.22,1.20,3.03,351.91,397.98
33.42,1.20,3.01,351.91,399.75
33.62,1.20,3.02,371.46,398.86
33.82,1.19,3.01,351.91,398.20
34.02,1.19,3.01,356.79,398.20
34.22,1.20,3.03,351.91,397.98
34.42,1.19,3.01,332.36,398.20
34.62,1.21,3.01,327.47,401.29
34.82,1.21,3.06,322.58,397.76
35.02,1.21,3.03,312.81,399.52
35.22,1.20,3.01,312.81,399.75
35.42,1.20,3.01,317.69,399.75
35.62,1.21,3.03,307.92,399.52
35.82,1.19,3.05,317.69,395.56
36.02,1.20,3.03,307.92,397.98
36.22,1.20,3.03,307.92,397.98
36.42,1.18,3.03,303.03,394.88
36.62,1.20,3.02,303.03,398.86
36.82,1.21,3.05,303.03,398.63
37.02,1.19,3.03,307.92,396.43
37.22,1.20,3.02,298.14,398.86
37.42,1.20,3.03,303.03,397.98
