# material: PP_PA6
# geometry: Hollow Cylibder
# preform_diameter: 20.0
# material_color: White_White
# temperature_C: 80290.0
# drawdown_ratio: 50.0
# trial_number: 043
# operator: Ahmed
# start_time: 2026-05-11 18:16:30
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.02,210.17,398.86
1.42,1.19,3.03,205.28,396.43
1.62,1.19,3.01,200.39,398.20
1.82,1.19,3.06,210.17,394.69
2.02,1.20,3.01,210.17,399.75
2.22,1.20,3.01,219.94,399.75
2.42,1.19,3.02,219.94,397.31
2.62,1.20,3.01,229.72,399.75
2.82,1.19,3.02,219.94,397.31
3.02,1.19,3.02,215.05,397.31
3.22,1.19,3.03,219.94,396.43
3.42,1.21,2.99,224.83,402.19
3.62,1.20,3.02,210.17,398.86
3.82,1.17,2.99,219.94,395.96
4.02,1.18,3.02,224.83,395.76
4.22,1.18,3.01,219.94,396.64
4.42,1.21,3.02,234.60,400.40
4.62,1.20,3.01,244.38,399.75
4.82,1.21,3.02,239.49,400.40
5.02,1.20,2.99,239.49,400.64
5.22,1.20,3.02,219.94,398.86
5.42,1.19,3.02,210.17,397.31
5.62,1.19,3.06,210.17,394.69
5.82,1.21,3.01,200.39,401.29
6.02,1.21,3.01,205.28,401.29
6.22,1.19,3.03,219.94,396.43
6.42,1.20,3.03,229.72,397.98
6.62,1.20,3.03,244.38,397.98
6.82,1.18,3.01,239.49,396.64
7.02,1.18,3.02,229.72,395.76
7.22,1.20,3.03,229.72,397.98
7.42,1.19,3.02,224.83,397.31
7.62,1.19,3.01,210.17,398.20
7.82,1.19,3.02,229.72,397.31
8.02,1.20,3.01,234.60,399.75
8.22,1.20,2.95,234.60,403.37
8.42,1.18,2.99,224.83,397.53
8.62,1.21,3.03,239.49,399.52
8.82,1.20,3.01,254.15,399.75
9.02,1.21,3.03,249.27,399.52
9.22,1.19,3.02,215.05,397.31
9.42,1.19,3.03,239.49,396.43
9.62,1.18,3.03,254.15,394.88
9.82,1.20,3.02,239.49,398.86
10.02,1.18,3.03,229.72,394.88
10.22,1.19,3.01,224.83,398.20
10.42,1.20,3.01,229.72,399.75
10.62,1.20,3.01,219.94,399.75
10.82,1.21,3.02,210.17,400.40
11.02,1.20,3.01,215.05,399.75
11.22,1.19,3.05,224.83,395.56
11.42,1.18,3.01,234.60,396.64
11.62,1.18,3.05,239.49,394.01
11.82,1.18,3.01,234.60,396.64
12.02,1.20,3.03,249.27,397.98
12.22,1.17,3.03,239.49,393.32
12.42,1.21,3.03,229.72,399.52
12.62,1.19,3.01,229.72,398.20
12.82,1.20,3.03,234.60,397.98
13.02,1.19,2.99,215.05,399.09
13.22,1.21,3.02,234.60,400.40
13.42,1.19,3.01,215.05,398.20
13.62,1.20,3.02,229.72,398.86
13.82,1.18,3.02,234.60,395.76
14.02,1.20,3.01,234.60,399.75
14.22,1.19,3.01,249.27,398.20
14.42,1.17,3.01,254.15,395.07
14.62,1.20,3.03,244.38,397.98
14.82,1.21,3.03,249.27,399.52
15.02,1.20,3.03,249.27,397.98
15.22,1.19,3.01,239.49,398.20
15.42,1.20,3.02,249.27,398.86
15.62,1.19,3.03,219.94,396.43
15.82,1.19,3.02,229.72,397.31
16.02,1.18,3.01,219.94,396.64
16.22,1.20,3.02,229.72,398.86
16.42,1.20,3.02,244.38,398.86
16.62,1.19,3.02,229.72,397.31
16.82,1.19,3.03,244.38,396.43
17.02,1.19,3.01,239.49,398.20
17.22,1.19,3.03,254.15,396.43
17.42,1.19,3.02,229.72,397.31
17.62,1.19,3.01,229.72,398.20
17.82,1.19,3.01,239.49,398.20
18.02,1.21,3.01,249.27,401.29
18.22,1.20,3.02,259.04,398.86
18.42,1.20,3.02,254.15,398.86
18.62,1.18,3.02,263.93,395.76
18.82,1.19,3.03,263.93,396.43
19.02,1.18,3.02,259.04,395.76
19.22,1.18,3.02,263.93,395.76
19.42,1.18,3.02,249.27,395.76
19.62,1.20,3.02,249.27,398.86
19.82,1.18,3.01,244.38,396.64
20.02,1.21,3.02,254.15,400.40
20.22,1.20,3.01,239.49,399.75
20.42,1.20,3.02,254.15,398.86
20.62,1.19,3.01,239.49,398.20
20.82,1.20,3.03,249.27,397.98
21.02,1.18,3.03,239.49,394.88
21.22,1.20,3.02,268.82,398.86
21.42,1.21,3.02,278.59,400.40
21.62,1.20,3.01,278.59,399.75
21.82,1.21,3.02,278.59,400.40
22.02,1.20,3.01,268.82,399.75
22.22,1.20,3.02,254.15,398.86
22.42,1.20,3.01,244.38,399.75
22.62,1.20,3.02,249.27,398.86
22.82,1.19,3.01,244.38,398.20
23.02,1.20,3.02,268.82,398.86
23.22,1.18,2.99,263.93,397.53
23.42,1.20,3.01,254.15,399.75
23.62,1.19,3.01,254.15,398.20
23.82,1.19,3.02,259.04,397.31
24.02,1.20,3.03,244.38,397.98
24.22,1.19,3.02,254.15,397.31
24.42,1.19,3.03,268.82,396.43
24.62,1.20,3.01,273.70,399.75
