# material: sss
# geometry: ss
# preform_diameter: ss
# material_color: ss
# temperature_C: ss
# drawdown_ratio: ss
# trial_number: ss
# operator: ss
# start_time: 2026-06-05 15:42:58
# notes: ss
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.18,2.98,0.00,398.42
1.42,1.20,2.98,0.00,401.55
1.62,1.19,2.99,0.00,399.09
1.82,1.20,2.99,0.00,400.64
2.02,1.20,3.01,0.00,399.75
2.22,1.18,2.99,0.00,397.53
2.42,1.19,2.99,0.00,399.09
2.62,1.18,2.99,0.00,397.53
2.82,1.17,2.98,0.00,396.85
3.02,1.20,3.01,0.00,399.75
3.22,1.20,2.97,0.00,402.45
3.42,1.17,2.97,0.00,397.75
3.62,1.19,2.98,0.00,399.99
3.82,1.21,2.98,0.00,403.10
4.02,1.19,2.99,0.00,399.09
4.22,1.17,2.99,0.00,395.96
4.42,1.20,2.99,0.00,400.64
4.62,1.18,2.99,0.00,397.53
4.82,1.18,2.98,0.00,398.42
5.02,1.17,2.99,0.00,395.96
5.22,1.20,2.99,0.00,400.64
5.42,1.19,2.98,0.00,399.99
5.62,1.19,2.99,0.00,399.09
5.82,1.19,2.97,0.00,400.89
6.02,1.21,2.98,0.00,403.10
6.22,1.20,2.98,0.00,401.55
6.42,1.18,2.98,0.00,398.42
6.62,1.17,3.01,0.00,395.07
6.82,1.20,3.02,0.00,398.86
7.02,1.21,2.99,0.00,402.19
7.22,1.18,2.98,0.00,398.42
7.42,1.20,2.98,0.00,401.55
7.62,1.17,2.99,0.00,395.96
7.82,1.17,2.97,0.00,397.75
8.02,1.19,2.97,0.00,400.89
8.22,1.20,2.98,0.00,401.55
8.42,1.19,2.98,0.00,399.99
8.62,1.20,2.98,0.00,401.55
8.82,1.20,2.99,0.00,400.64
9.02,1.20,3.01,0.00,399.75
9.22,1.20,2.99,0.00,400.64
9.42,1.19,2.98,0.00,399.99
9.62,1.19,2.99,0.00,399.09
9.82,1.18,2.99,0.00,397.53
10.02,1.17,2.97,0.00,397.75
10.22,1.20,2.99,0.00,400.64
10.42,1.20,2.98,0.00,401.55
10.62,1.17,2.99,0.00,395.96
10.82,1.19,2.98,0.00,399.99
11.02,1.20,2.99,0.00,400.64
11.22,1.18,2.99,0.00,397.53
11.42,1.17,2.97,0.00,397.75
11.62,1.20,2.98,0.00,401.55
11.82,1.18,3.02,0.00,395.76
12.02,1.20,3.01,0.00,399.75
12.22,1.16,2.98,0.00,395.27
12.42,1.18,2.99,0.00,397.53
12.62,1.19,2.99,0.00,399.09
12.82,1.17,2.99,0.00,395.96
13.02,1.20,2.99,0.00,400.64
13.22,1.20,2.98,0.00,401.55
13.42,1.17,2.98,0.00,396.85
13.62,1.19,2.97,0.00,400.89
13.82,1.20,2.99,0.00,400.64
14.02,1.19,2.99,0.00,399.09
14.22,1.19,2.98,0.00,399.99
14.42,1.20,2.98,0.00,401.55
14.62,1.21,2.99,0.00,402.19
14.82,1.18,2.98,0.00,398.42
15.02,1.19,2.99,0.00,399.09
15.22,1.18,2.99,0.00,397.53
15.42,1.18,2.98,0.00,398.42
15.62,1.17,2.97,0.00,397.75
15.82,1.20,2.98,0.00,401.55
16.02,1.20,2.98,0.00,401.55
16.22,1.18,2.99,0.00,397.53
16.42,1.19,2.97,0.00,400.89
16.62,1.20,2.99,0.00,400.64
16.82,1.20,2.99,0.00,400.64
17.02,1.19,2.99,0.00,399.09
17.22,1.19,2.99,0.00,399.09
17.42,1.20,2.99,0.00,400.64
17.62,1.17,2.97,0.00,397.75
17.82,1.19,2.99,0.00,399.09
18.02,1.19,2.99,0.00,399.09
18.22,1.18,3.01,0.00,396.64
18.42,1.18,2.99,0.00,397.53
18.62,1.19,2.98,0.00,399.99
18.82,1.20,2.99,0.00,400.64
19.02,1.20,2.99,0.00,400.64
19.22,1.21,2.97,0.00,404.01
19.42,1.21,2.99,0.00,402.19
19.62,1.21,2.99,0.00,402.19
19.82,1.20,2.97,0.00,402.45
20.02,1.17,2.98,0.00,396.85
20.22,1.20,2.99,0.00,400.64
20.42,1.17,2.98,0.00,396.85
20.62,1.17,2.98,0.00,396.85
20.82,1.19,3.01,0.00,398.20
