# material: Nylon PA6
# geometry: 3Ch cyl
# preform_diameter: 20.0
# material_color: white
# temperature_C: 184.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Ahmed, Akila
# start_time: 2026-01-07 13:06:12
# notes: Default feed and drawing speed 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,4.93,850.44,404.12
1.42,2.01,4.94,850.44,403.57
1.62,2.00,4.93,801.56,403.18
1.82,2.01,4.93,772.24,404.12
2.02,2.00,4.93,801.56,403.18
2.22,1.99,4.94,791.79,401.70
2.42,1.99,4.93,782.01,402.24
2.62,2.00,4.94,791.79,402.63
2.82,2.01,4.93,762.46,404.12
3.02,1.99,4.91,742.91,402.79
3.22,2.01,4.94,703.81,403.57
3.42,1.99,4.93,713.59,402.24
3.62,1.99,4.93,713.59,402.24
3.82,2.01,4.93,742.91,404.12
4.02,2.00,4.93,723.36,403.18
4.22,2.01,4.93,762.46,404.12
4.42,2.01,4.93,772.24,404.12
4.62,2.01,4.93,830.89,404.12
4.82,2.01,4.93,830.89,404.12
5.02,2.00,4.93,821.11,403.18
5.22,1.99,4.93,821.11,402.24
5.42,2.00,4.93,801.56,403.18
5.62,2.01,4.93,801.56,404.12
5.82,2.00,4.93,782.01,403.18
6.02,2.01,4.93,772.24,404.12
6.22,2.01,4.94,782.01,403.57
6.42,1.99,4.94,733.14,401.70
6.62,2.01,4.93,694.04,404.12
6.82,2.00,4.93,664.71,403.18
7.02,2.00,4.93,625.61,403.18
7.22,2.00,4.93,615.84,403.18
7.42,2.00,4.93,645.16,403.18
7.62,1.99,4.93,635.39,402.24
7.82,2.00,4.90,664.71,404.29
8.02,2.01,4.93,645.16,404.12
8.22,2.00,4.93,664.71,403.18
8.42,2.01,4.93,664.71,404.12
8.62,2.00,4.93,645.16,403.18
8.82,2.00,4.91,625.61,403.73
9.02,2.00,4.93,625.61,403.18
9.22,1.99,4.93,625.61,402.24
9.42,2.01,4.91,625.61,404.67
9.62,2.01,4.93,615.84,404.12
9.82,2.00,4.94,566.96,402.63
10.02,2.00,4.94,547.41,402.63
10.22,2.01,4.94,557.18,403.57
10.42,2.00,4.91,508.31,403.73
10.62,2.01,4.93,537.63,404.12
10.82,2.00,4.93,547.41,403.18
11.02,1.99,4.94,547.41,401.70
11.22,2.01,4.93,537.63,404.12
11.42,2.01,4.93,537.63,404.12
11.62,1.99,4.94,527.86,401.70
11.82,2.01,4.93,586.51,404.12
12.02,2.01,4.93,596.29,404.12
12.22,2.01,4.93,606.06,404.12
