# material: PA
# geometry: 3 Channel
# preform_diameter: 20.0
# material_color: dark white 
# temperature_C: 18585.0
# drawdown_ratio: normal
# trial_number: 115
# operator: Ahmed
# start_time: 2026-01-23 16:42:51
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.12,4.98,381.23,412.95
1.42,2.12,4.98,449.66,412.95
1.62,2.10,4.98,742.91,411.13
1.82,2.11,4.98,1739.98,412.04
2.02,2.11,4.98,0.00,412.04
2.22,2.12,4.98,635.39,412.95
2.42,2.11,4.98,478.98,412.04
2.62,2.11,4.98,1632.45,412.04
2.82,2.11,4.98,586.51,412.04
3.02,2.11,4.98,1407.62,412.04
3.22,2.11,4.99,1153.47,411.49
3.42,2.11,4.98,48.88,412.04
3.62,2.12,4.98,0.00,412.95
3.82,2.11,4.98,566.96,412.04
4.02,2.11,4.99,224.83,411.49
4.22,2.12,4.98,909.09,412.95
4.42,2.12,4.98,1261.00,412.95
4.62,2.11,4.98,371.46,412.04
4.82,2.12,4.99,361.68,412.39
5.02,2.11,4.97,928.64,412.60
5.22,2.12,4.98,576.74,412.95
5.42,2.11,4.98,1221.90,412.04
5.62,2.12,4.98,1075.27,412.95
5.82,2.10,4.98,1671.55,411.13
6.02,2.12,4.98,1055.72,412.95
6.22,2.11,4.99,1710.65,411.49
6.42,2.12,4.99,1251.22,412.39
6.62,2.11,4.98,254.15,412.04
6.82,2.12,4.98,889.54,412.95
7.02,2.10,4.98,1319.65,411.13
7.22,2.12,4.98,1554.25,412.95
7.42,2.11,4.98,1251.22,412.04
7.62,2.12,4.98,1505.38,412.95
7.82,2.12,4.99,1075.27,412.39
8.02,2.12,4.98,1456.50,412.95
8.22,2.11,4.98,48.88,412.04
8.42,2.12,4.99,254.15,412.39
8.62,2.10,4.98,87.98,411.13
8.82,2.12,4.98,1632.45,412.95
9.02,2.12,4.98,1524.93,412.95
9.22,2.11,4.98,566.96,412.04
9.42,2.11,4.98,166.18,412.04
9.62,2.12,4.98,1593.35,412.95
9.82,2.12,4.98,1730.21,412.95
10.02,2.10,4.98,703.81,411.13
10.22,2.12,4.99,107.53,412.39
10.42,2.11,4.98,1104.59,412.04
10.62,2.12,4.98,928.64,412.95
10.82,2.10,4.98,596.29,411.13
11.02,2.12,4.98,322.58,412.95
