# material: PA
# geometry: 3 Vhannel
# preform_diameter: 20.0
# material_color: Dark white 
# temperature_C: 185.0
# drawdown_ratio: normal
# trial_number: 116
# operator: Ahmed
# start_time: 2026-01-23 17:11:27
# notes: Preheat_85
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.11,4.98,0.00,412.04
1.42,2.12,4.98,0.00,412.95
1.62,2.11,4.99,0.00,411.49
1.82,2.11,4.98,0.00,412.04
2.02,2.11,4.99,0.00,411.49
2.22,2.12,4.98,0.00,412.95
2.42,2.11,4.98,0.00,412.04
2.62,2.12,4.98,0.00,412.95
2.82,2.11,4.98,0.00,412.04
3.02,2.12,4.99,0.00,412.39
3.22,2.12,4.98,0.00,412.95
3.42,2.11,4.99,0.00,411.49
3.62,2.11,4.98,0.00,412.04
3.82,2.11,4.98,0.00,412.04
4.02,2.12,4.99,0.00,412.39
4.22,2.12,4.98,0.00,412.95
4.42,2.12,4.98,0.00,412.95
4.62,2.11,4.98,0.00,412.04
4.82,2.11,4.99,0.00,411.49
5.02,2.12,4.98,0.00,412.95
5.22,2.11,4.98,0.00,412.04
5.42,2.11,4.99,0.00,411.49
5.62,2.11,4.99,78.20,411.49
5.82,2.12,4.99,0.00,412.39
6.02,2.12,4.98,0.00,412.95
6.22,2.12,4.99,0.00,412.39
6.42,2.11,4.97,0.00,412.60
6.62,2.12,4.99,0.00,412.39
6.82,2.12,4.98,0.00,412.95
7.02,2.11,4.98,0.00,412.04
7.22,2.12,4.99,0.00,412.39
7.42,2.12,4.99,0.00,412.39
7.62,2.12,4.99,0.00,412.39
7.82,2.10,4.98,0.00,411.13
8.02,2.11,4.98,0.00,412.04
8.22,2.11,4.98,0.00,412.04
8.42,2.10,4.99,0.00,410.58
8.62,2.12,4.99,0.00,412.39
8.82,2.10,4.98,0.00,411.13
9.02,2.12,5.01,0.00,411.84
9.22,2.10,4.98,0.00,411.13
9.42,2.11,4.99,0.00,411.49
9.62,2.12,4.98,0.00,412.95
9.82,2.12,4.99,0.00,412.39
10.02,2.12,4.98,0.00,412.95
10.22,2.11,4.98,0.00,412.04
10.42,2.11,4.98,9.78,412.04
10.62,2.11,4.98,0.00,412.04
10.82,2.12,4.99,0.00,412.39
11.02,2.11,4.98,0.00,412.04
11.22,2.11,4.98,0.00,412.04
11.42,2.12,4.98,0.00,412.95
11.62,2.12,4.98,0.00,412.95
11.82,2.11,4.98,0.00,412.04
12.02,2.11,4.98,0.00,412.04
12.22,2.11,4.99,0.00,411.49
12.42,2.11,4.98,0.00,412.04
12.62,2.12,4.98,0.00,412.95
12.82,2.12,4.98,0.00,412.95
13.02,2.11,4.99,0.00,411.49
13.22,2.11,4.98,0.00,412.04
13.42,2.12,4.99,0.00,412.39
13.62,2.12,4.99,0.00,412.39
13.82,2.11,4.98,0.00,412.04
14.02,2.11,4.99,0.00,411.49
14.22,2.11,4.98,19.55,412.04
14.42,2.11,4.98,0.00,412.04
14.62,2.11,4.98,9.78,412.04
14.82,2.10,4.98,0.00,411.13
15.02,2.11,4.99,87.98,411.49
15.22,2.12,4.98,0.00,412.95
15.42,2.11,4.99,0.00,411.49
15.62,2.11,4.98,0.00,412.04
15.82,2.11,4.98,0.00,412.04
16.02,2.12,4.98,0.00,412.95
16.22,2.10,4.99,0.00,410.58
16.42,2.12,4.99,0.00,412.39
16.62,2.10,4.99,0.00,410.58
16.82,2.12,4.99,0.00,412.39
17.02,2.12,4.99,0.00,412.39
17.22,2.10,4.99,0.00,410.58
17.42,2.11,4.98,0.00,412.04
17.62,2.11,4.98,0.00,412.04
17.82,2.11,4.98,0.00,412.04
18.02,2.12,4.99,0.00,412.39
18.22,2.12,4.99,0.00,412.39
18.42,2.11,4.99,0.00,411.49
18.62,2.12,4.98,0.00,412.95
18.82,2.11,4.98,0.00,412.04
19.02,2.12,4.98,0.00,412.95
19.22,2.11,4.98,0.00,412.04
19.42,2.12,4.98,0.00,412.95
19.62,2.11,4.98,0.00,412.04
19.82,2.12,4.98,9.78,412.95
20.02,2.11,4.99,29.33,411.49
20.22,2.11,4.99,117.30,411.49
20.42,2.11,4.98,48.88,412.04
20.62,2.11,4.98,0.00,412.04
20.82,2.12,5.01,0.00,411.84
21.02,2.10,4.99,0.00,410.58
21.22,2.11,4.98,0.00,412.04
21.42,2.11,4.98,0.00,412.04
21.62,2.12,4.99,0.00,412.39
21.82,2.12,4.98,0.00,412.95
22.02,2.10,4.98,0.00,411.13
22.22,2.11,4.98,0.00,412.04
22.42,2.11,4.98,0.00,412.04
22.62,2.12,4.98,0.00,412.95
22.82,2.10,4.98,0.00,411.13
23.02,2.12,4.99,0.00,412.39
23.22,2.12,4.98,0.00,412.95
23.42,2.11,4.98,0.00,412.04
23.62,2.12,4.99,0.00,412.39
23.82,2.10,4.98,0.00,411.13
24.02,2.11,4.99,0.00,411.49
24.22,2.12,4.98,0.00,412.95
24.42,2.10,4.99,0.00,410.58
24.62,2.12,4.98,0.00,412.95
24.82,2.11,4.98,0.00,412.04
25.02,2.12,4.99,0.00,412.39
25.22,2.11,4.98,0.00,412.04
25.42,2.12,4.99,0.00,412.39
25.62,2.10,4.98,0.00,411.13
25.82,2.11,4.99,0.00,411.49
26.02,2.12,4.98,0.00,412.95
26.22,2.11,4.98,0.00,412.04
26.42,2.12,4.99,0.00,412.39
26.62,2.12,4.98,0.00,412.95
26.82,2.12,4.99,0.00,412.39
27.02,2.13,4.98,0.00,413.85
27.22,2.11,4.98,0.00,412.04
27.42,2.12,4.98,0.00,412.95
27.62,2.12,4.99,0.00,412.39
27.82,2.12,4.99,0.00,412.39
28.02,2.10,4.98,0.00,411.13
28.22,2.11,4.99,0.00,411.49
28.42,2.10,4.98,0.00,411.13
28.62,2.12,4.99,0.00,412.39
28.82,2.11,4.98,0.00,412.04
29.02,2.10,4.98,0.00,411.13
29.22,2.12,4.98,0.00,412.95
29.42,2.10,4.99,0.00,410.58
29.62,2.12,4.99,0.00,412.39
29.82,2.10,4.98,0.00,411.13
30.02,2.12,4.99,0.00,412.39
30.22,2.12,4.98,0.00,412.95
30.42,2.10,4.98,0.00,411.13
30.62,2.12,4.98,0.00,412.95
30.82,2.12,4.98,0.00,412.95
31.02,2.11,4.98,0.00,412.04
31.22,2.10,4.98,0.00,411.13
31.42,2.12,4.98,0.00,412.95
31.62,2.12,4.99,0.00,412.39
31.82,2.12,4.99,0.00,412.39
32.02,2.12,4.98,0.00,412.95
32.22,2.12,4.98,0.00,412.95
32.42,2.12,4.98,0.00,412.95
32.62,2.12,4.98,0.00,412.95
32.82,2.11,4.98,0.00,412.04
33.02,2.11,4.98,0.00,412.04
33.22,2.12,4.98,0.00,412.95
33.42,2.12,4.99,0.00,412.39
33.62,2.11,4.97,0.00,412.60
33.82,2.12,4.99,0.00,412.39
34.02,2.12,4.98,0.00,412.95
34.22,2.10,4.99,0.00,410.58
34.42,2.12,4.98,0.00,412.95
34.62,2.11,4.98,0.00,412.04
34.82,2.12,4.98,0.00,412.95
35.02,2.10,4.98,0.00,411.13
35.22,2.12,4.98,0.00,412.95
35.42,2.11,4.99,0.00,411.49
35.62,2.11,4.98,0.00,412.04
35.82,2.12,4.98,0.00,412.95
36.02,2.10,4.98,0.00,411.13
36.22,2.11,4.99,0.00,411.49
36.42,2.11,4.98,0.00,412.04
36.62,2.11,4.99,0.00,411.49
36.82,2.12,4.98,0.00,412.95
37.02,2.11,4.98,0.00,412.04
37.22,2.12,4.99,0.00,412.39
37.42,2.12,4.98,0.00,412.95
37.62,2.11,4.98,0.00,412.04
37.82,2.11,4.99,0.00,411.49
38.02,2.10,4.99,0.00,410.58
38.22,2.12,4.98,0.00,412.95
38.42,2.11,4.98,0.00,412.04
38.62,2.12,4.99,0.00,412.39
38.82,2.10,4.98,0.00,411.13
39.02,2.11,4.99,0.00,411.49
39.22,2.12,4.98,0.00,412.95
39.42,2.11,4.99,0.00,411.49
39.62,2.11,4.98,0.00,412.04
39.82,2.10,4.99,0.00,410.58
40.02,2.12,4.99,0.00,412.39
40.22,2.11,4.98,0.00,412.04
40.42,2.12,4.99,0.00,412.39
40.62,2.12,4.99,0.00,412.39
40.82,2.12,4.98,0.00,412.95
41.02,2.12,4.98,0.00,412.95
41.22,2.11,4.98,0.00,412.04
41.42,2.12,4.98,0.00,412.95
41.62,2.12,5.01,0.00,411.84
41.82,2.11,4.99,0.00,411.49
42.02,2.12,4.98,0.00,412.95
42.22,2.11,4.98,0.00,412.04
42.42,2.11,4.99,0.00,411.49
42.62,2.11,4.98,0.00,412.04
42.82,2.12,4.98,0.00,412.95
43.02,2.11,4.95,0.00,413.16
43.22,2.10,4.98,0.00,411.13
43.42,2.11,4.98,0.00,412.04
43.62,2.10,4.98,0.00,411.13
43.82,2.12,4.98,0.00,412.95
44.02,2.11,4.98,0.00,412.04
44.22,2.11,4.99,0.00,411.49
44.42,2.12,4.98,0.00,412.95
44.62,2.11,4.99,0.00,411.49
44.82,2.12,4.98,0.00,412.95
45.02,2.10,4.98,0.00,411.13
45.22,2.12,4.98,0.00,412.95
45.42,2.12,4.97,0.00,413.51
45.62,2.12,4.98,0.00,412.95
45.82,2.11,4.98,0.00,412.04
46.02,2.11,4.98,0.00,412.04
46.22,2.12,4.98,0.00,412.95
46.42,2.11,4.99,0.00,411.49
46.62,2.12,4.99,0.00,412.39
46.82,2.12,4.98,0.00,412.95
47.02,2.12,4.98,0.00,412.95
47.22,2.12,4.98,0.00,412.95
47.42,2.11,4.98,0.00,412.04
47.62,2.10,4.99,0.00,410.58
47.82,2.12,4.98,0.00,412.95
48.02,2.12,4.98,0.00,412.95
48.22,2.12,4.98,0.00,412.95
48.42,2.12,4.98,0.00,412.95
48.62,2.12,4.99,0.00,412.39
48.82,2.12,4.99,0.00,412.39
49.02,2.11,4.99,0.00,411.49
49.22,2.12,4.98,0.00,412.95
49.42,2.11,4.99,0.00,411.49
49.62,2.12,4.99,0.00,412.39
49.82,2.11,4.98,0.00,412.04
50.02,2.12,4.98,0.00,412.95
50.22,2.12,4.99,0.00,412.39
50.42,2.10,4.98,0.00,411.13
50.62,2.12,4.98,0.00,412.95
50.82,2.12,4.98,0.00,412.95
51.02,2.12,4.99,0.00,412.39
51.22,2.11,4.99,0.00,411.49
51.42,2.11,4.98,0.00,412.04
51.62,2.11,4.98,0.00,412.04
51.82,2.11,4.98,0.00,412.04
52.02,2.12,4.99,0.00,412.39
52.22,2.11,4.98,0.00,412.04
52.42,2.12,4.99,0.00,412.39
52.62,2.11,4.98,0.00,412.04
52.82,2.10,4.98,0.00,411.13
53.02,2.12,4.98,0.00,412.95
53.22,2.10,4.99,0.00,410.58
53.42,2.11,4.99,0.00,411.49
53.62,2.11,4.98,0.00,412.04
53.82,2.12,4.99,0.00,412.39
54.02,2.12,4.98,0.00,412.95
54.22,2.10,4.99,0.00,410.58
54.42,2.11,4.99,0.00,411.49
54.62,2.11,4.98,0.00,412.04
54.82,2.12,4.98,0.00,412.95
55.02,2.11,4.99,0.00,411.49
55.22,2.10,4.98,0.00,411.13
55.42,2.12,4.98,0.00,412.95
55.62,2.11,4.98,0.00,412.04
55.82,2.11,4.99,0.00,411.49
56.02,2.12,4.98,0.00,412.95
56.22,2.11,4.99,0.00,411.49
56.42,2.12,4.98,0.00,412.95
56.62,2.10,4.98,0.00,411.13
56.82,2.12,4.99,0.00,412.39
57.02,2.11,4.98,0.00,412.04
57.22,2.11,4.98,0.00,412.04
57.42,2.13,4.98,0.00,413.85
57.62,2.12,4.99,0.00,412.39
57.82,2.12,4.98,0.00,412.95
