# material: PA
# geometry: cyl
# preform_diameter: 20.0
# material_color: white
# temperature_C: 185.0
# drawdown_ratio: normal
# trial_number: 113
# operator: Ahmed 
# start_time: 2026-01-23 15:46:43
# notes: Cyl_3channels
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.12,4.99,1368.52,412.39
1.42,2.11,4.97,1583.58,412.60
1.62,2.12,4.99,1446.73,412.39
1.82,2.12,4.99,879.77,412.39
2.02,2.11,4.98,1779.08,412.04
2.22,2.11,4.98,1652.00,412.04
2.42,2.10,4.98,1700.88,411.13
2.62,2.12,4.99,478.98,412.39
2.82,2.11,4.98,1564.03,412.04
3.02,2.11,4.98,469.21,412.04
3.22,2.12,4.98,1505.38,412.95
3.42,2.11,4.97,371.46,412.60
3.62,2.12,4.99,136.85,412.39
3.82,2.12,4.99,107.53,412.39
4.02,2.12,4.99,1065.49,412.39
4.22,2.12,4.99,87.98,412.39
4.42,2.12,4.98,1632.45,412.95
4.62,2.12,4.99,459.43,412.39
4.82,2.10,4.98,146.63,411.13
5.02,2.12,4.99,1691.10,412.39
5.22,2.10,4.99,0.00,410.58
5.42,2.11,5.01,1192.57,410.94
5.62,2.12,4.99,938.42,412.39
5.82,2.11,4.98,654.94,412.04
6.02,2.11,4.99,1818.18,411.49
6.22,2.10,4.99,0.00,410.58
6.42,2.12,4.98,615.84,412.95
6.62,2.11,4.98,439.88,412.04
6.82,2.10,4.99,723.36,410.58
7.02,2.12,4.99,791.79,412.39
7.22,2.11,4.98,694.04,412.04
7.42,2.11,4.99,410.56,411.49
7.62,2.10,4.98,997.07,411.13
7.82,2.11,4.98,821.11,412.04
8.02,2.11,4.99,303.03,411.49
8.22,2.10,4.98,557.18,411.13
8.42,2.11,4.99,2003.91,411.49
8.62,2.11,4.97,1290.32,412.60
8.82,2.11,4.99,1955.03,411.49
9.02,2.10,4.99,1818.18,410.58
9.22,2.11,4.98,1417.40,412.04
9.42,2.11,4.99,400.78,411.49
9.62,2.10,4.98,175.95,411.13
9.82,2.11,4.98,391.01,412.04
10.02,2.12,4.99,420.33,412.39
10.22,2.12,4.97,1290.32,413.51
10.42,2.10,4.99,1739.98,410.58
10.62,2.10,4.98,1622.68,411.13
10.82,2.12,4.98,1163.25,412.95
11.02,2.10,4.98,332.36,411.13
11.22,2.11,4.98,1045.94,412.04
11.42,2.12,4.99,1300.10,412.39
11.62,2.11,4.98,948.19,412.04
11.82,2.11,4.99,1573.80,411.49
12.02,2.11,4.99,527.86,411.49
12.22,2.12,4.99,1153.47,412.39
12.42,2.10,4.99,752.69,410.58
12.62,2.11,4.98,166.18,412.04
12.82,2.12,4.98,635.39,412.95
13.02,2.11,4.97,1671.55,412.60
13.22,2.11,4.97,1554.25,412.60
13.42,2.12,4.99,1280.55,412.39
13.62,2.11,4.98,1827.96,412.04
13.82,2.12,5.01,1153.47,411.84
14.02,2.11,4.98,1055.72,412.04
14.22,2.12,4.99,1906.16,412.39
14.42,2.11,4.99,1798.63,411.49
14.62,2.10,4.98,1710.65,411.13
14.82,2.11,4.99,1769.31,411.49
15.02,2.10,4.98,1505.38,411.13
15.22,2.11,4.99,1779.08,411.49
15.42,2.12,4.98,1065.49,412.95
15.62,2.10,4.98,0.00,411.13
15.82,2.11,4.98,654.94,412.04
16.02,2.12,4.98,1661.78,412.95
16.22,2.12,4.99,478.98,412.39
16.42,2.12,4.99,19.55,412.39
16.62,2.11,4.99,371.46,411.49
16.82,2.12,4.98,1153.47,412.95
17.02,2.12,4.99,1485.83,412.39
17.22,2.11,4.98,166.18,412.04
17.42,2.12,4.98,782.01,412.95
17.62,2.11,4.99,879.77,411.49
17.82,2.12,4.98,498.53,412.95
18.02,2.11,4.98,1065.49,412.04
18.22,2.12,4.98,1515.15,412.95
18.42,2.11,4.98,0.00,412.04
18.62,2.12,4.98,1417.40,412.95
18.82,2.12,4.99,547.41,412.39
19.02,2.10,4.98,488.76,411.13
19.22,2.11,4.99,351.91,411.49
19.42,2.10,4.99,1739.98,410.58
19.62,2.11,4.99,1270.77,411.49
19.82,2.12,4.99,1143.69,412.39
20.02,2.12,4.99,1104.59,412.39
20.22,2.11,4.98,1006.84,412.04
20.42,2.12,4.98,469.21,412.95
20.62,2.12,4.98,557.18,412.95
20.82,2.12,5.01,146.63,411.84
21.02,2.10,4.98,1534.70,411.13
21.22,2.11,4.99,1964.81,411.49
21.42,2.10,4.98,1622.68,411.13
21.62,2.12,4.99,1876.83,412.39
21.82,2.12,4.99,1827.96,412.39
22.02,2.11,4.98,1114.37,412.04
22.22,2.11,4.98,1798.63,412.04
22.42,2.12,4.98,527.86,412.95
22.62,2.12,5.01,909.09,411.84
22.82,2.10,4.99,1798.63,410.58
23.02,2.10,4.98,449.66,411.13
23.22,2.12,4.99,1573.80,412.39
23.42,2.11,4.98,1564.03,412.04
23.62,2.12,4.98,1632.45,412.95
23.82,2.12,4.99,557.18,412.39
24.02,2.12,4.98,244.38,412.95
24.22,2.12,4.98,0.00,412.95
24.42,2.11,4.98,0.00,412.04
24.62,2.11,4.98,1182.80,412.04
24.82,2.12,4.99,1700.88,412.39
25.02,2.11,4.99,1436.95,411.49
25.22,2.12,4.99,391.01,412.39
25.42,2.11,4.98,1661.78,412.04
25.62,2.11,4.97,1006.84,412.60
25.82,2.11,4.98,1671.55,412.04
26.02,2.12,4.98,1612.90,412.95
26.22,2.12,4.99,508.31,412.39
26.42,2.11,4.98,1700.88,412.04
26.62,2.12,4.98,713.59,412.95
26.82,2.11,4.99,1857.28,411.49
27.02,2.11,4.99,97.75,411.49
27.22,2.12,4.98,987.29,412.95
27.42,2.10,4.98,1661.78,411.13
27.62,2.12,4.98,772.24,412.95
27.82,2.12,4.98,1896.38,412.95
28.02,2.10,4.98,1593.35,411.13
28.22,2.11,4.99,312.81,411.49
28.42,2.10,4.99,713.59,410.58
28.62,2.11,5.01,1094.82,410.94
28.82,2.12,4.98,967.74,412.95
29.02,2.10,4.98,1622.68,411.13
29.22,2.12,4.98,1094.82,412.95
29.42,2.11,4.99,39.10,411.49
29.62,2.11,4.98,1319.65,412.04
29.82,2.11,4.99,791.79,411.49
30.02,2.10,4.98,586.51,411.13
30.22,2.12,4.99,1456.50,412.39
30.42,2.10,4.99,469.21,410.58
30.62,2.11,4.98,1691.10,412.04
30.82,2.10,4.98,801.56,411.13
31.02,2.11,4.98,1348.97,412.04
31.22,2.12,4.99,1006.84,412.39
31.42,2.10,4.98,39.10,411.13
31.62,2.12,4.98,606.06,412.95
31.82,2.12,5.01,224.83,411.84
32.02,2.10,4.98,801.56,411.13
32.22,2.12,5.01,117.30,411.84
32.42,2.11,4.98,78.20,412.04
32.62,2.11,4.99,351.91,411.49
32.82,2.10,4.98,918.87,411.13
33.02,2.11,4.99,1788.86,411.49
33.22,2.11,4.98,224.83,412.04
33.42,2.11,4.98,1212.12,412.04
33.62,2.12,4.98,1231.67,412.95
33.82,2.11,4.98,1739.98,412.04
34.02,2.12,4.98,674.49,412.95
34.22,2.12,4.99,1006.84,412.39
34.42,2.10,4.98,234.60,411.13
34.62,2.11,5.01,801.56,410.94
34.82,2.12,4.99,1300.10,412.39
35.02,2.12,4.98,117.30,412.95
35.22,2.12,4.99,1378.30,412.39
35.42,2.11,4.98,1368.52,412.04
35.62,2.11,4.99,146.63,411.49
35.82,2.12,4.98,860.21,412.95
36.02,2.12,4.98,420.33,412.95
36.22,2.12,5.01,635.39,411.84
36.42,2.11,5.01,0.00,410.94
36.62,2.11,4.99,1427.17,411.49
36.82,2.12,4.98,322.58,412.95
37.02,2.12,4.99,1094.82,412.39
37.22,2.12,4.98,1388.07,412.95
37.42,2.11,4.98,928.64,412.04
37.62,2.12,4.99,0.00,412.39
37.82,2.11,4.99,254.15,411.49
38.02,2.12,4.99,1886.61,412.39
38.22,2.11,4.99,977.52,411.49
38.42,2.11,4.97,1603.13,412.60
38.62,2.11,4.99,694.04,411.49
