# material: PETG
# geometry: Octagon
# preform_diameter: 20.0
# material_color: Green
# temperature_C: 150.0
# drawdown_ratio: 50.0
# trial_number: 002
# operator: Ahmed
# start_time: 2026-01-20 14:21:30
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,5.02,0.00,399.39
1.42,1.99,5.02,0.00,398.46
1.62,2.01,5.03,0.00,399.79
1.82,1.99,5.02,0.00,398.46
2.02,2.00,5.01,0.00,399.93
2.22,1.99,5.03,0.00,397.93
2.42,2.00,5.01,0.00,399.93
2.62,1.99,5.01,0.00,399.00
2.82,2.00,5.02,9.78,399.39
3.02,1.99,5.02,0.00,398.46
3.22,1.99,5.01,0.00,399.00
3.42,2.00,5.01,0.00,399.93
3.62,2.00,5.02,0.00,399.39
3.82,2.00,5.02,0.00,399.39
4.02,2.00,5.02,0.00,399.39
4.22,2.00,5.02,0.00,399.39
4.42,2.00,5.02,0.00,399.39
4.62,1.99,5.01,0.00,399.00
4.82,1.99,4.98,0.00,400.07
5.02,1.99,5.01,0.00,399.00
5.22,1.99,4.99,0.00,399.53
5.42,2.00,4.98,0.00,401.00
5.62,2.01,4.98,9.78,401.94
5.82,1.99,4.98,0.00,400.07
6.02,2.00,4.97,0.00,401.55
6.22,2.00,4.98,0.00,401.00
6.42,1.98,4.98,0.00,399.13
6.62,2.01,4.97,0.00,402.48
6.82,2.00,4.98,0.00,401.00
7.02,2.00,4.98,0.00,401.00
7.22,2.00,4.97,0.00,401.55
7.42,2.01,4.98,0.00,401.94
7.62,1.99,4.98,0.00,400.07
7.82,1.99,4.97,0.00,400.61
8.02,2.00,4.98,0.00,401.00
8.22,2.01,4.98,0.00,401.94
8.42,2.01,4.98,0.00,401.94
8.62,2.00,4.98,0.00,401.00
8.82,2.00,4.98,0.00,401.00
9.02,1.99,4.97,0.00,400.61
9.22,2.00,4.97,0.00,401.55
9.42,1.99,4.98,9.78,400.07
9.62,2.00,4.97,0.00,401.55
9.82,2.00,4.97,0.00,401.55
10.02,2.00,4.98,0.00,401.00
10.22,2.01,4.97,0.00,402.48
10.42,1.99,4.95,0.00,401.15
10.62,2.00,4.95,566.96,402.09
10.82,2.01,4.95,557.18,403.02
11.02,1.99,4.95,557.18,401.15
11.22,1.99,4.97,576.74,400.61
11.42,2.00,4.98,0.00,401.00
11.62,1.98,4.98,0.00,399.13
11.82,1.99,4.98,0.00,400.07
12.02,2.00,4.95,0.00,402.09
12.22,1.99,4.98,0.00,400.07
12.42,2.00,4.94,0.00,402.63
12.62,2.00,4.97,0.00,401.55
12.82,2.01,4.97,0.00,402.48
13.02,1.99,4.97,606.06,400.61
13.22,2.00,4.98,557.18,401.00
13.42,2.01,4.98,0.00,401.94
13.62,1.99,4.97,0.00,400.61
13.82,1.99,4.98,0.00,400.07
14.02,2.00,4.97,293.26,401.55
14.22,1.98,4.97,0.00,399.67
14.42,2.00,4.98,0.00,401.00
14.62,2.00,4.97,0.00,401.55
14.82,1.99,4.95,0.00,401.15
15.02,1.98,4.97,0.00,399.67
15.22,2.00,4.97,0.00,401.55
15.42,1.99,4.97,518.08,400.61
15.62,1.98,4.95,0.00,400.21
15.82,2.00,4.95,537.63,402.09
16.02,2.00,4.97,576.74,401.55
16.22,1.99,4.97,537.63,400.61
16.42,1.99,4.95,527.86,401.15
16.62,2.00,4.97,547.41,401.55
16.82,1.99,4.97,537.63,400.61
17.02,1.98,4.95,557.18,400.21
17.22,2.00,4.95,566.96,402.09
17.42,2.01,4.98,527.86,401.94
17.62,2.00,4.95,527.86,402.09
17.82,1.98,4.97,478.98,399.67
18.02,2.00,4.97,478.98,401.55
18.22,2.00,4.98,430.11,401.00
18.42,1.98,4.95,351.91,400.21
18.62,2.01,4.95,322.58,403.02
18.82,2.00,4.97,312.81,401.55
19.02,1.98,4.97,283.48,399.67
19.22,1.99,4.95,303.03,401.15
19.42,2.00,4.97,322.58,401.55
19.62,2.00,4.97,342.13,401.55
19.82,1.98,4.95,332.36,400.21
20.02,2.00,4.95,351.91,402.09
20.22,2.00,4.97,351.91,401.55
20.42,1.99,4.97,381.23,400.61
20.62,2.00,4.97,400.78,401.55
20.82,1.99,4.95,439.88,401.15
21.02,2.00,4.97,449.66,401.55
21.22,1.99,4.97,469.21,400.61
21.42,2.00,4.97,527.86,401.55
21.62,2.00,4.95,566.96,402.09
21.82,1.99,4.97,606.06,400.61
22.02,1.98,4.97,645.16,399.67
22.22,2.00,4.97,625.61,401.55
22.42,2.00,4.97,635.39,401.55
22.62,1.99,4.95,596.29,401.15
22.82,1.99,4.95,557.18,401.15
23.02,2.00,4.97,566.96,401.55
23.22,2.00,4.97,537.63,401.55
23.42,1.99,4.97,478.98,400.61
23.62,2.00,4.95,469.21,402.09
23.82,2.00,4.97,391.01,401.55
24.02,1.99,4.97,303.03,400.61
24.22,1.98,4.97,273.70,399.67
24.42,2.00,4.97,303.03,401.55
24.62,2.00,4.97,322.58,401.55
24.82,2.01,4.97,332.36,402.48
25.02,2.00,4.95,391.01,402.09
25.22,2.00,4.98,410.56,401.00
25.42,2.00,4.95,478.98,402.09
25.62,2.00,4.97,488.76,401.55
25.82,2.01,4.95,469.21,403.02
26.02,2.01,4.97,439.88,402.48
26.22,1.99,4.97,459.43,400.61
26.42,2.00,4.95,449.66,402.09
26.62,2.00,4.95,459.43,402.09
26.82,2.01,4.97,508.31,402.48
27.02,1.99,4.97,459.43,400.61
27.22,2.00,4.95,459.43,402.09
27.42,2.00,4.95,430.11,402.09
27.62,2.00,4.95,400.78,402.09
27.82,1.99,4.97,400.78,400.61
28.02,1.99,4.95,420.33,401.15
28.22,2.00,4.95,371.46,402.09
28.42,1.99,4.98,351.91,400.07
28.62,2.01,4.97,312.81,402.48
28.82,2.00,4.97,283.48,401.55
29.02,2.01,4.98,293.26,401.94
29.22,1.99,4.97,254.15,400.61
29.42,1.98,4.97,273.70,399.67
29.62,2.00,4.95,283.48,402.09
29.82,2.00,4.97,303.03,401.55
30.02,1.99,4.97,322.58,400.61
30.22,2.00,4.97,371.46,401.55
30.42,2.01,4.98,400.78,401.94
30.62,2.00,4.98,420.33,401.00
30.82,1.98,4.95,430.11,400.21
31.02,2.01,4.97,459.43,402.48
31.22,2.00,4.98,430.11,401.00
31.42,2.01,4.97,439.88,402.48
31.62,2.00,4.97,449.66,401.55
31.82,2.01,4.98,449.66,401.94
32.02,2.00,4.97,439.88,401.55
32.22,1.98,4.93,391.01,401.30
32.42,2.00,4.98,391.01,401.00
32.62,2.01,4.97,420.33,402.48
32.82,2.00,4.97,371.46,401.55
33.02,1.98,4.95,391.01,400.21
33.22,2.00,4.98,342.13,401.00
33.42,2.00,4.98,303.03,401.00
33.62,1.99,4.97,283.48,400.61
33.82,2.00,4.98,263.93,401.00
34.02,1.99,4.98,263.93,400.07
34.22,1.98,4.98,224.83,399.13
34.42,1.98,4.97,234.60,399.67
34.62,2.00,4.98,263.93,401.00
34.82,1.98,4.97,254.15,399.67
35.02,1.98,4.97,273.70,399.67
35.22,2.00,4.98,312.81,401.00
35.42,2.01,4.98,312.81,401.94
35.62,1.99,4.98,342.13,400.07
35.82,2.00,4.97,371.46,401.55
36.02,1.99,4.98,391.01,400.07
36.22,1.99,4.98,410.56,400.07
36.42,1.99,4.97,439.88,400.61
36.62,2.00,4.98,488.76,401.00
36.82,1.99,4.98,478.98,400.07
37.02,1.98,4.97,469.21,399.67
37.22,2.00,4.98,469.21,401.00
37.42,2.01,4.99,439.88,401.39
37.62,2.01,4.97,449.66,402.48
37.82,2.00,4.98,391.01,401.00
38.02,2.01,4.98,381.23,401.94
38.22,2.01,4.98,371.46,401.94
38.42,1.99,4.98,332.36,400.07
38.62,2.00,4.98,342.13,401.00
38.82,2.00,4.98,342.13,401.00
39.02,1.99,4.98,312.81,400.07
39.22,1.99,4.97,283.48,400.61
39.42,2.00,4.98,293.26,401.00
39.62,2.00,4.98,303.03,401.00
39.82,1.99,4.95,303.03,401.15
40.02,2.00,4.98,303.03,401.00
40.22,2.00,4.98,303.03,401.00
40.42,2.01,4.98,312.81,401.94
40.62,1.99,4.98,371.46,400.07
40.82,1.99,4.99,381.23,399.53
41.02,1.99,4.98,410.56,400.07
41.22,1.99,4.97,381.23,400.61
41.42,1.99,4.97,381.23,400.61
41.62,2.00,4.97,439.88,401.55
41.82,1.98,4.98,469.21,399.13
42.02,1.98,4.98,449.66,399.13
42.22,2.00,4.99,420.33,400.46
42.42,2.00,4.99,420.33,400.46
42.62,2.00,4.98,410.56,401.00
42.82,1.98,4.98,391.01,399.13
43.02,2.00,4.99,351.91,400.46
43.22,1.99,4.98,351.91,400.07
43.42,1.99,4.99,332.36,399.53
43.62,2.01,4.99,342.13,401.39
43.82,1.99,4.98,312.81,400.07
44.02,2.00,4.99,273.70,400.46
44.22,1.99,4.98,263.93,400.07
44.42,2.00,5.01,263.93,399.93
44.62,2.00,4.99,283.48,400.46
44.82,1.98,4.98,303.03,399.13
45.02,2.00,4.99,293.26,400.46
45.22,2.01,4.99,312.81,401.39
45.42,1.99,4.99,312.81,399.53
45.62,1.99,5.01,351.91,399.00
45.82,1.99,4.99,371.46,399.53
46.02,1.99,4.99,381.23,399.53
46.22,1.98,4.99,332.36,398.60
46.42,2.00,5.01,361.68,399.93
46.62,2.01,4.99,361.68,401.39
46.82,1.98,4.99,342.13,398.60
47.02,2.00,4.99,371.46,400.46
47.22,2.00,5.02,391.01,399.39
47.42,2.00,5.01,342.13,399.93
47.62,1.99,4.99,361.68,399.53
47.82,2.00,5.01,351.91,399.93
48.02,2.01,5.01,322.58,400.86
48.22,2.00,4.99,303.03,400.46
48.42,1.99,4.99,322.58,399.53
48.62,2.00,5.02,303.03,399.39
48.82,1.99,5.01,283.48,399.00
49.02,1.99,5.02,293.26,398.46
49.22,2.00,5.01,303.03,399.93
49.42,2.01,5.01,273.70,400.86
49.62,1.99,5.02,283.48,398.46
49.82,2.00,5.02,283.48,399.39
50.02,2.00,5.02,303.03,399.39
50.22,2.01,5.03,322.58,399.79
50.42,1.99,5.02,312.81,398.46
50.62,2.00,5.02,332.36,399.39
50.82,1.99,5.03,351.91,397.93
51.02,2.00,5.02,381.23,399.39
51.22,1.99,5.02,420.33,398.46
51.42,2.00,5.02,439.88,399.39
51.62,2.00,5.03,449.66,398.86
51.82,1.98,5.01,439.88,398.06
52.02,2.00,5.02,498.53,399.39
52.22,2.00,5.02,508.31,399.39
52.42,2.00,5.02,498.53,399.39
52.62,2.00,5.01,498.53,399.93
52.82,2.00,5.02,527.86,399.39
53.02,1.99,5.02,488.76,398.46
53.22,2.00,5.01,449.66,399.93
53.42,2.00,5.01,430.11,399.93
53.62,2.01,5.02,400.78,400.32
53.82,1.99,5.02,361.68,398.46
54.02,1.99,5.02,332.36,398.46
54.22,2.00,5.02,303.03,399.39
54.42,2.01,5.02,273.70,400.32
54.62,1.98,5.01,254.15,398.06
54.82,1.99,5.01,303.03,399.00
55.02,2.00,5.02,312.81,399.39
55.22,1.99,5.02,273.70,398.46
55.42,2.00,5.02,293.26,399.39
55.62,2.00,5.02,312.81,399.39
55.82,1.99,5.02,312.81,398.46
56.02,1.99,5.01,332.36,399.00
56.22,1.99,5.02,332.36,398.46
56.42,2.00,5.02,400.78,399.39
56.62,1.99,5.02,410.56,398.46
56.82,1.99,5.01,410.56,399.00
57.02,2.00,5.02,439.88,399.39
57.22,2.00,5.01,420.33,399.93
57.42,2.00,5.02,400.78,399.39
57.62,2.01,5.02,410.56,400.32
57.82,2.01,5.02,332.36,400.32
58.02,1.99,4.99,293.26,399.53
58.22,1.99,4.99,293.26,399.53
58.42,2.00,4.99,293.26,400.46
58.62,2.00,4.99,283.48,400.46
58.82,2.01,4.99,332.36,401.39
59.02,1.99,4.98,293.26,400.07
59.22,2.00,4.98,312.81,401.00
59.42,2.00,4.98,293.26,401.00
59.62,2.00,4.98,263.93,401.00
59.82,1.99,4.97,244.38,400.61
60.02,2.00,4.98,244.38,401.00
60.22,1.99,4.98,205.28,400.07
60.42,2.00,4.98,215.05,401.00
60.62,1.98,4.97,234.60,399.67
60.82,2.00,4.97,273.70,401.55
61.02,2.01,4.97,332.36,402.48
61.22,1.98,4.97,332.36,399.67
61.42,2.00,4.95,361.68,402.09
61.62,2.00,4.95,361.68,402.09
61.82,2.01,4.97,332.36,402.48
62.02,2.01,4.95,381.23,403.02
62.22,2.00,4.97,351.91,401.55
62.42,1.99,4.98,351.91,400.07
62.62,2.01,4.97,351.91,402.48
62.82,2.00,4.95,342.13,402.09
63.02,2.01,4.95,351.91,403.02
