# material: Close Ended Nylon PA6
# geometry: cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 205.0
# drawdown_ratio: 50.0
# trial_number: 036
# operator: Akila
# start_time: 2025-10-31 15:07:56
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.03,5.05,410.56,401.10
1.42,2.00,5.03,410.56,398.86
1.62,2.01,5.05,410.56,399.25
1.82,2.02,5.03,391.01,400.71
2.02,2.00,5.03,381.23,398.86
2.22,2.02,5.03,400.78,400.71
2.42,2.02,5.05,381.23,400.18
2.62,2.01,5.06,351.91,398.72
2.82,2.03,5.03,361.68,401.63
3.02,2.02,5.03,332.36,400.71
3.22,2.02,5.03,332.36,400.71
3.42,2.01,5.05,332.36,399.25
3.62,2.01,5.03,361.68,399.79
3.82,2.02,5.05,342.13,400.18
4.02,2.01,5.05,342.13,399.25
4.22,2.02,5.03,361.68,400.71
4.42,2.03,5.05,400.78,401.10
4.62,2.01,5.05,391.01,399.25
4.82,2.02,5.03,381.23,400.71
5.02,2.01,5.05,361.68,399.25
5.22,2.01,5.05,351.91,399.25
5.42,2.01,5.05,371.46,399.25
5.62,2.02,5.05,371.46,400.18
5.82,2.02,5.05,332.36,400.18
6.02,2.02,5.05,332.36,400.18
6.22,2.03,5.05,332.36,401.10
6.42,2.02,5.03,332.36,400.71
6.62,2.03,5.03,322.58,401.63
6.82,2.01,5.05,303.03,399.25
7.02,2.02,5.03,303.03,400.71
7.22,2.02,5.03,273.70,400.71
7.42,2.02,5.02,283.48,401.25
7.62,2.02,5.03,293.26,400.71
7.82,2.01,5.03,263.93,399.79
8.02,2.03,5.03,273.70,401.63
8.22,2.02,5.03,254.15,400.71
8.42,2.01,5.03,283.48,399.79
8.62,2.01,5.06,283.48,398.72
8.82,2.01,5.03,303.03,399.79
9.02,2.02,5.05,283.48,400.18
9.22,2.02,5.03,263.93,400.71
9.42,1.99,5.03,263.93,397.93
9.62,2.02,5.05,303.03,400.18
9.82,2.01,5.05,273.70,399.25
10.02,2.02,5.03,303.03,400.71
10.22,2.02,5.05,303.03,400.18
10.42,2.01,5.03,293.26,399.79
10.62,2.02,5.05,342.13,400.18
10.82,2.02,5.05,342.13,400.18
11.02,2.01,5.03,332.36,399.79
11.22,2.02,5.03,342.13,400.71
11.42,2.00,5.03,332.36,398.86
11.62,2.02,5.03,342.13,400.71
11.82,2.02,5.05,361.68,400.18
12.02,2.02,5.03,322.58,400.71
12.22,2.02,5.05,342.13,400.18
12.42,2.00,5.03,322.58,398.86
12.62,2.02,5.03,351.91,400.71
12.82,2.02,5.05,342.13,400.18
13.02,2.02,5.05,322.58,400.18
13.22,2.02,5.05,332.36,400.18
13.42,2.01,5.03,293.26,399.79
13.62,2.01,5.05,293.26,399.25
13.82,2.01,5.03,293.26,399.79
14.02,2.02,5.05,293.26,400.18
14.22,2.01,5.03,293.26,399.79
14.42,2.02,5.05,273.70,400.18
14.62,2.02,5.03,263.93,400.71
14.82,2.02,5.03,263.93,400.71
15.02,2.02,5.05,244.38,400.18
15.22,2.01,5.03,244.38,399.79
15.42,2.02,5.03,224.83,400.71
15.62,2.01,5.03,234.60,399.79
15.82,2.01,5.05,263.93,399.25
16.02,2.01,5.03,254.15,399.79
16.22,2.01,5.03,234.60,399.79
16.42,2.01,5.05,263.93,399.25
16.62,2.03,5.05,234.60,401.10
16.82,2.02,5.05,244.38,400.18
17.02,2.01,5.05,244.38,399.25
17.22,2.01,5.05,254.15,399.25
17.42,2.01,5.05,215.05,399.25
17.62,2.02,5.05,234.60,400.18
17.82,2.00,5.05,234.60,398.33
18.02,2.03,5.05,263.93,401.10
18.22,2.03,5.05,263.93,401.10
18.42,2.01,5.05,263.93,399.25
18.62,2.03,5.05,263.93,401.10
18.82,2.01,5.05,263.93,399.25
19.02,2.00,5.03,293.26,398.86
19.22,2.02,5.05,283.48,400.18
19.42,2.01,5.03,283.48,399.79
19.62,2.02,5.05,322.58,400.18
19.82,2.02,5.05,312.81,400.18
20.02,2.01,5.03,283.48,399.79
20.22,2.02,5.05,322.58,400.18
20.42,2.01,5.03,322.58,399.79
20.62,2.01,5.05,293.26,399.25
20.82,2.01,5.05,312.81,399.25
21.02,2.01,5.03,332.36,399.79
21.22,2.02,5.03,322.58,400.71
21.42,2.02,5.05,342.13,400.18
21.62,2.02,5.03,312.81,400.71
21.82,2.02,5.05,303.03,400.18
22.02,2.01,5.03,293.26,399.79
22.22,2.00,5.03,283.48,398.86
22.42,2.02,5.03,303.03,400.71
22.62,2.01,5.05,273.70,399.25
22.82,2.02,5.05,303.03,400.18
23.02,2.02,5.05,303.03,400.18
23.22,2.01,5.05,273.70,399.25
23.42,2.01,5.05,283.48,399.25
23.62,2.03,5.05,273.70,401.10
23.82,1.99,5.05,273.70,397.40
24.02,2.02,5.03,312.81,400.71
24.22,2.01,5.03,303.03,399.79
24.42,2.02,5.06,312.81,399.65
24.62,2.02,5.05,332.36,400.18
24.82,2.03,5.05,303.03,401.10
25.02,2.02,5.05,312.81,400.18
25.22,2.03,5.05,293.26,401.10
25.42,2.03,5.05,293.26,401.10
25.62,2.01,5.03,332.36,399.79
25.82,2.01,5.05,332.36,399.25
26.02,2.02,5.03,322.58,400.71
26.22,2.02,5.05,322.58,400.18
26.42,2.01,5.03,312.81,399.79
26.62,2.01,5.02,322.58,400.32
26.82,2.02,5.05,332.36,400.18
27.02,2.01,5.05,303.03,399.25
27.22,2.02,5.05,312.81,400.18
27.42,2.02,5.03,322.58,400.71
27.62,2.01,5.03,283.48,399.79
27.82,2.03,5.05,303.03,401.10
28.02,2.02,5.05,312.81,400.18
28.22,2.00,5.05,283.48,398.33
28.42,2.02,5.03,293.26,400.71
28.62,2.01,5.05,254.15,399.25
28.82,2.01,5.03,244.38,399.79
29.02,2.02,5.05,263.93,400.18
29.22,2.01,5.05,254.15,399.25
29.42,2.02,5.05,283.48,400.18
29.62,2.01,5.05,254.15,399.25
29.82,2.03,5.06,263.93,400.57
30.02,2.03,5.05,283.48,401.10
30.22,2.03,5.05,283.48,401.10
30.42,2.02,5.03,263.93,400.71
30.62,2.02,5.05,263.93,400.18
30.82,2.02,5.03,283.48,400.71
31.02,2.03,5.05,273.70,401.10
31.22,2.02,5.05,303.03,400.18
31.42,2.01,5.05,244.38,399.25
31.62,2.02,5.05,263.93,400.18
31.82,2.02,5.05,273.70,400.18
32.02,2.00,5.05,283.48,398.33
