# material: Closed Ended Nylon PA6
# geometry: cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 205.0
# drawdown_ratio: 50.0
# trial_number: 037
# operator: Akila
# start_time: 2025-10-31 15:37:04
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,4.97,342.13,403.41
1.42,2.03,4.98,322.58,403.79
1.62,2.02,4.98,312.81,402.86
1.82,2.03,4.98,312.81,403.79
2.02,2.03,4.98,303.03,403.79
2.22,2.02,4.98,332.36,402.86
2.42,2.02,4.97,312.81,403.41
2.62,2.03,4.99,342.13,403.25
2.82,2.02,4.97,322.58,403.41
3.02,2.03,4.97,332.36,404.34
3.22,1.99,4.98,322.58,400.07
3.42,2.01,4.98,322.58,401.94
3.62,2.01,4.97,312.81,402.48
3.82,2.01,4.98,332.36,401.94
4.02,2.00,4.97,312.81,401.55
4.22,2.03,4.97,361.68,404.34
4.42,2.02,4.97,371.46,403.41
4.62,2.02,4.98,381.23,402.86
4.82,2.01,4.95,371.46,403.02
5.02,2.02,4.97,400.78,403.41
5.22,2.02,4.97,371.46,403.41
5.42,2.01,4.98,381.23,401.94
5.62,2.01,4.97,391.01,402.48
5.82,2.01,4.98,391.01,401.94
6.02,2.02,4.97,391.01,403.41
6.22,2.02,4.98,391.01,402.86
6.42,2.02,4.98,332.36,402.86
6.62,2.03,4.98,332.36,403.79
6.82,2.02,4.97,361.68,403.41
7.02,2.01,4.97,322.58,402.48
7.22,2.02,4.97,361.68,403.41
7.42,2.02,4.98,381.23,402.86
7.62,2.02,4.95,361.68,403.95
7.82,2.02,4.98,371.46,402.86
8.02,2.02,4.97,351.91,403.41
8.22,2.02,4.98,371.46,402.86
8.42,2.02,4.97,332.36,403.41
8.62,2.02,4.98,322.58,402.86
8.82,2.02,4.98,312.81,402.86
9.02,2.02,4.98,283.48,402.86
9.22,2.03,4.97,283.48,404.34
9.42,2.01,4.98,303.03,401.94
9.62,2.01,4.98,293.26,401.94
9.82,2.02,4.98,312.81,402.86
10.02,2.01,4.97,312.81,402.48
10.22,2.03,4.97,342.13,404.34
10.42,2.01,4.97,351.91,402.48
10.62,2.03,4.97,312.81,404.34
10.82,2.02,4.98,332.36,402.86
11.02,2.01,4.99,322.58,401.39
11.22,2.01,4.97,312.81,402.48
11.42,2.01,4.97,332.36,402.48
11.62,2.02,4.95,312.81,403.95
11.82,2.03,4.97,303.03,404.34
12.02,2.01,4.97,283.48,402.48
12.22,2.03,4.97,293.26,404.34
12.42,2.03,4.97,293.26,404.34
12.62,2.02,4.97,303.03,403.41
12.82,2.01,4.98,303.03,401.94
13.02,2.01,4.97,303.03,402.48
13.22,2.01,4.97,293.26,402.48
13.42,2.03,4.98,293.26,403.79
13.62,2.02,4.97,273.70,403.41
13.82,2.02,4.98,293.26,402.86
14.02,2.02,4.97,283.48,403.41
14.22,2.02,4.97,283.48,403.41
14.42,2.03,4.97,283.48,404.34
14.62,2.00,4.98,273.70,401.00
14.82,2.02,4.97,283.48,403.41
15.02,2.01,4.98,293.26,401.94
15.22,2.02,4.97,293.26,403.41
15.42,2.02,4.97,303.03,403.41
15.62,2.02,4.97,293.26,403.41
15.82,2.03,4.98,322.58,403.79
16.02,2.02,4.97,303.03,403.41
16.22,2.02,4.98,312.81,402.86
16.42,2.03,4.95,322.58,404.88
16.62,2.02,4.97,332.36,403.41
16.82,2.01,4.97,342.13,402.48
17.02,2.01,4.97,351.91,402.48
17.22,2.02,4.97,342.13,403.41
17.42,2.03,4.97,361.68,404.34
17.62,2.02,4.97,371.46,403.41
17.82,2.03,4.98,361.68,403.79
18.02,2.01,4.97,361.68,402.48
18.22,2.02,4.98,351.91,402.86
18.42,2.02,4.97,361.68,403.41
18.62,2.03,4.98,361.68,403.79
18.82,2.02,4.97,381.23,403.41
19.02,2.02,4.98,371.46,402.86
19.22,2.02,4.97,361.68,403.41
19.42,2.02,4.98,351.91,402.86
19.62,2.01,4.97,361.68,402.48
19.82,2.02,4.97,322.58,403.41
20.02,2.02,4.95,303.03,403.95
20.22,2.03,4.98,322.58,403.79
20.42,2.02,4.97,322.58,403.41
20.62,2.01,4.97,303.03,402.48
20.82,2.02,4.98,312.81,402.86
21.02,2.03,4.98,303.03,403.79
21.22,2.02,4.97,254.15,403.41
21.42,2.02,4.98,293.26,402.86
21.62,2.01,4.97,293.26,402.48
21.82,2.03,4.98,283.48,403.79
22.02,2.02,4.97,312.81,403.41
22.22,2.02,4.98,312.81,402.86
22.42,2.02,4.98,312.81,402.86
22.62,2.02,4.98,332.36,402.86
22.82,2.01,4.97,312.81,402.48
23.02,2.03,4.97,322.58,404.34
23.22,2.02,4.98,312.81,402.86
23.42,2.03,4.98,312.81,403.79
23.62,2.01,4.98,342.13,401.94
23.82,2.01,4.98,351.91,401.94
24.02,2.02,4.97,322.58,403.41
24.22,2.01,4.97,322.58,402.48
24.42,2.02,4.97,322.58,403.41
24.62,2.02,4.97,322.58,403.41
24.82,2.01,4.97,312.81,402.48
25.02,2.01,4.97,303.03,402.48
25.22,2.03,4.98,303.03,403.79
25.42,2.02,4.98,283.48,402.86
25.62,2.02,4.97,254.15,403.41
25.82,2.01,4.98,293.26,401.94
26.02,2.02,4.97,283.48,403.41
26.22,2.01,4.98,273.70,401.94
26.42,2.02,4.97,273.70,403.41
26.62,2.02,4.97,293.26,403.41
26.82,2.02,4.97,254.15,403.41
27.02,2.03,4.98,263.93,403.79
27.22,2.02,4.98,293.26,402.86
27.42,2.02,4.98,273.70,402.86
27.62,2.03,4.97,303.03,404.34
27.82,2.01,4.97,273.70,402.48
28.02,2.02,4.98,312.81,402.86
28.22,2.02,4.98,312.81,402.86
28.42,2.02,4.97,303.03,403.41
28.62,2.02,4.97,303.03,403.41
28.82,2.02,4.98,293.26,402.86
29.02,2.01,4.98,283.48,401.94
29.22,2.02,4.97,322.58,403.41
29.42,2.01,4.98,312.81,401.94
29.62,2.01,4.98,332.36,401.94
29.82,2.01,4.98,342.13,401.94
30.02,2.02,4.98,342.13,402.86
30.22,2.02,4.97,342.13,403.41
30.42,2.02,4.98,303.03,402.86
30.62,2.03,4.98,312.81,403.79
30.82,2.02,4.97,303.03,403.41
31.02,2.02,4.97,312.81,403.41
31.22,2.02,4.97,283.48,403.41
31.42,2.01,4.97,293.26,402.48
31.62,2.03,4.97,303.03,404.34
31.82,2.02,4.98,312.81,402.86
32.02,2.01,4.98,322.58,401.94
32.22,2.01,4.98,303.03,401.94
32.42,2.02,4.97,303.03,403.41
32.62,2.02,4.98,283.48,402.86
32.82,2.02,4.98,293.26,402.86
33.02,2.02,4.98,283.48,402.86
33.22,2.02,4.97,283.48,403.41
33.42,2.01,4.98,283.48,401.94
33.62,2.02,4.98,273.70,402.86
33.82,2.03,4.98,283.48,403.79
34.02,2.02,4.97,283.48,403.41
34.22,2.02,4.98,263.93,402.86
34.42,2.01,4.98,244.38,401.94
34.62,2.00,4.98,273.70,401.00
34.82,2.03,4.97,263.93,404.34
35.02,2.03,4.98,263.93,403.79
35.22,2.02,4.98,254.15,402.86
35.42,2.02,4.98,283.48,402.86
35.62,2.01,4.95,234.60,403.02
35.82,2.02,4.98,303.03,402.86
36.02,2.01,4.97,283.48,402.48
36.22,2.02,4.98,303.03,402.86
36.42,2.02,4.98,303.03,402.86
36.62,2.02,4.98,244.38,402.86
36.82,2.01,4.98,254.15,401.94
37.02,2.02,4.97,273.70,403.41
37.22,2.01,4.97,254.15,402.48
37.42,2.02,4.98,263.93,402.86
37.62,2.03,4.98,273.70,403.79
37.82,2.01,4.97,273.70,402.48
38.02,2.01,4.98,263.93,401.94
38.22,2.02,4.98,283.48,402.86
38.42,2.02,4.98,263.93,402.86
38.62,2.02,4.98,263.93,402.86
38.82,2.02,4.98,303.03,402.86
39.02,2.02,4.98,293.26,402.86
39.22,2.03,4.98,303.03,403.79
39.42,2.01,4.97,283.48,402.48
39.62,2.02,4.98,283.48,402.86
39.82,2.02,4.98,254.15,402.86
40.02,2.03,4.98,254.15,403.79
40.22,2.02,4.98,263.93,402.86
40.42,2.03,4.98,263.93,403.79
40.62,2.00,4.98,254.15,401.00
40.82,2.03,4.98,283.48,403.79
41.02,2.01,4.97,244.38,402.48
41.22,2.02,4.98,244.38,402.86
41.42,2.02,4.98,263.93,402.86
41.62,2.02,4.98,263.93,402.86
41.82,2.02,4.98,234.60,402.86
42.02,2.02,4.97,234.60,403.41
42.22,2.01,4.98,234.60,401.94
42.42,2.02,4.98,263.93,402.86
42.62,2.01,4.98,244.38,401.94
42.82,2.01,4.98,244.38,401.94
43.02,2.01,4.98,273.70,401.94
43.22,2.02,4.98,244.38,402.86
43.42,2.03,4.98,254.15,403.79
43.62,2.02,4.98,254.15,402.86
43.82,2.03,4.98,234.60,403.79
44.02,2.02,4.98,244.38,402.86
44.22,2.01,4.99,254.15,401.39
44.42,2.01,4.98,224.83,401.94
44.62,2.01,4.99,254.15,401.39
44.82,2.01,4.98,234.60,401.94
45.02,2.02,4.99,273.70,402.32
45.22,2.01,4.98,244.38,401.94
45.42,2.03,4.98,244.38,403.79
45.62,2.03,4.97,234.60,404.34
45.82,2.02,4.98,273.70,402.86
