# material: Closed ended Nylon PA6
# geometry: cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 200.0
# drawdown_ratio: 50.0
# trial_number: 038
# operator: Akila
# start_time: 2025-11-03 10:50:15
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.03,5.01,381.23,402.71
1.42,2.03,5.02,400.78,402.17
1.62,2.01,5.01,371.46,400.86
1.82,2.00,5.01,381.23,399.93
2.02,2.03,5.02,381.23,402.17
2.22,2.02,5.01,332.36,401.78
2.42,2.02,5.01,361.68,401.78
2.62,2.02,5.01,371.46,401.78
2.82,2.01,5.01,361.68,400.86
3.02,2.02,5.02,361.68,401.25
3.22,2.02,4.99,361.68,402.32
3.42,2.03,5.01,342.13,402.71
3.62,2.01,5.01,332.36,400.86
3.82,2.01,5.02,312.81,400.32
4.02,2.00,5.01,293.26,399.93
4.22,2.02,5.01,312.81,401.78
4.42,2.01,5.01,293.26,400.86
4.62,2.01,5.01,283.48,400.86
4.82,2.03,5.01,273.70,402.71
5.02,2.02,4.99,244.38,402.32
5.22,2.02,5.01,303.03,401.78
5.42,2.02,4.99,273.70,402.32
5.62,2.02,5.01,234.60,401.78
5.82,2.02,5.01,234.60,401.78
6.02,2.02,5.01,224.83,401.78
6.22,2.02,5.01,234.60,401.78
6.42,2.01,5.01,215.05,400.86
6.62,2.01,5.01,234.60,400.86
6.82,2.02,5.01,234.60,401.78
7.02,2.02,5.02,215.05,401.25
7.22,2.02,5.01,234.60,401.78
7.42,2.01,5.01,224.83,400.86
7.62,2.03,5.01,215.05,402.71
7.82,2.00,5.01,234.60,399.93
8.02,2.02,5.02,234.60,401.25
8.22,2.01,5.01,215.05,400.86
8.42,2.02,5.01,224.83,401.78
8.62,2.02,5.01,254.15,401.78
8.82,2.01,5.01,234.60,400.86
9.02,2.03,5.01,224.83,402.71
9.22,2.00,5.02,244.38,399.39
9.42,2.02,5.01,244.38,401.78
9.62,2.02,5.01,215.05,401.78
9.82,2.02,5.01,234.60,401.78
10.02,2.02,5.01,263.93,401.78
10.22,2.02,5.01,263.93,401.78
10.42,2.02,5.01,263.93,401.78
10.62,2.00,5.01,234.60,399.93
10.82,2.02,5.01,244.38,401.78
11.02,2.01,5.01,263.93,400.86
11.22,2.02,5.01,234.60,401.78
11.42,2.01,5.02,234.60,400.32
11.62,2.03,4.99,283.48,403.25
11.82,2.01,5.01,263.93,400.86
12.02,2.01,5.01,273.70,400.86
12.22,2.03,5.01,273.70,402.71
12.42,2.01,4.99,273.70,401.39
12.62,2.02,5.01,293.26,401.78
12.82,2.02,5.01,283.48,401.78
13.02,2.01,5.01,263.93,400.86
13.22,2.02,4.99,293.26,402.32
13.42,2.01,5.01,303.03,400.86
13.62,2.01,5.02,303.03,400.32
13.82,2.03,5.01,303.03,402.71
14.02,2.01,5.03,322.58,399.79
14.22,2.01,5.01,342.13,400.86
14.42,2.02,5.01,322.58,401.78
14.62,2.03,5.01,312.81,402.71
14.82,2.00,5.01,303.03,399.93
15.02,2.02,5.02,283.48,401.25
15.22,2.01,5.01,283.48,400.86
15.42,2.02,5.01,283.48,401.78
15.62,2.01,5.01,283.48,400.86
15.82,2.02,4.98,293.26,402.86
16.02,2.02,5.02,293.26,401.25
16.22,2.00,5.01,254.15,399.93
16.42,2.03,5.01,263.93,402.71
16.62,2.02,5.01,244.38,401.78
16.82,2.00,5.02,273.70,399.39
17.02,2.02,5.01,254.15,401.78
17.22,2.01,4.99,273.70,401.39
17.42,2.02,5.02,254.15,401.25
17.62,2.00,5.01,263.93,399.93
17.82,2.01,5.01,273.70,400.86
18.02,2.02,5.02,273.70,401.25
18.22,2.02,5.01,263.93,401.78
18.42,2.03,5.01,293.26,402.71
18.62,2.02,4.99,303.03,402.32
18.82,2.02,5.01,283.48,401.78
19.02,2.01,4.99,254.15,401.39
19.22,2.02,5.01,254.15,401.78
19.42,2.03,5.01,263.93,402.71
19.62,2.02,5.02,283.48,401.25
19.82,2.01,5.01,254.15,400.86
20.02,2.02,5.01,283.48,401.78
20.22,2.02,5.01,283.48,401.78
20.42,2.01,5.01,273.70,400.86
20.62,2.02,5.01,273.70,401.78
20.82,2.00,5.01,283.48,399.93
21.02,2.02,5.01,283.48,401.78
21.22,2.03,5.01,254.15,402.71
21.42,2.01,5.01,273.70,400.86
21.62,2.03,5.01,273.70,402.71
21.82,2.01,4.99,254.15,401.39
22.02,2.02,5.01,273.70,401.78
22.22,2.00,5.01,234.60,399.93
22.42,2.02,5.02,224.83,401.25
22.62,2.00,5.01,224.83,399.93
22.82,2.01,4.99,244.38,401.39
23.02,2.02,5.02,273.70,401.25
23.22,2.01,5.01,234.60,400.86
23.42,2.01,5.01,244.38,400.86
23.62,2.02,5.02,234.60,401.25
23.82,2.03,5.01,254.15,402.71
24.02,2.01,5.01,263.93,400.86
24.22,2.02,5.01,224.83,401.78
24.42,2.02,5.01,244.38,401.78
24.62,2.01,4.99,205.28,401.39
24.82,2.02,5.01,234.60,401.78
25.02,2.01,4.99,244.38,401.39
25.22,2.02,4.98,254.15,402.86
25.42,2.03,5.01,244.38,402.71
25.62,2.02,4.99,254.15,402.32
25.82,2.01,5.01,263.93,400.86
26.02,2.02,5.01,234.60,401.78
26.22,2.02,5.01,254.15,401.78
26.42,2.01,5.01,244.38,400.86
26.62,2.02,5.01,244.38,401.78
26.82,2.03,5.01,254.15,402.71
27.02,2.02,4.99,263.93,402.32
27.22,2.03,5.01,244.38,402.71
27.42,2.01,5.01,254.15,400.86
27.62,2.01,5.01,283.48,400.86
27.82,2.02,5.01,273.70,401.78
28.02,2.01,5.01,273.70,400.86
28.22,2.01,5.01,283.48,400.86
28.42,2.02,5.01,283.48,401.78
28.62,2.03,5.01,293.26,402.71
28.82,2.01,5.01,283.48,400.86
29.02,2.03,5.01,283.48,402.71
29.22,2.01,5.01,273.70,400.86
29.42,2.02,5.01,312.81,401.78
29.62,2.02,4.99,273.70,402.32
29.82,2.03,5.01,312.81,402.71
30.02,2.01,4.99,312.81,401.39
30.22,2.02,4.99,283.48,402.32
30.42,2.02,4.99,283.48,402.32
30.62,2.01,4.95,244.38,403.02
30.82,2.02,4.94,283.48,404.50
31.02,2.01,4.94,254.15,403.57
31.22,2.02,4.94,263.93,404.50
31.42,2.02,4.94,263.93,404.50
31.62,2.02,4.94,244.38,404.50
31.82,2.02,4.93,283.48,405.05
32.02,2.03,4.93,234.60,405.99
32.22,2.02,4.93,263.93,405.05
32.42,2.01,4.93,254.15,404.12
32.62,2.01,4.89,234.60,405.78
32.82,2.03,4.90,244.38,407.10
33.02,2.01,4.89,234.60,405.78
33.22,2.02,4.89,254.15,406.72
33.42,2.03,4.90,224.83,407.10
33.62,2.02,4.89,254.15,406.72
33.82,2.02,4.89,215.05,406.72
34.02,2.02,4.89,205.28,406.72
34.22,2.02,4.89,185.73,406.72
34.42,2.01,4.87,166.18,406.34
34.62,2.02,4.90,205.28,406.16
34.82,2.01,4.87,185.73,406.34
35.02,2.02,4.89,205.28,406.72
35.22,2.01,4.87,185.73,406.34
35.42,2.02,4.86,205.28,407.84
35.62,2.02,4.86,175.95,407.84
35.82,2.01,4.86,166.18,406.90
36.02,2.01,4.86,195.50,406.90
36.22,2.01,4.86,205.28,406.90
36.42,2.01,4.87,205.28,406.34
36.62,2.03,4.86,195.50,408.78
36.82,2.01,4.85,205.28,407.46
37.02,2.02,4.86,195.50,407.84
37.22,2.02,4.85,195.50,408.41
