# material: Nylon 66
# geometry: 7ch
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 193.0
# drawdown_ratio: 50.0
# trial_number: 053
# operator: Akila
# start_time: 2025-11-17 10:33:16
# notes: sealed close
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.52,3.26,351.91,431.43
1.42,1.50,3.27,332.36,427.89
1.62,1.50,3.26,303.03,428.77
1.82,1.51,3.26,0.00,430.10
2.02,1.51,3.26,0.00,430.10
2.22,1.51,3.27,342.13,429.22
2.42,1.52,3.27,410.56,430.54
2.62,1.51,3.26,0.00,430.10
2.82,1.51,3.25,0.00,430.99
3.02,1.51,3.26,0.00,430.10
3.22,1.51,3.25,0.00,430.99
3.42,1.51,3.25,0.00,430.99
3.62,1.52,3.26,0.00,431.43
3.82,1.49,3.25,0.00,428.32
4.02,1.51,3.26,0.00,430.10
4.22,1.51,3.27,0.00,429.22
4.42,1.49,3.26,0.00,427.44
4.62,1.51,3.26,400.78,430.10
4.82,1.49,3.25,420.33,428.32
5.02,1.50,3.25,557.18,429.66
5.22,1.51,3.27,762.46,429.22
5.42,1.50,3.25,1036.17,429.66
5.62,1.49,3.25,1016.62,428.32
5.82,1.51,3.27,625.61,429.22
6.02,1.50,3.25,449.66,429.66
6.22,1.50,3.25,361.68,429.66
6.42,1.52,3.26,332.36,431.43
6.62,1.49,3.27,283.48,426.56
6.82,1.49,3.26,283.48,427.44
7.02,1.50,3.27,263.93,427.89
7.22,1.51,3.27,263.93,429.22
7.42,1.50,3.26,273.70,428.77
7.62,1.51,3.27,273.70,429.22
7.82,1.49,3.25,273.70,428.32
8.02,1.51,3.23,263.93,431.88
8.22,1.52,3.26,283.48,431.43
8.42,1.52,3.26,312.81,431.43
8.62,1.51,3.26,322.58,430.10
8.82,1.50,3.29,361.68,427.02
9.02,1.51,3.25,0.00,430.99
9.22,1.51,3.26,0.00,430.10
9.42,1.52,3.27,0.00,430.54
9.62,1.51,3.25,0.00,430.99
9.82,1.52,3.26,733.14,431.43
10.02,1.49,3.26,752.69,427.44
10.22,1.50,3.25,625.61,429.66
10.42,1.52,3.27,410.56,430.54
10.62,1.51,3.27,342.13,429.22
10.82,1.50,3.25,332.36,429.66
11.02,1.50,3.26,312.81,428.77
11.22,1.49,3.27,273.70,426.56
11.42,1.51,3.25,312.81,430.99
11.62,1.52,3.26,293.26,431.43
11.82,1.49,3.26,0.00,427.44
12.02,1.51,3.27,0.00,429.22
12.22,1.50,3.27,0.00,427.89
12.42,1.50,3.26,0.00,428.77
12.62,1.51,3.27,0.00,429.22
12.82,1.51,3.26,0.00,430.10
13.02,1.52,3.26,0.00,431.43
13.22,1.51,3.27,0.00,429.22
13.42,1.51,3.25,0.00,430.99
13.62,1.51,3.27,0.00,429.22
13.82,1.51,3.27,0.00,429.22
14.02,1.51,3.26,0.00,430.10
