# material: Nylon 66
# geometry: 7ch
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 172.0
# drawdown_ratio: 50.0
# trial_number: 056
# operator: Akila
# start_time: 2025-11-18 10:03:52
# notes: Draw and feed speed are adjusted to 1.5 mm per min and 3.75 mm per min; both ends sealed close
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.03,5.01,136.85,402.71
1.42,2.02,4.99,166.18,402.32
1.62,2.02,5.01,166.18,401.78
1.82,2.03,5.01,136.85,402.71
2.02,2.00,5.01,166.18,399.93
2.22,2.01,5.02,166.18,400.32
2.42,2.01,4.99,166.18,401.39
2.62,2.01,4.99,195.50,401.39
2.82,2.01,4.99,234.60,401.39
3.02,2.01,4.99,273.70,401.39
3.22,2.03,5.01,322.58,402.71
3.42,2.01,4.99,224.83,401.39
3.62,2.02,4.99,224.83,402.32
3.82,2.02,5.01,205.28,401.78
4.02,2.02,4.99,175.95,402.32
4.22,2.01,5.01,185.73,400.86
4.42,2.00,4.99,146.63,400.46
4.62,2.01,4.99,175.95,401.39
4.82,2.01,4.99,175.95,401.39
5.02,2.02,4.99,185.73,402.32
5.22,2.02,5.01,175.95,401.78
5.42,2.00,4.97,127.08,401.55
5.62,2.01,4.99,146.63,401.39
5.82,2.02,5.01,127.08,401.78
6.02,2.00,4.99,166.18,400.46
6.22,2.01,5.01,146.63,400.86
6.42,2.00,4.99,146.63,400.46
6.62,2.00,4.99,146.63,400.46
6.82,2.00,5.01,156.40,399.93
7.02,2.01,4.99,136.85,401.39
7.22,2.01,4.99,166.18,401.39
7.42,2.02,4.99,156.40,402.32
7.62,2.02,4.99,166.18,402.32
7.82,2.02,5.01,195.50,401.78
8.02,2.00,5.02,175.95,399.39
8.22,2.02,5.01,215.05,401.78
8.42,2.00,4.99,205.28,400.46
8.62,2.01,4.99,244.38,401.39
8.82,1.96,4.83,244.38,402.32
9.02,1.90,4.58,205.28,407.43
9.22,1.89,4.31,224.83,418.90
9.42,1.88,4.16,215.05,425.22
9.62,1.84,4.00,234.60,429.38
9.82,1.83,3.88,205.28,434.91
10.02,1.81,3.77,224.83,437.69
10.22,1.78,3.77,224.83,434.29
10.42,1.79,3.76,195.50,436.20
10.62,1.78,3.77,215.05,434.29
10.82,1.78,3.77,224.83,434.29
11.02,1.78,3.76,195.50,435.06
11.22,1.78,3.77,224.83,434.29
11.42,1.79,3.77,185.73,435.43
11.62,1.76,3.79,185.73,431.24
11.82,1.76,3.76,156.40,432.78
12.02,1.68,3.77,185.73,421.60
12.22,1.64,3.77,166.18,416.89
12.42,1.64,3.74,195.50,418.38
12.62,1.61,3.77,244.38,413.32
12.82,1.56,3.77,312.81,407.30
13.02,1.57,3.77,391.01,408.51
13.22,1.55,3.76,420.33,405.59
13.42,1.55,3.77,430.11,404.87
13.62,1.54,3.77,410.56,403.65
13.82,1.54,3.79,371.46,402.93
14.02,1.54,3.77,303.03,403.65
14.22,1.53,3.76,254.15,403.14
14.42,1.52,3.77,244.38,401.20
14.62,1.51,3.77,205.28,399.96
14.82,1.50,3.76,224.83,399.44
15.02,1.50,3.77,244.38,398.73
15.22,1.51,3.74,215.05,401.39
15.42,1.52,3.77,234.60,401.20
15.62,1.52,3.77,234.60,401.20
15.82,1.52,3.79,244.38,400.48
16.02,1.50,3.76,195.50,399.44
16.22,1.52,3.77,215.05,401.20
16.42,1.51,3.79,224.83,399.25
16.62,1.52,3.77,195.50,401.20
16.82,1.52,3.79,205.28,400.48
17.02,1.52,3.79,195.50,400.48
17.22,1.51,3.65,185.73,406.53
17.42,1.50,3.61,175.95,407.52
