# material: Nylon 66
# geometry: 7ch
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 057
# operator: Akila
# start_time: 2025-11-18 11:35:37
# notes: Same as 056
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.50,3.73,293.26,400.87
1.42,1.50,3.72,303.03,401.60
1.62,1.49,3.73,283.48,399.63
1.82,1.48,3.72,263.93,399.09
2.02,1.50,3.72,273.70,401.60
2.22,1.50,3.72,244.38,401.60
2.42,1.50,3.73,263.93,400.87
2.62,1.49,3.72,244.38,400.35
2.82,1.51,3.73,224.83,402.12
3.02,1.50,3.72,254.15,401.60
3.22,1.51,3.73,244.38,402.12
3.42,1.50,3.73,273.70,400.87
3.62,1.49,3.72,234.60,400.35
3.82,1.50,3.73,244.38,400.87
4.02,1.50,3.72,263.93,401.60
4.22,1.50,3.73,273.70,400.87
4.42,1.50,3.70,254.15,402.32
4.62,1.50,3.72,283.48,401.60
4.82,1.51,3.72,293.26,402.84
5.02,1.50,3.73,293.26,400.87
5.22,1.50,3.72,273.70,401.60
5.42,1.49,3.73,283.48,399.63
5.62,1.50,3.72,303.03,401.60
5.82,1.50,3.73,342.13,400.87
6.02,1.50,3.73,351.91,400.87
6.22,1.50,3.72,410.56,401.60
6.42,1.50,3.70,400.78,402.32
6.62,1.49,3.73,420.33,399.63
6.82,1.49,3.72,400.78,400.35
7.02,1.49,3.73,410.56,399.63
7.22,1.50,3.72,420.33,401.60
7.42,1.48,3.72,361.68,399.09
7.62,1.50,3.73,391.01,400.87
7.82,1.49,3.73,361.68,399.63
8.02,1.48,3.73,332.36,398.38
8.22,1.50,3.72,332.36,401.60
8.42,1.50,3.72,342.13,401.60
8.62,1.51,3.73,312.81,402.12
8.82,1.49,3.73,273.70,399.63
9.02,1.50,3.72,293.26,401.60
9.22,1.49,3.72,283.48,400.35
9.42,1.50,3.72,293.26,401.60
9.62,1.49,3.72,254.15,400.35
9.82,1.50,3.73,263.93,400.87
10.02,1.50,3.70,283.48,402.32
10.22,1.51,3.74,263.93,401.39
10.42,1.50,3.70,273.70,402.32
10.62,1.48,3.73,273.70,398.38
10.82,1.50,3.73,303.03,400.87
11.02,1.51,3.72,303.03,402.84
11.22,1.51,3.72,332.36,402.84
11.42,1.49,3.72,361.68,400.35
11.62,1.51,3.73,400.78,402.12
11.82,1.49,3.72,449.66,400.35
12.02,1.50,3.72,478.98,401.60
12.22,1.49,3.70,459.43,401.07
12.42,1.49,3.73,488.76,399.63
12.62,1.50,3.72,478.98,401.60
12.82,1.49,3.72,469.21,400.35
13.02,1.49,3.73,449.66,399.63
13.22,1.51,3.73,449.66,402.12
13.42,1.50,3.72,478.98,401.60
13.62,1.49,3.70,459.43,401.07
13.82,1.50,3.72,488.76,401.60
14.02,1.49,3.73,469.21,399.63
14.22,1.49,3.72,537.63,400.35
14.42,1.50,3.72,537.63,401.60
14.62,1.51,3.73,586.51,402.12
14.82,1.48,3.72,547.41,399.09
15.02,1.49,3.73,488.76,399.63
15.22,1.51,3.72,449.66,402.84
15.42,1.51,3.73,430.11,402.12
15.62,1.50,3.73,420.33,400.87
15.82,1.49,3.72,381.23,400.35
16.02,1.49,3.73,420.33,399.63
16.22,1.49,3.72,410.56,400.35
16.42,1.50,3.73,478.98,400.87
16.62,1.50,3.72,537.63,401.60
16.82,1.49,3.72,547.41,400.35
17.02,1.50,3.72,596.29,401.60
17.22,1.49,3.72,527.86,400.35
17.42,1.51,3.73,508.31,402.12
17.62,1.48,3.72,449.66,399.09
17.82,1.51,3.72,430.11,402.84
18.02,1.50,3.70,391.01,402.32
18.22,1.50,3.72,381.23,401.60
18.42,1.50,3.72,351.91,401.60
18.62,1.51,3.73,351.91,402.12
18.82,1.49,3.73,371.46,399.63
19.02,1.51,3.73,381.23,402.12
19.22,1.51,3.73,410.56,402.12
19.42,1.49,3.73,478.98,399.63
19.62,1.50,3.72,566.96,401.60
19.82,1.49,3.70,606.06,401.07
20.02,1.50,3.72,606.06,401.60
20.22,1.49,3.72,518.08,400.35
20.42,1.50,3.73,527.86,400.87
20.62,1.51,3.72,518.08,402.84
20.82,1.49,3.73,518.08,399.63
21.02,1.50,3.72,557.18,401.60
21.22,1.49,3.72,625.61,400.35
21.42,1.50,3.73,645.16,400.87
21.62,1.50,3.72,615.84,401.60
21.82,1.50,3.73,508.31,400.87
22.02,1.49,3.72,410.56,400.35
22.22,1.50,3.72,381.23,401.60
22.42,1.49,3.72,371.46,400.35
22.62,1.49,3.74,371.46,398.91
22.82,1.49,3.72,361.68,400.35
23.02,1.48,3.73,351.91,398.38
23.22,1.50,3.70,351.91,402.32
23.42,1.49,3.72,342.13,400.35
23.62,1.49,3.73,351.91,399.63
23.82,1.50,3.72,342.13,401.60
24.02,1.48,3.73,400.78,398.38
24.22,1.51,3.72,430.11,402.84
24.42,1.50,3.73,449.66,400.87
24.62,1.49,3.73,488.76,399.63
24.82,1.49,3.73,518.08,399.63
25.02,1.49,3.70,478.98,401.07
25.22,1.50,3.72,469.21,401.60
25.42,1.50,3.73,420.33,400.87
25.62,1.51,3.73,400.78,402.12
25.82,1.49,3.73,410.56,399.63
26.02,1.50,3.73,381.23,400.87
26.22,1.50,3.73,371.46,400.87
26.42,1.48,3.73,371.46,398.38
26.62,1.49,3.72,400.78,400.35
26.82,1.50,3.72,410.56,401.60
27.02,1.50,3.72,469.21,401.60
27.22,1.50,3.70,547.41,402.32
27.42,1.50,3.73,654.94,400.87
27.62,1.51,3.70,674.49,403.57
27.82,1.49,3.72,576.74,400.35
28.02,1.50,3.72,518.08,401.60
28.22,1.50,3.73,488.76,400.87
28.42,1.50,3.74,459.43,400.15
28.62,1.50,3.70,439.88,402.32
28.82,1.51,3.72,478.98,402.84
29.02,1.49,3.72,537.63,400.35
29.22,1.51,3.73,586.51,402.12
29.42,1.50,3.72,606.06,401.60
29.62,1.49,3.72,586.51,400.35
29.82,1.48,3.72,635.39,399.09
30.02,1.49,3.73,596.29,399.63
30.22,1.49,3.72,566.96,400.35
30.42,1.49,3.72,478.98,400.35
30.62,1.51,3.73,439.88,402.12
30.82,1.49,3.70,381.23,401.07
31.02,1.51,3.73,322.58,402.12
31.22,1.51,3.72,312.81,402.84
31.42,1.49,3.72,273.70,400.35
31.62,1.49,3.72,312.81,400.35
31.82,1.48,3.73,332.36,398.38
32.02,1.51,3.72,400.78,402.84
32.22,1.50,3.70,478.98,402.32
32.42,1.50,3.72,606.06,401.60
32.62,1.50,3.73,606.06,400.87
32.82,1.49,3.73,527.86,399.63
33.02,1.49,3.72,498.53,400.35
33.22,1.50,3.73,469.21,400.87
33.42,1.50,3.72,420.33,401.60
33.62,1.50,3.72,391.01,401.60
33.82,1.50,3.72,322.58,401.60
34.02,1.49,3.72,312.81,400.35
34.22,1.50,3.72,312.81,401.60
34.42,1.49,3.72,263.93,400.35
34.62,1.49,3.73,283.48,399.63
34.82,1.49,3.70,234.60,401.07
35.02,1.51,3.73,244.38,402.12
35.22,1.49,3.73,224.83,399.63
35.42,1.50,3.73,215.05,400.87
35.62,1.48,3.72,215.05,399.09
35.82,1.50,3.72,224.83,401.60
36.02,1.50,3.73,234.60,400.87
36.22,1.51,3.73,195.50,402.12
36.42,1.50,3.73,224.83,400.87
36.62,1.49,3.72,205.28,400.35
36.82,1.51,3.72,215.05,402.84
37.02,1.48,3.72,205.28,399.09
37.22,1.50,3.72,195.50,401.60
37.42,1.50,3.73,224.83,400.87
37.62,1.49,3.72,205.28,400.35
37.82,1.49,3.72,215.05,400.35
38.02,1.48,3.70,234.60,399.82
38.22,1.49,3.73,244.38,399.63
38.42,1.49,3.72,263.93,400.35
38.62,1.51,3.73,283.48,402.12
38.82,1.48,3.72,351.91,399.09
39.02,1.50,3.73,537.63,400.87
39.22,1.49,3.70,850.44,401.07
39.42,1.50,3.73,674.49,400.87
39.62,1.50,3.72,508.31,401.60
39.82,1.49,3.73,430.11,399.63
40.02,1.51,3.72,410.56,402.84
40.22,1.49,3.70,351.91,401.07
40.42,1.50,3.73,371.46,400.87
40.62,1.49,3.73,342.13,399.63
40.82,1.50,3.73,332.36,400.87
41.02,1.49,3.70,322.58,401.07
41.22,1.50,3.72,312.81,401.60
41.42,1.50,3.73,312.81,400.87
41.62,1.49,3.73,312.81,399.63
41.82,1.51,3.73,342.13,402.12
42.02,1.50,3.70,342.13,402.32
42.22,1.51,3.72,361.68,402.84
42.42,1.49,3.72,371.46,400.35
42.62,1.50,3.73,459.43,400.87
42.82,1.49,3.72,615.84,400.35
43.02,1.50,3.73,1006.84,400.87
43.22,1.50,3.72,694.04,401.60
43.42,1.50,3.72,498.53,401.60
43.62,1.51,3.72,420.33,402.84
43.82,1.48,3.70,361.68,399.82
44.02,1.50,3.72,351.91,401.60
44.22,1.50,3.70,283.48,402.32
44.42,1.50,3.72,273.70,401.60
44.62,1.49,3.72,283.48,400.35
44.82,1.51,3.73,244.38,402.12
45.02,1.50,3.70,254.15,402.32
45.22,1.51,3.73,234.60,402.12
45.42,1.51,3.72,244.38,402.84
45.62,1.49,3.72,224.83,400.35
45.82,1.50,3.72,224.83,401.60
46.02,1.49,3.72,195.50,400.35
46.22,1.50,3.72,195.50,401.60
46.42,1.51,3.73,205.28,402.12
46.62,1.50,3.72,185.73,401.60
46.82,1.48,3.72,166.18,399.09
47.02,1.49,3.72,195.50,400.35
47.22,1.50,3.70,156.40,402.32
47.42,1.50,3.72,195.50,401.60
47.62,1.50,3.72,175.95,401.60
47.82,1.51,3.73,205.28,402.12
48.02,1.50,3.70,205.28,402.32
48.22,1.50,3.72,205.28,401.60
48.42,1.49,3.73,195.50,399.63
48.62,1.49,3.73,195.50,399.63
48.82,1.51,3.73,234.60,402.12
49.02,1.49,3.73,263.93,399.63
49.22,1.50,3.73,361.68,400.87
49.42,1.49,3.70,566.96,401.07
49.62,1.50,3.72,889.54,401.60
49.82,1.50,3.70,772.24,402.32
50.02,1.51,3.73,645.16,402.12
50.22,1.50,3.70,527.86,402.32
50.42,1.51,3.73,420.33,402.12
50.62,1.49,3.72,361.68,400.35
50.82,1.49,3.72,312.81,400.35
51.02,1.50,3.73,263.93,400.87
51.22,1.49,3.72,234.60,400.35
51.42,1.51,3.73,234.60,402.12
51.62,1.49,3.72,224.83,400.35
51.82,1.50,3.73,254.15,400.87
52.02,1.49,3.72,244.38,400.35
52.22,1.50,3.73,244.38,400.87
52.42,1.49,3.70,224.83,401.07
52.62,1.50,3.72,215.05,401.60
52.82,1.50,3.72,195.50,401.60
53.02,1.49,3.73,185.73,399.63
53.22,1.49,3.72,185.73,400.35
53.42,1.51,3.73,156.40,402.12
53.62,1.50,3.73,205.28,400.87
53.82,1.49,3.70,166.18,401.07
54.02,1.51,3.72,185.73,402.84
54.22,1.50,3.72,175.95,401.60
54.42,1.51,3.72,195.50,402.84
54.62,1.50,3.73,195.50,400.87
54.82,1.51,3.72,234.60,402.84
55.02,1.50,3.73,254.15,400.87
55.22,1.51,3.72,244.38,402.84
55.42,1.50,3.73,351.91,400.87
55.62,1.48,3.73,478.98,398.38
55.82,1.49,3.73,664.71,399.63
56.02,1.50,3.72,537.63,401.60
56.22,1.50,3.73,439.88,400.87
56.42,1.50,3.73,371.46,400.87
56.62,1.50,3.73,342.13,400.87
56.82,1.50,3.72,332.36,401.60
57.02,1.49,3.72,273.70,400.35
57.22,1.50,3.73,263.93,400.87
57.42,1.50,3.73,234.60,400.87
57.62,1.50,3.72,234.60,401.60
57.82,1.48,3.70,224.83,399.82
58.02,1.50,3.72,205.28,401.60
58.22,1.49,3.70,215.05,401.07
58.42,1.49,3.73,224.83,399.63
58.62,1.50,3.70,224.83,402.32
58.82,1.50,3.73,224.83,400.87
59.02,1.50,3.73,205.28,400.87
59.22,1.50,3.72,244.38,401.60
59.42,1.50,3.72,244.38,401.60
59.62,1.49,3.72,254.15,400.35
59.82,1.50,3.73,312.81,400.87
60.02,1.49,3.72,322.58,400.35
60.22,1.50,3.72,263.93,401.60
60.42,1.50,3.72,244.38,401.60
60.62,1.50,3.73,244.38,400.87
60.82,1.49,3.72,215.05,400.35
61.02,1.49,3.72,244.38,400.35
61.22,1.50,3.70,224.83,402.32
61.42,1.51,3.72,234.60,402.84
61.62,1.48,3.72,234.60,399.09
61.82,1.50,3.73,234.60,400.87
62.02,1.49,3.72,215.05,400.35
62.22,1.51,3.73,215.05,402.12
62.42,1.50,3.73,224.83,400.87
62.62,1.49,3.73,205.28,399.63
62.82,1.49,3.70,234.60,401.07
63.02,1.49,3.70,205.28,401.07
63.22,1.50,3.72,234.60,401.60
63.42,1.48,3.73,205.28,398.38
63.62,1.50,3.73,205.28,400.87
63.82,1.49,3.72,205.28,400.35
64.02,1.50,3.73,234.60,400.87
64.22,1.50,3.72,215.05,401.60
64.42,1.50,3.73,263.93,400.87
64.62,1.50,3.73,234.60,400.87
64.82,1.50,3.73,293.26,400.87
65.02,1.48,3.73,303.03,398.38
65.22,1.50,3.72,371.46,401.60
65.42,1.50,3.72,508.31,401.60
65.62,1.49,3.72,645.16,400.35
65.82,1.50,3.73,703.81,400.87
66.02,1.49,3.72,478.98,400.35
66.22,1.51,3.73,391.01,402.12
66.42,1.49,3.72,361.68,400.35
66.62,1.51,3.72,410.56,402.84
66.82,1.48,3.73,439.88,398.38
67.02,1.50,3.73,459.43,400.87
67.22,1.49,3.70,478.98,401.07
67.42,1.50,3.73,439.88,400.87
67.62,1.50,3.73,400.78,400.87
67.82,1.49,3.73,430.11,399.63
68.02,1.49,3.73,410.56,399.63
68.22,1.49,3.72,439.88,400.35
68.42,1.51,3.72,391.01,402.84
68.62,1.48,3.73,351.91,398.38
68.82,1.50,3.73,342.13,400.87
69.02,1.50,3.72,332.36,401.60
69.22,1.50,3.73,351.91,400.87
69.42,1.51,3.72,351.91,402.84
69.62,1.49,3.73,351.91,399.63
69.82,1.50,3.73,361.68,400.87
70.02,1.48,3.72,342.13,399.09
70.22,1.51,3.73,391.01,402.12
70.42,1.49,3.70,400.78,401.07
70.62,1.50,3.72,488.76,401.60
70.82,1.49,3.70,645.16,401.07
71.02,1.51,3.73,762.46,402.12
71.22,1.51,3.72,488.76,402.84
71.42,1.50,3.73,430.11,400.87
71.62,1.51,3.72,381.23,402.84
71.82,1.48,3.70,332.36,399.82
72.02,1.51,3.72,332.36,402.84
72.22,1.49,3.73,254.15,399.63
72.42,1.51,3.73,263.93,402.12
72.62,1.51,3.72,244.38,402.84
72.82,1.50,3.73,244.38,400.87
73.02,1.50,3.70,205.28,402.32
73.22,1.50,3.73,244.38,400.87
73.42,1.51,3.72,215.05,402.84
73.62,1.49,3.72,195.50,400.35
73.82,1.50,3.72,205.28,401.60
74.02,1.50,3.72,215.05,401.60
74.22,1.50,3.70,195.50,402.32
74.42,1.51,3.73,185.73,402.12
74.62,1.50,3.72,205.28,401.60
74.82,1.48,3.72,215.05,399.09
75.02,1.50,3.72,254.15,401.60
75.22,1.50,3.70,224.83,402.32
75.42,1.51,3.73,361.68,402.12
75.62,1.50,3.72,449.66,401.60
75.82,1.50,3.72,439.88,401.60
76.02,1.50,3.70,498.53,402.32
76.22,1.48,3.72,430.11,399.09
76.42,1.51,3.72,400.78,402.84
76.62,1.49,3.73,361.68,399.63
76.82,1.50,3.73,459.43,400.87
77.02,1.48,3.70,576.74,399.82
77.22,1.50,3.73,723.36,400.87
77.42,1.48,3.72,420.33,399.09
77.62,1.50,3.73,244.38,400.87
77.82,1.49,3.72,185.73,400.35
78.02,1.50,3.73,175.95,400.87
78.22,1.50,3.72,185.73,401.60
78.42,1.48,3.73,146.63,398.38
78.62,1.49,3.73,195.50,399.63
78.82,1.49,3.72,166.18,400.35
79.02,1.50,3.72,166.18,401.60
79.22,1.48,3.72,156.40,399.09
79.42,1.50,3.72,136.85,401.60
79.62,1.49,3.72,136.85,400.35
79.82,1.50,3.73,136.85,400.87
80.02,1.49,3.72,156.40,400.35
80.22,1.49,3.72,146.63,400.35
80.42,1.50,3.73,156.40,400.87
80.62,1.50,3.72,136.85,401.60
80.82,1.51,3.72,156.40,402.84
81.02,1.48,3.73,136.85,398.38
81.22,1.51,3.72,146.63,402.84
81.42,1.48,3.70,156.40,399.82
81.62,1.50,3.73,136.85,400.87
81.82,1.49,3.72,146.63,400.35
82.02,1.50,3.73,156.40,400.87
82.22,1.50,3.72,156.40,401.60
82.42,1.49,3.72,136.85,400.35
82.62,1.50,3.72,156.40,401.60
82.82,1.49,3.73,156.40,399.63
83.02,1.49,3.73,146.63,399.63
83.22,1.49,3.70,156.40,401.07
83.42,1.49,3.73,185.73,399.63
83.62,1.49,3.72,146.63,400.35
83.82,1.51,3.73,156.40,402.12
84.02,1.51,3.72,166.18,402.84
84.22,1.48,3.72,146.63,399.09
84.42,1.50,3.73,185.73,400.87
84.62,1.50,3.70,156.40,402.32
84.82,1.48,3.72,156.40,399.09
85.02,1.51,3.72,185.73,402.84
85.22,1.49,3.73,175.95,399.63
85.42,1.50,3.72,205.28,401.60
85.62,1.49,3.73,185.73,399.63
85.82,1.50,3.70,205.28,402.32
86.02,1.49,3.72,185.73,400.35
86.22,1.51,3.72,215.05,402.84
86.42,1.50,3.72,175.95,401.60
86.62,1.50,3.73,205.28,400.87
86.82,1.49,3.72,234.60,400.35
87.02,1.49,3.74,244.38,398.91
87.22,1.49,3.73,234.60,399.63
87.42,1.48,3.73,283.48,398.38
87.62,1.50,3.72,361.68,401.60
87.82,1.50,3.72,439.88,401.60
88.02,1.50,3.73,439.88,400.87
88.22,1.49,3.72,400.78,400.35
88.42,1.51,3.73,381.23,402.12
88.62,1.50,3.70,342.13,402.32
88.82,1.49,3.73,332.36,399.63
89.02,1.48,3.72,303.03,399.09
89.22,1.50,3.72,273.70,401.60
89.42,1.49,3.70,273.70,401.07
89.62,1.50,3.72,303.03,401.60
89.82,1.50,3.72,293.26,401.60
90.02,1.49,3.73,312.81,399.63
90.22,1.49,3.73,332.36,399.63
90.42,1.49,3.70,400.78,401.07
90.62,1.50,3.72,488.76,401.60
90.82,1.50,3.72,547.41,401.60
91.02,1.50,3.73,527.86,400.87
91.22,1.50,3.72,449.66,401.60
91.42,1.51,3.73,361.68,402.12
91.62,1.50,3.72,273.70,401.60
91.82,1.49,3.72,215.05,400.35
92.02,1.48,3.72,244.38,399.09
92.22,1.48,3.73,234.60,398.38
92.42,1.50,3.72,254.15,401.60
92.62,1.48,3.73,263.93,398.38
92.82,1.50,3.72,283.48,401.60
93.02,1.50,3.72,293.26,401.60
93.22,1.51,3.72,273.70,402.84
93.42,1.50,3.72,263.93,401.60
93.62,1.49,3.73,244.38,399.63
93.82,1.49,3.72,215.05,400.35
94.02,1.49,3.72,263.93,400.35
94.22,1.50,3.72,263.93,401.60
94.42,1.48,3.72,254.15,399.09
94.62,1.50,3.74,283.48,400.15
94.82,1.49,3.70,342.13,401.07
95.02,1.51,3.73,322.58,402.12
95.22,1.50,3.73,312.81,400.87
95.42,1.49,3.73,293.26,399.63
95.62,1.50,3.70,293.26,402.32
95.82,1.49,3.73,293.26,399.63
96.02,1.49,3.73,273.70,399.63
96.22,1.50,3.72,273.70,401.60
96.42,1.50,3.72,293.26,401.60
96.62,1.49,3.72,303.03,400.35
96.82,1.50,3.72,303.03,401.60
97.02,1.49,3.73,273.70,399.63
97.22,1.50,3.72,303.03,401.60
97.42,1.49,3.70,303.03,401.07
97.62,1.51,3.72,322.58,402.84
97.82,1.49,3.73,312.81,399.63
98.02,1.51,3.73,400.78,402.12
98.22,1.49,3.70,488.76,401.07
98.42,1.51,3.73,488.76,402.12
98.62,1.50,3.72,400.78,401.60
98.82,1.49,3.73,332.36,399.63
99.02,1.50,3.72,361.68,401.60
99.22,1.51,3.72,322.58,402.84
99.42,1.50,3.73,342.13,400.87
99.62,1.49,3.72,342.13,400.35
99.82,1.50,3.73,332.36,400.87
100.02,1.50,3.70,322.58,402.32
100.22,1.51,3.73,263.93,402.12
100.42,1.50,3.72,224.83,401.60
100.62,1.50,3.73,185.73,400.87
100.82,1.51,3.72,205.28,402.84
101.02,1.50,3.73,175.95,400.87
101.22,1.50,3.73,175.95,400.87
101.42,1.49,3.72,166.18,400.35
101.62,1.49,3.72,166.18,400.35
101.82,1.50,3.70,156.40,402.32
102.02,1.51,3.73,127.08,402.12
102.22,1.49,3.72,127.08,400.35
102.42,1.51,3.72,136.85,402.84
102.62,1.51,3.72,136.85,402.84
102.82,1.51,3.73,156.40,402.12
103.02,1.50,3.72,146.63,401.60
103.22,1.49,3.72,117.30,400.35
103.42,1.50,3.73,146.63,400.87
103.62,1.48,3.72,156.40,399.09
103.82,1.51,3.73,136.85,402.12
104.02,1.50,3.70,146.63,402.32
104.22,1.48,3.73,127.08,398.38
104.42,1.49,3.72,166.18,400.35
104.62,1.49,3.72,166.18,400.35
104.82,1.50,3.72,185.73,401.60
105.02,1.49,3.73,136.85,399.63
105.22,1.50,3.73,156.40,400.87
105.42,1.48,3.72,156.40,399.09
105.62,1.50,3.73,146.63,400.87
105.82,1.49,3.73,146.63,399.63
106.02,1.49,3.72,156.40,400.35
106.22,1.48,3.73,156.40,398.38
106.42,1.49,3.70,166.18,401.07
106.62,1.50,3.73,166.18,400.87
106.82,1.49,3.72,156.40,400.35
107.02,1.49,3.72,175.95,400.35
107.22,1.49,3.73,156.40,399.63
107.42,1.50,3.73,185.73,400.87
107.62,1.50,3.70,166.18,402.32
107.82,1.50,3.73,205.28,400.87
108.02,1.51,3.72,205.28,402.84
108.22,1.51,3.72,224.83,402.84
108.42,1.50,3.73,215.05,400.87
108.62,1.50,3.72,224.83,401.60
108.82,1.51,3.73,205.28,402.12
109.02,1.50,3.73,195.50,400.87
109.22,1.49,3.73,244.38,399.63
109.42,1.48,3.72,234.60,399.09
109.62,1.50,3.73,263.93,400.87
109.82,1.49,3.70,254.15,401.07
110.02,1.50,3.72,293.26,401.60
110.22,1.50,3.73,293.26,400.87
110.42,1.49,3.73,312.81,399.63
110.62,1.50,3.70,400.78,402.32
110.82,1.50,3.73,410.56,400.87
111.02,1.51,3.73,361.68,402.12
111.22,1.49,3.72,273.70,400.35
111.42,1.50,3.72,322.58,401.60
111.62,1.49,3.72,332.36,400.35
111.82,1.51,3.73,361.68,402.12
112.02,1.50,3.73,400.78,400.87
112.22,1.50,3.72,430.11,401.60
112.42,1.50,3.73,371.46,400.87
112.62,1.50,3.73,342.13,400.87
112.82,1.50,3.72,303.03,401.60
113.02,1.49,3.73,263.93,399.63
113.22,1.49,3.72,293.26,400.35
113.42,1.49,3.72,303.03,400.35
113.62,1.50,3.72,391.01,401.60
113.82,1.50,3.72,420.33,401.60
114.02,1.50,3.73,469.21,400.87
114.22,1.51,3.70,391.01,403.57
114.42,1.50,3.72,273.70,401.60
114.62,1.50,3.70,254.15,402.32
114.82,1.49,3.73,254.15,399.63
115.02,1.49,3.72,254.15,400.35
115.22,1.49,3.72,283.48,400.35
115.42,1.51,3.73,293.26,402.12
115.62,1.49,3.72,254.15,400.35
115.82,1.51,3.72,254.15,402.84
116.02,1.50,3.70,244.38,402.32
116.22,1.50,3.73,244.38,400.87
116.42,1.49,3.70,224.83,401.07
116.62,1.51,3.73,234.60,402.12
116.82,1.50,3.73,234.60,400.87
117.02,1.49,3.72,205.28,400.35
117.22,1.50,3.73,205.28,400.87
117.42,1.49,3.72,195.50,400.35
117.62,1.50,3.72,195.50,401.60
117.82,1.49,3.70,175.95,401.07
118.02,1.50,3.73,195.50,400.87
118.22,1.48,3.73,175.95,398.38
118.42,1.50,3.72,215.05,401.60
118.62,1.50,3.72,195.50,401.60
118.82,1.50,3.72,205.28,401.60
119.02,1.49,3.73,195.50,399.63
119.22,1.51,3.73,175.95,402.12
119.42,1.49,3.72,195.50,400.35
119.62,1.51,3.73,205.28,402.12
119.82,1.51,3.72,195.50,402.84
120.02,1.48,3.72,195.50,399.09
120.22,1.49,3.73,224.83,399.63
120.42,1.50,3.70,234.60,402.32
120.62,1.50,3.72,283.48,401.60
120.82,1.48,3.73,263.93,398.38
121.02,1.49,3.72,254.15,400.35
121.22,1.49,3.73,224.83,399.63
121.42,1.50,3.73,215.05,400.87
121.62,1.51,3.73,224.83,402.12
121.82,1.49,3.74,215.05,398.91
122.02,1.49,3.73,234.60,399.63
122.22,1.50,3.70,234.60,402.32
122.42,1.51,3.72,263.93,402.84
122.62,1.50,3.72,293.26,401.60
122.82,1.50,3.73,342.13,400.87
123.02,1.49,3.73,381.23,399.63
123.22,1.50,3.72,322.58,401.60
123.42,1.51,3.72,263.93,402.84
123.62,1.49,3.72,205.28,400.35
123.82,1.50,3.72,234.60,401.60
124.02,1.50,3.70,205.28,402.32
124.22,1.50,3.72,205.28,401.60
124.42,1.49,3.72,205.28,400.35
124.62,1.48,3.73,175.95,398.38
124.82,1.50,3.74,156.40,400.15
125.02,1.50,3.72,156.40,401.60
125.22,1.50,3.72,156.40,401.60
125.42,1.49,3.72,136.85,400.35
125.62,1.50,3.73,146.63,400.87
125.82,1.48,3.70,127.08,399.82
126.02,1.51,3.73,166.18,402.12
126.22,1.50,3.72,146.63,401.60
