# material: Nylon 66
# geometry: 7ch
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 155.0
# drawdown_ratio: 50.0
# trial_number: 059
# operator: Akila
# start_time: 2025-11-18 14:01:53
# notes: More material inside furnace; with the same speeds as 058.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.49,3.72,127.08,400.35
1.42,1.50,3.72,146.63,401.60
1.62,1.50,3.72,215.05,401.60
1.82,1.50,3.70,195.50,402.32
2.02,1.49,3.72,87.98,400.35
2.22,1.50,3.72,303.03,401.60
2.42,1.49,3.70,166.18,401.07
2.62,1.51,3.72,234.60,402.84
2.82,1.49,3.70,107.53,401.07
3.02,1.49,3.70,175.95,401.07
3.22,1.48,3.72,185.73,399.09
3.42,1.50,3.72,166.18,401.60
3.62,1.51,3.73,263.93,402.12
3.82,1.49,3.70,185.73,401.07
4.02,1.50,3.72,156.40,401.60
4.22,1.50,3.70,185.73,402.32
4.42,1.49,3.73,185.73,399.63
4.62,1.50,3.72,195.50,401.60
4.82,1.48,3.72,156.40,399.09
5.02,1.50,3.72,156.40,401.60
5.22,1.50,3.70,58.65,402.32
5.42,1.50,3.73,185.73,400.87
5.62,1.49,3.70,175.95,401.07
5.82,1.49,3.70,87.98,401.07
6.02,1.50,3.72,136.85,401.60
6.22,1.49,3.70,117.30,401.07
6.42,1.50,3.72,224.83,401.60
6.62,1.49,3.70,156.40,401.07
6.82,1.49,3.72,107.53,400.35
7.02,1.50,3.70,195.50,402.32
7.22,1.51,3.72,175.95,402.84
7.42,1.49,3.70,156.40,401.07
7.62,1.49,3.69,195.50,401.80
7.82,1.50,3.70,107.53,402.32
8.02,1.50,3.72,215.05,401.60
8.22,1.50,3.72,195.50,401.60
8.42,1.49,3.70,107.53,401.07
8.62,1.50,3.72,185.73,401.60
8.82,1.50,3.70,166.18,402.32
9.02,1.51,3.73,283.48,402.12
9.22,1.49,3.70,234.60,401.07
9.42,1.51,3.72,136.85,402.84
9.62,1.50,3.72,175.95,401.60
9.82,1.51,3.72,175.95,402.84
10.02,1.49,3.72,156.40,400.35
10.22,1.48,3.72,146.63,399.09
10.42,1.49,3.72,215.05,400.35
10.62,1.50,3.70,175.95,402.32
10.82,1.50,3.72,127.08,401.60
11.02,1.50,3.73,175.95,400.87
11.22,1.49,3.70,117.30,401.07
11.42,1.50,3.72,175.95,401.60
11.62,1.49,3.70,156.40,401.07
11.82,1.48,3.73,195.50,398.38
