# material: Nylon 66
# geometry: cyl
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 165.0
# drawdown_ratio: 50.0
# trial_number: 043
# operator: Akila
# start_time: 2025-11-06 12:47:52
# notes: Both ends sealed closed
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.99,5.01,127.08,399.00
1.42,2.00,5.01,127.08,399.93
1.62,2.00,5.01,136.85,399.93
1.82,1.99,5.02,107.53,398.46
2.02,2.00,5.01,136.85,399.93
2.22,1.99,4.99,107.53,399.53
2.42,2.00,5.01,136.85,399.93
2.62,1.99,5.01,127.08,399.00
2.82,2.00,5.01,107.53,399.93
3.02,1.99,4.99,107.53,399.53
3.22,2.00,5.01,127.08,399.93
3.42,1.98,5.02,97.75,397.53
3.62,1.99,5.01,107.53,399.00
3.82,2.00,4.99,127.08,400.46
4.02,2.00,5.01,0.00,399.93
4.22,1.99,5.02,97.75,398.46
4.42,2.00,5.01,127.08,399.93
4.62,2.00,5.01,127.08,399.93
4.82,2.00,5.01,136.85,399.93
5.02,1.98,4.99,0.00,398.60
5.22,1.99,5.01,117.30,399.00
5.42,2.01,5.01,117.30,400.86
5.62,1.99,5.01,117.30,399.00
5.82,2.00,4.99,127.08,400.46
6.02,1.99,5.01,97.75,399.00
6.22,2.00,5.01,127.08,399.93
6.42,2.00,4.99,146.63,400.46
6.62,2.00,5.01,136.85,399.93
6.82,1.99,5.01,136.85,399.00
7.02,2.00,5.01,156.40,399.93
7.22,2.00,4.99,127.08,400.46
7.42,1.99,5.01,146.63,399.00
7.62,1.99,5.01,117.30,399.00
7.82,2.00,5.01,127.08,399.93
8.02,2.00,4.99,117.30,400.46
8.22,2.00,5.01,127.08,399.93
8.42,2.00,5.01,117.30,399.93
8.62,1.99,5.01,127.08,399.00
8.82,2.01,4.99,117.30,401.39
9.02,1.99,5.01,156.40,399.00
9.22,2.00,5.02,146.63,399.39
9.42,1.99,5.02,156.40,398.46
9.62,2.00,4.99,146.63,400.46
9.82,2.01,5.01,156.40,400.86
10.02,2.00,5.01,136.85,399.93
10.22,2.00,5.01,127.08,399.93
10.42,2.00,5.01,136.85,399.93
10.62,2.00,5.01,107.53,399.93
10.82,2.00,5.02,127.08,399.39
11.02,1.99,5.01,127.08,399.00
11.22,2.00,5.01,185.73,399.93
11.42,1.99,5.02,146.63,398.46
11.62,2.00,5.01,215.05,399.93
11.82,1.99,4.99,166.18,399.53
12.02,2.01,5.01,175.95,400.86
12.22,2.01,4.99,175.95,401.39
12.42,2.01,5.01,175.95,400.86
12.62,1.99,4.99,136.85,399.53
12.82,1.99,5.02,175.95,398.46
13.02,2.00,5.01,175.95,399.93
13.22,1.99,5.01,156.40,399.00
13.42,2.00,5.01,185.73,399.93
13.62,1.99,5.01,263.93,399.00
13.82,2.00,4.99,205.28,400.46
14.02,2.00,5.01,224.83,399.93
14.22,2.00,4.99,175.95,400.46
14.42,2.00,5.01,185.73,399.93
