# material: Nylon 66
# geometry: cyl
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 044
# operator: Akila
# start_time: 2025-11-06 13:19:00
# notes: Both ends sealed close
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,4.99,430.11,402.32
1.42,2.01,4.99,498.53,401.39
1.62,2.00,4.99,449.66,400.46
1.82,2.00,4.98,459.43,401.00
2.02,2.01,4.99,498.53,401.39
2.22,2.01,4.98,518.08,401.94
2.42,2.01,4.99,566.96,401.39
2.62,2.01,4.99,557.18,401.39
2.82,2.00,4.99,498.53,400.46
3.02,2.02,4.99,391.01,402.32
3.22,2.02,4.99,537.63,402.32
3.42,2.02,4.99,537.63,402.32
3.62,2.02,4.99,488.76,402.32
3.82,2.01,4.99,410.56,401.39
4.02,2.01,4.98,625.61,401.94
4.22,2.01,4.99,576.74,401.39
4.42,2.01,4.99,586.51,401.39
4.62,2.02,4.99,508.31,402.32
4.82,2.01,4.99,586.51,401.39
5.02,2.02,4.99,615.84,402.32
5.22,2.02,5.01,615.84,401.78
5.42,2.01,4.99,694.04,401.39
5.62,2.01,4.99,664.71,401.39
5.82,2.00,4.99,752.69,400.46
6.02,2.02,4.99,772.24,402.32
6.22,2.00,4.99,791.79,400.46
6.42,2.01,4.99,782.01,401.39
6.62,2.02,4.98,742.91,402.86
6.82,2.01,4.99,723.36,401.39
7.02,2.01,4.99,772.24,401.39
7.22,2.00,4.99,782.01,400.46
7.42,2.02,4.99,869.99,402.32
7.62,2.00,4.99,928.64,400.46
7.82,2.01,4.99,1006.84,401.39
8.02,2.01,4.98,1192.57,401.94
8.22,2.01,5.01,1290.32,400.86
8.42,2.02,4.98,1485.83,402.86
8.62,2.01,4.99,1808.41,401.39
8.82,2.00,4.98,0.00,401.00
9.02,2.01,4.99,68.43,401.39
9.22,2.01,4.99,0.00,401.39
9.42,2.02,4.95,0.00,403.95
9.62,2.02,4.99,967.74,402.32
9.82,2.02,4.98,606.06,402.86
10.02,2.02,4.99,498.53,402.32
10.22,2.02,4.99,0.00,402.32
10.42,2.01,4.99,9.78,401.39
10.62,2.01,4.99,518.08,401.39
10.82,2.01,4.99,518.08,401.39
11.02,2.01,4.99,478.98,401.39
11.22,2.00,4.98,459.43,401.00
11.42,2.01,4.99,478.98,401.39
11.62,2.00,4.99,420.33,400.46
11.82,2.01,4.99,400.78,401.39
12.02,2.01,4.99,391.01,401.39
12.22,2.01,4.99,410.56,401.39
12.42,2.01,4.99,439.88,401.39
12.62,2.02,4.99,469.21,402.32
12.82,2.01,4.98,488.76,401.94
13.02,2.01,5.01,518.08,400.86
13.22,2.01,4.99,508.31,401.39
13.42,2.00,4.99,518.08,400.46
13.62,2.02,4.99,488.76,402.32
13.82,2.02,4.99,498.53,402.32
14.02,2.02,4.99,420.33,402.32
14.22,2.01,4.98,430.11,401.94
14.42,2.02,4.99,469.21,402.32
14.62,2.01,4.98,537.63,401.94
14.82,2.01,4.99,654.94,401.39
15.02,2.02,4.99,703.81,402.32
15.22,2.01,4.99,0.00,401.39
15.42,2.00,4.99,29.33,400.46
15.62,2.01,4.99,782.01,401.39
15.82,2.01,4.99,58.65,401.39
