# material: Nylon PA12,,,,
# geometry: Open End Cyl,,,,
# preform_diameter: 24.0,,,,
# material_color: Clear(White),,,,
# temperature_C: 118.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 017,,,,
# operator: Akila,,,,
# start_time: 2025-10-21 11:45:18,,,,
# notes: ,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,4.89,234.6,405.78
1.42,2,4.89,254.15,404.84
1.62,2.02,4.89,263.93,406.72
1.82,2.01,4.89,234.6,405.78
2.02,2.02,4.89,254.15,406.72
2.22,2,4.89,215.05,404.84
2.42,2.02,4.89,244.38,406.72
2.62,2,4.89,224.83,404.84
2.82,2.02,4.89,224.83,406.72
3.02,2.01,4.89,205.28,405.78
3.22,2.01,4.89,224.83,405.78
3.42,2,4.89,224.83,404.84
3.62,2.02,4.89,195.5,406.72
3.82,2.02,4.87,195.5,407.28
4.02,2.01,4.89,166.18,405.78
4.22,2,4.89,195.5,404.84
4.42,2.02,4.89,224.83,406.72
4.62,2.02,4.89,224.83,406.72
4.82,2.02,4.89,254.15,406.72
5.02,2.01,4.89,205.28,405.78
5.22,2.01,4.9,234.6,405.23
5.42,2.01,4.89,254.15,405.78
5.62,2.02,4.89,224.83,406.72
5.82,2.02,4.89,185.73,406.72
6.02,2.01,4.89,175.95,405.78
6.22,2.02,4.9,234.6,406.16
6.42,2.02,4.89,234.6,406.72
6.62,2.02,4.9,234.6,406.16
6.82,2.01,4.87,185.73,406.34
7.02,2.01,4.89,224.83,405.78
7.22,2.01,4.89,224.83,405.78
7.42,2.01,4.89,195.5,405.78
7.62,2.02,4.89,234.6,406.72
7.82,2.01,4.89,195.5,405.78
8.02,2.02,4.89,195.5,406.72
8.22,2,4.89,205.28,404.84
8.42,2.02,4.89,185.73,406.72
8.62,2.02,4.89,195.5,406.72
8.82,2.02,4.89,156.4,406.72
9.02,2.03,4.89,185.73,407.66
9.22,2.02,4.89,185.73,406.72
9.42,2.01,4.89,185.73,405.78
9.62,2.01,4.89,185.73,405.78
9.82,2.02,4.89,156.4,406.72
10.02,2.02,4.89,244.38,406.72
10.22,2.02,4.89,205.28,406.72
10.42,2.02,4.89,195.5,406.72
10.62,2.03,4.89,215.05,407.66
10.82,2.01,4.89,195.5,405.78
11.02,2.02,4.89,234.6,406.72
