# material: Nylon PA6 Rod
# geometry: cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 230.0
# drawdown_ratio: 50.0
# trial_number: 030
# operator: Akila
# start_time: 2025-10-28 10:52:55
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.40,371.46,387.02
1.42,2.01,5.40,869.99,386.13
1.62,2.03,5.40,733.14,387.91
1.82,2.02,5.41,478.98,386.54
2.02,2.01,5.40,459.43,386.13
2.22,2.01,5.41,439.88,385.65
2.42,2.02,5.40,361.68,387.02
2.62,2.02,5.41,371.46,386.54
2.82,2.01,5.41,400.78,385.65
3.02,2.02,5.41,478.98,386.54
3.22,2.02,5.42,518.08,386.06
3.42,2.01,5.42,518.08,385.17
3.62,2.02,5.41,615.84,386.54
3.82,2.01,5.42,478.98,385.17
4.02,2.01,5.41,400.78,385.65
4.22,2.02,5.42,371.46,386.06
4.42,2.00,5.38,332.36,385.71
4.62,2.02,5.44,361.68,385.58
4.82,2.01,5.42,332.36,385.17
5.02,2.02,5.44,332.36,385.58
5.22,2.02,5.42,332.36,386.06
5.42,2.02,5.42,322.58,386.06
5.62,2.02,5.44,303.03,385.58
5.82,2.02,5.44,312.81,385.58
6.02,2.01,5.41,303.03,385.65
6.22,2.00,5.42,293.26,384.28
6.42,2.00,5.42,283.48,384.28
6.62,2.02,5.44,293.26,385.58
6.82,2.01,5.42,283.48,385.17
7.02,2.02,5.42,293.26,386.06
7.22,2.02,5.46,293.26,384.63
7.42,2.01,5.45,273.70,384.22
7.62,2.02,5.46,263.93,384.63
7.82,2.02,5.45,244.38,385.11
8.02,2.02,5.46,283.48,384.63
8.22,2.02,5.45,273.70,385.11
8.42,2.01,5.45,254.15,384.22
8.62,2.02,5.46,283.48,384.63
8.82,2.01,5.46,254.15,383.75
9.02,2.02,5.46,254.15,384.63
9.22,2.02,5.45,244.38,385.11
9.42,2.01,5.45,234.60,384.22
9.62,2.02,5.45,303.03,385.11
9.82,2.02,5.45,547.41,385.11
10.02,2.00,5.42,948.19,384.28
10.22,2.01,5.44,508.31,384.69
10.42,2.01,5.41,381.23,385.65
10.62,2.02,5.41,391.01,386.54
10.82,2.02,5.40,342.13,387.02
11.02,2.02,5.41,342.13,386.54
11.22,2.02,5.41,361.68,386.54
11.42,2.01,5.41,332.36,385.65
11.62,2.02,5.44,322.58,385.58
11.82,2.02,5.42,303.03,386.06
12.02,2.01,5.40,293.26,386.13
12.22,2.01,5.41,322.58,385.65
12.42,2.02,5.40,293.26,387.02
12.62,2.01,5.41,293.26,385.65
12.82,2.01,5.41,273.70,385.65
13.02,2.02,5.40,283.48,387.02
13.22,2.02,5.40,254.15,387.02
13.42,2.00,5.40,293.26,385.23
13.62,2.02,5.41,381.23,386.54
13.82,2.02,5.41,293.26,386.54
14.02,2.02,5.40,273.70,387.02
14.22,2.01,5.42,312.81,385.17
14.42,2.03,5.41,342.13,387.43
14.62,2.03,5.41,391.01,387.43
14.82,2.02,5.42,283.48,386.06
15.02,2.02,5.42,303.03,386.06
15.22,2.01,5.41,283.48,385.65
15.42,2.02,5.40,293.26,387.02
15.62,2.02,5.41,332.36,386.54
15.82,2.01,5.42,293.26,385.17
16.02,2.02,5.44,263.93,385.58
16.22,2.01,5.41,254.15,385.65
16.42,2.01,5.41,293.26,385.65
16.62,2.01,5.41,312.81,385.65
16.82,2.01,5.41,527.86,385.65
17.02,2.02,5.41,400.78,386.54
17.22,2.01,5.41,293.26,385.65
17.42,2.02,5.41,303.03,386.54
17.62,2.02,5.42,293.26,386.06
17.82,2.00,5.42,283.48,384.28
18.02,2.01,5.44,283.48,384.69
18.22,2.01,5.29,273.70,390.03
18.42,2.01,5.27,322.58,390.52
18.62,2.01,5.29,312.81,390.03
18.82,2.00,5.29,263.93,389.12
19.02,2.02,5.27,273.70,391.43
19.22,2.00,5.26,273.70,390.11
19.42,2.01,5.27,273.70,390.52
19.62,2.02,5.27,224.83,391.43
19.82,1.99,5.29,263.93,388.22
20.02,2.01,5.29,254.15,390.03
