# material: Nylon PA6
# geometry: 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 100
# operator: Akila
# start_time: 2025-12-19 11:30:32
# notes: Feed and draw speed set to 1.75 mm per min and 4.37 m per min; both ends sealed close; less material; upto first mark.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.76,4.36,205.28,401.70
1.42,1.77,4.38,234.60,402.15
1.62,1.76,4.36,175.95,401.70
1.82,1.77,4.36,175.95,402.76
2.02,1.75,4.38,195.50,400.02
2.22,1.76,4.38,185.73,401.09
2.42,1.76,4.38,185.73,401.09
2.62,1.76,4.36,166.18,401.70
2.82,1.76,4.36,185.73,401.70
3.02,1.76,4.36,156.40,401.70
3.22,1.77,4.38,185.73,402.15
3.42,1.76,4.36,195.50,401.70
3.62,1.77,4.38,205.28,402.15
3.82,1.75,4.38,166.18,400.02
4.02,1.75,4.36,175.95,400.64
4.22,1.76,4.39,166.18,400.47
4.42,1.76,4.38,175.95,401.09
4.62,1.77,4.38,185.73,402.15
4.82,1.75,4.38,146.63,400.02
5.02,1.76,4.38,175.95,401.09
5.22,1.76,4.38,146.63,401.09
5.42,1.75,4.38,156.40,400.02
5.62,1.76,4.38,156.40,401.09
5.82,1.77,4.38,146.63,402.15
6.02,1.75,4.38,146.63,400.02
6.22,1.76,4.36,166.18,401.70
6.42,1.76,4.38,166.18,401.09
6.62,1.76,4.38,136.85,401.09
6.82,1.78,4.36,175.95,403.82
7.02,1.74,4.36,185.73,399.57
7.22,1.76,4.38,156.40,401.09
7.42,1.75,4.38,156.40,400.02
7.62,1.76,4.36,195.50,401.70
7.82,1.77,4.38,156.40,402.15
8.02,1.77,4.38,166.18,402.15
8.22,1.75,4.38,166.18,400.02
8.42,1.76,4.38,166.18,401.09
8.62,1.77,4.38,175.95,402.15
8.82,1.75,4.36,175.95,400.64
9.02,1.77,4.38,195.50,402.15
9.22,1.75,4.36,175.95,400.64
9.42,1.76,4.38,254.15,401.09
9.62,1.75,4.36,205.28,400.64
9.82,1.77,4.36,351.91,402.76
10.02,1.77,4.38,459.43,402.15
10.22,1.76,4.38,322.58,401.09
10.42,1.77,4.38,332.36,402.15
10.62,1.76,4.36,332.36,401.70
10.82,1.77,4.38,332.36,402.15
11.02,1.75,4.36,293.26,400.64
11.22,1.75,4.36,273.70,400.64
11.42,1.77,4.38,244.38,402.15
11.62,1.77,4.38,234.60,402.15
11.82,1.76,4.38,244.38,401.09
12.02,1.77,4.36,254.15,402.76
12.22,1.77,4.36,244.38,402.76
12.42,1.75,4.38,283.48,400.02
12.62,1.77,4.38,361.68,402.15
12.82,1.75,4.35,342.13,401.26
13.02,1.76,4.38,332.36,401.09
13.22,1.76,4.36,332.36,401.70
13.42,1.76,4.38,303.03,401.09
13.62,1.75,4.36,322.58,400.64
13.82,1.75,4.36,322.58,400.64
14.02,1.75,4.38,371.46,400.02
14.22,1.75,4.36,351.91,400.64
14.42,1.77,4.36,332.36,402.76
14.62,1.75,4.35,283.48,401.26
14.82,1.76,4.36,263.93,401.70
15.02,1.75,4.36,244.38,400.64
15.22,1.75,4.36,234.60,400.64
15.42,1.77,4.38,293.26,402.15
15.62,1.76,4.36,322.58,401.70
15.82,1.77,4.38,293.26,402.15
16.02,1.75,4.36,244.38,400.64
16.22,1.76,4.38,263.93,401.09
16.42,1.75,4.38,234.60,400.02
