# material: Nylon PA6
# geometry: 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 183.0
# drawdown_ratio: 50.0
# trial_number: 101
# operator: Akila
# start_time: 2025-12-19 13:58:10
# notes: Feed and draw speed set to 1.75 mm per min and 4.37 m per min; both ends sealed close; less material; upto the first mark.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.77,4.36,273.70,402.76
1.42,1.75,4.38,312.81,400.02
1.62,1.75,4.35,293.26,401.26
1.82,1.75,4.36,293.26,400.64
2.02,1.77,4.35,303.03,403.39
2.22,1.77,4.36,312.81,402.76
2.42,1.76,4.36,312.81,401.70
2.62,1.77,4.38,303.03,402.15
2.82,1.75,4.35,303.03,401.26
3.02,1.77,4.35,303.03,403.39
3.22,1.77,4.36,303.03,402.76
3.42,1.76,4.36,303.03,401.70
3.62,1.77,4.38,342.13,402.15
3.82,1.77,4.36,342.13,402.76
4.02,1.75,4.38,391.01,400.02
4.22,1.76,4.35,430.11,402.32
4.42,1.77,4.36,527.86,402.76
4.62,1.76,4.36,498.53,401.70
4.82,1.77,4.36,459.43,402.76
5.02,1.76,4.35,430.11,402.32
5.22,1.77,4.36,488.76,402.76
5.42,1.75,4.36,322.58,400.64
5.62,1.77,4.36,303.03,402.76
5.82,1.76,4.35,303.03,402.32
6.02,1.78,4.36,312.81,403.82
6.22,1.76,4.36,293.26,401.70
6.42,1.76,4.36,283.48,401.70
6.62,1.75,4.36,303.03,400.64
6.82,1.76,4.38,283.48,401.09
7.02,1.76,4.38,273.70,401.09
7.22,1.75,4.36,293.26,400.64
7.42,1.77,4.36,283.48,402.76
7.62,1.75,4.36,322.58,400.64
7.82,1.75,4.36,410.56,400.64
8.02,1.75,4.35,391.01,401.26
8.22,1.77,4.36,420.33,402.76
8.42,1.76,4.35,381.23,402.32
8.62,1.77,4.38,391.01,402.15
8.82,1.75,4.38,449.66,400.02
9.02,1.77,4.38,420.33,402.15
9.22,1.75,4.36,351.91,400.64
9.42,1.76,4.36,361.68,401.70
9.62,1.76,4.35,342.13,402.32
9.82,1.76,4.36,381.23,401.70
10.02,1.75,4.38,478.98,400.02
10.22,1.76,4.36,420.33,401.70
10.42,1.77,4.36,400.78,402.76
10.62,1.76,4.36,400.78,401.70
10.82,1.77,4.36,351.91,402.76
11.02,1.77,4.36,342.13,402.76
11.22,1.75,4.38,312.81,400.02
11.42,1.75,4.35,312.81,401.26
11.62,1.76,4.36,322.58,401.70
11.82,1.76,4.35,381.23,402.32
12.02,1.77,4.36,351.91,402.76
12.22,1.75,4.35,322.58,401.26
12.42,1.77,4.36,312.81,402.76
12.62,1.75,4.35,332.36,401.26
12.82,1.76,4.36,342.13,401.70
13.02,1.75,4.35,312.81,401.26
13.22,1.77,4.35,361.68,403.39
13.42,1.76,4.36,312.81,401.70
13.62,1.76,4.36,332.36,401.70
13.82,1.76,4.36,381.23,401.70
14.02,1.76,4.36,420.33,401.70
14.22,1.77,4.38,439.88,402.15
14.42,1.75,4.35,469.21,401.26
14.62,1.77,4.38,459.43,402.15
14.82,1.75,4.36,410.56,400.64
15.02,1.77,4.36,371.46,402.76
15.22,1.77,4.36,342.13,402.76
15.42,1.75,4.38,342.13,400.02
15.62,1.75,4.35,332.36,401.26
15.82,1.76,4.36,303.03,401.70
16.02,1.77,4.36,283.48,402.76
16.22,1.76,4.35,293.26,402.32
16.42,1.77,4.38,293.26,402.15
16.62,1.74,4.35,263.93,400.19
16.82,1.76,4.36,283.48,401.70
17.02,1.77,4.36,263.93,402.76
17.22,1.77,4.36,263.93,402.76
17.42,1.75,4.36,244.38,400.64
17.62,1.76,4.36,273.70,401.70
17.82,1.76,4.36,254.15,401.70
18.02,1.76,4.36,234.60,401.70
18.22,1.77,4.36,195.50,402.76
18.42,1.75,4.36,215.05,400.64
18.62,1.77,4.38,195.50,402.15
18.82,1.76,4.36,195.50,401.70
19.02,1.77,4.38,175.95,402.15
19.22,1.76,4.35,175.95,402.32
19.42,1.77,4.36,185.73,402.76
19.62,1.75,4.38,166.18,400.02
19.82,1.76,4.36,185.73,401.70
20.02,1.76,4.38,195.50,401.09
20.22,1.76,4.36,146.63,401.70
20.42,1.77,4.38,156.40,402.15
20.62,1.77,4.35,156.40,403.39
20.82,1.75,4.38,156.40,400.02
21.02,1.75,4.35,156.40,401.26
21.22,1.76,4.36,175.95,401.70
21.42,1.76,4.35,156.40,402.32
21.62,1.77,4.36,166.18,402.76
21.82,1.75,4.36,146.63,400.64
22.02,1.77,4.38,156.40,402.15
