# material: Nylon PA6
# geometry: 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 190.0
# drawdown_ratio: 50.0
# trial_number: 104
# operator: Akila
# start_time: 2025-12-22 11:44:49
# notes: Same settings as 103.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.49,3.76,410.56,398.20
1.42,1.49,3.74,400.78,398.91
1.62,1.50,3.74,381.23,400.15
1.82,1.49,3.74,342.13,398.91
2.02,1.50,3.76,361.68,399.44
2.22,1.49,3.74,332.36,398.91
2.42,1.50,3.76,332.36,399.44
2.62,1.50,3.74,283.48,400.15
2.82,1.50,3.76,312.81,399.44
3.02,1.50,3.73,312.81,400.87
3.22,1.50,3.76,303.03,399.44
3.42,1.48,3.73,254.15,398.38
3.62,1.48,3.74,342.13,397.66
3.82,1.50,3.73,293.26,400.87
4.02,1.48,3.74,283.48,397.66
4.22,1.49,3.74,273.70,398.91
4.42,1.49,3.76,283.48,398.20
4.62,1.50,3.74,273.70,400.15
4.82,1.50,3.73,293.26,400.87
5.02,1.49,3.74,283.48,398.91
5.22,1.49,3.76,273.70,398.20
5.42,1.49,3.74,303.03,398.91
5.62,1.50,3.74,273.70,400.15
5.82,1.49,3.74,303.03,398.91
6.02,1.48,3.74,303.03,397.66
6.22,1.49,3.74,332.36,398.91
6.42,1.49,3.74,322.58,398.91
6.62,1.50,3.74,273.70,400.15
6.82,1.48,3.74,263.93,397.66
7.02,1.50,3.76,283.48,399.44
7.22,1.50,3.76,263.93,399.44
7.42,1.49,3.76,312.81,398.20
7.62,1.49,3.74,312.81,398.91
7.82,1.49,3.76,342.13,398.20
8.02,1.49,3.76,332.36,398.20
8.22,1.50,3.74,391.01,400.15
8.42,1.50,3.74,342.13,400.15
8.62,1.48,3.73,351.91,398.38
8.82,1.49,3.74,332.36,398.91
9.02,1.48,3.76,342.13,396.95
9.22,1.49,3.74,391.01,398.91
9.42,1.49,3.76,371.46,398.20
9.62,1.50,3.74,410.56,400.15
9.82,1.48,3.73,371.46,398.38
10.02,1.51,3.74,381.23,401.39
10.22,1.49,3.74,410.56,398.91
10.42,1.49,3.76,351.91,398.20
10.62,1.50,3.76,351.91,399.44
10.82,1.48,3.76,312.81,396.95
11.02,1.50,3.77,361.68,398.73
11.22,1.48,3.74,322.58,397.66
11.42,1.50,3.74,351.91,400.15
11.62,1.49,3.74,371.46,398.91
11.82,1.50,3.76,322.58,399.44
12.02,1.49,3.74,351.91,398.91
12.22,1.48,3.74,293.26,397.66
12.42,1.50,3.76,342.13,399.44
12.62,1.50,3.74,322.58,400.15
12.82,1.51,3.76,361.68,400.68
13.02,1.49,3.76,361.68,398.20
13.22,1.51,3.76,351.91,400.68
13.42,1.50,3.74,322.58,400.15
13.62,1.49,3.74,361.68,398.91
13.82,1.49,3.74,371.46,398.91
14.02,1.49,3.74,400.78,398.91
14.22,1.49,3.76,449.66,398.20
14.42,1.49,3.74,410.56,398.91
14.62,1.50,3.74,420.33,400.15
14.82,1.50,3.74,430.11,400.15
15.02,1.49,3.76,400.78,398.20
15.22,1.50,3.76,430.11,399.44
15.42,1.50,3.76,371.46,399.44
15.62,1.50,3.76,381.23,399.44
15.82,1.48,3.76,391.01,396.95
16.02,1.49,3.76,410.56,398.20
16.22,1.50,3.73,410.56,400.87
