# material: Nylon PA6
# geometry: 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 180.0
# drawdown_ratio: 50.0
# trial_number: 105
# operator: Akila
# start_time: 2025-12-22 13:19:24
# notes: Same settings as 104
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.49,3.74,312.81,398.91
1.42,1.51,3.74,244.38,401.39
1.62,1.49,3.74,244.38,398.91
1.82,1.49,3.74,244.38,398.91
2.02,1.47,3.74,234.60,396.41
2.22,1.49,3.74,263.93,398.91
2.42,1.50,3.74,283.48,400.15
2.62,1.48,3.74,342.13,397.66
2.82,1.50,3.76,322.58,399.44
3.02,1.49,3.74,371.46,398.91
3.22,1.49,3.76,400.78,398.20
3.42,1.50,3.74,303.03,400.15
3.62,1.49,3.76,254.15,398.20
3.82,1.50,3.74,224.83,400.15
4.02,1.49,3.73,205.28,399.63
4.22,1.51,3.76,224.83,400.68
4.42,1.50,3.74,195.50,400.15
4.62,1.49,3.74,215.05,398.91
4.82,1.49,3.76,224.83,398.20
5.02,1.49,3.73,195.50,399.63
5.22,1.49,3.76,215.05,398.20
5.42,1.50,3.74,205.28,400.15
5.62,1.49,3.74,195.50,398.91
5.82,1.50,3.74,215.05,400.15
6.02,1.49,3.74,195.50,398.91
6.22,1.51,3.76,195.50,400.68
6.42,1.50,3.73,195.50,400.87
6.62,1.49,3.76,215.05,398.20
6.82,1.50,3.74,224.83,400.15
7.02,1.49,3.76,244.38,398.20
7.22,1.50,3.74,303.03,400.15
7.42,1.48,3.74,254.15,397.66
7.62,1.49,3.74,283.48,398.91
7.82,1.50,3.73,263.93,400.87
8.02,1.49,3.74,234.60,398.91
8.22,1.49,3.74,254.15,398.91
8.42,1.48,3.74,234.60,397.66
8.62,1.49,3.74,224.83,398.91
8.82,1.47,3.74,215.05,396.41
9.02,1.50,3.74,234.60,400.15
9.22,1.49,3.74,244.38,398.91
9.42,1.50,3.74,244.38,400.15
9.62,1.50,3.74,244.38,400.15
9.82,1.48,3.76,215.05,396.95
10.02,1.48,3.73,224.83,398.38
10.22,1.50,3.73,254.15,400.87
10.42,1.50,3.74,273.70,400.15
10.62,1.48,3.74,254.15,397.66
10.82,1.50,3.74,293.26,400.15
11.02,1.50,3.76,332.36,399.44
11.22,1.48,3.74,312.81,397.66
11.42,1.50,3.74,400.78,400.15
11.62,1.48,3.74,400.78,397.66
11.82,1.49,3.76,410.56,398.20
12.02,1.50,3.76,400.78,399.44
12.22,1.49,3.74,273.70,398.91
12.42,1.50,3.73,263.93,400.87
