# material: Nylon PA6
# geometry: 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 203
# operator: Akila
# start_time: 2026-01-30 13:24:58
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.95,4.94,288.37,396.98
1.42,1.96,4.94,293.26,397.93
1.62,1.96,4.94,298.14,398.87
1.82,1.96,4.94,303.03,397.93
2.02,1.96,4.95,293.26,398.33
2.22,1.95,4.93,312.81,397.52
2.42,1.96,4.93,322.58,399.41
2.62,1.95,4.94,322.58,396.98
2.82,1.94,4.95,322.58,395.49
3.02,1.96,4.94,322.58,397.93
3.22,1.96,4.97,322.58,396.85
3.42,1.95,4.95,317.69,396.44
3.62,1.94,4.94,303.03,396.03
3.82,1.96,4.95,312.81,397.39
4.02,1.96,4.95,303.03,398.33
4.22,1.96,4.93,303.03,399.41
4.42,1.95,4.94,273.70,396.98
4.62,1.96,4.94,298.14,398.87
4.82,1.95,4.97,293.26,395.90
5.02,1.96,4.94,298.14,397.93
5.22,1.95,4.94,298.14,396.98
5.42,1.96,4.95,307.92,398.33
5.62,1.95,4.95,307.92,396.44
5.82,1.95,4.94,307.92,396.98
6.02,1.96,4.97,317.69,396.85
6.22,1.96,4.94,317.69,397.93
6.42,1.96,4.94,312.81,397.93
6.62,1.96,4.94,293.26,397.93
6.82,1.96,4.94,307.92,397.93
7.02,1.96,4.95,303.03,397.39
7.22,1.96,4.98,288.37,396.31
7.42,1.95,4.94,293.26,396.98
7.62,1.96,4.97,298.14,396.85
7.82,1.95,4.93,273.70,397.52
8.02,1.96,4.94,283.48,397.93
8.22,1.95,4.95,283.48,396.44
8.42,1.96,4.95,283.48,398.33
8.62,1.96,4.94,278.59,397.93
8.82,1.94,4.94,273.70,396.03
9.02,1.96,4.95,278.59,397.39
9.22,1.96,4.95,283.48,397.39
9.42,1.94,4.94,278.59,396.03
9.62,1.95,4.95,288.37,396.44
9.82,1.96,4.95,283.48,398.33
10.02,1.95,4.95,268.82,396.44
10.22,1.96,4.94,273.70,397.93
10.42,1.94,4.94,278.59,396.03
10.62,1.96,4.94,278.59,397.93
10.82,1.96,4.94,283.48,397.93
11.02,1.95,4.94,273.70,396.98
11.22,1.96,4.94,273.70,398.87
11.42,1.96,4.93,273.70,399.41
11.62,1.95,4.94,263.93,396.98
11.82,1.96,4.95,273.70,397.39
12.02,1.96,4.94,273.70,397.93
12.22,1.96,4.95,268.82,397.39
12.42,1.94,4.94,273.70,396.03
12.62,1.96,4.94,273.70,398.87
12.82,1.96,4.94,268.82,397.93
13.02,1.95,4.94,273.70,396.98
13.22,1.96,4.95,263.93,397.39
13.42,1.95,4.93,278.59,397.52
13.62,1.96,4.95,278.59,398.33
13.82,1.96,4.95,278.59,398.33
14.02,1.94,4.94,268.82,396.03
14.22,1.96,4.94,283.48,397.93
14.42,1.95,4.94,278.59,396.98
14.62,1.96,4.95,263.93,397.39
14.82,1.95,4.97,259.04,395.90
15.02,1.96,4.95,298.14,397.39
15.22,1.96,4.95,293.26,397.39
15.42,1.96,4.94,288.37,397.93
15.62,1.95,4.94,283.48,396.98
15.82,1.96,4.94,283.48,397.93
16.02,1.96,4.94,278.59,398.87
16.22,1.94,4.94,278.59,396.03
16.42,1.95,4.94,283.48,396.98
16.62,1.96,4.94,278.59,398.87
16.82,1.96,4.95,293.26,398.33
17.02,1.96,4.95,273.70,397.39
17.22,1.96,4.94,273.70,398.87
17.42,1.96,4.94,288.37,397.93
17.62,1.95,4.95,288.37,396.44
17.82,1.94,4.94,263.93,396.03
18.02,1.96,4.95,273.70,397.39
18.22,1.96,4.94,278.59,398.87
18.42,1.94,4.94,273.70,396.03
18.62,1.96,4.93,259.04,398.47
18.82,1.96,4.95,259.04,398.33
19.02,1.96,4.95,259.04,398.33
19.22,1.94,4.95,254.15,395.49
19.42,1.96,4.94,254.15,398.87
19.62,1.96,4.94,249.27,397.93
19.82,1.96,4.95,268.82,397.39
20.02,1.96,4.94,239.49,397.93
20.22,1.95,4.94,234.60,396.98
20.42,1.96,4.94,254.15,398.87
20.62,1.96,4.94,239.49,398.87
20.82,1.94,4.94,224.83,396.03
21.02,1.95,4.94,239.49,396.98
21.22,1.96,4.95,244.38,398.33
21.42,1.95,4.95,229.72,396.44
21.62,1.94,4.94,259.04,396.03
21.82,1.96,4.93,259.04,398.47
22.02,1.95,4.95,239.49,396.44
22.22,1.96,4.95,239.49,397.39
22.42,1.94,4.94,249.27,396.03
22.62,1.96,4.95,259.04,398.33
22.82,1.96,4.95,254.15,398.33
23.02,1.96,4.95,268.82,397.39
23.22,1.94,4.94,259.04,396.03
23.42,1.96,4.94,259.04,397.93
23.62,1.96,4.95,259.04,397.39
23.82,1.94,4.97,254.15,394.95
24.02,1.96,4.94,268.82,397.93
24.22,1.96,4.94,273.70,397.93
24.42,1.96,4.95,263.93,397.39
24.62,1.95,4.94,249.27,396.98
24.82,1.96,4.94,263.93,398.87
25.02,1.95,4.94,263.93,396.98
25.22,1.96,4.95,244.38,397.39
25.42,1.96,4.91,234.60,399.01
25.62,1.96,4.95,234.60,397.39
25.82,1.96,4.95,239.49,398.33
