# material: Nylon PA6
# geometry: 7ch cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 203.0
# drawdown_ratio: 50.0
# trial_number: 046
# operator: Akila
# start_time: 2025-11-07 10:37:30
# notes: One end sealed close
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.03,430.11,399.79
1.42,2.01,5.05,420.33,399.25
1.62,2.02,5.06,391.01,399.65
1.82,2.00,5.03,400.78,398.86
2.02,2.02,5.03,391.01,400.71
2.22,2.00,5.02,400.78,399.39
2.42,2.00,5.03,410.56,398.86
2.62,2.02,5.03,371.46,400.71
2.82,2.02,5.03,381.23,400.71
3.02,2.01,5.05,391.01,399.25
3.22,2.01,5.02,391.01,400.32
3.42,2.02,5.05,400.78,400.18
3.62,2.02,5.05,391.01,400.18
3.82,2.00,5.03,371.46,398.86
4.02,2.01,5.05,371.46,399.25
4.22,2.02,5.05,332.36,400.18
4.42,2.01,5.03,351.91,399.79
4.62,2.02,5.05,332.36,400.18
4.82,2.00,5.03,332.36,398.86
5.02,2.01,5.05,303.03,399.25
5.22,2.00,5.05,322.58,398.33
5.42,2.02,5.05,332.36,400.18
5.62,2.02,5.05,332.36,400.18
5.82,2.00,5.05,312.81,398.33
6.02,2.01,5.05,332.36,399.25
6.22,2.02,5.03,342.13,400.71
6.42,2.00,5.05,312.81,398.33
6.62,2.00,5.05,332.36,398.33
6.82,2.00,5.05,332.36,398.33
7.02,2.01,5.05,312.81,399.25
7.22,2.01,5.05,322.58,399.25
7.42,2.02,5.06,342.13,399.65
7.62,2.02,5.05,351.91,400.18
7.82,2.01,5.05,342.13,399.25
8.02,2.02,5.05,342.13,400.18
8.22,2.01,5.05,322.58,399.25
8.42,2.01,5.05,332.36,399.25
8.62,2.02,5.05,332.36,400.18
8.82,2.02,5.05,322.58,400.18
9.02,2.02,5.05,303.03,400.18
9.22,2.00,5.03,312.81,398.86
9.42,2.01,5.05,312.81,399.25
9.62,2.01,5.06,332.36,398.72
9.82,2.00,5.06,312.81,397.80
10.02,2.02,5.05,312.81,400.18
10.22,2.02,5.05,312.81,400.18
10.42,2.01,5.05,283.48,399.25
10.62,2.00,5.05,293.26,398.33
10.82,2.01,5.05,293.26,399.25
11.02,2.01,5.06,293.26,398.72
11.22,2.02,5.05,293.26,400.18
11.42,2.01,5.05,293.26,399.25
11.62,2.01,5.06,283.48,398.72
11.82,2.01,5.05,263.93,399.25
12.02,2.00,5.05,283.48,398.33
12.22,2.01,5.06,293.26,398.72
12.42,2.00,5.06,263.93,397.80
12.62,2.00,5.06,293.26,397.80
12.82,2.01,5.06,303.03,398.72
13.02,2.02,5.07,312.81,399.12
13.22,2.00,5.05,312.81,398.33
13.42,2.01,5.06,312.81,398.72
13.62,2.02,5.09,332.36,398.59
