# material: Nylon PA6
# geometry: cyl 1ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 187.0
# drawdown_ratio: 50.0
# trial_number: 070
# operator: Akila
# start_time: 2025-11-26 14:52:01
# notes: Draw and Feed speed set to 3.75 m per min and 1.5 mm per min; respectively; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.74,391.01,401.39
1.42,1.50,3.73,478.98,400.87
1.62,1.51,3.74,694.04,401.39
1.82,1.52,3.76,801.56,401.91
2.02,1.52,3.74,860.21,402.63
2.22,1.51,3.73,821.11,402.12
2.42,1.51,3.76,733.14,400.68
2.62,1.49,3.74,664.71,398.91
2.82,1.52,3.74,508.31,402.63
3.02,1.50,3.74,430.11,400.15
3.22,1.52,3.74,645.16,402.63
3.42,1.51,3.74,879.77,401.39
3.62,1.52,3.74,0.00,402.63
3.82,1.50,3.73,0.00,400.87
4.02,1.52,3.74,0.00,402.63
4.22,1.51,3.74,899.32,401.39
4.42,1.52,3.76,2952.10,401.91
4.62,1.51,3.73,4232.65,402.12
4.82,1.52,3.76,2521.99,401.91
5.02,1.50,3.74,547.41,400.15
5.22,1.51,3.74,273.70,401.39
5.42,1.52,3.76,9.78,401.91
5.62,1.50,3.76,0.00,399.44
5.82,1.51,3.74,351.91,401.39
6.02,1.51,3.76,332.36,400.68
6.22,1.52,3.76,0.00,401.91
6.42,1.50,3.73,391.01,400.87
6.62,1.52,3.74,420.33,402.63
6.82,1.50,3.73,0.00,400.87
7.02,1.52,3.76,469.21,401.91
7.22,1.50,3.76,469.21,399.44
7.42,1.50,3.76,459.43,399.44
7.62,1.51,3.76,459.43,400.68
7.82,1.51,3.76,478.98,400.68
8.02,1.52,3.74,557.18,402.63
8.22,1.51,3.76,664.71,400.68
8.42,1.51,3.74,733.14,401.39
8.62,1.51,3.74,801.56,401.39
8.82,1.51,3.74,1075.27,401.39
9.02,1.50,3.74,1290.32,400.15
9.22,1.52,3.76,0.00,401.91
9.42,1.51,3.74,0.00,401.39
9.62,1.52,3.76,0.00,401.91
9.82,1.51,3.73,0.00,402.12
10.02,1.51,3.74,0.00,401.39
10.22,1.51,3.76,1329.42,400.68
10.42,1.52,3.76,1163.25,401.91
10.62,1.52,3.74,0.00,402.63
10.82,1.52,3.76,0.00,401.91
11.02,1.52,3.74,0.00,402.63
11.22,1.50,3.74,0.00,400.15
11.42,1.52,3.74,0.00,402.63
11.62,1.51,3.74,0.00,401.39
11.82,1.52,3.74,478.98,402.63
12.02,1.49,3.73,0.00,399.63
12.22,1.50,3.76,381.23,399.44
12.42,1.50,3.74,371.46,400.15
12.62,1.51,3.74,0.00,401.39
12.82,1.51,3.74,0.00,401.39
13.02,1.50,3.73,0.00,400.87
13.22,1.52,3.74,0.00,402.63
13.42,1.50,3.73,0.00,400.87
13.62,1.52,3.77,0.00,401.20
13.82,1.50,3.74,244.38,400.15
14.02,1.52,3.74,0.00,402.63
14.22,1.51,3.73,0.00,402.12
14.42,1.51,3.74,19.55,401.39
14.62,1.51,3.74,244.38,401.39
14.82,1.51,3.73,273.70,402.12
15.02,1.52,3.74,0.00,402.63
15.22,1.50,3.73,0.00,400.87
15.42,1.51,3.74,0.00,401.39
15.62,1.51,3.73,0.00,402.12
15.82,1.51,3.74,0.00,401.39
16.02,1.52,3.73,0.00,403.36
16.22,1.53,3.74,0.00,403.86
16.42,1.50,3.73,0.00,400.87
16.62,1.51,3.76,0.00,400.68
16.82,1.51,3.74,0.00,401.39
17.02,1.51,3.73,0.00,402.12
17.22,1.51,3.74,136.85,401.39
17.42,1.50,3.73,136.85,400.87
17.62,1.50,3.77,0.00,398.73
17.82,1.51,3.73,0.00,402.12
18.02,1.51,3.74,0.00,401.39
18.22,1.52,3.74,0.00,402.63
18.42,1.52,3.74,205.28,402.63
18.62,1.51,3.73,175.95,402.12
18.82,1.51,3.74,0.00,401.39
19.02,1.51,3.74,0.00,401.39
19.22,1.51,3.73,0.00,402.12
19.42,1.51,3.74,0.00,401.39
19.62,1.50,3.73,0.00,400.87
