# material: Nylon PA6,,,,
# geometry: cyl 3ch,,,,
# preform_diameter: 20.0,,,,
# material_color: White,,,,
# temperature_C: 190.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 071,,,,
# operator: Akila,,,,
# start_time: 2025-12-01 13:19:09,,,,
# notes: Feed and Draw speeds set to 1.5 mm per min and 3.75 m per min. Both ends sealed close.,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.76,518.08,400.68
1.42,1.5,3.76,518.08,399.44
1.62,1.51,3.76,527.86,400.68
1.82,1.5,3.74,518.08,400.15
2.02,1.52,3.74,537.63,402.63
2.22,1.5,3.76,537.63,399.44
2.42,1.51,3.77,537.63,399.96
2.62,1.51,3.76,518.08,400.68
2.82,1.51,3.76,518.08,400.68
3.02,1.51,3.76,518.08,400.68
3.22,1.51,3.76,508.31,400.68
3.42,1.5,3.73,469.21,400.87
3.62,1.52,3.76,508.31,401.91
3.82,1.52,3.74,498.53,402.63
4.02,1.49,3.73,449.66,399.63
4.22,1.52,3.76,469.21,401.91
4.42,1.52,3.76,478.98,401.91
4.62,1.49,3.76,469.21,398.2
4.82,1.52,3.76,508.31,401.91
5.02,1.51,3.76,508.31,400.68
5.22,1.51,3.77,527.86,399.96
5.42,1.51,3.73,518.08,402.12
5.62,1.52,3.76,547.41,401.91
5.82,1.5,3.74,566.96,400.15
6.02,1.51,3.73,537.63,402.12
6.22,1.51,3.74,547.41,401.39
6.42,1.5,3.74,508.31,400.15
6.62,1.52,3.73,518.08,403.36
6.82,1.51,3.76,508.31,400.68
7.02,1.52,3.76,488.76,401.91
7.22,1.51,3.73,508.31,402.12
7.42,1.5,3.74,527.86,400.15
7.62,1.5,3.76,537.63,399.44
7.82,1.5,3.74,547.41,400.15
8.02,1.5,3.73,508.31,400.87
8.22,1.52,3.74,537.63,402.63
8.42,1.52,3.74,537.63,402.63
8.62,1.51,3.76,537.63,400.68
