# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 190.0
# drawdown_ratio: 50.0
# trial_number: 072
# operator: Akila
# start_time: 2025-12-02 10:24:31
# notes: Default draw and feed speeds; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,5.01,322.58,399.93
1.42,2.00,5.01,332.36,399.93
1.62,2.01,5.01,342.13,400.86
1.82,2.01,5.01,351.91,400.86
2.02,2.00,5.01,303.03,399.93
2.22,2.00,5.01,322.58,399.93
2.42,2.01,5.01,351.91,400.86
2.62,2.00,5.01,371.46,399.93
2.82,2.01,5.01,361.68,400.86
3.02,2.01,4.99,410.56,401.39
3.22,2.01,5.01,430.11,400.86
3.42,2.00,5.01,410.56,399.93
3.62,2.00,5.01,430.11,399.93
3.82,2.00,5.01,439.88,399.93
4.02,2.01,4.99,420.33,401.39
4.22,2.01,5.01,420.33,400.86
4.42,1.99,5.01,391.01,399.00
4.62,2.02,4.99,410.56,402.32
4.82,2.01,5.01,420.33,400.86
5.02,2.01,5.01,400.78,400.86
5.22,2.01,5.01,410.56,400.86
5.42,2.01,5.01,410.56,400.86
5.62,2.01,5.01,400.78,400.86
5.82,2.00,4.99,391.01,400.46
6.02,2.02,4.99,371.46,402.32
6.22,1.99,5.01,400.78,399.00
6.42,2.02,5.01,420.33,401.78
6.62,2.01,5.01,400.78,400.86
6.82,2.01,4.99,410.56,401.39
7.02,2.01,5.01,410.56,400.86
7.22,2.00,5.02,410.56,399.39
7.42,2.01,5.01,400.78,400.86
7.62,1.99,5.01,381.23,399.00
7.82,2.01,5.01,410.56,400.86
8.02,2.02,5.01,391.01,401.78
8.22,1.99,5.01,391.01,399.00
8.42,2.01,4.99,420.33,401.39
8.62,2.01,5.01,410.56,400.86
8.82,2.01,5.01,410.56,400.86
9.02,2.00,4.99,400.78,400.46
9.22,2.01,5.01,400.78,400.86
9.42,2.02,5.01,391.01,401.78
9.62,2.02,5.01,391.01,401.78
9.82,1.99,5.01,381.23,399.00
10.02,2.01,5.01,391.01,400.86
10.22,2.00,5.01,391.01,399.93
10.42,2.01,5.01,391.01,400.86
10.62,2.00,5.01,381.23,399.93
10.82,2.02,4.99,381.23,402.32
11.02,2.02,5.01,381.23,401.78
11.22,2.01,5.01,371.46,400.86
11.42,2.01,5.01,332.36,400.86
11.62,2.02,5.01,371.46,401.78
11.82,2.00,5.01,351.91,399.93
12.02,2.01,4.99,351.91,401.39
12.22,2.00,5.01,361.68,399.93
12.42,2.02,5.01,351.91,401.78
12.62,2.01,5.02,351.91,400.32
12.82,2.01,5.01,371.46,400.86
13.02,2.02,5.01,420.33,401.78
13.22,2.00,5.01,449.66,399.93
13.42,2.01,5.01,420.33,400.86
13.62,2.01,5.01,420.33,400.86
13.82,2.02,5.01,391.01,401.78
14.02,2.00,5.01,371.46,399.93
14.22,2.01,4.99,400.78,401.39
14.42,2.01,5.01,381.23,400.86
14.62,2.02,5.01,381.23,401.78
14.82,2.01,5.01,371.46,400.86
15.02,2.00,5.01,400.78,399.93
15.22,2.01,5.01,371.46,400.86
15.42,2.01,5.01,391.01,400.86
15.62,2.01,5.01,351.91,400.86
15.82,2.01,5.01,361.68,400.86
16.02,2.01,5.01,381.23,400.86
16.22,1.99,4.99,361.68,399.53
16.42,1.99,4.99,332.36,399.53
16.62,2.02,5.01,342.13,401.78
16.82,2.00,5.01,332.36,399.93
17.02,2.02,5.01,312.81,401.78
17.22,2.00,5.01,322.58,399.93
17.42,1.99,4.99,332.36,399.53
17.62,1.99,5.01,322.58,399.00
17.82,2.01,4.99,332.36,401.39
18.02,2.01,5.01,322.58,400.86
18.22,2.01,5.01,332.36,400.86
18.42,2.01,4.99,283.48,401.39
18.62,2.01,5.01,303.03,400.86
18.82,2.00,5.01,283.48,399.93
19.02,2.00,4.99,303.03,400.46
19.22,2.01,5.01,312.81,400.86
19.42,2.01,5.01,332.36,400.86
19.62,2.02,5.01,312.81,401.78
19.82,2.00,4.99,303.03,400.46
20.02,2.02,5.01,312.81,401.78
20.22,2.00,5.01,332.36,399.93
20.42,2.00,5.01,342.13,399.93
20.62,2.01,4.99,351.91,401.39
20.82,2.02,5.01,351.91,401.78
21.02,2.01,4.99,351.91,401.39
21.22,2.01,4.99,381.23,401.39
21.42,2.01,5.01,371.46,400.86
21.62,2.02,5.01,371.46,401.78
21.82,2.00,4.99,361.68,400.46
22.02,2.02,5.01,381.23,401.78
22.22,2.00,5.01,351.91,399.93
22.42,1.99,5.01,361.68,399.00
22.62,2.00,5.01,371.46,399.93
22.82,2.01,4.99,381.23,401.39
23.02,2.02,5.02,381.23,401.25
23.22,2.00,4.99,351.91,400.46
23.42,1.99,4.99,342.13,399.53
23.62,2.01,5.01,381.23,400.86
23.82,1.99,5.01,391.01,399.00
24.02,2.00,5.01,381.23,399.93
24.22,2.00,5.01,391.01,399.93
24.42,2.00,5.01,430.11,399.93
24.62,2.01,4.99,391.01,401.39
24.82,1.99,5.01,469.21,399.00
25.02,2.01,5.02,498.53,400.32
25.22,2.01,5.01,518.08,400.86
25.42,2.00,5.01,488.76,399.93
25.62,2.01,4.99,547.41,401.39
25.82,2.00,5.01,596.29,399.93
26.02,2.01,4.99,576.74,401.39
26.22,2.01,4.99,596.29,401.39
26.42,2.00,4.99,606.06,400.46
26.62,2.01,5.01,566.96,400.86
26.82,2.02,4.99,537.63,402.32
27.02,2.01,5.01,547.41,400.86
27.22,2.00,5.01,537.63,399.93
27.42,1.99,5.01,527.86,399.00
27.62,1.99,4.99,527.86,399.53
27.82,2.01,5.01,537.63,400.86
28.02,2.01,4.99,557.18,401.39
28.22,1.99,4.99,518.08,399.53
28.42,2.02,5.01,527.86,401.78
28.62,2.02,5.01,527.86,401.78
28.82,2.00,4.99,508.31,400.46
29.02,2.00,5.01,537.63,399.93
29.22,2.01,5.01,566.96,400.86
29.42,2.00,5.01,547.41,399.93
29.62,2.01,5.01,566.96,400.86
29.82,2.01,5.01,566.96,400.86
