# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 202.0
# drawdown_ratio: 50.0
# trial_number: 077
# operator: Akila
# start_time: 2025-12-04 10:05:39
# notes: Default feed and draw speeds; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,4.90,391.01,405.23
1.42,2.01,4.90,391.01,405.23
1.62,2.02,4.90,391.01,406.16
1.82,2.01,4.90,342.13,405.23
2.02,2.01,4.90,342.13,405.23
2.22,2.01,4.89,351.91,405.78
2.42,2.00,4.90,332.36,404.29
2.62,2.02,4.90,342.13,406.16
2.82,2.01,4.90,312.81,405.23
3.02,2.01,4.90,312.81,405.23
3.22,2.02,4.90,332.36,406.16
3.42,2.01,4.90,322.58,405.23
3.62,2.00,4.90,322.58,404.29
3.82,2.01,4.89,312.81,405.78
4.02,2.02,4.91,322.58,405.61
4.22,2.02,4.90,322.58,406.16
4.42,2.01,4.89,312.81,405.78
4.62,2.02,4.91,351.91,405.61
4.82,2.00,4.90,351.91,404.29
5.02,2.01,4.90,361.68,405.23
5.22,2.02,4.91,391.01,405.61
5.42,2.00,4.90,391.01,404.29
5.62,2.01,4.89,420.33,405.78
5.82,2.02,4.91,439.88,405.61
6.02,2.00,4.90,469.21,404.29
6.22,2.01,4.90,469.21,405.23
6.42,2.02,4.90,498.53,406.16
6.62,2.01,4.90,478.98,405.23
6.82,2.02,4.89,459.43,406.72
7.02,2.02,4.90,459.43,406.16
7.22,2.01,4.91,478.98,404.67
7.42,2.00,4.91,430.11,403.73
7.62,2.01,4.90,459.43,405.23
7.82,2.02,4.90,430.11,406.16
8.02,2.01,4.90,410.56,405.23
8.22,2.01,4.90,410.56,405.23
8.42,2.00,4.89,381.23,404.84
8.62,2.02,4.89,420.33,406.72
8.82,2.02,4.90,381.23,406.16
9.02,2.01,4.90,391.01,405.23
9.22,2.02,4.89,420.33,406.72
9.42,2.00,4.90,430.11,404.29
9.62,2.00,4.90,430.11,404.29
9.82,2.00,4.89,420.33,404.84
10.02,2.01,4.90,420.33,405.23
10.22,2.02,4.91,391.01,405.61
10.42,2.00,4.89,420.33,404.84
10.62,2.01,4.90,420.33,405.23
10.82,2.02,4.90,410.56,406.16
11.02,2.00,4.90,430.11,404.29
11.22,2.01,4.90,459.43,405.23
11.42,2.00,4.91,430.11,403.73
11.62,2.00,4.89,430.11,404.84
11.82,2.02,4.90,488.76,406.16
12.02,2.01,4.90,518.08,405.23
12.22,2.00,4.95,508.31,402.09
12.42,2.02,4.91,547.41,405.61
12.62,2.02,4.95,557.18,403.95
12.82,2.00,4.95,537.63,402.09
13.02,2.01,4.94,566.96,403.57
13.22,2.02,4.95,537.63,403.95
13.42,2.01,4.97,527.86,402.48
13.62,2.02,4.95,557.18,403.95
13.82,2.01,4.98,566.96,401.94
14.02,2.02,4.97,557.18,403.41
14.22,2.00,4.95,586.51,402.09
14.42,2.02,4.97,596.29,403.41
14.62,2.02,4.97,645.16,403.41
14.82,2.00,4.95,654.94,402.09
15.02,2.01,4.95,635.39,403.02
