# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 203.0
# drawdown_ratio: 50.0
# trial_number: 081
# operator: Akila
# start_time: 2025-12-05 10:51:31
# notes: Feed and draw speed set to 1.5 mm per min and 3.75 m per min; Both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.52,3.73,469.21,403.36
1.42,1.50,3.74,459.43,400.15
1.62,1.51,3.74,439.88,401.39
1.82,1.53,3.76,439.88,403.14
2.02,1.52,3.74,420.33,402.63
2.22,1.51,3.76,430.11,400.68
2.42,1.50,3.74,420.33,400.15
2.62,1.52,3.74,449.66,402.63
2.82,1.53,3.76,430.11,403.14
3.02,1.50,3.76,439.88,399.44
3.22,1.51,3.74,459.43,401.39
3.42,1.52,3.74,430.11,402.63
3.62,1.51,3.74,469.21,401.39
3.82,1.52,3.74,488.76,402.63
4.02,1.50,3.73,508.31,400.87
4.22,1.51,3.74,498.53,401.39
4.42,1.50,3.74,488.76,400.15
4.62,1.52,3.74,469.21,402.63
4.82,1.53,3.76,439.88,403.14
5.02,1.50,3.74,459.43,400.15
5.22,1.51,3.76,449.66,400.68
5.42,1.51,3.76,430.11,400.68
5.62,1.50,3.73,449.66,400.87
5.82,1.51,3.76,439.88,400.68
6.02,1.52,3.74,400.78,402.63
6.22,1.52,3.74,391.01,402.63
6.42,1.51,3.76,381.23,400.68
6.62,1.52,3.76,381.23,401.91
6.82,1.51,3.74,430.11,401.39
7.02,1.51,3.74,420.33,401.39
7.22,1.51,3.74,420.33,401.39
7.42,1.52,3.76,430.11,401.91
7.62,1.50,3.74,439.88,400.15
7.82,1.52,3.76,410.56,401.91
8.02,1.51,3.74,400.78,401.39
8.22,1.53,3.74,400.78,403.86
8.42,1.52,3.76,400.78,401.91
8.62,1.52,3.74,400.78,402.63
8.82,1.51,3.73,430.11,402.12
9.02,1.51,3.74,439.88,401.39
9.22,1.50,3.74,459.43,400.15
9.42,1.51,3.74,488.76,401.39
9.62,1.50,3.76,469.21,399.44
9.82,1.51,3.74,508.31,401.39
10.02,1.51,3.76,478.98,400.68
10.22,1.51,3.73,488.76,402.12
10.42,1.51,3.76,478.98,400.68
10.62,1.51,3.76,478.98,400.68
10.82,1.52,3.74,459.43,402.63
