# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 086
# operator: Akila
# start_time: 2025-12-11 10:05:25
# notes: Feed and draw speed increased from the default to 2.5 mm per min and 6.25 m per min; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.51,6.25,234.60,400.96
1.42,2.52,6.25,234.60,401.71
1.62,2.52,6.25,234.60,401.71
1.82,2.51,6.25,263.93,400.96
2.02,2.52,6.25,263.93,401.71
2.22,2.51,6.25,215.05,400.96
2.42,2.50,6.25,215.05,399.48
2.62,2.51,6.25,234.60,400.96
2.82,2.50,6.25,205.28,400.22
3.02,2.50,6.25,205.28,400.22
3.22,2.52,6.25,234.60,401.71
3.42,2.50,6.24,215.05,400.65
3.62,2.50,6.25,224.83,400.22
3.82,2.52,6.25,234.60,401.71
4.02,2.51,6.25,244.38,400.96
4.22,2.50,6.25,205.28,400.22
4.42,2.51,6.25,215.05,400.96
4.62,2.50,6.25,185.73,400.22
4.82,2.51,6.25,224.83,400.96
5.02,2.52,6.25,185.73,401.71
5.22,2.51,6.24,195.50,401.39
5.42,2.51,6.24,185.73,401.39
5.62,2.52,6.25,185.73,401.71
5.82,2.50,6.25,127.08,400.22
6.02,2.51,6.25,205.28,400.96
6.22,2.52,6.25,195.50,401.71
6.42,2.51,6.25,185.73,400.96
6.62,2.52,6.25,185.73,401.71
6.82,2.52,6.25,166.18,401.71
7.02,2.51,6.24,185.73,401.39
7.22,2.52,6.27,166.18,401.28
7.42,2.50,6.24,185.73,400.65
7.62,2.51,6.24,205.28,401.39
7.82,2.52,6.25,195.50,401.71
8.02,2.50,6.25,185.73,400.22
8.22,2.51,6.25,175.95,400.96
8.42,2.52,6.25,195.50,401.71
8.62,2.50,6.25,185.73,400.22
8.82,2.52,6.25,195.50,401.71
9.02,2.51,6.25,263.93,400.96
9.22,2.51,6.24,224.83,401.39
9.42,2.52,6.25,244.38,401.71
9.62,2.52,6.25,224.83,401.71
9.82,2.50,6.24,224.83,400.65
10.02,2.52,6.24,254.15,402.14
10.22,2.52,6.24,254.15,402.14
10.42,2.51,6.24,215.05,401.39
10.62,2.52,6.25,224.83,401.71
10.82,2.52,6.25,185.73,401.71
11.02,2.51,6.25,234.60,400.96
11.22,2.52,6.25,234.60,401.71
11.42,2.50,6.25,195.50,400.22
11.62,2.51,6.25,205.28,400.96
11.82,2.52,6.25,254.15,401.71
12.02,2.50,6.25,205.28,400.22
12.22,2.51,6.25,254.15,400.96
12.42,2.52,6.25,224.83,401.71
12.62,2.52,6.25,263.93,401.71
12.82,2.51,6.25,244.38,400.96
13.02,2.52,6.25,263.93,401.71
13.22,2.52,6.25,283.48,401.71
13.42,2.50,6.25,283.48,400.22
13.62,2.50,6.25,263.93,400.22
13.82,2.50,6.25,234.60,400.22
14.02,2.51,6.25,263.93,400.96
14.22,2.52,6.25,293.26,401.71
14.42,2.50,6.24,273.70,400.65
14.62,2.51,6.25,234.60,400.96
14.82,2.52,6.25,273.70,401.71
15.02,2.51,6.24,263.93,401.39
15.22,2.51,6.24,273.70,401.39
15.42,2.51,6.25,263.93,400.96
15.62,2.51,6.25,273.70,400.96
15.82,2.51,6.25,215.05,400.96
16.02,2.51,6.25,244.38,400.96
16.22,2.50,6.25,254.15,400.22
16.42,2.51,6.25,263.93,400.96
16.62,2.51,6.25,244.38,400.96
16.82,2.51,6.24,234.60,401.39
17.02,2.51,6.24,234.60,401.39
17.22,2.52,6.25,234.60,401.71
17.42,2.51,6.25,215.05,400.96
17.62,2.52,6.25,283.48,401.71
17.82,2.51,6.25,254.15,400.96
18.02,2.50,6.25,332.36,400.22
18.22,2.51,6.25,322.58,400.96
18.42,2.51,6.25,244.38,400.96
18.62,2.50,6.24,215.05,400.65
18.82,2.51,6.25,293.26,400.96
19.02,2.52,6.25,322.58,401.71
19.22,2.52,6.25,303.03,401.71
19.42,2.51,6.25,342.13,400.96
19.62,2.52,6.25,283.48,401.71
19.82,2.52,6.25,273.70,401.71
20.02,2.52,6.25,224.83,401.71
20.22,2.52,6.25,185.73,401.71
20.42,2.50,6.25,175.95,400.22
20.62,2.52,6.24,254.15,402.14
20.82,2.50,6.25,175.95,400.22
21.02,2.51,6.25,234.60,400.96
21.22,2.52,6.25,244.38,401.71
21.42,2.51,6.25,175.95,400.96
21.62,2.51,6.24,244.38,401.39
21.82,2.52,6.25,205.28,401.71
22.02,2.51,6.25,215.05,400.96
22.22,2.52,6.24,234.60,402.14
22.42,2.51,6.25,263.93,400.96
22.62,2.51,6.25,205.28,400.96
22.82,2.51,6.25,263.93,400.96
23.02,2.51,6.25,303.03,400.96
23.22,2.50,6.24,234.60,400.65
23.42,2.52,6.25,244.38,401.71
23.62,2.52,6.25,283.48,401.71
23.82,2.51,6.25,283.48,400.96
24.02,2.51,6.25,254.15,400.96
24.22,2.51,6.25,224.83,400.96
24.42,2.51,6.25,263.93,400.96
24.62,2.51,6.27,263.93,400.53
24.82,2.52,6.25,273.70,401.71
25.02,2.52,6.24,293.26,402.14
25.22,2.52,6.24,263.93,402.14
25.42,2.50,6.24,293.26,400.65
25.62,2.51,6.25,283.48,400.96
25.82,2.52,6.25,263.93,401.71
26.02,2.51,6.24,263.93,401.39
26.22,2.52,6.25,273.70,401.71
26.42,2.50,6.24,273.70,400.65
26.62,2.52,6.25,361.68,401.71
26.82,2.52,6.25,293.26,401.71
27.02,2.51,6.25,263.93,400.96
27.22,2.51,6.25,303.03,400.96
27.42,2.52,6.25,332.36,401.71
27.62,2.50,6.24,312.81,400.65
27.82,2.52,6.25,361.68,401.71
28.02,2.50,6.25,351.91,400.22
28.22,2.51,6.24,342.13,401.39
28.42,2.52,6.25,381.23,401.71
28.62,2.52,6.25,371.46,401.71
28.82,2.52,6.25,351.91,401.71
29.02,2.51,6.24,351.91,401.39
29.22,2.51,6.25,351.91,400.96
29.42,2.52,6.25,371.46,401.71
29.62,2.50,6.25,322.58,400.22
29.82,2.51,6.25,361.68,400.96
30.02,2.52,6.25,381.23,401.71
30.22,2.51,6.24,283.48,401.39
30.42,2.51,6.25,342.13,400.96
30.62,2.52,6.25,322.58,401.71
30.82,2.50,6.25,332.36,400.22
31.02,2.52,6.25,351.91,401.71
31.22,2.50,6.25,342.13,400.22
31.42,2.50,6.25,381.23,400.22
31.62,2.52,6.25,439.88,401.71
31.82,2.52,6.25,439.88,401.71
32.02,2.51,6.25,498.53,400.96
32.22,2.52,6.25,488.76,401.71
32.42,2.52,6.24,439.88,402.14
32.62,2.52,6.25,459.43,401.71
32.82,2.52,6.25,439.88,401.71
33.02,2.51,6.25,381.23,400.96
33.22,2.52,6.25,410.56,401.71
33.42,2.51,6.24,391.01,401.39
33.62,2.51,6.24,332.36,401.39
33.82,2.52,6.25,342.13,401.71
34.02,2.50,6.24,322.58,400.65
34.22,2.51,6.24,312.81,401.39
34.42,2.52,6.25,303.03,401.71
34.62,2.51,6.25,303.03,400.96
34.82,2.51,6.25,303.03,400.96
35.02,2.52,6.25,303.03,401.71
35.22,2.50,6.25,293.26,400.22
35.42,2.51,6.24,312.81,401.39
35.62,2.52,6.24,303.03,402.14
35.82,2.51,6.25,293.26,400.96
36.02,2.51,6.25,322.58,400.96
36.22,2.52,6.25,312.81,401.71
36.42,2.50,6.24,293.26,400.65
36.62,2.52,6.25,322.58,401.71
36.82,2.51,6.25,263.93,400.96
37.02,2.51,6.24,273.70,401.39
37.22,2.51,6.25,293.26,400.96
37.42,2.50,6.24,263.93,400.65
37.62,2.50,6.25,254.15,400.22
