# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 187.0
# drawdown_ratio: 50.0
# trial_number: 088
# operator: Akila
# start_time: 2025-12-11 11:20:06
# notes: Feed and draw speed set to 1.5 mm per min and 3.75 m per min; both ends sealed close; less material inside the heating element.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.52,3.76,469.21,401.91
1.42,1.51,3.74,488.76,401.39
1.62,1.51,3.74,439.88,401.39
1.82,1.52,3.74,410.56,402.63
2.02,1.51,3.76,391.01,400.68
2.22,1.52,3.76,391.01,401.91
2.42,1.51,3.73,351.91,402.12
2.62,1.53,3.74,371.46,403.86
2.82,1.51,3.74,332.36,401.39
3.02,1.50,3.76,322.58,399.44
3.22,1.52,3.74,322.58,402.63
3.42,1.52,3.73,322.58,403.36
3.62,1.51,3.76,322.58,400.68
3.82,1.50,3.76,312.81,399.44
4.02,1.52,3.76,332.36,401.91
4.22,1.51,3.74,332.36,401.39
4.42,1.52,3.74,312.81,402.63
4.62,1.52,3.74,303.03,402.63
4.82,1.50,3.73,312.81,400.87
5.02,1.51,3.74,342.13,401.39
5.22,1.51,3.73,303.03,402.12
5.42,1.52,3.74,322.58,402.63
5.62,1.51,3.74,322.58,401.39
5.82,1.52,3.74,312.81,402.63
6.02,1.52,3.74,322.58,402.63
6.22,1.51,3.74,312.81,401.39
6.42,1.52,3.76,312.81,401.91
6.62,1.50,3.73,283.48,400.87
6.82,1.51,3.74,303.03,401.39
7.02,1.51,3.74,303.03,401.39
7.22,1.51,3.74,312.81,401.39
7.42,1.50,3.74,312.81,400.15
7.62,1.50,3.74,303.03,400.15
7.82,1.52,3.74,293.26,402.63
8.02,1.52,3.74,312.81,402.63
8.22,1.51,3.74,312.81,401.39
8.42,1.52,3.74,283.48,402.63
8.62,1.51,3.76,293.26,400.68
8.82,1.51,3.74,293.26,401.39
9.02,1.51,3.74,293.26,401.39
9.22,1.51,3.76,263.93,400.68
9.42,1.51,3.74,283.48,401.39
9.62,1.52,3.77,273.70,401.20
9.82,1.52,3.74,254.15,402.63
10.02,1.52,3.74,283.48,402.63
10.22,1.50,3.76,273.70,399.44
10.42,1.50,3.74,263.93,400.15
10.62,1.52,3.73,254.15,403.36
10.82,1.49,3.73,244.38,399.63
11.02,1.52,3.76,273.70,401.91
11.22,1.51,3.74,263.93,401.39
11.42,1.52,3.74,273.70,402.63
11.62,1.52,3.74,273.70,402.63
11.82,1.50,3.76,273.70,399.44
12.02,1.50,3.74,254.15,400.15
12.22,1.51,3.76,254.15,400.68
12.42,1.51,3.76,254.15,400.68
12.62,1.50,3.74,244.38,400.15
12.82,1.52,3.74,273.70,402.63
13.02,1.51,3.73,263.93,402.12
13.22,1.51,3.76,263.93,400.68
13.42,1.52,3.73,254.15,403.36
13.62,1.50,3.74,244.38,400.15
13.82,1.52,3.76,254.15,401.91
14.02,1.51,3.76,263.93,400.68
14.22,1.52,3.76,283.48,401.91
14.42,1.52,3.72,273.70,404.08
14.62,1.52,3.74,283.48,402.63
14.82,1.51,3.74,263.93,401.39
15.02,1.51,3.76,273.70,400.68
15.22,1.52,3.74,293.26,402.63
15.42,1.52,3.74,283.48,402.63
15.62,1.52,3.74,283.48,402.63
15.82,1.50,3.76,293.26,399.44
16.02,1.52,3.76,469.21,401.91
16.22,1.51,3.76,332.36,400.68
16.42,1.52,3.76,303.03,401.91
16.62,1.51,3.73,312.81,402.12
16.82,1.50,3.74,263.93,400.15
17.02,1.51,3.73,293.26,402.12
17.22,1.50,3.74,283.48,400.15
17.42,1.51,3.76,312.81,400.68
17.62,1.50,3.74,263.93,400.15
17.82,1.53,3.76,312.81,403.14
18.02,1.51,3.74,303.03,401.39
18.22,1.52,3.74,293.26,402.63
18.42,1.51,3.74,303.03,401.39
18.62,1.52,3.76,293.26,401.91
18.82,1.52,3.76,303.03,401.91
19.02,1.51,3.74,303.03,401.39
19.22,1.53,3.74,312.81,403.86
19.42,1.51,3.74,312.81,401.39
19.62,1.53,3.76,312.81,403.14
19.82,1.52,3.74,312.81,402.63
20.02,1.52,3.76,322.58,401.91
20.22,1.52,3.74,312.81,402.63
20.42,1.49,3.74,312.81,398.91
20.62,1.51,3.76,351.91,400.68
20.82,1.51,3.76,322.58,400.68
21.02,1.52,3.74,342.13,402.63
21.22,1.52,3.76,312.81,401.91
21.42,1.50,3.74,312.81,400.15
21.62,1.51,3.76,312.81,400.68
21.82,1.51,3.73,293.26,402.12
22.02,1.52,3.76,342.13,401.91
22.22,1.50,3.73,332.36,400.87
22.42,1.51,3.76,312.81,400.68
22.62,1.52,3.74,342.13,402.63
22.82,1.51,3.76,351.91,400.68
23.02,1.52,3.74,351.91,402.63
23.22,1.51,3.74,322.58,401.39
23.42,1.52,3.76,322.58,401.91
23.62,1.51,3.74,342.13,401.39
23.82,1.51,3.74,351.91,401.39
24.02,1.51,3.76,322.58,400.68
24.22,1.51,3.76,342.13,400.68
24.42,1.52,3.76,322.58,401.91
24.62,1.50,3.73,332.36,400.87
24.82,1.52,3.74,351.91,402.63
25.02,1.50,3.74,303.03,400.15
25.22,1.50,3.76,312.81,399.44
