# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 178.0
# drawdown_ratio: 50.0
# trial_number: 092
# operator: Akila
# start_time: 2025-12-15 14:33:36
# notes: Feed and draws speeds set to default or 1 step higher; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.26,5.64,254.15,400.68
1.42,2.24,5.62,136.85,399.50
1.62,2.25,5.64,215.05,399.85
1.82,2.26,5.64,166.18,400.68
2.02,2.24,5.62,175.95,399.50
2.22,2.25,5.65,58.65,399.38
2.42,2.26,5.62,205.28,401.15
2.62,2.26,5.64,127.08,400.68
2.82,2.26,5.64,185.73,400.68
3.02,2.25,5.61,215.05,400.81
3.22,2.26,5.64,205.28,400.68
3.42,2.24,5.62,136.85,399.50
3.62,2.26,5.62,185.73,401.15
3.82,2.26,5.64,351.91,400.68
4.02,2.26,5.62,58.65,401.15
4.22,2.27,5.62,205.28,401.98
4.42,2.25,5.65,39.10,399.38
4.62,2.26,5.65,185.73,400.20
4.82,2.25,5.64,156.40,399.85
5.02,2.26,5.64,156.40,400.68
5.22,2.26,5.64,244.38,400.68
5.42,2.25,5.64,244.38,399.85
5.62,2.24,5.62,166.18,399.50
5.82,2.26,5.64,0.00,400.68
6.02,2.25,5.62,146.63,400.33
6.22,2.26,5.62,263.93,401.15
6.42,2.25,5.62,97.75,400.33
6.62,2.24,5.62,322.58,399.50
6.82,2.26,5.62,166.18,401.15
7.02,2.24,5.61,127.08,399.98
7.22,2.26,5.62,156.40,401.15
7.42,2.27,5.64,156.40,401.50
7.62,2.26,5.62,185.73,401.15
7.82,2.26,5.64,127.08,400.68
8.02,2.24,5.64,117.30,399.02
8.22,2.26,5.62,146.63,401.15
8.42,2.26,5.64,146.63,400.68
8.62,2.25,5.64,175.95,399.85
8.82,2.26,5.64,166.18,400.68
9.02,2.25,5.62,136.85,400.33
9.22,2.26,5.62,146.63,401.15
9.42,2.26,5.64,146.63,400.68
9.62,2.25,5.62,185.73,400.33
9.82,2.25,5.64,293.26,399.85
10.02,2.25,5.62,391.01,400.33
10.22,2.26,5.62,518.08,401.15
10.42,2.25,5.64,351.91,399.85
10.62,2.25,5.62,254.15,400.33
10.82,2.26,5.64,244.38,400.68
11.02,2.25,5.62,215.05,400.33
11.22,2.25,5.62,244.38,400.33
11.42,2.26,5.64,234.60,400.68
11.62,2.24,5.62,195.50,399.50
11.82,2.26,5.62,195.50,401.15
12.02,2.25,5.64,175.95,399.85
12.22,2.26,5.62,166.18,401.15
12.42,2.25,5.64,175.95,399.85
12.62,2.24,5.62,195.50,399.50
12.82,2.26,5.64,175.95,400.68
13.02,2.25,5.64,175.95,399.85
13.22,2.25,5.64,175.95,399.85
13.42,2.26,5.64,185.73,400.68
13.62,2.24,5.62,215.05,399.50
13.82,2.26,5.64,185.73,400.68
14.02,2.25,5.62,234.60,400.33
14.22,2.26,5.62,195.50,401.15
14.42,2.26,5.62,224.83,401.15
14.62,2.25,5.62,195.50,400.33
14.82,2.25,5.62,166.18,400.33
15.02,2.26,5.64,195.50,400.68
15.22,2.26,5.64,185.73,400.68
15.42,2.26,5.62,215.05,401.15
15.62,2.26,5.62,195.50,401.15
15.82,2.26,5.64,175.95,400.68
16.02,2.24,5.62,156.40,399.50
16.22,2.25,5.62,166.18,400.33
16.42,2.27,5.64,146.63,401.50
16.62,2.26,5.62,107.53,401.15
16.82,2.25,5.64,166.18,399.85
17.02,2.25,5.62,156.40,400.33
17.22,2.24,5.62,156.40,399.50
17.42,2.26,5.62,166.18,401.15
17.62,2.25,5.62,175.95,400.33
17.82,2.26,5.64,166.18,400.68
18.02,2.25,5.64,146.63,399.85
18.22,2.25,5.62,166.18,400.33
18.42,2.26,5.64,185.73,400.68
18.62,2.24,5.62,146.63,399.50
18.82,2.26,5.64,175.95,400.68
19.02,2.25,5.64,156.40,399.85
19.22,2.25,5.62,175.95,400.33
19.42,2.27,5.64,136.85,401.50
19.62,2.24,5.62,185.73,399.50
19.82,2.26,5.64,136.85,400.68
20.02,2.26,5.62,136.85,401.15
20.22,2.26,5.62,156.40,401.15
20.42,2.26,5.64,175.95,400.68
20.62,2.24,5.62,156.40,399.50
20.82,2.25,5.62,166.18,400.33
21.02,2.25,5.62,146.63,400.33
21.22,2.26,5.62,166.18,401.15
21.42,2.26,5.62,175.95,401.15
21.62,2.26,5.62,166.18,401.15
21.82,2.26,5.64,136.85,400.68
22.02,2.26,5.64,156.40,400.68
22.22,2.26,5.62,185.73,401.15
22.42,2.26,5.62,156.40,401.15
22.62,2.26,5.64,146.63,400.68
22.82,2.25,5.64,156.40,399.85
23.02,2.25,5.62,166.18,400.33
23.22,2.26,5.64,195.50,400.68
23.42,2.25,5.64,205.28,399.85
23.62,2.26,5.62,185.73,401.15
23.82,2.26,5.62,185.73,401.15
24.02,2.26,5.64,195.50,400.68
24.22,2.26,5.64,224.83,400.68
24.42,2.27,5.62,273.70,401.98
24.62,2.26,5.64,312.81,400.68
24.82,2.25,5.64,205.28,399.85
25.02,2.26,5.62,215.05,401.15
25.22,2.26,5.62,195.50,401.15
25.42,2.24,5.62,195.50,399.50
25.62,2.26,5.64,175.95,400.68
25.82,2.25,5.62,166.18,400.33
26.02,2.26,5.62,175.95,401.15
26.22,2.27,5.64,156.40,401.50
26.42,2.25,5.62,175.95,400.33
26.62,2.26,5.64,166.18,400.68
26.82,2.24,5.62,205.28,399.50
27.02,2.26,5.62,195.50,401.15
27.22,2.24,5.62,195.50,399.50
27.42,2.25,5.64,205.28,399.85
27.62,2.25,5.62,215.05,400.33
27.82,2.26,5.62,215.05,401.15
28.02,2.27,5.64,224.83,401.50
28.22,2.24,5.62,195.50,399.50
28.42,2.25,5.61,224.83,400.81
28.62,2.25,5.62,254.15,400.33
28.82,2.26,5.62,244.38,401.15
29.02,2.25,5.64,303.03,399.85
29.22,2.25,5.64,449.66,399.85
29.42,2.27,5.64,449.66,401.50
29.62,2.25,5.64,439.88,399.85
29.82,2.24,5.64,400.78,399.02
30.02,2.26,5.64,381.23,400.68
30.22,2.25,5.62,391.01,400.33
30.42,2.27,5.64,420.33,401.50
30.62,2.26,5.62,449.66,401.15
30.82,2.26,5.62,420.33,401.15
31.02,2.25,5.64,469.21,399.85
31.22,2.25,5.62,557.18,400.33
31.42,2.26,5.62,430.11,401.15
31.62,2.25,5.64,400.78,399.85
31.82,2.25,5.62,312.81,400.33
32.02,2.26,5.62,361.68,401.15
32.22,2.24,5.62,332.36,399.50
32.42,2.26,5.62,342.13,401.15
32.62,2.25,5.62,312.81,400.33
32.82,2.26,5.64,351.91,400.68
33.02,2.26,5.64,332.36,400.68
33.22,2.25,5.62,342.13,400.33
33.42,2.26,5.62,439.88,401.15
33.62,2.25,5.62,400.78,400.33
33.82,2.26,5.62,381.23,401.15
34.02,2.27,5.64,351.91,401.50
34.22,2.25,5.64,342.13,399.85
