# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 190.0
# drawdown_ratio: 50.0
# trial_number: 093
# operator: Akila
# start_time: 2025-12-16 10:42:20
# notes: Feed and draw speed set to 2.25 mm per min and 5.62 m per min; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.25,5.61,351.91,400.81
1.42,2.23,5.60,312.81,399.63
1.62,2.26,5.61,342.13,401.63
1.82,2.25,5.61,351.91,400.81
2.02,2.24,5.60,322.58,400.46
2.22,2.25,5.61,342.13,400.81
2.42,2.25,5.61,342.13,400.81
2.62,2.25,5.61,371.46,400.81
2.82,2.25,5.61,322.58,400.81
3.02,2.24,5.61,351.91,399.98
3.22,2.25,5.61,351.91,400.81
3.42,2.26,5.61,371.46,401.63
3.62,2.25,5.61,400.78,400.81
3.82,2.24,5.61,439.88,399.98
4.02,2.24,5.61,420.33,399.98
4.22,2.25,5.61,381.23,400.81
4.42,2.25,5.61,391.01,400.81
4.62,2.24,5.61,430.11,399.98
4.82,2.24,5.58,391.01,400.94
5.02,2.24,5.61,420.33,399.98
5.22,2.25,5.61,439.88,400.81
5.42,2.25,5.62,449.66,400.33
5.62,2.25,5.61,478.98,400.81
5.82,2.26,5.61,478.98,401.63
6.02,2.24,5.60,498.53,400.46
6.22,2.25,5.61,518.08,400.81
6.42,2.24,5.61,508.31,399.98
6.62,2.25,5.61,547.41,400.81
6.82,2.25,5.61,596.29,400.81
7.02,2.24,5.61,645.16,399.98
7.22,2.25,5.61,703.81,400.81
7.42,2.25,5.61,713.59,400.81
7.62,2.24,5.61,733.14,399.98
7.82,2.24,5.61,713.59,399.98
8.02,2.25,5.61,694.04,400.81
8.22,2.24,5.60,654.94,400.46
8.42,2.24,5.61,654.94,399.98
8.62,2.24,5.61,664.71,399.98
8.82,2.24,5.60,625.61,400.46
9.02,2.25,5.61,645.16,400.81
9.22,2.23,5.61,635.39,399.15
9.42,2.23,5.61,625.61,399.15
9.62,2.26,5.61,664.71,401.63
9.82,2.23,5.61,645.16,399.15
10.02,2.25,5.62,703.81,400.33
10.22,2.25,5.61,752.69,400.81
10.42,2.26,5.61,791.79,401.63
10.62,2.25,5.61,830.89,400.81
10.82,2.25,5.62,860.21,400.33
11.02,2.25,5.61,957.97,400.81
11.22,2.25,5.61,1075.27,400.81
11.42,2.25,5.60,1094.82,401.29
11.62,2.25,5.61,1114.37,400.81
11.82,2.25,5.61,1153.47,400.81
12.02,2.24,5.61,1182.80,399.98
12.22,2.24,5.61,1221.90,399.98
12.42,2.25,5.61,1173.02,400.81
12.62,2.24,5.61,1085.04,399.98
12.82,2.24,5.61,1006.84,399.98
13.02,2.23,5.61,967.74,399.15
13.22,2.24,5.62,957.97,399.50
13.42,2.25,5.61,957.97,400.81
13.62,2.23,5.61,909.09,399.15
13.82,2.23,5.61,869.99,399.15
14.02,2.25,5.61,889.54,400.81
14.22,2.24,5.60,899.32,400.46
14.42,2.25,5.61,918.87,400.81
14.62,2.25,5.61,889.54,400.81
14.82,2.24,5.61,938.42,399.98
15.02,2.26,5.61,987.29,401.63
15.22,2.24,5.61,997.07,399.98
15.42,2.25,5.61,1006.84,400.81
15.62,2.25,5.61,1045.94,400.81
15.82,2.25,5.61,1104.59,400.81
16.02,2.25,5.61,1124.14,400.81
16.22,2.25,5.61,1212.12,400.81
16.42,2.25,5.61,1241.45,400.81
16.62,2.25,5.61,1192.57,400.81
16.82,2.25,5.61,1221.90,400.81
17.02,2.23,5.61,1192.57,399.15
17.22,2.26,5.61,1212.12,401.63
17.42,2.25,5.62,1270.77,400.33
17.62,2.24,5.62,1358.75,399.50
17.82,2.25,5.61,1368.52,400.81
18.02,2.24,5.61,1407.62,399.98
18.22,2.23,5.61,1534.70,399.15
18.42,2.26,5.61,1573.80,401.63
18.62,2.26,5.61,1642.23,401.63
18.82,2.25,5.60,1652.00,401.29
19.02,2.25,5.61,1661.78,400.81
19.22,2.25,5.62,1710.65,400.33
19.42,2.23,5.61,1739.98,399.15
19.62,2.26,5.61,1788.86,401.63
19.82,2.24,5.61,0.00,399.98
20.02,2.25,5.61,0.00,400.81
20.22,2.25,5.61,1671.55,400.81
20.42,2.24,5.61,0.00,399.98
20.62,2.26,5.61,0.00,401.63
20.82,2.23,5.61,0.00,399.15
21.02,2.26,5.61,0.00,401.63
21.22,2.26,5.61,0.00,401.63
21.42,2.23,5.61,0.00,399.15
21.62,2.25,5.61,0.00,400.81
21.82,2.24,5.61,0.00,399.98
22.02,2.25,5.61,0.00,400.81
22.22,2.24,5.61,0.00,399.98
22.42,2.25,5.61,0.00,400.81
22.62,2.25,5.61,0.00,400.81
22.82,2.25,5.60,1026.39,401.29
23.02,2.25,5.62,830.89,400.33
23.22,2.25,5.61,733.14,400.81
23.42,2.24,5.61,830.89,399.98
23.62,2.25,5.61,1036.17,400.81
23.82,2.24,5.61,1026.39,399.98
24.02,2.25,5.62,1319.65,400.33
24.22,2.25,5.62,1309.87,400.33
24.42,2.24,5.61,869.99,399.98
24.62,2.25,5.61,0.00,400.81
24.82,2.25,5.62,0.00,400.33
25.02,2.25,5.61,0.00,400.81
25.22,2.25,5.61,508.31,400.81
25.42,2.24,5.61,0.00,399.98
25.62,2.24,5.61,0.00,399.98
25.82,2.26,5.61,0.00,401.63
26.02,2.24,5.61,498.53,399.98
26.22,2.26,5.61,0.00,401.63
26.42,2.24,5.61,0.00,399.98
26.62,2.25,5.62,508.31,400.33
26.82,2.25,5.61,0.00,400.81
27.02,2.25,5.61,9.78,400.81
27.22,2.25,5.61,0.00,400.81
27.42,2.25,5.61,0.00,400.81
27.62,2.24,5.61,498.53,399.98
27.82,2.24,5.61,0.00,399.98
28.02,2.25,5.61,0.00,400.81
28.22,2.25,5.61,0.00,400.81
28.42,2.25,5.61,0.00,400.81
28.62,2.25,5.61,0.00,400.81
28.82,2.24,5.61,0.00,399.98
29.02,2.26,5.61,566.96,401.63
29.22,2.24,5.61,488.76,399.98
29.42,2.25,5.61,439.88,400.81
29.62,2.25,5.61,0.00,400.81
29.82,2.24,5.61,0.00,399.98
30.02,2.25,5.61,0.00,400.81
30.22,2.26,5.61,0.00,401.63
30.42,2.24,5.62,0.00,399.50
30.62,2.25,5.61,0.00,400.81
30.82,2.24,5.61,0.00,399.98
31.02,2.24,5.61,0.00,399.98
31.22,2.25,5.61,0.00,400.81
31.42,2.25,5.61,0.00,400.81
31.62,2.24,5.61,0.00,399.98
31.82,2.24,5.61,508.31,399.98
32.02,2.25,5.61,0.00,400.81
32.22,2.23,5.61,0.00,399.15
32.42,2.24,5.61,0.00,399.98
32.62,2.25,5.61,0.00,400.81
32.82,2.23,5.61,0.00,399.15
