# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 190.0
# drawdown_ratio: 50.0
# trial_number: 097
# operator: Akila
# start_time: 2025-12-17 11:36:35
# notes: Default feed and draw speed; less material inside the heating element.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.02,224.83,400.32
1.42,2.00,5.01,234.60,399.93
1.62,2.02,5.02,224.83,401.25
1.82,2.01,5.02,205.28,400.32
2.02,2.02,5.02,244.38,401.25
2.22,2.01,5.01,215.05,400.86
2.42,2.02,5.01,224.83,401.78
2.62,2.02,5.02,244.38,401.25
2.82,2.02,5.02,234.60,401.25
3.02,2.01,5.02,254.15,400.32
3.22,2.02,5.02,244.38,401.25
3.42,2.01,5.02,224.83,400.32
3.62,2.02,5.01,254.15,401.78
3.82,2.02,5.01,263.93,401.78
4.02,2.02,5.02,263.93,401.25
4.22,2.02,5.02,273.70,401.25
4.42,2.02,5.02,263.93,401.25
4.62,2.00,4.98,293.26,401.00
4.82,2.02,5.02,273.70,401.25
5.02,2.00,5.01,254.15,399.93
5.22,2.02,5.02,273.70,401.25
5.42,2.02,5.01,263.93,401.78
5.62,2.02,5.02,303.03,401.25
5.82,2.00,5.02,283.48,399.39
6.02,2.02,5.02,283.48,401.25
6.22,2.01,5.01,303.03,400.86
6.42,2.02,5.01,303.03,401.78
6.62,2.02,5.01,273.70,401.78
6.82,2.02,5.02,303.03,401.25
7.02,2.01,5.01,303.03,400.86
7.22,2.01,5.02,303.03,400.32
7.42,2.02,5.02,283.48,401.25
7.62,2.01,5.02,254.15,400.32
7.82,2.01,5.01,254.15,400.86
8.02,2.01,5.01,263.93,400.86
8.22,2.01,5.01,244.38,400.86
8.42,2.01,5.02,254.15,400.32
8.62,2.01,5.02,273.70,400.32
8.82,2.02,5.02,263.93,401.25
9.02,2.02,5.02,263.93,401.25
9.22,2.00,5.01,263.93,399.93
9.42,2.02,5.02,244.38,401.25
9.62,2.02,5.02,254.15,401.25
9.82,2.03,4.99,283.48,403.25
10.02,2.01,5.01,263.93,400.86
10.22,2.02,5.03,263.93,400.71
10.42,2.02,5.01,273.70,401.78
10.62,2.02,5.02,283.48,401.25
10.82,2.00,5.01,273.70,399.93
11.02,2.01,5.02,263.93,400.32
11.22,2.02,5.02,293.26,401.25
11.42,2.01,5.02,303.03,400.32
11.62,2.02,5.02,303.03,401.25
11.82,2.00,5.01,273.70,399.93
12.02,2.02,5.02,303.03,401.25
12.22,2.02,5.02,273.70,401.25
12.42,2.03,5.02,303.03,402.17
12.62,2.01,5.02,263.93,400.32
12.82,2.03,5.02,303.03,402.17
13.02,2.01,5.01,273.70,400.86
13.22,2.02,5.02,273.70,401.25
13.42,2.01,5.01,254.15,400.86
13.62,2.02,5.02,234.60,401.25
13.82,2.01,5.01,244.38,400.86
14.02,2.02,5.02,234.60,401.25
14.22,2.02,5.02,224.83,401.25
14.42,2.02,5.02,244.38,401.25
14.62,2.02,5.01,224.83,401.78
14.82,2.02,5.01,244.38,401.78
15.02,2.01,5.02,234.60,400.32
15.22,2.01,5.02,244.38,400.32
15.42,2.02,5.02,244.38,401.25
15.62,2.02,5.02,234.60,401.25
15.82,2.02,5.02,215.05,401.25
16.02,2.02,5.01,244.38,401.78
16.22,2.02,5.02,263.93,401.25
16.42,2.00,5.02,234.60,399.39
16.62,2.02,5.01,254.15,401.78
16.82,2.01,5.01,234.60,400.86
17.02,2.02,5.02,263.93,401.25
17.22,2.02,5.03,254.15,400.71
17.42,2.02,5.02,254.15,401.25
17.62,2.02,5.02,234.60,401.25
17.82,2.02,5.02,263.93,401.25
18.02,2.01,5.01,244.38,400.86
18.22,2.01,5.01,263.93,400.86
18.42,2.01,5.02,263.93,400.32
18.62,2.02,5.02,254.15,401.25
18.82,2.01,5.01,273.70,400.86
19.02,2.02,5.02,263.93,401.25
19.22,2.02,5.01,244.38,401.78
19.42,2.00,5.02,205.28,399.39
19.62,2.01,5.02,263.93,400.32
19.82,2.02,5.01,234.60,401.78
20.02,2.02,5.01,234.60,401.78
20.22,2.00,5.01,215.05,399.93
20.42,2.02,5.02,244.38,401.25
20.62,2.02,5.01,254.15,401.78
20.82,2.03,5.02,215.05,402.17
21.02,2.02,5.02,244.38,401.25
21.22,2.00,5.02,234.60,399.39
21.42,2.02,5.02,224.83,401.25
21.62,2.01,5.02,195.50,400.32
21.82,2.02,5.01,224.83,401.78
22.02,2.01,5.01,215.05,400.86
22.22,2.02,5.02,215.05,401.25
22.42,2.02,5.01,215.05,401.78
22.62,2.02,5.02,205.28,401.25
22.82,2.00,5.01,185.73,399.93
23.02,2.01,5.01,185.73,400.86
23.22,2.01,5.02,205.28,400.32
23.42,2.01,5.02,195.50,400.32
23.62,2.01,5.01,175.95,400.86
23.82,2.02,5.02,175.95,401.25
24.02,2.02,5.02,185.73,401.25
24.22,2.01,5.01,175.95,400.86
24.42,2.02,5.02,195.50,401.25
24.62,2.00,5.01,185.73,399.93
24.82,2.02,5.02,175.95,401.25
25.02,2.00,5.01,185.73,399.93
25.22,2.02,5.02,185.73,401.25
25.42,2.02,5.02,175.95,401.25
25.62,2.02,5.03,185.73,400.71
25.82,2.02,5.02,195.50,401.25
26.02,2.02,5.02,175.95,401.25
26.22,2.01,5.02,166.18,400.32
26.42,2.01,5.02,175.95,400.32
26.62,2.02,5.02,185.73,401.25
26.82,2.01,5.02,156.40,400.32
27.02,2.01,5.01,185.73,400.86
27.22,2.00,5.01,175.95,399.93
27.42,2.02,5.02,185.73,401.25
27.62,2.01,5.01,215.05,400.86
27.82,2.02,5.02,205.28,401.25
28.02,2.02,5.01,175.95,401.78
28.22,2.01,5.02,175.95,400.32
28.42,2.02,5.02,195.50,401.25
28.62,2.01,5.02,195.50,400.32
28.82,2.02,5.03,205.28,400.71
29.02,2.01,5.01,195.50,400.86
29.22,2.02,5.01,195.50,401.78
29.42,2.00,5.02,215.05,399.39
29.62,2.01,5.02,215.05,400.32
29.82,2.01,5.03,234.60,399.79
30.02,2.01,5.02,234.60,400.32
30.22,2.02,5.01,215.05,401.78
30.42,2.02,5.02,224.83,401.25
30.62,2.01,5.02,205.28,400.32
30.82,2.02,5.02,234.60,401.25
31.02,2.01,5.01,234.60,400.86
31.22,2.02,5.02,224.83,401.25
31.42,2.01,5.02,234.60,400.32
31.62,2.01,5.02,254.15,400.32
31.82,2.02,5.01,244.38,401.78
32.02,2.01,5.02,234.60,400.32
32.22,2.01,5.01,254.15,400.86
32.42,2.01,5.02,263.93,400.32
32.62,2.02,5.01,244.38,401.78
32.82,2.02,5.01,244.38,401.78
33.02,2.02,5.02,234.60,401.25
33.22,2.01,5.02,234.60,400.32
33.42,2.01,5.02,263.93,400.32
33.62,2.01,5.01,234.60,400.86
33.82,2.03,5.02,263.93,402.17
34.02,2.00,5.01,234.60,399.93
34.22,2.02,5.02,263.93,401.25
34.42,2.01,5.01,254.15,400.86
34.62,2.03,5.02,244.38,402.17
34.82,2.01,5.01,263.93,400.86
35.02,2.02,5.02,224.83,401.25
35.22,2.03,5.01,224.83,402.71
35.42,2.00,5.01,224.83,399.93
35.62,2.01,5.02,244.38,400.32
35.82,2.00,5.02,254.15,399.39
36.02,2.02,5.02,254.15,401.25
36.22,2.01,5.01,224.83,400.86
36.42,2.02,5.02,234.60,401.25
36.62,2.00,5.01,215.05,399.93
36.82,2.03,5.02,224.83,402.17
37.02,2.01,5.02,244.38,400.32
37.22,2.01,5.02,244.38,400.32
37.42,2.02,5.02,234.60,401.25
37.62,2.01,5.02,254.15,400.32
37.82,2.02,5.01,254.15,401.78
38.02,2.01,5.02,244.38,400.32
38.22,2.00,5.01,244.38,399.93
38.42,2.01,5.01,234.60,400.86
38.62,2.02,5.02,273.70,401.25
38.82,2.02,5.02,273.70,401.25
39.02,2.02,5.01,244.38,401.78
39.22,2.01,5.01,263.93,400.86
39.42,2.02,5.01,273.70,401.78
39.62,2.02,5.02,273.70,401.25
39.82,2.02,5.02,283.48,401.25
40.02,2.01,5.01,254.15,400.86
40.22,2.02,5.02,263.93,401.25
40.42,2.02,5.02,254.15,401.25
40.62,2.02,5.02,283.48,401.25
40.82,2.00,5.02,234.60,399.39
