# material: Nylon PA6
# geometry: cyl 7ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 202.0
# drawdown_ratio: 50.0
# trial_number: 062
# operator: Akila
# start_time: 2025-11-21 10:40:06
# notes: Both ends sealed closed; draw and feed speed set to 1.5 mm and 3.75 m per min.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.74,791.79,401.39
1.42,1.50,3.74,782.01,400.15
1.62,1.51,3.73,772.24,402.12
1.82,1.51,3.74,791.79,401.39
2.02,1.51,3.73,791.79,402.12
2.22,1.50,3.73,782.01,400.87
2.42,1.51,3.74,772.24,401.39
2.62,1.49,3.74,762.46,398.91
2.82,1.50,3.73,772.24,400.87
3.02,1.51,3.74,791.79,401.39
3.22,1.51,3.73,830.89,402.12
3.42,1.51,3.72,830.89,402.84
3.62,1.51,3.73,850.44,402.12
3.82,1.51,3.74,869.99,401.39
4.02,1.51,3.72,860.21,402.84
4.22,1.50,3.74,840.66,400.15
4.42,1.52,3.73,811.34,403.36
4.62,1.51,3.72,752.69,402.84
4.82,1.52,3.73,772.24,403.36
5.02,1.50,3.74,713.59,400.15
5.22,1.49,3.73,752.69,399.63
5.42,1.51,3.73,762.46,402.12
5.62,1.52,3.76,742.91,401.91
5.82,1.51,3.73,791.79,402.12
6.02,1.51,3.74,762.46,401.39
6.22,1.51,3.74,733.14,401.39
6.42,1.52,3.72,723.36,404.08
6.62,1.51,3.74,723.36,401.39
6.82,1.50,3.74,684.26,400.15
7.02,1.49,3.72,752.69,400.35
7.22,1.51,3.74,782.01,401.39
7.42,1.50,3.73,840.66,400.87
7.62,1.51,3.73,860.21,402.12
7.82,1.52,3.73,830.89,403.36
8.02,1.49,3.74,801.56,398.91
8.22,1.51,3.73,830.89,402.12
8.42,1.51,3.74,830.89,401.39
8.62,1.51,3.74,782.01,401.39
8.82,1.50,3.74,840.66,400.15
9.02,1.49,3.73,889.54,399.63
9.22,1.49,3.73,860.21,399.63
9.42,1.50,3.74,830.89,400.15
9.62,1.49,3.73,772.24,399.63
9.82,1.50,3.74,742.91,400.15
10.02,1.51,3.73,684.26,402.12
10.22,1.49,3.73,713.59,399.63
10.42,1.51,3.73,733.14,402.12
10.62,1.51,3.74,733.14,401.39
10.82,1.51,3.73,713.59,402.12
11.02,1.50,3.74,723.36,400.15
11.22,1.50,3.74,742.91,400.15
11.42,1.51,3.73,703.81,402.12
11.62,1.51,3.74,723.36,401.39
11.82,1.50,3.72,694.04,401.60
12.02,1.52,3.73,694.04,403.36
12.22,1.52,3.74,625.61,402.63
12.42,1.51,3.73,654.94,402.12
12.62,1.50,3.73,654.94,400.87
12.82,1.51,3.74,674.49,401.39
13.02,1.49,3.73,703.81,399.63
13.22,1.51,3.73,654.94,402.12
13.42,1.50,3.73,703.81,400.87
13.62,1.50,3.74,733.14,400.15
13.82,1.50,3.73,694.04,400.87
14.02,1.49,3.73,674.49,399.63
14.22,1.51,3.73,684.26,402.12
14.42,1.52,3.73,645.16,403.36
14.62,1.49,3.73,645.16,399.63
14.82,1.51,3.74,615.84,401.39
15.02,1.51,3.74,654.94,401.39
15.22,1.51,3.72,674.49,402.84
15.42,1.52,3.74,684.26,402.63
15.62,1.51,3.73,664.71,402.12
15.82,1.50,3.73,694.04,400.87
16.02,1.52,3.74,703.81,402.63
16.22,1.49,3.72,703.81,400.35
16.42,1.50,3.72,723.36,401.60
16.62,1.51,3.73,713.59,402.12
16.82,1.51,3.74,684.26,401.39
17.02,1.51,3.72,664.71,402.84
17.22,1.51,3.74,674.49,401.39
17.42,1.51,3.74,654.94,401.39
17.62,1.50,3.74,703.81,400.15
17.82,1.52,3.74,703.81,402.63
18.02,1.50,3.74,762.46,400.15
18.22,1.51,3.74,791.79,401.39
18.42,1.49,3.72,752.69,400.35
18.62,1.51,3.74,791.79,401.39
18.82,1.51,3.74,772.24,401.39
19.02,1.51,3.73,752.69,402.12
19.22,1.51,3.73,752.69,402.12
19.42,1.50,3.74,674.49,400.15
19.62,1.51,3.72,713.59,402.84
19.82,1.51,3.74,723.36,401.39
20.02,1.49,3.74,782.01,398.91
20.22,1.52,3.72,840.66,404.08
20.42,1.52,3.73,850.44,403.36
20.62,1.50,3.73,821.11,400.87
20.82,1.51,3.74,850.44,401.39
21.02,1.52,3.74,762.46,402.63
21.22,1.49,3.73,684.26,399.63
21.42,1.50,3.74,762.46,400.15
21.62,1.52,3.74,733.14,402.63
21.82,1.50,3.74,742.91,400.15
22.02,1.52,3.74,801.56,402.63
22.22,1.51,3.74,782.01,401.39
22.42,1.49,3.73,752.69,399.63
22.62,1.51,3.73,791.79,402.12
22.82,1.51,3.74,772.24,401.39
23.02,1.50,3.74,713.59,400.15
23.22,1.52,3.74,723.36,402.63
23.42,1.50,3.73,733.14,400.87
23.62,1.50,3.73,703.81,400.87
23.82,1.50,3.74,772.24,400.15
24.02,1.50,3.74,762.46,400.15
24.22,1.51,3.73,782.01,402.12
24.42,1.50,3.74,752.69,400.15
24.62,1.50,3.72,703.81,401.60
24.82,1.51,3.73,723.36,402.12
25.02,1.49,3.72,684.26,400.35
25.22,1.50,3.73,733.14,400.87
25.42,1.50,3.73,752.69,400.87
25.62,1.49,3.73,733.14,399.63
25.82,1.50,3.73,782.01,400.87
26.02,1.51,3.74,830.89,401.39
26.22,1.49,3.73,860.21,399.63
26.42,1.52,3.73,889.54,403.36
26.62,1.51,3.74,909.09,401.39
26.82,1.49,3.73,909.09,399.63
27.02,1.51,3.74,879.77,401.39
27.22,1.51,3.73,860.21,402.12
27.42,1.51,3.73,850.44,402.12
27.62,1.51,3.74,879.77,401.39
27.82,1.52,3.72,869.99,404.08
28.02,1.50,3.73,889.54,400.87
28.22,1.51,3.74,879.77,401.39
28.42,1.51,3.73,840.66,402.12
28.62,1.52,3.74,889.54,402.63
28.82,1.51,3.74,860.21,401.39
29.02,1.50,3.72,909.09,401.60
29.22,1.51,3.73,928.64,402.12
29.42,1.49,3.72,840.66,400.35
29.62,1.51,3.73,850.44,402.12
29.82,1.52,3.73,840.66,403.36
30.02,1.49,3.73,791.79,399.63
30.22,1.50,3.73,821.11,400.87
30.42,1.49,3.74,830.89,398.91
30.62,1.49,3.73,899.32,399.63
30.82,1.51,3.73,899.32,402.12
31.02,1.49,3.73,860.21,399.63
31.22,1.50,3.74,850.44,400.15
31.42,1.51,3.74,830.89,401.39
31.62,1.49,3.72,830.89,400.35
31.82,1.50,3.74,840.66,400.15
32.02,1.50,3.74,821.11,400.15
32.22,1.52,3.73,850.44,403.36
32.42,1.50,3.72,811.34,401.60
32.62,1.51,3.74,791.79,401.39
32.82,1.50,3.73,801.56,400.87
33.02,1.52,3.73,811.34,403.36
33.22,1.50,3.74,850.44,400.15
33.42,1.50,3.73,850.44,400.87
33.62,1.51,3.73,889.54,402.12
33.82,1.49,3.73,860.21,399.63
34.02,1.51,3.72,840.66,402.84
34.22,1.52,3.74,821.11,402.63
34.42,1.49,3.73,869.99,399.63
34.62,1.51,3.72,830.89,402.84
34.82,1.50,3.74,850.44,400.15
35.02,1.49,3.72,782.01,400.35
35.22,1.52,3.74,752.69,402.63
35.42,1.51,3.74,664.71,401.39
35.62,1.49,3.73,635.39,399.63
35.82,1.52,3.73,664.71,403.36
36.02,1.51,3.74,684.26,401.39
36.22,1.49,3.73,703.81,399.63
36.42,1.52,3.74,762.46,402.63
36.62,1.50,3.73,782.01,400.87
36.82,1.52,3.73,830.89,403.36
37.02,1.50,3.74,811.34,400.15
37.22,1.49,3.73,811.34,399.63
37.42,1.51,3.73,791.79,402.12
37.62,1.50,3.74,752.69,400.15
37.82,1.49,3.73,801.56,399.63
38.02,1.52,3.74,840.66,402.63
38.22,1.51,3.73,830.89,402.12
38.42,1.50,3.72,821.11,401.60
38.62,1.52,3.74,791.79,402.63
38.82,1.49,3.73,752.69,399.63
39.02,1.50,3.74,723.36,400.15
39.22,1.49,3.74,674.49,398.91
39.42,1.50,3.73,645.16,400.87
39.62,1.51,3.73,674.49,402.12
39.82,1.50,3.73,645.16,400.87
40.02,1.51,3.73,703.81,402.12
40.22,1.51,3.74,733.14,401.39
40.42,1.49,3.73,782.01,399.63
40.62,1.51,3.74,791.79,401.39
40.82,1.51,3.74,772.24,401.39
41.02,1.51,3.73,762.46,402.12
41.22,1.51,3.73,762.46,402.12
41.42,1.50,3.74,742.91,400.15
41.62,1.50,3.73,782.01,400.87
41.82,1.51,3.74,801.56,401.39
42.02,1.51,3.73,840.66,402.12
42.22,1.50,3.73,850.44,400.87
42.42,1.51,3.74,899.32,401.39
42.62,1.52,3.76,889.54,401.91
42.82,1.49,3.73,869.99,399.63
43.02,1.51,3.73,879.77,402.12
43.22,1.51,3.74,889.54,401.39
43.42,1.50,3.73,918.87,400.87
43.62,1.52,3.74,889.54,402.63
43.82,1.51,3.76,850.44,400.68
44.02,1.51,3.72,840.66,402.84
44.22,1.52,3.73,850.44,403.36
44.42,1.50,3.73,811.34,400.87
44.62,1.50,3.73,782.01,400.87
44.82,1.51,3.73,821.11,402.12
45.02,1.51,3.73,791.79,402.12
45.22,1.50,3.72,811.34,401.60
45.42,1.50,3.74,821.11,400.15
45.62,1.49,3.73,762.46,399.63
45.82,1.51,3.73,752.69,402.12
46.02,1.51,3.74,791.79,401.39
46.22,1.49,3.73,772.24,399.63
46.42,1.52,3.74,830.89,402.63
46.62,1.51,3.73,840.66,402.12
46.82,1.49,3.73,840.66,399.63
47.02,1.52,3.74,889.54,402.63
47.22,1.51,3.73,957.97,402.12
47.42,1.50,3.73,967.74,400.87
47.62,1.50,3.74,967.74,400.15
47.82,1.51,3.74,889.54,401.39
48.02,1.51,3.76,840.66,400.68
48.22,1.50,3.73,830.89,400.87
48.42,1.50,3.73,782.01,400.87
48.62,1.51,3.74,772.24,401.39
48.82,1.51,3.72,723.36,402.84
49.02,1.49,3.73,0.00,399.63
49.22,1.51,3.73,752.69,402.12
49.42,1.50,3.74,752.69,400.15
49.62,1.52,3.73,0.00,403.36
49.82,1.51,3.74,0.00,401.39
50.02,1.49,3.72,9.78,400.35
50.22,1.51,3.74,0.00,401.39
50.42,1.50,3.74,0.00,400.15
50.62,1.49,3.73,0.00,399.63
50.82,1.51,3.74,0.00,401.39
51.02,1.49,3.73,0.00,399.63
51.22,1.51,3.73,0.00,402.12
51.42,1.50,3.73,0.00,400.87
51.62,1.51,3.72,0.00,402.84
51.82,1.51,3.74,0.00,401.39
52.02,1.49,3.73,0.00,399.63
52.22,1.50,3.73,0.00,400.87
52.42,1.49,3.73,0.00,399.63
52.62,1.51,3.73,0.00,402.12
52.82,1.51,3.73,0.00,402.12
53.02,1.49,3.73,0.00,399.63
53.22,1.51,3.74,635.39,401.39
53.42,1.51,3.74,635.39,401.39
53.62,1.51,3.73,596.29,402.12
53.82,1.51,3.74,606.06,401.39
54.02,1.49,3.73,537.63,399.63
54.22,1.51,3.74,547.41,401.39
54.42,1.49,3.74,508.31,398.91
54.62,1.49,3.73,508.31,399.63
54.82,1.50,3.73,566.96,400.87
55.02,1.50,3.73,576.74,400.87
55.22,1.49,3.73,586.51,399.63
55.42,1.51,3.76,654.94,400.68
55.62,1.49,3.72,635.39,400.35
55.82,1.51,3.73,645.16,402.12
56.02,1.52,3.73,635.39,403.36
56.22,1.50,3.73,615.84,400.87
56.42,1.52,3.74,654.94,402.63
56.62,1.49,3.74,566.96,398.91
56.82,1.51,3.73,557.18,402.12
57.02,1.52,3.73,518.08,403.36
57.22,1.50,3.73,537.63,400.87
57.42,1.51,3.72,547.41,402.84
57.62,1.51,3.74,527.86,401.39
57.82,1.51,3.72,508.31,402.84
58.02,1.52,3.74,566.96,402.63
58.22,1.51,3.73,557.18,402.12
58.42,1.49,3.72,566.96,400.35
58.62,1.51,3.74,606.06,401.39
58.82,1.50,3.74,576.74,400.15
59.02,1.51,3.74,625.61,401.39
59.22,1.52,3.74,615.84,402.63
59.42,1.49,3.72,566.96,400.35
59.62,1.50,3.72,557.18,401.60
59.82,1.51,3.73,508.31,402.12
60.02,1.50,3.73,508.31,400.87
60.22,1.51,3.74,498.53,401.39
60.42,1.49,3.74,449.66,398.91
60.62,1.51,3.73,459.43,402.12
60.82,1.52,3.74,488.76,402.63
61.02,1.50,3.73,478.98,400.87
61.22,1.52,3.74,478.98,402.63
61.42,1.51,3.73,478.98,402.12
61.62,1.51,3.73,469.21,402.12
61.82,1.51,3.73,459.43,402.12
62.02,1.51,3.73,459.43,402.12
62.22,1.51,3.73,459.43,402.12
62.42,1.49,3.74,488.76,398.91
62.62,1.50,3.73,518.08,400.87
62.82,1.51,3.73,566.96,402.12
63.02,1.51,3.74,576.74,401.39
63.22,1.51,3.72,547.41,402.84
63.42,1.51,3.73,557.18,402.12
63.62,1.49,3.73,547.41,399.63
63.82,1.51,3.72,537.63,402.84
64.02,1.51,3.73,518.08,402.12
64.22,1.50,3.72,498.53,401.60
64.42,1.51,3.74,488.76,401.39
64.62,1.50,3.73,508.31,400.87
64.82,1.50,3.73,469.21,400.87
65.02,1.52,3.74,527.86,402.63
65.22,1.50,3.72,488.76,401.60
65.42,1.50,3.74,498.53,400.15
65.62,1.49,3.73,478.98,399.63
65.82,1.50,3.72,478.98,401.60
66.02,1.51,3.74,459.43,401.39
66.22,1.49,3.72,459.43,400.35
