# material: Nylon PA6
# geometry: cyl 7ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 190.0
# drawdown_ratio: 50.0
# trial_number: 063
# operator: Akila
# start_time: 2025-11-21 11:09:11
# notes: Default feed and draw speeds. Open ended.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,4.99,508.31,400.46
1.42,2.00,4.99,498.53,400.46
1.62,2.01,5.01,518.08,400.86
1.82,1.99,5.01,498.53,399.00
2.02,2.01,5.01,537.63,400.86
2.22,2.00,4.99,527.86,400.46
2.42,2.00,5.01,508.31,399.93
2.62,2.01,5.01,547.41,400.86
2.82,2.00,4.99,547.41,400.46
3.02,2.01,4.99,576.74,401.39
3.22,2.00,5.01,547.41,399.93
3.42,2.00,4.99,488.76,400.46
3.62,2.01,4.99,498.53,401.39
3.82,2.00,5.01,488.76,399.93
4.02,2.00,5.01,459.43,399.93
4.22,2.00,5.01,478.98,399.93
4.42,2.00,4.99,430.11,400.46
4.62,2.00,4.99,469.21,400.46
4.82,2.00,4.99,449.66,400.46
5.02,2.00,5.01,527.86,399.93
5.22,2.01,5.01,518.08,400.86
5.42,1.99,4.99,527.86,399.53
5.62,2.00,5.01,537.63,399.93
5.82,2.00,4.99,537.63,400.46
6.02,2.01,5.01,518.08,400.86
6.22,2.01,4.99,527.86,401.39
6.42,2.01,5.01,508.31,400.86
6.62,2.00,4.99,488.76,400.46
6.82,2.00,4.99,498.53,400.46
7.02,2.00,5.01,488.76,399.93
7.22,2.01,4.99,469.21,401.39
7.42,2.01,5.02,459.43,400.32
7.62,2.01,5.01,459.43,400.86
7.82,2.01,4.99,469.21,401.39
8.02,2.01,5.01,449.66,400.86
8.22,2.01,5.01,478.98,400.86
8.42,2.00,5.01,459.43,399.93
8.62,2.01,5.01,508.31,400.86
8.82,2.01,5.01,537.63,400.86
9.02,2.01,5.01,537.63,400.86
9.22,2.01,4.99,576.74,401.39
9.42,2.00,4.99,586.51,400.46
9.62,2.01,5.01,586.51,400.86
9.82,2.01,4.99,566.96,401.39
10.02,2.01,4.99,498.53,401.39
10.22,2.00,4.99,488.76,400.46
10.42,2.00,5.01,498.53,399.93
10.62,2.00,5.01,459.43,399.93
10.82,2.00,4.99,439.88,400.46
11.02,2.00,4.99,449.66,400.46
11.22,2.00,5.01,400.78,399.93
11.42,2.01,5.01,410.56,400.86
11.62,2.01,4.98,400.78,401.94
11.82,2.01,5.01,430.11,400.86
12.02,2.00,5.01,391.01,399.93
12.22,2.00,5.01,391.01,399.93
12.42,2.00,5.01,420.33,399.93
12.62,2.01,5.01,391.01,400.86
12.82,2.01,5.01,430.11,400.86
13.02,1.99,5.01,410.56,399.00
13.22,2.01,4.98,439.88,401.94
13.42,1.99,4.99,410.56,399.53
13.62,2.01,5.01,439.88,400.86
13.82,2.01,5.01,400.78,400.86
14.02,2.01,5.01,420.33,400.86
14.22,2.01,5.01,381.23,400.86
14.42,2.00,5.01,410.56,399.93
14.62,2.01,4.99,400.78,401.39
14.82,2.01,5.01,420.33,400.86
15.02,1.99,4.99,488.76,399.53
15.22,2.00,5.01,498.53,399.93
15.42,2.00,5.01,508.31,399.93
15.62,2.00,5.02,537.63,399.39
15.82,2.00,5.01,527.86,399.93
16.02,2.01,5.01,518.08,400.86
16.22,1.99,4.99,488.76,399.53
16.42,2.01,5.01,527.86,400.86
16.62,1.99,4.99,518.08,399.53
16.82,2.01,4.99,498.53,401.39
17.02,1.99,5.01,498.53,399.00
17.22,2.01,5.02,508.31,400.32
17.42,2.01,5.01,478.98,400.86
17.62,2.01,4.99,488.76,401.39
17.82,2.01,4.99,469.21,401.39
18.02,2.01,5.01,488.76,400.86
18.22,2.01,4.99,469.21,401.39
18.42,1.99,5.01,469.21,399.00
18.62,2.00,5.01,488.76,399.93
18.82,2.01,5.01,478.98,400.86
19.02,2.00,5.01,459.43,399.93
19.22,2.00,5.01,498.53,399.93
19.42,2.00,5.01,439.88,399.93
19.62,2.01,5.01,488.76,400.86
19.82,2.01,5.01,508.31,400.86
20.02,2.01,5.01,537.63,400.86
20.22,1.99,5.01,527.86,399.00
20.42,2.00,4.99,488.76,400.46
20.62,2.01,4.99,459.43,401.39
20.82,2.00,5.01,537.63,399.93
21.02,2.01,5.01,469.21,400.86
21.22,2.00,5.02,469.21,399.39
21.42,2.01,4.99,498.53,401.39
21.62,2.01,5.01,488.76,400.86
21.82,2.01,5.01,469.21,400.86
22.02,1.99,5.01,449.66,399.00
22.22,2.01,5.02,498.53,400.32
22.42,2.01,5.01,508.31,400.86
22.62,2.00,5.01,547.41,399.93
22.82,2.01,5.01,488.76,400.86
23.02,2.00,4.99,488.76,400.46
23.22,2.02,5.01,488.76,401.78
23.42,2.00,4.99,527.86,400.46
23.62,2.01,5.03,498.53,399.79
23.82,2.01,5.01,498.53,400.86
24.02,2.00,5.01,508.31,399.93
24.22,2.00,5.01,478.98,399.93
24.42,2.00,5.01,459.43,399.93
24.62,2.02,5.01,498.53,401.78
24.82,2.00,5.01,469.21,399.93
25.02,2.01,5.01,469.21,400.86
25.22,2.01,5.01,439.88,400.86
25.42,2.00,5.02,449.66,399.39
25.62,1.99,5.01,439.88,399.00
25.82,2.01,5.01,449.66,400.86
26.02,2.00,5.01,420.33,399.93
