# material: Nylon PA6
# geometry: cyl 7ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 065
# operator: Akila
# start_time: 2025-11-24 15:24:06
# notes: Same draw speed as 064
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.73,254.15,402.12
1.42,1.52,3.73,263.93,403.36
1.62,1.52,3.74,263.93,402.63
1.82,1.51,3.73,234.60,402.12
2.02,1.51,3.74,244.38,401.39
2.22,1.52,3.72,234.60,404.08
2.42,1.53,3.73,244.38,404.59
2.62,1.51,3.73,234.60,402.12
2.82,1.51,3.74,215.05,401.39
3.02,1.51,3.73,205.28,402.12
3.22,1.52,3.74,185.73,402.63
3.42,1.52,3.74,195.50,402.63
3.62,1.52,3.74,195.50,402.63
3.82,1.52,3.73,205.28,403.36
4.02,1.51,3.70,185.73,403.57
4.22,1.52,3.74,205.28,402.63
4.42,1.50,3.73,185.73,400.87
4.62,1.52,3.74,175.95,402.63
4.82,1.52,3.72,166.18,404.08
5.02,1.53,3.74,175.95,403.86
5.22,1.50,3.72,156.40,401.60
5.42,1.52,3.74,185.73,402.63
5.62,1.52,3.73,166.18,403.36
5.82,1.52,3.74,195.50,402.63
6.02,1.51,3.74,185.73,401.39
6.22,1.53,3.74,166.18,403.86
6.42,1.51,3.73,166.18,402.12
6.62,1.52,3.74,156.40,402.63
6.82,1.51,3.73,195.50,402.12
7.02,1.52,3.73,156.40,403.36
7.22,1.52,3.74,175.95,402.63
7.42,1.50,3.72,146.63,401.60
7.62,1.52,3.74,185.73,402.63
7.82,1.51,3.73,166.18,402.12
8.02,1.51,3.74,156.40,401.39
8.22,1.50,3.73,146.63,400.87
8.42,1.51,3.74,156.40,401.39
8.62,1.50,3.72,166.18,401.60
8.82,1.52,3.74,136.85,402.63
9.02,1.52,3.73,127.08,403.36
9.22,1.52,3.73,136.85,403.36
9.42,1.51,3.74,146.63,401.39
9.62,1.50,3.73,127.08,400.87
9.82,1.52,3.73,146.63,403.36
10.02,1.50,3.73,146.63,400.87
10.22,1.52,3.73,146.63,403.36
10.42,1.50,3.73,146.63,400.87
10.62,1.51,3.74,136.85,401.39
10.82,1.51,3.73,136.85,402.12
11.02,1.52,3.73,136.85,403.36
11.22,1.51,3.74,146.63,401.39
11.42,1.52,3.73,156.40,403.36
11.62,1.52,3.72,146.63,404.08
11.82,1.52,3.73,136.85,403.36
12.02,1.51,3.73,146.63,402.12
12.22,1.50,3.74,127.08,400.15
12.42,1.52,3.73,146.63,403.36
12.62,1.50,3.73,127.08,400.87
12.82,1.51,3.73,146.63,402.12
13.02,1.50,3.73,156.40,400.87
13.22,1.52,3.74,136.85,402.63
13.42,1.50,3.74,136.85,400.15
13.62,1.52,3.74,156.40,402.63
13.82,1.50,3.73,117.30,400.87
14.02,1.50,3.74,156.40,400.15
14.22,1.52,3.72,156.40,404.08
14.42,1.52,3.73,166.18,403.36
14.62,1.50,3.73,136.85,400.87
14.82,1.52,3.74,156.40,402.63
15.02,1.51,3.72,146.63,402.84
15.22,1.53,3.74,166.18,403.86
15.42,1.51,3.72,166.18,402.84
15.62,1.51,3.74,185.73,401.39
15.82,1.52,3.73,175.95,403.36
16.02,1.50,3.74,156.40,400.15
16.22,1.51,3.74,185.73,401.39
16.42,1.51,3.74,195.50,401.39
16.62,1.51,3.73,175.95,402.12
16.82,1.51,3.73,175.95,402.12
17.02,1.51,3.72,166.18,402.84
17.22,1.51,3.72,156.40,402.84
17.42,1.51,3.74,156.40,401.39
17.62,1.51,3.73,156.40,402.12
17.82,1.52,3.74,166.18,402.63
18.02,1.49,3.74,166.18,398.91
18.22,1.51,3.74,136.85,401.39
18.42,1.51,3.73,146.63,402.12
18.62,1.52,3.73,166.18,403.36
18.82,1.52,3.73,146.63,403.36
19.02,1.52,3.74,146.63,402.63
19.22,1.52,3.73,146.63,403.36
19.42,1.50,3.74,127.08,400.15
19.62,1.50,3.73,146.63,400.87
19.82,1.52,3.74,127.08,402.63
20.02,1.52,3.74,146.63,402.63
20.22,1.50,3.74,136.85,400.15
20.42,1.52,3.74,175.95,402.63
20.62,1.51,3.74,166.18,401.39
20.82,1.52,3.74,156.40,402.63
21.02,1.51,3.73,156.40,402.12
21.22,1.51,3.74,156.40,401.39
21.42,1.52,3.74,166.18,402.63
21.62,1.51,3.73,156.40,402.12
21.82,1.52,3.70,156.40,404.81
22.02,1.50,3.74,156.40,400.15
22.22,1.52,3.74,146.63,402.63
22.42,1.50,3.72,127.08,401.60
22.62,1.52,3.74,146.63,402.63
22.82,1.51,3.73,127.08,402.12
23.02,1.52,3.73,166.18,403.36
23.22,1.50,3.73,156.40,400.87
23.42,1.51,3.73,175.95,402.12
23.62,1.50,3.72,166.18,401.60
23.82,1.51,3.73,146.63,402.12
24.02,1.51,3.74,136.85,401.39
24.22,1.52,3.73,156.40,403.36
24.42,1.51,3.74,156.40,401.39
24.62,1.52,3.73,146.63,403.36
24.82,1.51,3.74,166.18,401.39
25.02,1.50,3.73,146.63,400.87
25.22,1.53,3.74,166.18,403.86
25.42,1.51,3.72,146.63,402.84
25.62,1.52,3.73,166.18,403.36
25.82,1.51,3.72,156.40,402.84
26.02,1.52,3.74,156.40,402.63
26.22,1.53,3.73,166.18,404.59
26.42,1.51,3.74,175.95,401.39
26.62,1.52,3.74,185.73,402.63
26.82,1.51,3.73,156.40,402.12
27.02,1.51,3.73,166.18,402.12
27.22,1.51,3.73,185.73,402.12
27.42,1.52,3.74,175.95,402.63
27.62,1.50,3.73,166.18,400.87
27.82,1.53,3.74,185.73,403.86
28.02,1.51,3.73,156.40,402.12
28.22,1.51,3.74,185.73,401.39
28.42,1.51,3.73,166.18,402.12
28.62,1.51,3.74,185.73,401.39
28.82,1.50,3.73,175.95,400.87
29.02,1.52,3.74,195.50,402.63
29.22,1.51,3.74,195.50,401.39
29.42,1.52,3.74,185.73,402.63
29.62,1.51,3.74,185.73,401.39
29.82,1.52,3.74,166.18,402.63
30.02,1.50,3.73,156.40,400.87
30.22,1.53,3.73,195.50,404.59
30.42,1.51,3.73,195.50,402.12
30.62,1.52,3.73,195.50,403.36
30.82,1.51,3.74,175.95,401.39
31.02,1.50,3.72,156.40,401.60
31.22,1.51,3.72,175.95,402.84
31.42,1.51,3.74,205.28,401.39
31.62,1.52,3.72,195.50,404.08
31.82,1.50,3.74,185.73,400.15
32.02,1.52,3.74,254.15,402.63
32.22,1.49,3.73,293.26,399.63
32.42,1.52,3.74,303.03,402.63
32.62,1.50,3.73,254.15,400.87
32.82,1.52,3.73,244.38,403.36
33.02,1.52,3.73,244.38,403.36
33.22,1.52,3.74,234.60,402.63
33.42,1.50,3.73,234.60,400.87
33.62,1.51,3.74,215.05,401.39
33.82,1.51,3.73,224.83,402.12
34.02,1.50,3.74,215.05,400.15
34.22,1.52,3.73,234.60,403.36
34.42,1.52,3.74,254.15,402.63
34.62,1.51,3.73,244.38,402.12
34.82,1.52,3.74,234.60,402.63
35.02,1.51,3.73,263.93,402.12
35.22,1.50,3.74,234.60,400.15
35.42,1.52,3.74,263.93,402.63
35.62,1.49,3.74,215.05,398.91
35.82,1.52,3.73,244.38,403.36
36.02,1.51,3.73,244.38,402.12
36.22,1.52,3.76,273.70,401.91
36.42,1.51,3.74,263.93,401.39
36.62,1.52,3.74,254.15,402.63
36.82,1.52,3.73,263.93,403.36
37.02,1.50,3.74,244.38,400.15
37.22,1.51,3.73,263.93,402.12
37.42,1.52,3.73,263.93,403.36
37.62,1.52,3.74,263.93,402.63
37.82,1.50,3.73,244.38,400.87
38.02,1.52,3.74,254.15,402.63
38.22,1.50,3.72,273.70,401.60
38.42,1.52,3.74,273.70,402.63
38.62,1.52,3.73,254.15,403.36
38.82,1.52,3.74,263.93,402.63
39.02,1.51,3.73,273.70,402.12
39.22,1.51,3.73,293.26,402.12
39.42,1.49,3.74,273.70,398.91
39.62,1.51,3.74,293.26,401.39
39.82,1.51,3.73,283.48,402.12
40.02,1.51,3.73,312.81,402.12
40.22,1.52,3.74,322.58,402.63
40.42,1.50,3.72,293.26,401.60
40.62,1.51,3.74,342.13,401.39
40.82,1.50,3.73,322.58,400.87
41.02,1.52,3.73,332.36,403.36
41.22,1.51,3.73,332.36,402.12
41.42,1.52,3.73,361.68,403.36
41.62,1.51,3.73,361.68,402.12
41.82,1.52,3.74,361.68,402.63
42.02,1.52,3.73,391.01,403.36
42.22,1.50,3.74,371.46,400.15
42.42,1.51,3.74,381.23,401.39
42.62,1.50,3.73,400.78,400.87
42.82,1.52,3.73,410.56,403.36
43.02,1.50,3.73,410.56,400.87
43.22,1.52,3.73,430.11,403.36
43.42,1.50,3.73,439.88,400.87
43.62,1.52,3.74,420.33,402.63
43.82,1.51,3.72,439.88,402.84
44.02,1.50,3.74,478.98,400.15
44.22,1.52,3.73,498.53,403.36
44.42,1.52,3.74,537.63,402.63
44.62,1.50,3.73,547.41,400.87
44.82,1.53,3.74,566.96,403.86
45.02,1.52,3.72,615.84,404.08
45.22,1.52,3.74,684.26,402.63
45.42,1.50,3.74,694.04,400.15
45.62,1.50,3.74,762.46,400.15
45.82,1.52,3.74,772.24,402.63
46.02,1.51,3.73,782.01,402.12
46.22,1.52,3.73,733.14,403.36
46.42,1.51,3.73,654.94,402.12
46.62,1.51,3.73,586.51,402.12
46.82,1.50,3.74,547.41,400.15
47.02,1.52,3.74,508.31,402.63
47.22,1.50,3.72,439.88,401.60
47.42,1.50,3.74,430.11,400.15
47.62,1.52,3.73,391.01,403.36
47.82,1.52,3.74,410.56,402.63
48.02,1.50,3.74,371.46,400.15
48.22,1.53,3.74,391.01,403.86
48.42,1.50,3.73,361.68,400.87
48.62,1.52,3.74,381.23,402.63
48.82,1.51,3.72,371.46,402.84
49.02,1.52,3.74,371.46,402.63
49.22,1.53,3.73,400.78,404.59
49.42,1.51,3.74,361.68,401.39
49.62,1.52,3.73,400.78,403.36
49.82,1.51,3.74,381.23,401.39
50.02,1.52,3.73,400.78,403.36
50.22,1.50,3.74,351.91,400.15
50.42,1.52,3.72,381.23,404.08
50.62,1.50,3.73,351.91,400.87
50.82,1.52,3.74,342.13,402.63
51.02,1.52,3.74,351.91,402.63
51.22,1.52,3.74,351.91,402.63
51.42,1.52,3.76,342.13,401.91
51.62,1.51,3.73,322.58,402.12
51.82,1.51,3.73,293.26,402.12
52.02,1.52,3.74,312.81,402.63
52.22,1.50,3.73,293.26,400.87
52.42,1.53,3.73,293.26,404.59
52.62,1.51,3.73,303.03,402.12
52.82,1.50,3.74,283.48,400.15
53.02,1.50,3.73,273.70,400.87
53.22,1.51,3.74,293.26,401.39
53.42,1.51,3.73,244.38,402.12
53.62,1.50,3.73,244.38,400.87
53.82,1.52,3.73,263.93,403.36
54.02,1.50,3.73,244.38,400.87
54.22,1.51,3.73,244.38,402.12
54.42,1.51,3.74,254.15,401.39
54.62,1.51,3.74,263.93,401.39
54.82,1.51,3.72,0.00,402.84
55.02,1.51,3.74,273.70,401.39
55.22,1.50,3.72,254.15,401.60
55.42,1.52,3.74,0.00,402.63
55.62,1.51,3.74,263.93,401.39
55.82,1.51,3.74,0.00,401.39
56.02,1.51,3.73,254.15,402.12
56.22,1.52,3.74,234.60,402.63
56.42,1.52,3.73,244.38,403.36
56.62,1.50,3.74,234.60,400.15
56.82,1.52,3.72,254.15,404.08
57.02,1.50,3.73,224.83,400.87
57.22,1.52,3.74,263.93,402.63
57.42,1.51,3.74,263.93,401.39
57.62,1.50,3.73,263.93,400.87
57.82,1.51,3.73,254.15,402.12
58.02,1.51,3.73,254.15,402.12
58.22,1.49,3.72,244.38,400.35
58.42,1.52,3.74,254.15,402.63
58.62,1.50,3.73,234.60,400.87
58.82,1.52,3.73,254.15,403.36
59.02,1.50,3.74,234.60,400.15
59.22,1.53,3.73,224.83,404.59
59.42,1.50,3.73,234.60,400.87
59.62,1.53,3.73,224.83,404.59
59.82,1.52,3.74,244.38,402.63
60.02,1.51,3.74,215.05,401.39
60.22,1.52,3.73,234.60,403.36
60.42,1.51,3.73,215.05,402.12
60.62,1.50,3.73,254.15,400.87
60.82,1.52,3.73,234.60,403.36
61.02,1.52,3.74,293.26,402.63
61.22,1.52,3.74,283.48,402.63
61.42,1.51,3.74,283.48,401.39
61.62,1.50,3.76,263.93,399.44
61.82,1.51,3.73,312.81,402.12
62.02,1.51,3.73,332.36,402.12
62.22,1.51,3.74,303.03,401.39
62.42,1.52,3.73,293.26,403.36
62.62,1.53,3.74,303.03,403.86
62.82,1.51,3.72,273.70,402.84
63.02,1.52,3.74,273.70,402.63
63.22,1.51,3.73,263.93,402.12
63.42,1.51,3.74,263.93,401.39
63.62,1.52,3.73,293.26,403.36
63.82,1.51,3.73,263.93,402.12
64.02,1.51,3.74,263.93,401.39
64.22,1.50,3.73,254.15,400.87
64.42,1.52,3.72,254.15,404.08
64.62,1.50,3.72,254.15,401.60
64.82,1.52,3.73,234.60,403.36
65.02,1.52,3.72,234.60,404.08
65.22,1.52,3.74,254.15,402.63
65.42,1.52,3.73,215.05,403.36
65.62,1.51,3.73,224.83,402.12
65.82,1.51,3.74,215.05,401.39
66.02,1.50,3.72,224.83,401.60
66.22,1.52,3.73,244.38,403.36
66.42,1.51,3.73,254.15,402.12
66.62,1.51,3.74,244.38,401.39
66.82,1.50,3.73,244.38,400.87
67.02,1.51,3.76,234.60,400.68
67.22,1.51,3.73,234.60,402.12
67.42,1.51,3.73,263.93,402.12
67.62,1.50,3.73,254.15,400.87
67.82,1.52,3.73,263.93,403.36
68.02,1.52,3.73,263.93,403.36
68.22,1.51,3.73,263.93,402.12
68.42,1.51,3.73,224.83,402.12
68.62,1.51,3.73,254.15,402.12
68.82,1.52,3.74,263.93,402.63
69.02,1.50,3.73,215.05,400.87
69.22,1.52,3.74,244.38,402.63
69.42,1.50,3.73,215.05,400.87
69.62,1.52,3.74,234.60,402.63
69.82,1.50,3.72,234.60,401.60
70.02,1.52,3.74,234.60,402.63
70.22,1.51,3.73,224.83,402.12
70.42,1.51,3.74,234.60,401.39
70.62,1.52,3.73,234.60,403.36
70.82,1.51,3.73,224.83,402.12
71.02,1.51,3.73,205.28,402.12
71.22,1.52,3.73,224.83,403.36
71.42,1.51,3.74,234.60,401.39
71.62,1.51,3.73,263.93,402.12
71.82,1.50,3.74,254.15,400.15
72.02,1.50,3.73,254.15,400.87
72.22,1.51,3.74,244.38,401.39
72.42,1.52,3.74,224.83,402.63
72.62,1.51,3.73,263.93,402.12
72.82,1.50,3.74,254.15,400.15
73.02,1.52,3.74,273.70,402.63
73.22,1.52,3.73,244.38,403.36
73.42,1.52,3.73,263.93,403.36
73.62,1.51,3.73,254.15,402.12
73.82,1.51,3.74,254.15,401.39
74.02,1.52,3.73,263.93,403.36
74.22,1.50,3.74,234.60,400.15
74.42,1.52,3.73,273.70,403.36
74.62,1.51,3.73,244.38,402.12
74.82,1.52,3.74,283.48,402.63
75.02,1.50,3.72,273.70,401.60
75.22,1.52,3.74,254.15,402.63
75.42,1.50,3.73,244.38,400.87
75.62,1.52,3.76,254.15,401.91
75.82,1.51,3.74,263.93,401.39
76.02,1.50,3.74,283.48,400.15
76.22,1.51,3.74,273.70,401.39
76.42,1.50,3.74,263.93,400.15
76.62,1.52,3.72,273.70,404.08
76.82,1.50,3.72,263.93,401.60
77.02,1.52,3.74,273.70,402.63
77.22,1.50,3.72,263.93,401.60
77.42,1.52,3.74,273.70,402.63
77.62,1.52,3.72,273.70,404.08
77.82,1.51,3.74,312.81,401.39
78.02,1.51,3.74,283.48,401.39
78.22,1.50,3.73,312.81,400.87
78.42,1.52,3.73,283.48,403.36
78.62,1.51,3.73,332.36,402.12
78.82,1.52,3.74,322.58,402.63
79.02,1.49,3.73,303.03,399.63
79.22,1.51,3.74,303.03,401.39
79.42,1.50,3.73,322.58,400.87
79.62,1.51,3.73,303.03,402.12
79.82,1.50,3.72,312.81,401.60
80.02,1.52,3.73,312.81,403.36
80.22,1.52,3.73,332.36,403.36
80.42,1.52,3.73,322.58,403.36
80.62,1.51,3.72,322.58,402.84
80.82,1.50,3.73,293.26,400.87
