# material: Nylon PA6
# geometry: cyl 7ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 175.0
# drawdown_ratio: 50.0
# trial_number: 067
# operator: Akila
# start_time: 2025-11-25 12:51:55
# notes: Speeds same as 066; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.74,0.00,401.39
1.42,1.51,3.74,0.00,401.39
1.62,1.51,3.76,0.00,400.68
1.82,1.51,3.74,0.00,401.39
2.02,1.52,3.74,0.00,402.63
2.22,1.51,3.74,0.00,401.39
2.42,1.52,3.74,9.78,402.63
2.62,1.50,3.73,0.00,400.87
2.82,1.52,3.74,0.00,402.63
3.02,1.51,3.74,0.00,401.39
3.22,1.50,3.74,0.00,400.15
3.42,1.51,3.74,0.00,401.39
3.62,1.51,3.73,0.00,402.12
3.82,1.51,3.74,0.00,401.39
4.02,1.52,3.74,0.00,402.63
4.22,1.51,3.74,0.00,401.39
4.42,1.52,3.74,0.00,402.63
4.62,1.52,3.74,0.00,402.63
4.82,1.51,3.76,0.00,400.68
5.02,1.52,3.73,0.00,403.36
5.22,1.52,3.74,0.00,402.63
5.42,1.51,3.74,0.00,401.39
5.62,1.51,3.73,0.00,402.12
5.82,1.52,3.73,0.00,403.36
6.02,1.51,3.73,0.00,402.12
6.22,1.51,3.76,0.00,400.68
6.42,1.53,3.74,0.00,403.86
6.62,1.52,3.73,0.00,403.36
6.82,1.51,3.74,0.00,401.39
7.02,1.51,3.74,0.00,401.39
7.22,1.52,3.74,0.00,402.63
7.42,1.52,3.73,0.00,403.36
7.62,1.51,3.73,0.00,402.12
7.82,1.52,3.74,0.00,402.63
8.02,1.52,3.74,0.00,402.63
8.22,1.50,3.74,0.00,400.15
8.42,1.51,3.74,0.00,401.39
8.62,1.52,3.74,0.00,402.63
8.82,1.52,3.74,146.63,402.63
9.02,1.52,3.74,166.18,402.63
9.22,1.51,3.74,156.40,401.39
9.42,1.51,3.70,156.40,403.57
9.62,1.52,3.73,175.95,403.36
9.82,1.52,3.74,205.28,402.63
10.02,1.50,3.73,175.95,400.87
10.22,1.52,3.74,215.05,402.63
10.42,1.50,3.73,195.50,400.87
10.62,1.52,3.74,205.28,402.63
10.82,1.51,3.73,185.73,402.12
11.02,1.50,3.74,175.95,400.15
11.22,1.51,3.74,195.50,401.39
11.42,1.53,3.74,185.73,403.86
11.62,1.52,3.74,195.50,402.63
11.82,1.50,3.74,0.00,400.15
12.02,1.51,3.74,0.00,401.39
12.22,1.51,3.73,0.00,402.12
