# material: Nylon PA6
# geometry: cyl 7ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 188.0
# drawdown_ratio: 50.0
# trial_number: 068
# operator: Akila
# start_time: 2025-11-25 13:55:55
# notes: Speeds same as 066. Both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.76,391.01,400.68
1.42,1.52,3.74,400.78,402.63
1.62,1.51,3.76,371.46,400.68
1.82,1.52,3.74,400.78,402.63
2.02,1.51,3.74,391.01,401.39
2.22,1.52,3.74,391.01,402.63
2.42,1.50,3.74,351.91,400.15
2.62,1.52,3.76,371.46,401.91
2.82,1.51,3.73,361.68,402.12
3.02,1.51,3.76,342.13,400.68
3.22,1.51,3.72,351.91,402.84
3.42,1.50,3.74,342.13,400.15
3.62,1.52,3.74,381.23,402.63
3.82,1.49,3.76,342.13,398.20
4.02,1.51,3.76,371.46,400.68
4.22,1.51,3.73,361.68,402.12
4.42,1.52,3.74,381.23,402.63
4.62,1.51,3.73,381.23,402.12
4.82,1.50,3.74,351.91,400.15
5.02,1.51,3.74,381.23,401.39
5.22,1.52,3.73,361.68,403.36
5.42,1.52,3.73,351.91,403.36
5.62,1.50,3.74,351.91,400.15
5.82,1.52,3.76,351.91,401.91
6.02,1.52,3.74,361.68,402.63
6.22,1.52,3.74,342.13,402.63
6.42,1.52,3.74,322.58,402.63
6.62,1.50,3.74,312.81,400.15
6.82,1.51,3.74,342.13,401.39
7.02,1.52,3.73,312.81,403.36
7.22,1.52,3.74,342.13,402.63
7.42,1.49,3.76,312.81,398.20
7.62,1.51,3.74,312.81,401.39
7.82,1.51,3.74,303.03,401.39
8.02,1.51,3.73,322.58,402.12
8.22,1.52,3.74,342.13,402.63
8.42,1.50,3.76,322.58,399.44
8.62,1.51,3.74,361.68,401.39
8.82,1.51,3.74,361.68,401.39
9.02,1.52,3.74,351.91,402.63
9.22,1.51,3.74,381.23,401.39
9.42,1.52,3.76,371.46,401.91
9.62,1.52,3.76,371.46,401.91
9.82,1.52,3.76,342.13,401.91
10.02,1.51,3.74,342.13,401.39
10.22,1.50,3.73,332.36,400.87
10.42,1.50,3.74,322.58,400.15
10.62,1.51,3.76,322.58,400.68
10.82,1.52,3.74,312.81,402.63
11.02,1.51,3.74,303.03,401.39
11.22,1.50,3.73,283.48,400.87
11.42,1.51,3.74,283.48,401.39
11.62,1.52,3.74,293.26,402.63
11.82,1.51,3.74,312.81,401.39
12.02,1.50,3.74,293.26,400.15
12.22,1.51,3.74,273.70,401.39
12.42,1.52,3.74,283.48,402.63
12.62,1.52,3.74,283.48,402.63
12.82,1.51,3.74,303.03,401.39
13.02,1.51,3.73,283.48,402.12
13.22,1.52,3.74,303.03,402.63
13.42,1.51,3.73,322.58,402.12
13.62,1.52,3.74,312.81,402.63
13.82,1.50,3.74,303.03,400.15
14.02,1.51,3.74,322.58,401.39
14.22,1.52,3.74,332.36,402.63
14.42,1.52,3.74,332.36,402.63
14.62,1.52,3.74,293.26,402.63
14.82,1.51,3.74,283.48,401.39
15.02,1.50,3.74,303.03,400.15
15.22,1.51,3.74,303.03,401.39
15.42,1.50,3.74,293.26,400.15
15.62,1.52,3.74,293.26,402.63
15.82,1.51,3.74,293.26,401.39
16.02,1.52,3.73,293.26,403.36
16.22,1.50,3.74,273.70,400.15
16.42,1.52,3.74,283.48,402.63
16.62,1.50,3.73,254.15,400.87
16.82,1.51,3.74,273.70,401.39
17.02,1.51,3.73,273.70,402.12
17.22,1.52,3.74,263.93,402.63
17.42,1.52,3.74,273.70,402.63
17.62,1.52,3.74,293.26,402.63
17.82,1.52,3.74,283.48,402.63
18.02,1.52,3.73,293.26,403.36
18.22,1.52,3.74,283.48,402.63
18.42,1.50,3.73,283.48,400.87
18.62,1.52,3.74,263.93,402.63
18.82,1.52,3.73,273.70,403.36
19.02,1.52,3.74,283.48,402.63
19.22,1.51,3.74,283.48,401.39
19.42,1.51,3.73,293.26,402.12
19.62,1.51,3.73,263.93,402.12
19.82,1.50,3.73,293.26,400.87
20.02,1.52,3.73,293.26,403.36
20.22,1.49,3.74,283.48,398.91
20.42,1.51,3.74,303.03,401.39
20.62,1.50,3.73,312.81,400.87
20.82,1.51,3.73,293.26,402.12
21.02,1.51,3.74,303.03,401.39
21.22,1.51,3.76,312.81,400.68
21.42,1.52,3.74,312.81,402.63
21.62,1.51,3.73,322.58,402.12
21.82,1.52,3.74,312.81,402.63
22.02,1.50,3.73,342.13,400.87
22.22,1.51,3.74,303.03,401.39
22.42,1.51,3.74,283.48,401.39
22.62,1.53,3.77,312.81,402.42
22.82,1.51,3.74,312.81,401.39
23.02,1.50,3.73,263.93,400.87
23.22,1.52,3.74,312.81,402.63
23.42,1.51,3.73,303.03,402.12
23.62,1.51,3.74,303.03,401.39
23.82,1.50,3.73,283.48,400.87
24.02,1.52,3.74,273.70,402.63
24.22,1.51,3.74,293.26,401.39
24.42,1.50,3.74,303.03,400.15
24.62,1.52,3.73,303.03,403.36
24.82,1.51,3.76,283.48,400.68
25.02,1.52,3.74,273.70,402.63
25.22,1.51,3.73,303.03,402.12
25.42,1.51,3.74,273.70,401.39
25.62,1.49,3.74,293.26,398.91
25.82,1.51,3.74,312.81,401.39
26.02,1.52,3.73,322.58,403.36
26.22,1.52,3.73,322.58,403.36
26.42,1.52,3.74,303.03,402.63
26.62,1.52,3.73,303.03,403.36
26.82,1.52,3.74,303.03,402.63
27.02,1.51,3.74,293.26,401.39
27.22,1.51,3.74,293.26,401.39
27.42,1.52,3.74,283.48,402.63
27.62,1.51,3.74,273.70,401.39
27.82,1.52,3.74,293.26,402.63
28.02,1.52,3.74,293.26,402.63
28.22,1.52,3.74,273.70,402.63
28.42,1.52,3.74,254.15,402.63
28.62,1.52,3.73,283.48,403.36
28.82,1.52,3.73,254.15,403.36
29.02,1.51,3.74,254.15,401.39
29.22,1.50,3.73,254.15,400.87
29.42,1.52,3.74,273.70,402.63
29.62,1.52,3.74,263.93,402.63
29.82,1.50,3.74,254.15,400.15
30.02,1.52,3.76,273.70,401.91
30.22,1.51,3.77,263.93,399.96
30.42,1.51,3.74,263.93,401.39
30.62,1.51,3.73,263.93,402.12
30.82,1.50,3.77,273.70,398.73
31.02,1.52,3.74,283.48,402.63
31.22,1.51,3.74,273.70,401.39
31.42,1.52,3.76,303.03,401.91
31.62,1.51,3.73,273.70,402.12
31.82,1.52,3.74,303.03,402.63
32.02,1.51,3.73,293.26,402.12
32.22,1.53,3.76,273.70,403.14
32.42,1.52,3.73,303.03,403.36
32.62,1.50,3.76,312.81,399.44
32.82,1.52,3.74,312.81,402.63
33.02,1.50,3.76,303.03,399.44
33.22,1.52,3.74,322.58,402.63
33.42,1.51,3.73,312.81,402.12
33.62,1.53,3.76,312.81,403.14
33.82,1.51,3.76,342.13,400.68
34.02,1.51,3.76,332.36,400.68
34.22,1.52,3.74,351.91,402.63
34.42,1.50,3.74,332.36,400.15
34.62,1.52,3.74,361.68,402.63
34.82,1.50,3.74,361.68,400.15
35.02,1.52,3.74,381.23,402.63
35.22,1.51,3.72,371.46,402.84
35.42,1.51,3.76,351.91,400.68
35.62,1.51,3.76,342.13,400.68
35.82,1.51,3.76,361.68,400.68
36.02,1.51,3.74,391.01,401.39
36.22,1.50,3.73,371.46,400.87
36.42,1.51,3.74,381.23,401.39
36.62,1.52,3.74,391.01,402.63
36.82,1.50,3.74,391.01,400.15
37.02,1.52,3.74,430.11,402.63
37.22,1.50,3.73,400.78,400.87
37.42,1.53,3.74,439.88,403.86
37.62,1.51,3.74,410.56,401.39
37.82,1.52,3.73,459.43,403.36
38.02,1.49,3.73,459.43,399.63
38.22,1.51,3.73,449.66,402.12
38.42,1.51,3.73,459.43,402.12
38.62,1.50,3.73,459.43,400.87
38.82,1.52,3.73,469.21,403.36
39.02,1.52,3.74,469.21,402.63
39.22,1.52,3.77,498.53,401.20
39.42,1.50,3.74,478.98,400.15
39.62,1.52,3.74,508.31,402.63
39.82,1.52,3.73,527.86,403.36
40.02,1.51,3.74,518.08,401.39
40.22,1.51,3.72,518.08,402.84
40.42,1.52,3.74,508.31,402.63
40.62,1.52,3.74,547.41,402.63
40.82,1.50,3.73,557.18,400.87
41.02,1.51,3.76,586.51,400.68
41.22,1.50,3.73,615.84,400.87
41.42,1.51,3.74,645.16,401.39
41.62,1.51,3.74,645.16,401.39
41.82,1.49,3.73,694.04,399.63
42.02,1.51,3.74,733.14,401.39
42.22,1.50,3.73,723.36,400.87
42.42,1.51,3.74,772.24,401.39
42.62,1.52,3.74,772.24,402.63
42.82,1.51,3.74,752.69,401.39
43.02,1.51,3.76,0.00,400.68
43.22,1.50,3.73,723.36,400.87
43.42,1.52,3.74,752.69,402.63
43.62,1.50,3.73,762.46,400.87
43.82,1.52,3.76,811.34,401.91
44.02,1.50,3.73,840.66,400.87
44.22,1.51,3.74,0.00,401.39
44.42,1.51,3.74,0.00,401.39
44.62,1.50,3.74,0.00,400.15
44.82,1.52,3.76,0.00,401.91
45.02,1.50,3.74,0.00,400.15
45.22,1.52,3.74,0.00,402.63
45.42,1.50,3.73,0.00,400.87
45.62,1.52,3.73,0.00,403.36
45.82,1.51,3.74,0.00,401.39
46.02,1.50,3.76,0.00,399.44
46.22,1.51,3.74,0.00,401.39
46.42,1.50,3.73,0.00,400.87
46.62,1.52,3.76,0.00,401.91
46.82,1.52,3.76,0.00,401.91
47.02,1.51,3.74,0.00,401.39
47.22,1.52,3.74,664.71,402.63
47.42,1.51,3.73,566.96,402.12
47.62,1.50,3.74,508.31,400.15
47.82,1.51,3.76,0.00,400.68
48.02,1.51,3.74,0.00,401.39
48.22,1.52,3.74,0.00,402.63
48.42,1.50,3.73,0.00,400.87
48.62,1.52,3.74,0.00,402.63
48.82,1.51,3.73,0.00,402.12
49.02,1.51,3.76,0.00,400.68
49.22,1.51,3.74,0.00,401.39
49.42,1.52,3.73,0.00,403.36
49.62,1.52,3.76,0.00,401.91
49.82,1.49,3.73,0.00,399.63
50.02,1.53,3.74,0.00,403.86
50.22,1.52,3.74,0.00,402.63
50.42,1.51,3.73,0.00,402.12
50.62,1.52,3.74,0.00,402.63
50.82,1.52,3.74,0.00,402.63
51.02,1.50,3.74,0.00,400.15
51.22,1.52,3.73,0.00,403.36
51.42,1.50,3.73,0.00,400.87
51.62,1.52,3.73,0.00,403.36
51.82,1.50,3.73,0.00,400.87
52.02,1.53,3.74,0.00,403.86
52.22,1.52,3.73,0.00,403.36
52.42,1.52,3.73,0.00,403.36
52.62,1.52,3.74,0.00,402.63
52.82,1.49,3.73,0.00,399.63
53.02,1.51,3.74,0.00,401.39
53.22,1.51,3.72,0.00,402.84
53.42,1.52,3.73,0.00,403.36
53.62,1.52,3.74,0.00,402.63
53.82,1.49,3.73,0.00,399.63
54.02,1.52,3.73,0.00,403.36
54.22,1.52,3.73,0.00,403.36
54.42,1.50,3.74,0.00,400.15
54.62,1.50,3.74,0.00,400.15
54.82,1.50,3.74,0.00,400.15
55.02,1.52,3.74,9.78,402.63
55.22,1.52,3.73,0.00,403.36
55.42,1.52,3.74,0.00,402.63
55.62,1.51,3.74,0.00,401.39
55.82,1.51,3.74,0.00,401.39
56.02,1.51,3.74,0.00,401.39
56.22,1.51,3.73,0.00,402.12
56.42,1.52,3.73,0.00,403.36
56.62,1.52,3.76,0.00,401.91
56.82,1.51,3.72,0.00,402.84
57.02,1.52,3.74,0.00,402.63
57.22,1.52,3.74,0.00,402.63
57.42,1.52,3.76,371.46,401.91
57.62,1.52,3.73,342.13,403.36
57.82,1.51,3.74,0.00,401.39
58.02,1.52,3.74,0.00,402.63
58.22,1.51,3.73,0.00,402.12
58.42,1.52,3.76,0.00,401.91
58.62,1.52,3.74,0.00,402.63
58.82,1.50,3.76,0.00,399.44
59.02,1.51,3.74,0.00,401.39
59.22,1.52,3.74,0.00,402.63
59.42,1.50,3.76,0.00,399.44
59.62,1.52,3.74,0.00,402.63
59.82,1.52,3.73,0.00,403.36
60.02,1.53,3.74,0.00,403.86
60.22,1.51,3.70,0.00,403.57
60.42,1.51,3.74,0.00,401.39
60.62,1.52,3.74,0.00,402.63
60.82,1.50,3.73,0.00,400.87
61.02,1.53,3.76,0.00,403.14
61.22,1.52,3.74,0.00,402.63
61.42,1.50,3.73,0.00,400.87
61.62,1.52,3.76,0.00,401.91
61.82,1.51,3.74,312.81,401.39
62.02,1.52,3.74,0.00,402.63
62.22,1.51,3.74,322.58,401.39
62.42,1.51,3.73,0.00,402.12
62.62,1.51,3.74,0.00,401.39
62.82,1.50,3.76,0.00,399.44
63.02,1.52,3.74,0.00,402.63
63.22,1.51,3.73,332.36,402.12
63.42,1.53,3.73,0.00,404.59
63.62,1.51,3.76,0.00,400.68
63.82,1.50,3.73,0.00,400.87
64.02,1.52,3.74,0.00,402.63
64.22,1.51,3.73,0.00,402.12
64.42,1.51,3.76,0.00,400.68
64.62,1.51,3.74,0.00,401.39
64.82,1.50,3.73,0.00,400.87
65.02,1.51,3.76,224.83,400.68
65.22,1.51,3.72,224.83,402.84
65.42,1.52,3.72,224.83,404.08
65.62,1.51,3.73,244.38,402.12
65.82,1.50,3.74,244.38,400.15
66.02,1.51,3.74,254.15,401.39
66.22,1.50,3.74,234.60,400.15
66.42,1.51,3.73,254.15,402.12
66.62,1.51,3.74,263.93,401.39
66.82,1.52,3.74,263.93,402.63
67.02,1.51,3.72,283.48,402.84
67.22,1.52,3.74,273.70,402.63
67.42,1.52,3.74,244.38,402.63
67.62,1.51,3.74,263.93,401.39
67.82,1.52,3.73,263.93,403.36
68.02,1.51,3.74,254.15,401.39
68.22,1.52,3.74,283.48,402.63
68.42,1.50,3.74,283.48,400.15
68.62,1.52,3.74,283.48,402.63
68.82,1.51,3.73,283.48,402.12
69.02,1.52,3.74,273.70,402.63
69.22,1.51,3.73,283.48,402.12
69.42,1.51,3.74,283.48,401.39
69.62,1.52,3.74,273.70,402.63
69.82,1.50,3.73,254.15,400.87
70.02,1.52,3.74,273.70,402.63
70.22,1.50,3.73,273.70,400.87
70.42,1.52,3.74,263.93,402.63
70.62,1.51,3.73,303.03,402.12
70.82,1.52,3.74,361.68,402.63
71.02,1.52,3.74,361.68,402.63
71.22,1.51,3.76,400.78,400.68
71.42,1.50,3.73,449.66,400.87
