# material: Nylon PA6
# geometry: cyl 7ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 184.0
# drawdown_ratio: 50.0
# trial_number: 069
# operator: Akila
# start_time: 2025-11-25 14:43:49
# notes: Speeds same as 066. Both ends sealed.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,5.03,439.88,398.86
1.42,2.00,5.03,391.01,398.86
1.62,2.00,5.03,381.23,398.86
1.82,1.98,5.02,351.91,397.53
2.02,2.00,5.03,381.23,398.86
2.22,2.00,5.03,361.68,398.86
2.42,1.99,5.03,361.68,397.93
2.62,1.99,5.03,381.23,397.93
2.82,1.98,5.03,381.23,397.00
3.02,2.00,5.03,361.68,398.86
3.22,1.99,5.03,351.91,397.93
3.42,2.00,5.03,371.46,398.86
3.62,1.98,5.03,312.81,397.00
3.82,1.99,5.03,381.23,397.93
4.02,2.00,5.03,371.46,398.86
4.22,2.00,5.03,400.78,398.86
4.42,1.99,5.03,430.11,397.93
4.62,1.99,5.03,381.23,397.93
4.82,1.99,5.03,420.33,397.93
5.02,1.99,5.03,508.31,397.93
5.22,2.00,5.03,566.96,398.86
5.42,1.98,5.03,469.21,397.00
5.62,1.99,5.03,449.66,397.93
5.82,1.99,5.02,400.78,398.46
6.02,1.99,5.02,420.33,398.46
6.22,1.99,5.03,381.23,397.93
6.42,1.99,5.03,381.23,397.93
6.62,1.99,5.03,400.78,397.93
6.82,2.00,5.03,400.78,398.86
7.02,2.00,5.03,420.33,398.86
7.22,1.98,5.03,459.43,397.00
7.42,2.00,5.03,439.88,398.86
7.62,2.00,5.03,430.11,398.86
7.82,2.00,5.03,400.78,398.86
8.02,1.99,5.02,439.88,398.46
8.22,2.00,5.02,400.78,399.39
8.42,1.99,5.02,400.78,398.46
8.62,2.01,5.03,400.78,399.79
8.82,1.98,5.03,420.33,397.00
9.02,1.99,5.06,430.11,396.87
9.22,2.00,5.03,459.43,398.86
9.42,2.00,5.03,439.88,398.86
9.62,2.00,5.05,420.33,398.33
9.82,1.99,5.03,391.01,397.93
10.02,2.00,5.03,420.33,398.86
10.22,2.00,5.03,400.78,398.86
10.42,2.00,5.03,391.01,398.86
10.62,1.98,5.02,361.68,397.53
10.82,1.99,5.03,400.78,397.93
11.02,1.99,5.02,351.91,398.46
11.22,1.99,5.03,381.23,397.93
11.42,1.99,5.03,351.91,397.93
11.62,1.99,5.03,371.46,397.93
11.82,1.99,5.03,410.56,397.93
12.02,2.00,5.03,381.23,398.86
12.22,2.00,5.03,410.56,398.86
12.42,1.98,5.03,410.56,397.00
12.62,2.00,5.03,459.43,398.86
12.82,1.99,5.03,498.53,397.93
13.02,2.00,5.02,478.98,399.39
13.22,1.98,5.02,508.31,397.53
13.42,2.00,5.03,518.08,398.86
13.62,2.00,5.02,488.76,399.39
13.82,2.00,5.03,498.53,398.86
14.02,2.00,5.03,439.88,398.86
14.22,1.98,5.02,420.33,397.53
14.42,2.00,5.03,400.78,398.86
14.62,2.00,5.03,400.78,398.86
14.82,1.99,5.03,420.33,397.93
15.02,1.99,5.02,381.23,398.46
15.22,2.00,5.03,439.88,398.86
15.42,2.00,5.03,430.11,398.86
15.62,2.00,5.03,420.33,398.86
15.82,1.99,5.03,410.56,397.93
16.02,1.98,5.02,420.33,397.53
16.22,1.98,5.03,410.56,397.00
16.42,2.00,5.03,430.11,398.86
16.62,1.98,5.03,420.33,397.00
16.82,2.00,5.05,488.76,398.33
17.02,1.98,5.02,537.63,397.53
17.22,2.00,5.03,625.61,398.86
17.42,2.00,5.03,625.61,398.86
17.62,1.99,5.03,635.39,397.93
17.82,2.00,5.02,606.06,399.39
18.02,2.00,5.03,586.51,398.86
18.22,2.00,5.03,537.63,398.86
