# material: Nylon PA6
# geometry: cyl
# preform_diameter: 15.0
# material_color: White
# temperature_C: 203.0
# drawdown_ratio: 50.0
# trial_number: 049
# operator: Akila
# start_time: 2025-11-10 11:41:37
# notes: Changing draw speed according to diameter to 2.11 m per min
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.50,2.08,351.91,536.86
1.42,1.50,2.07,351.91,538.60
1.62,1.51,2.08,361.68,538.53
1.82,1.51,2.09,322.58,536.80
2.02,1.52,2.07,332.36,541.94
2.22,1.51,2.09,312.81,536.80
2.42,1.49,2.07,283.48,536.93
2.62,1.52,2.09,303.03,538.45
2.82,1.51,2.07,273.70,540.27
3.02,1.50,2.11,263.93,533.43
3.22,1.52,2.05,263.93,543.71
3.42,1.50,2.08,244.38,536.86
3.62,1.50,2.07,254.15,538.60
3.82,1.50,2.09,254.15,535.14
4.02,1.51,2.09,244.38,536.80
4.22,1.50,2.09,254.15,535.14
4.42,1.51,2.05,244.38,542.04
4.62,1.51,2.09,254.15,536.80
4.82,1.51,2.08,224.83,538.53
5.02,1.52,2.08,244.38,540.19
5.22,1.50,2.08,224.83,536.86
5.42,1.52,2.09,244.38,538.45
5.62,1.50,2.11,244.38,533.43
5.82,1.52,2.08,244.38,540.19
6.02,1.51,2.07,234.60,540.27
6.22,1.51,2.08,224.83,538.53
6.42,1.52,2.07,195.50,541.94
6.62,1.51,2.07,224.83,540.27
6.82,1.51,2.08,215.05,538.53
7.02,1.50,2.07,215.05,538.60
7.22,1.52,2.09,185.73,538.45
7.42,1.51,2.07,205.28,540.27
7.62,1.51,2.09,205.28,536.80
7.82,1.49,2.09,195.50,533.47
8.02,1.51,2.09,175.95,536.80
8.22,1.50,2.08,185.73,536.86
8.42,1.52,2.08,205.28,540.19
8.62,1.51,2.07,185.73,540.27
8.82,1.51,2.08,175.95,538.53
9.02,1.51,2.07,185.73,540.27
9.22,1.51,2.08,185.73,538.53
9.42,1.50,2.07,127.08,538.60
9.62,1.51,2.08,166.18,538.53
9.82,1.50,2.07,175.95,538.60
10.02,1.50,2.07,215.05,538.60
10.22,1.51,2.07,205.28,540.27
