# material: Nylon PA6
# geometry: cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 250.0
# drawdown_ratio: 50.0
# trial_number: 032
# operator: Akila
# start_time: 2025-10-28 15:23:48
# notes: Open ended Preform.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.01,742.91,400.86
1.42,2.02,4.99,801.56,402.32
1.62,2.01,5.01,821.11,400.86
1.82,2.03,5.01,830.89,402.71
2.02,2.02,5.01,889.54,401.78
2.22,2.00,4.99,928.64,400.46
2.42,2.02,5.01,957.97,401.78
2.62,2.02,5.01,948.19,401.78
2.82,2.01,4.99,928.64,401.39
3.02,2.01,4.99,957.97,401.39
3.22,2.02,5.01,967.74,401.78
3.42,2.01,5.01,909.09,400.86
3.62,2.02,4.99,850.44,402.32
3.82,2.01,5.01,830.89,400.86
4.02,2.02,5.01,830.89,401.78
4.22,2.01,5.01,850.44,400.86
4.42,2.01,4.99,860.21,401.39
4.62,2.01,4.99,811.34,401.39
4.82,2.01,5.01,879.77,400.86
5.02,2.01,5.01,0.00,400.86
5.22,2.02,4.99,0.00,402.32
5.42,2.02,5.01,0.00,401.78
5.62,2.02,5.01,0.00,401.78
5.82,2.02,4.99,0.00,402.32
6.02,2.00,4.98,0.00,401.00
6.22,2.01,5.01,0.00,400.86
6.42,2.02,5.01,0.00,401.78
6.62,2.00,4.99,0.00,400.46
6.82,2.01,4.99,0.00,401.39
7.02,2.01,4.99,0.00,401.39
7.22,2.01,5.01,0.00,400.86
7.42,2.00,4.99,0.00,400.46
7.62,2.02,5.01,0.00,401.78
7.82,2.01,5.01,0.00,400.86
8.02,2.01,4.99,0.00,401.39
8.22,2.01,4.99,0.00,401.39
8.42,2.02,4.99,0.00,402.32
8.62,2.00,4.99,0.00,400.46
8.82,2.00,5.01,0.00,399.93
9.02,2.02,5.01,0.00,401.78
9.22,2.00,4.99,0.00,400.46
9.42,2.00,4.99,0.00,400.46
9.62,2.02,4.99,0.00,402.32
9.82,2.02,4.99,0.00,402.32
10.02,2.01,4.99,0.00,401.39
10.22,2.01,4.99,0.00,401.39
10.42,2.02,4.99,0.00,402.32
10.62,2.02,4.97,0.00,403.41
10.82,2.01,4.99,0.00,401.39
11.02,2.02,4.99,0.00,402.32
11.22,2.02,4.99,0.00,402.32
11.42,2.00,4.99,0.00,400.46
11.62,2.01,4.99,0.00,401.39
11.82,2.02,5.01,0.00,401.78
12.02,2.01,5.01,0.00,400.86
12.22,2.01,4.99,0.00,401.39
12.42,2.02,4.99,0.00,402.32
12.62,2.01,5.01,0.00,400.86
12.82,2.01,5.01,0.00,400.86
13.02,2.01,4.99,0.00,401.39
13.22,2.01,5.01,0.00,400.86
13.42,2.00,4.99,518.08,400.46
13.62,2.00,4.99,537.63,400.46
13.82,2.02,4.98,0.00,402.86
14.02,2.01,5.01,498.53,400.86
14.22,2.01,4.99,498.53,401.39
14.42,2.02,4.99,0.00,402.32
14.62,2.00,4.99,518.08,400.46
14.82,2.01,5.02,527.86,400.32
15.02,2.01,5.01,547.41,400.86
15.22,2.02,4.99,527.86,402.32
15.42,2.02,4.99,537.63,402.32
15.62,2.01,4.99,518.08,401.39
15.82,2.00,4.99,498.53,400.46
16.02,2.01,4.99,0.00,401.39
16.22,2.02,5.01,0.00,401.78
16.42,2.01,4.98,508.31,401.94
16.62,2.01,4.99,478.98,401.39
16.82,2.01,4.99,498.53,401.39
17.02,2.02,4.99,498.53,402.32
17.22,2.01,5.01,488.76,400.86
17.42,2.02,5.01,0.00,401.78
17.62,2.02,4.99,0.00,402.32
17.82,2.00,5.01,0.00,399.93
18.02,1.99,4.99,0.00,399.53
18.22,2.02,5.01,0.00,401.78
18.42,2.02,5.01,0.00,401.78
18.62,2.01,4.99,0.00,401.39
18.82,2.01,4.99,0.00,401.39
19.02,2.02,4.99,0.00,402.32
19.22,2.02,5.01,0.00,401.78
19.42,2.00,4.99,0.00,400.46
19.62,2.01,4.99,0.00,401.39
19.82,2.01,5.01,0.00,400.86
20.02,2.01,5.01,9.78,400.86
20.22,2.01,4.99,0.00,401.39
20.42,2.02,4.99,0.00,402.32
20.62,2.02,5.01,0.00,401.78
20.82,2.01,5.02,0.00,400.32
21.02,2.02,5.01,0.00,401.78
21.22,2.02,5.01,0.00,401.78
21.42,2.03,4.99,0.00,403.25
21.62,2.01,4.98,0.00,401.94
21.82,2.02,5.01,0.00,401.78
22.02,2.01,4.99,0.00,401.39
22.22,2.00,4.99,0.00,400.46
22.42,2.02,5.01,0.00,401.78
22.62,2.02,5.01,0.00,401.78
22.82,2.00,5.01,0.00,399.93
23.02,2.01,4.99,0.00,401.39
23.22,2.01,4.99,0.00,401.39
23.42,2.00,4.99,0.00,400.46
23.62,2.01,4.99,615.84,401.39
23.82,2.02,5.01,606.06,401.78
24.02,2.01,5.01,576.74,400.86
24.22,2.02,4.99,0.00,402.32
24.42,2.02,5.01,615.84,401.78
24.62,2.01,5.01,635.39,400.86
24.82,2.01,4.97,0.00,402.48
25.02,2.01,5.01,674.49,400.86
25.22,2.02,4.99,713.59,402.32
25.42,2.01,5.01,0.00,400.86
25.62,2.01,4.99,684.26,401.39
25.82,2.02,5.01,664.71,401.78
26.02,2.02,5.01,674.49,401.78
26.22,2.00,4.99,645.16,400.46
26.42,2.01,4.99,694.04,401.39
26.62,2.01,4.99,742.91,401.39
26.82,2.02,5.01,791.79,401.78
27.02,2.01,4.99,772.24,401.39
27.22,2.02,5.01,772.24,401.78
27.42,2.01,5.01,811.34,400.86
27.62,2.00,4.99,821.11,400.46
27.82,2.01,4.99,860.21,401.39
28.02,2.01,5.01,889.54,400.86
28.22,2.02,4.99,850.44,402.32
28.42,2.00,4.99,821.11,400.46
