# material: Nylon PA6
# geometry: cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 215.0
# drawdown_ratio: 50.0
# trial_number: 033
# operator: Akila
# start_time: 2025-10-28 15:36:28
# notes: Open ended preform
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,4.94,566.96,404.50
1.42,2.00,4.93,518.08,403.18
1.62,2.01,4.94,576.74,403.57
1.82,2.02,4.94,566.96,404.50
2.02,2.01,4.93,576.74,404.12
2.22,2.01,4.94,596.29,403.57
2.42,2.00,4.93,625.61,403.18
2.62,2.01,4.93,615.84,404.12
2.82,2.01,4.93,596.29,404.12
3.02,2.01,4.93,547.41,404.12
3.22,2.02,4.94,547.41,404.50
3.42,2.00,4.93,615.84,403.18
3.62,2.01,4.94,586.51,403.57
3.82,2.02,4.93,566.96,405.05
4.02,2.00,4.93,547.41,403.18
4.22,2.00,4.93,615.84,403.18
4.42,2.00,4.94,606.06,402.63
4.62,2.02,4.94,537.63,404.50
4.82,2.02,4.93,547.41,405.05
5.02,2.00,4.93,537.63,403.18
5.22,2.02,4.94,557.18,404.50
5.42,2.00,4.94,557.18,402.63
5.62,2.02,4.93,518.08,405.05
5.82,2.02,4.94,488.76,404.50
6.02,2.00,4.94,469.21,402.63
6.22,2.01,4.94,508.31,403.57
6.42,2.00,4.94,518.08,402.63
6.62,2.01,4.94,478.98,403.57
6.82,2.00,4.94,449.66,402.63
7.02,2.00,4.94,478.98,402.63
7.22,2.01,4.94,478.98,403.57
7.42,2.02,4.94,469.21,404.50
7.62,2.01,4.93,361.68,404.12
7.82,2.01,4.94,420.33,403.57
8.02,2.00,4.94,449.66,402.63
8.22,2.02,4.93,430.11,405.05
8.42,2.02,4.93,410.56,405.05
8.62,2.02,4.93,488.76,405.05
8.82,2.01,4.94,391.01,403.57
9.02,2.01,4.93,410.56,404.12
9.22,2.02,4.93,400.78,405.05
9.42,2.02,4.94,439.88,404.50
9.62,2.01,4.93,342.13,404.12
9.82,2.02,4.95,391.01,403.95
10.02,2.01,4.93,283.48,404.12
10.22,2.01,4.93,439.88,404.12
10.42,2.01,4.93,410.56,404.12
10.62,2.02,4.93,322.58,405.05
10.82,2.01,4.93,391.01,404.12
11.02,2.01,4.93,381.23,404.12
11.22,2.02,4.93,332.36,405.05
11.42,2.01,4.93,381.23,404.12
11.62,2.02,4.93,459.43,405.05
11.82,2.02,4.94,381.23,404.50
12.02,2.00,4.93,469.21,403.18
12.22,2.02,4.94,430.11,404.50
12.42,2.00,4.93,400.78,403.18
12.62,2.01,4.93,537.63,404.12
12.82,2.01,4.95,615.84,403.02
13.02,2.01,4.93,488.76,404.12
13.22,2.02,4.94,586.51,404.50
13.42,2.02,4.94,527.86,404.50
13.62,2.01,4.94,263.93,403.57
13.82,2.02,4.93,410.56,405.05
14.02,2.01,4.93,498.53,404.12
14.22,2.01,4.94,566.96,403.57
14.42,2.00,4.93,527.86,403.18
14.62,2.01,4.93,420.33,404.12
14.82,2.01,4.93,576.74,404.12
15.02,2.01,4.93,508.31,404.12
15.22,2.01,4.94,478.98,403.57
15.42,2.01,4.93,351.91,404.12
15.62,2.01,4.93,498.53,404.12
15.82,2.02,4.93,488.76,405.05
16.02,2.02,4.93,430.11,405.05
16.22,2.02,4.93,312.81,405.05
16.42,2.02,4.93,469.21,405.05
16.62,2.01,4.93,439.88,404.12
16.82,2.01,4.94,488.76,403.57
17.02,2.02,4.93,391.01,405.05
17.22,2.02,4.93,547.41,405.05
17.42,2.02,4.94,469.21,404.50
17.62,2.01,4.93,371.46,404.12
17.82,2.02,4.93,283.48,405.05
18.02,2.00,4.93,547.41,403.18
18.22,2.01,4.93,410.56,404.12
18.42,2.02,4.93,381.23,405.05
18.62,2.00,4.93,361.68,403.18
18.82,2.01,4.93,478.98,404.12
19.02,2.01,4.93,459.43,404.12
19.22,2.01,4.93,459.43,404.12
19.42,2.02,4.93,381.23,405.05
19.62,2.01,4.91,469.21,404.67
19.82,2.01,4.93,410.56,404.12
20.02,2.00,4.93,439.88,403.18
20.22,2.00,4.91,322.58,403.73
20.42,2.00,4.93,332.36,403.18
20.62,2.01,4.93,391.01,404.12
20.82,2.01,4.93,498.53,404.12
21.02,2.02,4.94,469.21,404.50
21.22,2.00,4.93,586.51,403.18
21.42,2.02,4.93,606.06,405.05
21.62,2.00,4.93,733.14,403.18
21.82,2.01,4.93,703.81,404.12
22.02,2.00,4.93,733.14,403.18
22.22,2.01,4.93,615.84,404.12
22.42,2.02,4.93,557.18,405.05
22.62,2.01,4.93,537.63,404.12
22.82,2.01,4.93,586.51,404.12
23.02,2.01,4.93,498.53,404.12
23.22,2.01,4.93,654.94,404.12
23.42,2.01,4.93,625.61,404.12
23.62,2.01,4.93,635.39,404.12
23.82,2.01,4.93,654.94,404.12
24.02,2.02,4.93,606.06,405.05
24.22,2.01,4.91,606.06,404.67
24.42,2.01,4.93,654.94,404.12
24.62,2.01,4.93,606.06,404.12
24.82,2.01,4.93,488.76,404.12
25.02,2.00,4.91,557.18,403.73
25.22,2.00,4.94,518.08,402.63
25.42,2.01,4.93,615.84,404.12
25.62,2.01,4.93,801.56,404.12
25.82,2.02,4.93,694.04,405.05
26.02,2.02,4.94,645.16,404.50
26.22,2.01,4.91,625.61,404.67
26.42,2.02,4.93,625.61,405.05
26.62,2.00,4.93,537.63,403.18
26.82,2.01,4.93,449.66,404.12
27.02,2.00,4.91,488.76,403.73
27.22,2.01,4.91,537.63,404.67
27.42,2.01,4.93,488.76,404.12
27.62,2.01,4.93,527.86,404.12
27.82,2.02,4.93,596.29,405.05
28.02,2.01,4.94,645.16,403.57
28.22,2.01,4.93,684.26,404.12
28.42,2.01,4.93,713.59,404.12
28.62,2.01,4.93,625.61,404.12
28.82,2.01,4.93,606.06,404.12
29.02,2.02,4.93,606.06,405.05
29.22,2.02,4.93,566.96,405.05
29.42,2.00,4.93,547.41,403.18
29.62,2.01,4.93,557.18,404.12
29.82,2.02,4.93,527.86,405.05
30.02,2.00,4.91,547.41,403.73
30.22,2.02,4.93,586.51,405.05
30.42,2.02,4.93,625.61,405.05
30.62,2.01,4.91,606.06,404.67
30.82,2.01,4.93,615.84,404.12
31.02,2.01,4.93,596.29,404.12
31.22,2.02,4.93,596.29,405.05
31.42,2.02,4.93,566.96,405.05
31.62,2.01,4.91,518.08,404.67
31.82,2.02,4.93,547.41,405.05
32.02,2.00,4.91,547.41,403.73
32.22,2.02,4.93,537.63,405.05
32.42,2.02,4.93,557.18,405.05
32.62,2.02,4.93,537.63,405.05
32.82,2.02,4.93,566.96,405.05
33.02,2.02,4.93,557.18,405.05
33.22,2.02,4.93,547.41,405.05
33.42,2.01,4.93,557.18,404.12
33.62,2.01,4.91,518.08,404.67
33.82,2.02,4.93,547.41,405.05
34.02,2.01,4.93,518.08,404.12
34.22,2.01,4.93,527.86,404.12
34.42,2.03,4.93,527.86,405.99
34.62,2.00,4.91,518.08,403.73
34.82,2.01,4.93,527.86,404.12
35.02,2.02,4.93,537.63,405.05
35.22,2.02,4.93,586.51,405.05
35.42,2.02,4.93,635.39,405.05
35.62,2.02,4.93,635.39,405.05
35.82,2.02,4.93,674.49,405.05
36.02,2.01,4.91,606.06,404.67
36.22,2.02,4.93,606.06,405.05
36.42,2.02,4.93,635.39,405.05
36.62,2.00,4.93,566.96,403.18
36.82,2.01,4.93,635.39,404.12
