# material: Nylon PA6
# geometry: cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 195.0
# drawdown_ratio: 50.0
# trial_number: 048
# operator: Akila
# start_time: 2025-11-10 10:36:19
# notes: Same as 047
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.52,3.68,127.08,406.29
1.42,1.52,3.68,97.75,406.29
1.62,1.50,3.68,127.08,403.79
1.82,1.52,3.68,117.30,406.29
2.02,1.52,3.68,117.30,406.29
2.22,1.50,3.68,146.63,403.79
2.42,1.51,3.66,136.85,405.78
2.62,1.50,3.68,156.40,403.79
2.82,1.49,3.66,136.85,403.27
3.02,1.51,3.66,146.63,405.78
3.22,1.51,3.66,136.85,405.78
3.42,1.51,3.66,127.08,405.78
3.62,1.52,3.68,107.53,406.29
3.82,1.52,3.68,97.75,406.29
4.02,1.52,3.66,107.53,407.03
4.22,1.51,3.68,117.30,405.04
4.42,1.51,3.66,0.00,405.78
4.62,1.51,3.68,127.08,405.04
4.82,1.51,3.68,107.53,405.04
5.02,1.51,3.68,127.08,405.04
5.22,1.51,3.68,146.63,405.04
5.42,1.51,3.68,97.75,405.04
5.62,1.52,3.68,107.53,406.29
5.82,1.51,3.66,127.08,405.78
6.02,1.52,3.68,0.00,406.29
6.22,1.49,3.66,0.00,403.27
6.42,1.50,3.66,9.78,404.53
6.62,1.50,3.66,0.00,404.53
6.82,1.50,3.68,0.00,403.79
7.02,1.50,3.68,0.00,403.79
7.22,1.51,3.68,0.00,405.04
7.42,1.52,3.68,0.00,406.29
7.62,1.50,3.65,0.00,405.27
7.82,1.50,3.68,0.00,403.79
8.02,1.51,3.66,0.00,405.78
8.22,1.52,3.68,0.00,406.29
8.42,1.51,3.68,0.00,405.04
8.62,1.50,3.66,0.00,404.53
8.82,1.51,3.68,0.00,405.04
9.02,1.50,3.66,0.00,404.53
9.22,1.51,3.68,0.00,405.04
9.42,1.49,3.66,0.00,403.27
9.62,1.51,3.68,0.00,405.04
9.82,1.50,3.68,0.00,403.79
10.02,1.50,3.66,0.00,404.53
10.22,1.49,3.68,0.00,402.53
10.42,1.50,3.66,0.00,404.53
10.62,1.51,3.68,0.00,405.04
10.82,1.49,3.66,0.00,403.27
11.02,1.52,3.68,0.00,406.29
11.22,1.50,3.66,0.00,404.53
11.42,1.51,3.68,0.00,405.04
11.62,1.52,3.65,0.00,407.78
11.82,1.50,3.66,0.00,404.53
12.02,1.50,3.68,0.00,403.79
12.22,1.50,3.66,0.00,404.53
12.42,1.52,3.68,0.00,406.29
12.62,1.51,3.68,0.00,405.04
12.82,1.51,3.66,0.00,405.78
13.02,1.49,3.66,0.00,403.27
13.22,1.49,3.68,0.00,402.53
13.42,1.51,3.68,0.00,405.04
13.62,1.52,3.66,9.78,407.03
13.82,1.51,3.68,0.00,405.04
14.02,1.49,3.66,0.00,403.27
14.22,1.51,3.68,9.78,405.04
14.42,1.50,3.66,0.00,404.53
14.62,1.51,3.66,0.00,405.78
14.82,1.50,3.64,0.00,406.02
15.02,1.52,3.68,0.00,406.29
15.22,1.52,3.66,0.00,407.03
15.42,1.50,3.66,0.00,404.53
15.62,1.51,3.68,0.00,405.04
15.82,1.50,3.66,0.00,404.53
16.02,1.52,3.68,0.00,406.29
16.22,1.49,3.69,0.00,401.80
16.42,1.51,3.68,0.00,405.04
16.62,1.50,3.66,0.00,404.53
16.82,1.51,3.69,0.00,404.30
17.02,1.52,3.68,0.00,406.29
17.22,1.51,3.66,0.00,405.78
17.42,1.51,3.66,0.00,405.78
17.62,1.50,3.66,0.00,404.53
17.82,1.51,3.68,0.00,405.04
18.02,1.50,3.66,0.00,404.53
18.22,1.51,3.68,0.00,405.04
18.42,1.50,3.68,0.00,403.79
18.62,1.51,3.66,0.00,405.78
18.82,1.52,3.66,0.00,407.03
19.02,1.49,3.66,0.00,403.27
19.22,1.51,3.68,0.00,405.04
19.42,1.52,3.66,0.00,407.03
19.62,1.51,3.68,0.00,405.04
19.82,1.49,3.68,0.00,402.53
20.02,1.50,3.66,0.00,404.53
20.22,1.51,3.69,0.00,404.30
20.42,1.49,3.66,0.00,403.27
20.62,1.52,3.69,0.00,405.55
20.82,1.50,3.66,0.00,404.53
21.02,1.51,3.66,0.00,405.78
21.22,1.50,3.65,0.00,405.27
21.42,1.50,3.66,117.30,404.53
21.62,1.51,3.69,127.08,404.30
21.82,1.50,3.66,117.30,404.53
22.02,1.50,3.68,146.63,403.79
22.22,1.49,3.66,107.53,403.27
22.42,1.51,3.66,0.00,405.78
22.62,1.50,3.66,0.00,404.53
22.82,1.49,3.66,0.00,403.27
23.02,1.51,3.66,0.00,405.78
23.22,1.50,3.66,0.00,404.53
23.42,1.50,3.66,0.00,404.53
23.62,1.50,3.66,107.53,404.53
23.82,1.52,3.68,0.00,406.29
24.02,1.51,3.68,136.85,405.04
24.22,1.50,3.68,107.53,403.79
24.42,1.51,3.68,127.08,405.04
24.62,1.50,3.66,117.30,404.53
