# material: PETG
# geometry: 7ch
# preform_diameter: 20.0
# material_color: CLear(White)
# temperature_C: 166.0
# drawdown_ratio: 50.0
# trial_number: 023
# operator: Akila
# start_time: 2025-10-22 14:27:29
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.02,332.36,401.25
1.42,2.02,5.01,312.81,401.78
1.62,2.01,5.02,312.81,400.32
1.82,2.01,5.01,312.81,400.86
2.02,2.01,5.02,273.70,400.32
2.22,2.02,5.01,420.33,401.78
2.42,2.02,5.02,410.56,401.25
2.62,2.02,5.02,332.36,401.25
2.82,2.02,5.02,263.93,401.25
3.02,2.02,5.01,312.81,401.78
3.22,2.02,5.02,332.36,401.25
3.42,2.02,5.02,254.15,401.25
3.62,2.01,5.02,342.13,400.32
3.82,2.02,5.02,29.33,401.25
4.02,2.02,5.01,254.15,401.78
4.22,2.02,5.02,312.81,401.25
4.42,2.01,5.03,303.03,399.79
4.62,2.02,5.02,303.03,401.25
4.82,2.03,5.02,263.93,402.17
5.02,2.03,5.02,283.48,402.17
5.22,2.02,5.02,283.48,401.25
5.42,2.01,5.02,19.55,400.32
5.62,2.02,5.02,293.26,401.25
5.82,2.01,5.02,273.70,400.32
6.02,2.02,5.02,312.81,401.25
6.22,2.02,5.02,273.70,401.25
6.42,2.03,5.02,254.15,402.17
6.62,2.01,5.01,263.93,400.86
6.82,2.02,5.02,391.01,401.25
7.02,2.00,5.01,263.93,399.93
7.22,2.02,5.02,224.83,401.25
7.42,2.01,5.02,273.70,400.32
7.62,2.02,5.02,166.18,401.25
7.82,2.02,5.02,205.28,401.25
8.02,2.01,5.02,244.38,400.32
8.22,2.02,5.01,273.70,401.78
8.42,2.02,5.02,283.48,401.25
8.62,2.02,5.02,244.38,401.25
8.82,2.01,5.03,254.15,399.79
9.02,2.01,5.02,283.48,400.32
9.22,2.01,5.01,273.70,400.86
9.42,2.02,5.02,234.60,401.25
9.62,2.02,5.01,205.28,401.78
9.82,2.02,5.02,273.70,401.25
10.02,2.02,5.02,303.03,401.25
10.22,2.02,5.02,303.03,401.25
10.42,2.02,5.02,175.95,401.25
10.62,2.02,5.02,293.26,401.25
10.82,2.02,5.02,342.13,401.25
11.02,2.01,5.01,273.70,400.86
11.22,2.03,5.02,244.38,402.17
11.42,2.01,5.01,518.08,400.86
11.62,2.02,5.02,273.70,401.25
11.82,2.02,5.01,391.01,401.78
12.02,2.02,5.02,303.03,401.25
12.22,2.01,5.02,185.73,400.32
12.42,2.01,5.02,273.70,400.32
12.62,2.02,5.02,0.00,401.25
12.82,2.00,5.02,361.68,399.39
13.02,2.02,5.02,254.15,401.25
13.22,2.01,5.02,263.93,400.32
13.42,2.02,5.02,244.38,401.25
13.62,2.01,5.02,205.28,400.32
13.82,2.02,5.02,283.48,401.25
14.02,2.02,5.01,175.95,401.78
14.22,2.02,5.02,371.46,401.25
14.42,2.02,5.01,244.38,401.78
14.62,2.02,5.02,254.15,401.25
14.82,2.02,5.02,234.60,401.25
15.02,2.01,5.02,254.15,400.32
15.22,2.02,5.01,244.38,401.78
15.42,2.02,5.02,195.50,401.25
15.62,2.02,5.02,263.93,401.25
15.82,2.01,5.01,244.38,400.86
16.02,2.02,5.01,312.81,401.78
16.22,2.01,5.01,244.38,400.86
16.42,2.01,5.02,254.15,400.32
16.62,2.01,5.02,185.73,400.32
16.82,2.03,5.02,234.60,402.17
17.02,2.01,5.01,175.95,400.86
17.22,2.02,5.02,234.60,401.25
17.42,2.01,5.02,263.93,400.32
17.62,2.00,5.01,215.05,399.93
17.82,2.02,5.02,244.38,401.25
18.02,2.00,5.03,195.50,398.86
18.22,2.02,5.02,254.15,401.25
18.42,2.01,5.01,195.50,400.86
18.62,2.03,5.02,19.55,402.17
18.82,2.02,5.02,273.70,401.25
19.02,2.02,5.02,244.38,401.25
19.22,2.02,5.02,185.73,401.25
19.42,2.00,5.02,166.18,399.39
19.62,2.02,5.02,234.60,401.25
19.82,2.01,5.02,224.83,400.32
20.02,2.02,5.02,234.60,401.25
20.22,2.00,5.01,224.83,399.93
20.42,2.02,5.02,215.05,401.25
20.62,2.03,5.02,195.50,402.17
20.82,2.01,5.02,263.93,400.32
21.02,2.02,5.02,224.83,401.25
21.22,2.02,5.02,244.38,401.25
21.42,2.02,5.02,303.03,401.25
21.62,2.01,5.02,215.05,400.32
21.82,2.02,5.02,283.48,401.25
22.02,2.00,5.01,166.18,399.93
22.22,2.02,5.02,215.05,401.25
22.42,2.02,5.02,254.15,401.25
22.62,2.01,5.03,224.83,399.79
22.82,2.01,5.02,195.50,400.32
23.02,2.02,5.02,195.50,401.25
23.22,2.01,5.02,244.38,400.32
23.42,2.02,5.02,195.50,401.25
23.62,2.02,5.01,215.05,401.78
23.82,2.01,5.02,215.05,400.32
24.02,2.01,5.02,224.83,400.32
24.22,2.02,5.02,224.83,401.25
24.42,2.01,5.02,215.05,400.32
24.62,2.01,5.03,195.50,399.79
24.82,2.00,5.02,127.08,399.39
25.02,2.01,5.01,283.48,400.86
25.22,2.02,5.02,293.26,401.25
25.42,2.01,5.02,224.83,400.32
25.62,2.02,5.02,205.28,401.25
25.82,2.02,5.02,263.93,401.25
26.02,2.02,5.02,185.73,401.25
26.22,2.02,5.02,263.93,401.25
26.42,2.00,5.02,195.50,399.39
26.62,2.02,5.03,166.18,400.71
26.82,2.01,5.01,215.05,400.86
27.02,2.03,5.02,205.28,402.17
27.22,2.01,5.02,224.83,400.32
