# material: PETG
# geometry: 7ch
# preform_diameter: 20.0
# material_color: Clear
# temperature_C: 172.0
# drawdown_ratio: 50.0
# trial_number: 022
# operator: Akila
# start_time: 2025-10-22 14:00:41
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.02,254.15,400.32
1.42,2.02,5.02,283.48,401.25
1.62,2.02,5.02,303.03,401.25
1.82,2.01,4.98,283.48,401.94
2.02,2.01,5.02,410.56,400.32
2.22,2.01,5.01,293.26,400.86
2.42,2.03,5.02,273.70,402.17
2.62,2.01,5.01,293.26,400.86
2.82,2.03,5.02,293.26,402.17
3.02,2.01,5.01,322.58,400.86
3.22,2.02,5.02,234.60,401.25
3.42,2.02,5.02,478.98,401.25
3.62,2.02,5.03,293.26,400.71
3.82,2.02,5.02,263.93,401.25
4.02,2.01,5.02,303.03,400.32
4.22,2.01,5.02,224.83,400.32
4.42,2.01,5.02,244.38,400.32
4.62,2.02,5.02,283.48,401.25
4.82,2.03,5.02,185.73,402.17
5.02,2.02,5.02,312.81,401.25
5.22,2.00,5.02,322.58,399.39
5.42,2.01,5.02,156.40,400.32
5.62,2.02,5.02,303.03,401.25
5.82,2.01,5.02,273.70,400.32
6.02,2.02,5.01,400.78,401.78
6.22,2.02,5.02,322.58,401.25
6.42,2.02,5.01,361.68,401.78
6.62,2.02,5.02,400.78,401.25
6.82,2.02,5.02,156.40,401.25
7.02,2.03,5.02,234.60,402.17
7.22,2.02,5.02,273.70,401.25
7.42,2.02,5.02,244.38,401.25
7.62,2.02,5.02,263.93,401.25
7.82,2.02,5.01,293.26,401.78
8.02,2.01,5.02,195.50,400.32
8.22,2.00,5.01,185.73,399.93
8.42,2.02,5.02,195.50,401.25
8.62,2.02,5.02,146.63,401.25
8.82,2.02,5.02,244.38,401.25
9.02,2.02,5.02,234.60,401.25
9.22,2.02,5.02,263.93,401.25
9.42,2.01,5.02,205.28,400.32
9.62,2.01,5.02,224.83,400.32
9.82,2.02,5.02,263.93,401.25
10.02,2.02,5.02,254.15,401.25
10.22,2.02,5.02,273.70,401.25
10.42,2.00,5.01,195.50,399.93
10.62,2.02,5.02,205.28,401.25
