# material: PETG
# geometry: Cylindrical 3ch
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 
# drawdown_ratio: 50.0
# trial_number: 202
# operator: Ahmed and Akila
# start_time: 2026-01-28 11:52:14
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.03,1534.70,399.79
1.42,2.01,5.05,1427.17,399.25
1.62,2.07,5.10,0.00,402.62
1.82,2.05,5.10,0.00,400.81
2.02,2.06,5.10,0.00,401.72
2.22,2.05,5.09,0.00,401.34
2.42,2.06,5.09,0.00,402.25
2.62,2.06,5.09,0.00,402.25
2.82,1.99,5.03,1436.95,397.93
3.02,2.01,5.03,1593.35,399.79
3.22,2.01,5.03,1466.28,399.79
3.42,1.99,5.02,1261.00,398.46
3.62,2.00,5.03,1153.47,398.86
3.82,1.99,5.03,1153.47,397.93
4.02,2.01,5.02,1212.12,400.32
4.22,2.00,5.03,1241.45,398.86
4.42,1.99,5.05,1505.38,397.40
4.62,1.98,5.03,1710.65,397.00
4.82,2.00,5.03,1603.13,398.86
5.02,2.00,5.03,1652.00,398.86
5.22,2.00,5.03,1280.55,398.86
5.42,2.02,5.05,1143.69,400.18
5.62,2.01,5.05,1202.35,399.25
5.82,1.99,5.05,1231.67,397.40
6.02,2.00,5.03,1124.14,398.86
6.22,2.01,5.03,1104.59,399.79
6.42,2.00,5.03,1261.00,398.86
6.62,2.00,5.03,1466.28,398.86
6.82,1.99,5.03,1427.17,397.93
7.02,2.00,5.03,1603.13,398.86
7.22,2.00,5.05,1681.33,398.33
7.42,2.00,5.03,1378.30,398.86
7.62,1.99,5.03,1182.80,397.93
7.82,1.99,5.03,1163.25,397.93
8.02,2.01,5.05,1309.87,399.25
8.22,2.00,5.02,1173.02,399.39
8.42,2.00,5.03,1221.90,398.86
8.62,1.99,5.03,1368.52,397.93
8.82,2.00,5.05,1417.40,398.33
9.02,2.00,5.02,1466.28,399.39
9.22,2.01,5.03,1485.83,399.79
9.42,1.99,5.03,1329.42,397.93
9.62,2.00,5.03,1163.25,398.86
9.82,2.01,5.05,1026.39,399.25
10.02,2.00,5.05,1006.84,398.33
10.22,2.00,5.03,1055.72,398.86
10.42,2.00,5.03,1006.84,398.86
10.62,2.01,5.03,1065.49,399.79
10.82,2.00,5.02,1114.37,399.39
11.02,2.01,5.03,1290.32,399.79
11.22,1.99,5.03,1417.40,397.93
11.42,1.98,5.03,1339.20,397.00
11.62,2.00,5.03,1241.45,398.86
11.82,1.99,5.03,1231.67,397.93
12.02,1.98,5.03,1192.57,397.00
12.22,2.00,5.05,1026.39,398.33
12.42,1.99,5.03,909.09,397.93
12.62,2.01,5.03,967.74,399.79
12.82,2.01,5.03,889.54,399.79
13.02,2.01,5.05,1026.39,399.25
13.22,1.99,5.03,987.29,397.93
13.42,1.99,5.03,1006.84,397.93
13.62,1.99,5.05,997.07,397.40
13.82,1.99,5.03,1065.49,397.93
14.02,2.00,5.03,1114.37,398.86
14.22,2.01,5.03,918.87,399.79
14.42,2.00,5.03,938.42,398.86
14.62,2.01,5.03,1085.04,399.79
14.82,2.01,5.03,1182.80,399.79
15.02,2.00,5.03,1133.92,398.86
15.22,2.01,5.03,1202.35,399.79
15.42,2.00,5.03,1192.57,398.86
15.62,2.00,5.03,1221.90,398.86
15.82,2.00,5.03,997.07,398.86
16.02,1.99,5.05,1026.39,397.40
16.22,2.00,5.05,1163.25,398.33
16.42,2.01,5.05,1358.75,399.25
16.62,2.01,5.03,1192.57,399.79
16.82,2.00,5.05,1231.67,398.33
17.02,2.01,5.03,1192.57,399.79
17.22,2.01,5.03,1251.22,399.79
17.42,2.00,5.03,1427.17,398.86
17.62,2.01,5.03,1368.52,399.79
17.82,2.00,5.05,1192.57,398.33
18.02,1.98,5.03,1045.94,397.00
18.22,2.01,5.05,997.07,399.25
18.42,2.01,5.03,1026.39,399.79
18.62,1.99,5.03,1026.39,397.93
18.82,2.02,5.05,1055.72,400.18
19.02,1.99,5.03,1036.17,397.93
19.22,2.00,5.05,1036.17,398.33
19.42,2.00,5.05,1114.37,398.33
19.62,1.99,5.03,1397.85,397.93
19.82,2.00,5.03,1495.60,398.86
20.02,2.00,5.05,1456.50,398.33
20.22,2.01,5.03,1759.53,399.79
20.42,2.00,5.05,1955.03,398.33
20.62,2.00,5.05,1603.13,398.33
20.82,1.99,5.03,1290.32,397.93
21.02,1.99,5.03,1593.35,397.93
21.22,2.00,5.05,1642.23,398.33
21.42,1.98,5.05,1544.48,396.47
21.62,2.01,5.03,1339.20,399.79
21.82,2.01,5.05,1300.10,399.25
22.02,2.01,5.03,1202.35,399.79
22.22,1.99,5.03,1143.69,397.93
22.42,2.00,5.03,1212.12,398.86
22.62,2.00,5.05,1075.27,398.33
22.82,2.00,5.03,1094.82,398.86
23.02,2.00,5.05,1153.47,398.33
23.22,1.99,5.05,1075.27,397.40
23.42,1.99,5.03,1202.35,397.93
23.62,2.00,5.05,1261.00,398.33
23.82,2.00,5.05,1065.49,398.33
24.02,2.00,5.02,1016.62,399.39
24.22,2.01,5.03,1036.17,399.79
24.42,2.00,5.05,957.97,398.33
24.62,2.00,5.05,957.97,398.33
24.82,2.00,5.05,1026.39,398.33
25.02,1.99,5.05,938.42,397.40
25.22,2.00,5.05,948.19,398.33
25.42,2.01,5.05,987.29,399.25
25.62,2.01,5.05,1075.27,399.25
25.82,2.00,5.05,1173.02,398.33
26.02,2.01,5.06,1495.60,398.72
26.22,1.99,5.03,1212.12,397.93
26.42,2.00,5.05,1065.49,398.33
26.62,2.01,5.05,791.79,399.25
26.82,2.01,5.05,733.14,399.25
27.02,2.00,5.05,889.54,398.33
27.22,2.01,5.05,1104.59,399.25
27.42,1.99,5.05,1339.20,397.40
27.62,1.99,5.05,1251.22,397.40
27.82,2.00,5.07,1251.22,397.27
28.02,2.00,5.05,1006.84,398.33
28.22,1.99,5.05,1182.80,397.40
28.42,2.00,5.06,1202.35,397.80
28.62,2.01,5.05,1192.57,399.25
28.82,2.00,5.05,1124.14,398.33
29.02,2.01,5.05,1221.90,399.25
29.22,2.01,5.06,1397.85,398.72
29.42,2.00,5.05,1417.40,398.33
29.62,2.00,5.05,1329.42,398.33
29.82,2.00,5.06,1319.65,397.80
30.02,1.99,5.05,1241.45,397.40
30.22,2.00,5.05,1300.10,398.33
30.42,2.01,5.05,1339.20,399.25
30.62,1.99,5.06,1495.60,396.87
30.82,2.00,5.06,1495.60,397.80
31.02,2.00,5.06,1339.20,397.80
31.22,1.99,5.05,1251.22,397.40
31.42,2.02,5.05,1300.10,400.18
31.62,1.99,5.06,1319.65,396.87
31.82,2.01,5.05,1241.45,399.25
32.02,2.01,5.06,1163.25,398.72
32.22,2.01,5.05,1231.67,399.25
32.42,1.99,5.06,997.07,396.87
32.62,2.01,5.06,1026.39,398.72
32.82,2.01,5.05,967.74,399.25
33.02,2.00,5.05,918.87,398.33
33.22,2.01,5.05,1026.39,399.25
33.42,2.00,5.05,899.32,398.33
33.62,1.99,5.05,899.32,397.40
33.82,1.99,5.06,918.87,396.87
34.02,1.99,5.06,869.99,396.87
34.22,1.99,5.06,879.77,396.87
