# material: PETG
# geometry: Octogonal
# preform_diameter: 10.0
# material_color: Green
# temperature_C: 100.0
# drawdown_ratio: 50.0
# trial_number: 039
# operator: Akila
# start_time: 2025-11-03 14:58:19
# notes: The temperature 100 is the temperature inside the new heating element. The heating element is set to 250
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,1.40,430.11,759.15
1.42,2.02,1.38,361.68,764.59
1.62,2.01,1.41,283.48,755.52
1.82,2.02,1.40,351.91,760.90
2.02,2.01,1.38,332.36,762.82
2.22,2.02,1.41,430.11,757.27
2.42,2.02,1.38,430.11,764.59
2.62,2.02,1.40,420.33,760.90
2.82,2.02,1.41,361.68,757.27
3.02,2.02,1.40,351.91,760.90
3.22,2.01,1.41,332.36,755.52
3.42,2.02,1.41,381.23,757.27
3.62,2.02,1.42,312.81,753.69
3.82,2.01,1.42,361.68,751.95
4.02,2.00,1.38,303.03,761.06
4.22,2.02,1.38,361.68,764.59
4.42,2.01,1.40,342.13,759.15
4.62,2.03,1.42,254.15,755.43
4.82,2.02,1.41,400.78,757.27
5.02,2.01,1.38,332.36,762.82
5.22,2.02,1.40,361.68,760.90
5.42,2.01,1.40,361.68,759.15
5.62,2.02,1.41,576.74,757.27
5.82,2.01,1.40,498.53,759.15
6.02,2.01,1.41,469.21,755.52
6.22,2.00,1.38,527.86,761.06
6.42,2.02,1.41,576.74,757.27
6.62,2.02,1.41,459.43,757.27
6.82,2.01,1.42,430.11,751.95
7.02,2.03,1.41,361.68,759.01
7.22,2.01,1.42,351.91,751.95
7.42,2.02,1.41,371.46,757.27
7.62,2.02,1.40,342.13,760.90
7.82,2.01,1.40,342.13,759.15
8.02,2.01,1.42,449.66,751.95
8.22,2.03,1.41,342.13,759.01
8.42,2.02,1.42,410.56,753.69
8.62,2.00,1.40,449.66,757.39
8.82,2.01,1.41,439.88,755.52
9.02,2.02,1.37,508.31,768.33
9.22,2.01,1.41,469.21,755.52
9.42,2.02,1.38,478.98,764.59
9.62,2.02,1.41,391.01,757.27
9.82,2.01,1.41,488.76,755.52
10.02,2.01,1.40,439.88,759.15
10.22,2.02,1.41,459.43,757.27
10.42,2.00,1.41,498.53,753.77
10.62,2.02,1.42,527.86,753.69
10.82,2.02,1.41,537.63,757.27
11.02,2.01,1.41,430.11,755.52
11.22,2.02,1.40,469.21,760.90
11.42,2.02,1.40,410.56,760.90
11.62,2.01,1.42,410.56,751.95
11.82,2.03,1.41,391.01,759.01
12.02,2.02,1.40,332.36,760.90
12.22,2.00,1.41,381.23,753.77
12.42,2.02,1.40,410.56,760.90
12.62,2.01,1.38,400.78,762.82
12.82,2.01,1.41,478.98,755.52
13.02,2.02,1.41,469.21,757.27
13.22,2.01,1.40,459.43,759.15
13.42,2.01,1.41,449.66,755.52
13.62,2.02,1.40,439.88,760.90
13.82,2.02,1.42,430.11,753.69
14.02,2.02,1.41,381.23,757.27
14.22,2.02,1.41,391.01,757.27
14.42,2.02,1.41,381.23,757.27
14.62,2.01,1.40,410.56,759.15
14.82,2.03,1.42,391.01,755.43
15.02,2.02,1.40,459.43,760.90
15.22,2.02,1.42,459.43,753.69
15.42,2.02,1.42,430.11,753.69
15.62,2.00,1.40,469.21,757.39
15.82,2.02,1.42,459.43,753.69
16.02,2.02,1.40,508.31,760.90
16.22,2.03,1.42,508.31,755.43
16.42,2.01,1.40,469.21,759.15
16.62,2.02,1.44,518.08,750.16
16.82,2.02,1.41,498.53,757.27
17.02,2.02,1.42,547.41,753.69
17.22,2.02,1.41,498.53,757.27
17.42,2.01,1.40,478.98,759.15
17.62,2.02,1.41,527.86,757.27
17.82,2.00,1.40,459.43,757.39
18.02,2.02,1.42,459.43,753.69
18.22,2.02,1.41,518.08,757.27
18.42,2.02,1.41,488.76,757.27
18.62,2.01,1.42,518.08,751.95
18.82,2.02,1.42,478.98,753.69
19.02,2.01,1.41,439.88,755.52
19.22,2.02,1.40,420.33,760.90
19.42,2.02,1.40,488.76,760.90
19.62,2.01,1.42,430.11,751.95
19.82,2.01,1.40,449.66,759.15
20.02,2.01,1.42,518.08,751.95
20.22,2.03,1.42,498.53,755.43
20.42,2.01,1.42,527.86,751.95
20.62,2.01,1.41,439.88,755.52
20.82,2.01,1.41,459.43,755.52
21.02,2.02,1.42,459.43,753.69
21.22,2.01,1.40,449.66,759.15
21.42,2.03,1.42,410.56,755.43
21.62,2.01,1.41,508.31,755.52
21.82,2.02,1.41,498.53,757.27
22.02,2.01,1.41,527.86,755.52
22.22,2.02,1.41,469.21,757.27
22.42,2.03,1.41,488.76,759.01
22.62,2.02,1.42,439.88,753.69
22.82,2.03,1.42,469.21,755.43
23.02,2.02,1.40,439.88,760.90
