# material: PETG
# geometry: Polygonal cyl
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 155.0
# drawdown_ratio: 50.0
# trial_number: 005
# operator: Akila
# start_time: 2025-10-14 09:54:35
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,4.93,1358.75,403.18
1.42,2.00,4.93,1290.32,403.18
1.62,2.01,4.93,1261.00,404.12
1.82,2.00,4.94,1251.22,402.63
2.02,2.01,4.93,1241.45,404.12
2.22,1.99,4.93,1231.67,402.24
2.42,2.00,4.91,1300.10,403.73
2.62,2.00,4.93,1221.90,403.18
2.82,2.00,4.93,1280.55,403.18
3.02,1.99,4.93,1133.92,402.24
3.22,2.00,4.93,1006.84,403.18
3.42,1.99,4.93,899.32,402.24
3.62,2.01,4.93,850.44,404.12
3.82,2.01,4.93,684.26,404.12
4.02,2.01,4.93,557.18,404.12
4.22,2.00,4.93,459.43,403.18
4.42,2.01,4.93,420.33,404.12
4.62,2.00,4.93,361.68,403.18
4.82,2.00,4.93,391.01,403.18
5.02,2.00,4.93,293.26,403.18
5.22,2.00,4.93,430.11,403.18
5.42,2.00,4.93,400.78,403.18
5.62,2.00,4.94,459.43,402.63
5.82,2.00,4.93,420.33,403.18
6.02,2.00,4.94,391.01,402.63
6.22,1.99,4.93,361.68,402.24
6.42,2.01,4.93,537.63,404.12
6.62,2.00,4.93,566.96,403.18
6.82,2.01,4.93,566.96,404.12
7.02,2.01,4.93,596.29,404.12
7.22,2.00,4.94,586.51,402.63
7.42,2.00,4.93,674.49,403.18
7.62,1.99,4.93,791.79,402.24
7.82,2.00,4.93,762.46,403.18
8.02,1.99,4.93,762.46,402.24
8.22,2.01,4.93,752.69,404.12
8.42,2.00,4.94,762.46,402.63
8.62,2.02,4.93,772.24,405.05
8.82,2.01,4.93,713.59,404.12
9.02,2.00,4.93,811.34,403.18
9.22,2.01,4.94,742.91,403.57
9.42,2.01,4.93,742.91,404.12
9.62,2.00,4.93,713.59,403.18
9.82,2.01,4.93,733.14,404.12
10.02,2.00,4.93,694.04,403.18
10.22,2.00,4.93,723.36,403.18
10.42,2.00,4.93,869.99,403.18
10.62,2.01,4.93,752.69,404.12
10.82,1.99,4.93,811.34,402.24
11.02,2.01,4.93,801.56,404.12
11.22,2.00,4.93,782.01,403.18
11.42,2.01,4.93,791.79,404.12
11.62,2.00,4.93,772.24,403.18
11.82,2.01,4.93,791.79,404.12
12.02,2.01,4.93,742.91,404.12
12.22,2.00,4.94,782.01,402.63
12.42,2.00,4.93,821.11,403.18
12.62,1.99,4.94,860.21,401.70
12.82,2.01,4.93,830.89,404.12
13.02,1.99,4.93,791.79,402.24
13.22,2.00,4.93,762.46,403.18
13.42,2.01,4.93,742.91,404.12
13.62,2.01,4.93,791.79,404.12
13.82,2.00,4.93,694.04,403.18
14.02,2.00,4.93,684.26,403.18
14.22,1.99,4.93,615.84,402.24
14.42,2.01,4.93,694.04,404.12
14.62,2.01,4.93,654.94,404.12
14.82,2.01,4.93,596.29,404.12
15.02,1.99,4.93,518.08,402.24
15.22,2.01,4.93,537.63,404.12
15.42,1.99,4.93,498.53,402.24
15.62,2.01,4.93,508.31,404.12
15.82,1.99,4.93,459.43,402.24
16.02,2.00,4.93,586.51,403.18
16.22,2.01,4.93,488.76,404.12
16.42,2.00,4.93,518.08,403.18
16.62,1.99,4.93,518.08,402.24
16.82,2.01,4.93,527.86,404.12
17.02,1.99,4.93,518.08,402.24
17.22,2.01,4.93,566.96,404.12
17.42,2.00,4.93,586.51,403.18
17.62,2.01,4.94,537.63,403.57
17.82,2.00,4.93,557.18,403.18
18.02,1.99,4.93,537.63,402.24
18.22,2.01,4.94,654.94,403.57
18.42,1.99,4.93,547.41,402.24
18.62,2.00,4.93,576.74,403.18
18.82,2.01,4.93,625.61,404.12
19.02,2.01,4.93,625.61,404.12
19.22,1.99,4.93,635.39,402.24
19.42,2.01,4.93,801.56,404.12
19.62,2.00,4.93,752.69,403.18
19.82,2.01,4.93,762.46,404.12
20.02,2.00,4.93,742.91,403.18
20.22,2.02,4.91,821.11,405.61
20.42,2.00,4.93,850.44,403.18
20.62,2.01,4.94,928.64,403.57
20.82,2.00,4.93,879.77,403.18
21.02,2.00,4.93,879.77,403.18
21.22,2.00,4.93,811.34,403.18
21.42,1.99,4.94,762.46,401.70
21.62,1.99,4.93,742.91,402.24
21.82,2.01,4.94,801.56,403.57
22.02,2.00,4.93,791.79,403.18
22.22,2.00,4.93,811.34,403.18
22.42,2.00,4.94,840.66,402.63
22.62,2.00,4.94,821.11,402.63
22.82,2.01,4.93,860.21,404.12
23.02,2.00,4.93,869.99,403.18
23.22,2.01,4.94,860.21,403.57
23.42,2.01,4.93,801.56,404.12
23.62,2.01,4.93,928.64,404.12
23.82,2.00,4.93,987.29,403.18
24.02,2.01,4.93,928.64,404.12
24.22,1.99,4.93,1045.94,402.24
24.42,2.01,4.93,957.97,404.12
24.62,2.00,4.93,889.54,403.18
24.82,2.01,4.93,918.87,404.12
25.02,2.00,4.91,879.77,403.73
25.22,2.00,4.93,860.21,403.18
25.42,2.01,4.93,801.56,404.12
25.62,1.99,4.93,879.77,402.24
25.82,2.01,4.93,840.66,404.12
26.02,2.00,4.93,762.46,403.18
26.22,2.01,4.93,742.91,404.12
26.42,2.01,4.93,586.51,404.12
26.62,2.00,4.93,674.49,403.18
26.82,1.99,4.93,645.16,402.24
27.02,1.99,4.93,606.06,402.24
27.22,2.00,4.93,566.96,403.18
27.42,2.01,4.93,547.41,404.12
27.62,1.99,4.93,488.76,402.24
27.82,2.00,4.94,478.98,402.63
28.02,2.00,4.91,478.98,403.73
28.22,2.01,4.93,439.88,404.12
28.42,2.01,4.93,498.53,404.12
28.62,2.00,4.93,488.76,403.18
28.82,2.00,4.93,625.61,403.18
29.02,1.99,4.93,645.16,402.24
29.22,1.99,4.93,586.51,402.24
29.42,1.99,4.94,664.71,401.70
29.62,2.01,4.93,645.16,404.12
29.82,2.00,4.95,635.39,402.09
30.02,2.00,4.93,654.94,403.18
30.22,1.99,4.93,625.61,402.24
30.42,2.01,4.93,664.71,404.12
30.62,1.99,4.93,713.59,402.24
30.82,2.01,4.94,684.26,403.57
31.02,1.99,4.93,664.71,402.24
31.22,2.01,4.94,791.79,403.57
31.42,2.00,4.93,674.49,403.18
