# material: PETG
# geometry: Polygonal
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 150.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Akila
# start_time: 2025-10-09 10:50:05
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,4.99,244.38,400.46
1.42,2.00,4.99,244.38,400.46
1.62,1.99,4.99,244.38,399.53
1.82,1.99,4.99,244.38,399.53
2.02,2.00,4.99,322.58,400.46
2.22,2.00,4.99,381.23,400.46
2.42,2.01,4.99,361.68,401.39
2.62,2.00,5.01,312.81,399.93
2.82,1.99,4.99,381.23,399.53
3.02,1.99,4.99,332.36,399.53
3.22,2.01,4.99,273.70,401.39
3.42,2.00,4.99,371.46,400.46
3.62,1.99,4.99,322.58,399.53
3.82,2.01,4.98,391.01,401.94
4.02,2.00,4.99,342.13,400.46
4.22,2.00,4.99,303.03,400.46
4.42,2.00,4.99,351.91,400.46
4.62,2.01,4.99,312.81,401.39
4.82,2.01,4.98,244.38,401.94
5.02,2.01,4.99,234.60,401.39
5.22,2.00,4.99,215.05,400.46
5.42,2.00,4.99,234.60,400.46
5.62,2.00,4.98,234.60,401.00
5.82,2.01,4.99,263.93,401.39
6.02,2.00,4.99,312.81,400.46
6.22,2.00,4.99,439.88,400.46
6.42,1.99,4.99,332.36,399.53
6.62,2.01,4.99,244.38,401.39
6.82,1.99,4.99,263.93,399.53
7.02,2.00,4.99,293.26,400.46
7.22,2.00,4.99,273.70,400.46
7.42,1.99,4.99,322.58,399.53
7.62,2.00,4.99,322.58,400.46
7.82,2.01,4.99,263.93,401.39
8.02,2.00,4.99,312.81,400.46
8.22,2.01,4.99,332.36,401.39
8.42,2.00,4.99,498.53,400.46
8.62,1.99,4.99,518.08,399.53
8.82,2.00,4.98,420.33,401.00
9.02,2.01,4.99,332.36,401.39
9.22,2.00,4.99,381.23,400.46
9.42,2.00,4.99,332.36,400.46
9.62,1.99,4.99,273.70,399.53
9.82,2.01,4.99,322.58,401.39
10.02,2.00,4.99,430.11,400.46
10.22,2.00,5.01,420.33,399.93
10.42,2.00,4.99,420.33,400.46
10.62,2.01,4.99,351.91,401.39
10.82,2.01,4.98,322.58,401.94
11.02,1.99,4.99,293.26,399.53
11.22,2.00,4.99,273.70,400.46
11.42,2.00,4.99,283.48,400.46
11.62,2.00,4.99,254.15,400.46
11.82,1.99,4.99,254.15,399.53
12.02,2.00,4.98,234.60,401.00
12.22,2.00,4.99,254.15,400.46
12.42,2.01,4.99,312.81,401.39
12.62,1.99,4.99,273.70,399.53
12.82,2.00,4.99,254.15,400.46
13.02,1.99,4.99,283.48,399.53
13.22,2.01,4.99,351.91,401.39
13.42,2.00,4.99,371.46,400.46
13.62,2.00,4.99,351.91,400.46
13.82,2.00,4.98,283.48,401.00
14.02,2.00,4.99,244.38,400.46
14.22,1.99,4.99,244.38,399.53
14.42,2.00,4.99,244.38,400.46
14.62,2.01,4.99,263.93,401.39
14.82,1.99,4.99,244.38,399.53
15.02,2.00,4.99,244.38,400.46
15.22,2.00,4.99,303.03,400.46
15.42,2.00,4.99,263.93,400.46
15.62,2.00,5.01,293.26,399.93
15.82,2.00,4.98,303.03,401.00
16.02,2.01,4.99,391.01,401.39
16.22,2.00,4.99,273.70,400.46
16.42,1.99,4.99,254.15,399.53
16.62,1.99,4.99,224.83,399.53
16.82,1.99,4.99,215.05,399.53
17.02,2.00,4.99,263.93,400.46
17.22,1.99,4.99,263.93,399.53
17.42,2.00,4.99,283.48,400.46
17.62,1.99,4.99,293.26,399.53
17.82,2.00,4.99,273.70,400.46
18.02,2.00,4.99,215.05,400.46
18.22,1.99,4.99,215.05,399.53
18.42,1.99,4.99,234.60,399.53
18.62,2.01,4.99,293.26,401.39
18.82,2.00,4.99,351.91,400.46
19.02,2.01,4.99,283.48,401.39
19.22,2.00,4.98,263.93,401.00
19.42,1.99,4.99,234.60,399.53
19.62,2.00,4.99,254.15,400.46
19.82,1.99,4.99,234.60,399.53
20.02,2.00,4.99,303.03,400.46
20.22,1.99,4.99,410.56,399.53
20.42,2.00,4.99,303.03,400.46
20.62,2.00,4.99,293.26,400.46
20.82,2.01,4.99,254.15,401.39
21.02,1.99,4.99,342.13,399.53
21.22,2.00,4.99,400.78,400.46
21.42,2.01,4.99,381.23,401.39
21.62,2.01,4.99,303.03,401.39
21.82,2.00,4.99,303.03,400.46
22.02,2.00,4.99,273.70,400.46
22.22,2.00,4.98,254.15,401.00
22.42,1.99,4.99,254.15,399.53
22.62,2.00,4.99,254.15,400.46
22.82,1.99,4.99,215.05,399.53
23.02,2.00,4.99,244.38,400.46
23.22,2.01,4.99,244.38,401.39
23.42,2.01,4.99,293.26,401.39
23.62,1.98,4.99,234.60,398.60
23.82,2.00,4.99,254.15,400.46
24.02,2.00,4.99,312.81,400.46
24.22,1.99,4.99,293.26,399.53
24.42,1.99,4.99,332.36,399.53
24.62,1.99,4.99,303.03,399.53
24.82,2.01,4.99,244.38,401.39
25.02,1.99,5.01,205.28,399.00
25.22,2.00,5.01,254.15,399.93
25.42,1.99,4.99,244.38,399.53
25.62,2.01,4.99,234.60,401.39
25.82,2.00,4.99,224.83,400.46
26.02,2.01,4.99,234.60,401.39
26.22,2.00,4.99,244.38,400.46
26.42,2.00,4.99,273.70,400.46
26.62,2.01,4.99,303.03,401.39
26.82,2.01,4.99,449.66,401.39
27.02,2.00,4.99,381.23,400.46
27.22,1.99,4.99,244.38,399.53
27.42,2.01,4.98,312.81,401.94
27.62,1.99,4.99,332.36,399.53
27.82,2.00,4.99,244.38,400.46
28.02,1.99,4.99,195.50,399.53
28.22,2.01,4.99,254.15,401.39
28.42,1.99,4.99,244.38,399.53
28.62,2.00,4.97,273.70,401.55
28.82,2.00,4.99,273.70,400.46
29.02,2.00,4.99,332.36,400.46
29.22,1.99,4.99,312.81,399.53
29.42,1.99,4.99,410.56,399.53
29.62,1.99,4.99,488.76,399.53
29.82,2.01,4.99,351.91,401.39
30.02,2.00,4.99,312.81,400.46
30.22,2.01,4.99,234.60,401.39
30.42,2.01,4.99,254.15,401.39
30.62,2.00,4.99,224.83,400.46
30.82,2.01,4.99,303.03,401.39
31.02,2.00,4.99,303.03,400.46
31.22,2.00,4.99,312.81,400.46
31.42,2.00,4.98,342.13,401.00
31.62,2.00,4.99,351.91,400.46
31.82,2.00,4.99,351.91,400.46
32.02,2.01,4.98,322.58,401.94
32.22,2.00,5.01,351.91,399.93
32.42,2.00,4.99,283.48,400.46
32.62,2.00,4.99,224.83,400.46
32.82,2.01,4.99,273.70,401.39
33.02,2.00,4.99,254.15,400.46
33.22,2.01,4.99,293.26,401.39
33.42,2.00,4.99,332.36,400.46
33.62,1.99,4.99,283.48,399.53
33.82,2.00,4.99,263.93,400.46
34.02,1.99,5.01,273.70,399.00
34.22,2.00,4.99,342.13,400.46
34.42,1.99,4.99,342.13,399.53
34.62,2.00,4.99,342.13,400.46
34.82,1.99,4.99,254.15,399.53
35.02,2.01,4.99,263.93,401.39
35.22,2.01,4.99,351.91,401.39
35.42,2.01,4.99,312.81,401.39
35.62,1.99,4.99,420.33,399.53
35.82,2.01,4.99,488.76,401.39
36.02,2.00,4.98,576.74,401.00
36.22,2.01,4.99,625.61,401.39
36.42,2.00,4.98,615.84,401.00
36.62,2.01,4.99,596.29,401.39
36.82,1.99,4.99,498.53,399.53
37.02,2.01,4.99,381.23,401.39
37.22,2.00,4.99,361.68,400.46
37.42,1.99,4.99,351.91,399.53
37.62,2.01,4.98,459.43,401.94
37.82,1.99,4.99,459.43,399.53
38.02,2.01,4.99,420.33,401.39
38.22,2.00,4.99,420.33,400.46
38.42,2.00,4.99,342.13,400.46
38.62,1.99,5.01,263.93,399.00
38.82,2.00,4.99,224.83,400.46
39.02,1.98,4.98,234.60,399.13
39.22,2.01,4.99,273.70,401.39
39.42,2.00,4.98,312.81,401.00
39.62,2.01,4.99,293.26,401.39
39.82,1.99,4.99,254.15,399.53
40.02,2.00,4.99,234.60,400.46
40.22,2.00,4.98,293.26,401.00
40.42,2.00,4.99,293.26,400.46
40.62,2.00,4.99,254.15,400.46
40.82,1.99,4.99,234.60,399.53
41.02,2.01,4.99,283.48,401.39
41.22,1.99,4.99,254.15,399.53
41.42,2.00,4.99,263.93,400.46
41.62,1.99,4.99,244.38,399.53
41.82,2.01,4.99,254.15,401.39
42.02,1.99,4.99,263.93,399.53
42.22,2.00,4.99,283.48,400.46
42.42,1.99,4.99,263.93,399.53
42.62,2.00,4.99,254.15,400.46
42.82,2.00,4.99,224.83,400.46
43.02,2.00,4.99,263.93,400.46
43.22,2.00,4.99,312.81,400.46
43.42,2.01,4.99,371.46,401.39
43.62,2.00,4.99,283.48,400.46
43.82,2.00,4.99,263.93,400.46
44.02,2.00,5.01,293.26,399.93
44.22,1.99,4.99,273.70,399.53
44.42,2.00,4.99,342.13,400.46
44.62,2.00,4.99,283.48,400.46
44.82,2.00,4.99,293.26,400.46
45.02,2.00,4.99,254.15,400.46
45.22,2.01,4.99,254.15,401.39
45.42,2.00,4.98,244.38,401.00
45.62,2.01,4.99,205.28,401.39
45.82,2.00,4.98,215.05,401.00
46.02,2.00,4.99,215.05,400.46
46.22,2.00,4.99,234.60,400.46
46.42,2.00,4.99,283.48,400.46
46.62,1.99,4.99,303.03,399.53
46.82,2.00,4.99,273.70,400.46
47.02,2.01,5.01,351.91,400.86
47.22,1.99,4.99,322.58,399.53
47.42,2.00,4.98,410.56,401.00
47.62,1.99,4.98,303.03,400.07
47.82,2.00,4.99,224.83,400.46
48.02,1.99,4.99,244.38,399.53
48.22,2.01,4.99,312.81,401.39
48.42,1.99,4.99,273.70,399.53
48.62,2.00,4.99,303.03,400.46
48.82,2.00,4.98,351.91,401.00
49.02,2.01,4.98,342.13,401.94
49.22,2.00,4.99,263.93,400.46
49.42,1.99,4.99,283.48,399.53
49.62,2.01,4.99,263.93,401.39
49.82,1.99,4.99,244.38,399.53
50.02,2.00,4.99,263.93,400.46
50.22,2.00,4.99,283.48,400.46
50.42,2.00,4.99,263.93,400.46
50.62,1.98,4.99,439.88,398.60
50.82,2.00,4.99,283.48,400.46
51.02,1.99,4.99,244.38,399.53
51.22,1.98,4.98,244.38,399.13
51.42,2.00,4.99,273.70,400.46
51.62,2.00,4.99,283.48,400.46
51.82,2.00,4.99,312.81,400.46
52.02,2.00,4.99,469.21,400.46
52.22,2.00,4.99,430.11,400.46
52.42,2.00,4.99,439.88,400.46
52.62,2.00,4.99,439.88,400.46
52.82,2.00,4.99,273.70,400.46
53.02,2.01,4.99,263.93,401.39
53.22,1.99,4.99,273.70,399.53
53.42,2.00,4.99,263.93,400.46
53.62,1.98,4.99,293.26,398.60
53.82,2.01,4.99,312.81,401.39
54.02,2.00,4.98,322.58,401.00
54.22,2.01,4.99,322.58,401.39
54.42,1.99,4.99,303.03,399.53
54.62,2.00,4.99,273.70,400.46
54.82,2.00,4.99,263.93,400.46
55.02,2.00,4.99,224.83,400.46
55.22,2.00,4.99,215.05,400.46
55.42,2.00,4.99,254.15,400.46
55.62,2.00,4.99,263.93,400.46
55.82,1.99,4.99,303.03,399.53
56.02,2.00,4.99,263.93,400.46
56.22,2.01,4.99,244.38,401.39
56.42,1.98,4.99,263.93,398.60
56.62,2.00,4.99,263.93,400.46
56.82,2.00,4.99,234.60,400.46
57.02,1.99,4.99,215.05,399.53
57.22,2.01,4.98,283.48,401.94
57.42,1.99,4.99,254.15,399.53
57.62,2.00,4.99,293.26,400.46
57.82,2.00,4.98,254.15,401.00
58.02,2.01,4.99,244.38,401.39
58.22,2.00,4.99,293.26,400.46
58.42,1.99,4.99,254.15,399.53
58.62,1.99,4.99,244.38,399.53
58.82,1.99,4.99,263.93,399.53
59.02,2.00,4.99,283.48,400.46
59.22,2.01,4.99,312.81,401.39
59.42,2.00,4.97,371.46,401.55
59.62,1.99,4.99,410.56,399.53
59.82,1.99,4.98,332.36,400.07
60.02,2.01,4.99,244.38,401.39
60.22,2.01,4.99,283.48,401.39
60.42,1.99,5.01,254.15,399.00
60.62,2.00,4.99,263.93,400.46
60.82,2.00,4.99,234.60,400.46
61.02,2.00,4.99,283.48,400.46
61.22,2.00,4.99,312.81,400.46
61.42,2.01,4.99,322.58,401.39
61.62,2.00,4.99,342.13,400.46
61.82,2.00,4.99,263.93,400.46
62.02,1.98,4.99,263.93,398.60
62.22,2.00,4.99,244.38,400.46
62.42,1.99,4.98,254.15,400.07
62.62,1.99,4.99,283.48,399.53
62.82,2.00,4.99,283.48,400.46
63.02,2.00,4.99,303.03,400.46
63.22,2.00,4.99,371.46,400.46
63.42,2.00,4.99,322.58,400.46
63.62,2.00,4.99,283.48,400.46
63.82,2.00,4.99,293.26,400.46
64.02,2.00,4.98,322.58,401.00
64.22,2.00,4.99,283.48,400.46
64.42,2.00,4.99,254.15,400.46
64.62,2.00,4.99,273.70,400.46
64.82,2.01,4.99,322.58,401.39
65.02,2.00,4.98,322.58,401.00
65.22,2.00,4.99,381.23,400.46
65.42,1.99,4.99,254.15,399.53
65.62,2.00,4.99,361.68,400.46
65.82,2.00,4.99,312.81,400.46
66.02,2.01,4.99,273.70,401.39
66.22,2.00,4.99,322.58,400.46
66.42,2.01,5.01,332.36,400.86
66.62,2.00,4.98,332.36,401.00
66.82,2.00,4.99,273.70,400.46
67.02,2.00,4.99,293.26,400.46
67.22,1.98,4.99,322.58,398.60
67.42,2.00,4.99,381.23,400.46
67.62,2.00,4.99,381.23,400.46
67.82,2.00,4.99,371.46,400.46
68.02,2.00,4.99,400.78,400.46
68.22,2.00,4.99,361.68,400.46
68.42,2.00,4.99,312.81,400.46
68.62,2.00,4.99,322.58,400.46
68.82,2.00,4.99,244.38,400.46
69.02,2.00,4.99,381.23,400.46
69.22,2.00,4.99,449.66,400.46
69.42,1.99,4.99,351.91,399.53
69.62,2.00,4.99,439.88,400.46
69.82,2.00,4.97,527.86,401.55
70.02,2.00,4.99,459.43,400.46
70.22,1.99,4.99,342.13,399.53
70.42,2.00,4.98,351.91,401.00
70.62,1.99,4.99,273.70,399.53
70.82,2.01,4.99,283.48,401.39
71.02,2.00,4.99,263.93,400.46
71.22,2.00,4.99,351.91,400.46
71.42,1.98,4.99,283.48,398.60
71.62,2.01,5.01,303.03,400.86
71.82,2.00,4.99,332.36,400.46
72.02,1.99,4.99,371.46,399.53
72.22,2.00,4.98,439.88,401.00
72.42,1.99,4.99,351.91,399.53
72.62,2.00,4.99,371.46,400.46
72.82,2.00,4.99,273.70,400.46
73.02,2.01,4.99,303.03,401.39
73.22,1.99,4.99,254.15,399.53
73.42,2.00,4.99,244.38,400.46
73.62,2.00,4.99,254.15,400.46
73.82,2.01,4.99,244.38,401.39
74.02,2.00,4.98,283.48,401.00
74.22,2.00,4.99,263.93,400.46
74.42,2.00,4.99,283.48,400.46
74.62,2.00,4.99,322.58,400.46
74.82,2.00,4.99,263.93,400.46
75.02,2.01,4.99,263.93,401.39
75.22,2.00,4.99,332.36,400.46
75.42,2.00,4.99,332.36,400.46
75.62,2.00,4.99,263.93,400.46
75.82,1.99,4.99,322.58,399.53
76.02,2.00,4.99,439.88,400.46
76.22,1.99,5.01,332.36,399.00
76.42,2.00,4.99,303.03,400.46
76.62,1.99,4.99,342.13,399.53
76.82,2.01,4.99,263.93,401.39
77.02,1.99,4.97,283.48,400.61
77.22,2.01,4.99,244.38,401.39
77.42,1.99,4.99,273.70,399.53
77.62,2.00,4.99,244.38,400.46
77.82,2.00,4.99,205.28,400.46
78.02,1.99,4.99,244.38,399.53
78.22,1.99,4.99,224.83,399.53
78.42,2.01,4.98,234.60,401.94
78.62,1.99,4.98,263.93,400.07
78.82,2.01,4.99,283.48,401.39
79.02,2.00,4.98,293.26,401.00
79.22,2.01,5.01,244.38,400.86
79.42,2.00,4.99,254.15,400.46
79.62,1.99,4.99,244.38,399.53
79.82,2.00,4.99,273.70,400.46
80.02,2.00,4.99,263.93,400.46
80.22,2.00,4.99,263.93,400.46
80.42,2.00,4.99,332.36,400.46
80.62,2.00,4.99,332.36,400.46
80.82,1.99,4.99,293.26,399.53
81.02,2.00,4.99,263.93,400.46
81.22,1.99,4.99,381.23,399.53
81.42,2.00,4.99,420.33,400.46
81.62,2.00,4.99,293.26,400.46
81.82,2.01,4.98,244.38,401.94
82.02,2.00,4.99,234.60,400.46
82.22,2.01,4.99,234.60,401.39
82.42,2.00,4.99,234.60,400.46
82.62,2.00,4.99,244.38,400.46
82.82,2.00,4.99,273.70,400.46
83.02,2.00,4.99,273.70,400.46
83.22,2.00,4.99,322.58,400.46
83.42,1.99,4.99,303.03,399.53
83.62,2.00,4.99,303.03,400.46
83.82,1.99,4.99,312.81,399.53
84.02,2.00,4.98,303.03,401.00
84.22,1.99,4.99,263.93,399.53
84.42,2.00,4.99,293.26,400.46
84.62,2.01,4.98,322.58,401.94
84.82,2.01,4.99,273.70,401.39
85.02,1.99,4.99,254.15,399.53
85.22,2.00,4.98,293.26,401.00
85.42,1.99,4.99,283.48,399.53
85.62,2.00,4.99,322.58,400.46
85.82,1.99,4.99,312.81,399.53
86.02,2.01,4.99,293.26,401.39
86.22,1.99,4.98,312.81,400.07
86.42,2.00,4.99,351.91,400.46
86.62,2.00,4.99,400.78,400.46
86.82,2.01,4.99,273.70,401.39
87.02,2.00,4.99,263.93,400.46
87.22,1.99,4.99,244.38,399.53
87.42,2.00,4.99,303.03,400.46
87.62,2.00,4.99,410.56,400.46
87.82,2.00,4.98,263.93,401.00
88.02,2.00,4.99,244.38,400.46
88.22,2.00,4.99,234.60,400.46
88.42,1.99,4.99,224.83,399.53
88.62,2.00,4.99,254.15,400.46
88.82,1.99,4.99,263.93,399.53
89.02,2.00,4.99,244.38,400.46
89.22,2.00,4.99,293.26,400.46
89.42,2.00,4.99,263.93,400.46
89.62,2.01,4.99,322.58,401.39
89.82,2.00,4.99,263.93,400.46
90.02,2.01,4.99,254.15,401.39
90.22,2.00,4.99,283.48,400.46
90.42,2.00,4.99,322.58,400.46
