# material: PETG
# geometry: cyl
# preform_diameter: 15.0
# material_color: Green
# temperature_C: 150.0
# drawdown_ratio: 50.0
# trial_number: 041
# operator: Akila
# start_time: 2025-11-04 14:35:02
# notes: Same as the trials 040 and 041
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,2.85,547.41,530.48
1.42,1.99,2.82,576.74,531.76
1.62,2.00,2.85,606.06,530.48
1.82,1.99,2.85,586.51,529.24
2.02,2.00,2.85,596.29,530.48
2.22,2.01,2.82,527.86,534.24
2.42,2.00,2.85,547.41,530.48
2.62,1.99,2.83,488.76,530.50
2.82,2.00,2.86,478.98,529.23
3.02,2.00,2.82,459.43,533.00
3.22,2.01,2.85,459.43,531.71
3.42,2.00,2.85,518.08,530.48
3.62,2.01,2.86,527.86,530.46
3.82,2.01,2.83,478.98,532.97
4.02,1.99,2.83,459.43,530.50
4.22,2.00,2.86,518.08,529.23
4.42,1.99,2.83,478.98,530.50
4.62,2.00,2.85,498.53,530.48
4.82,2.00,2.83,488.76,531.73
5.02,2.01,2.85,498.53,531.71
5.22,2.00,2.82,469.21,533.00
5.42,2.00,2.85,469.21,530.48
5.62,2.01,2.85,478.98,531.71
5.82,1.99,2.83,439.88,530.50
6.02,2.01,2.85,420.33,531.71
6.22,2.01,2.83,449.66,532.97
6.42,2.01,2.85,430.11,531.71
6.62,2.01,2.83,430.11,532.97
6.82,2.00,2.83,410.56,531.73
7.02,2.00,2.83,439.88,531.73
7.22,2.01,2.85,449.66,531.71
7.42,2.00,2.82,469.21,533.00
7.62,1.99,2.85,469.21,529.24
7.82,2.00,2.85,498.53,530.48
8.02,2.00,2.82,478.98,533.00
8.22,2.01,2.85,469.21,531.71
8.42,1.99,2.83,449.66,530.50
8.62,1.99,2.85,469.21,529.24
8.82,2.00,2.82,430.11,533.00
9.02,1.99,2.85,391.01,529.24
9.22,2.00,2.83,391.01,531.73
9.42,2.01,2.85,391.01,531.71
9.62,2.00,2.85,420.33,530.48
9.82,1.99,2.85,371.46,529.24
10.02,2.00,2.85,410.56,530.48
10.22,2.00,2.83,400.78,531.73
10.42,2.00,2.85,400.78,530.48
10.62,2.00,2.85,400.78,530.48
10.82,2.00,2.85,400.78,530.48
11.02,1.99,2.83,391.01,530.50
11.22,2.01,2.85,400.78,531.71
11.42,1.99,2.83,391.01,530.50
11.62,2.00,2.86,400.78,529.23
11.82,2.00,2.86,449.66,529.23
12.02,2.00,2.85,459.43,530.48
12.22,1.99,2.83,488.76,530.50
12.42,2.01,2.85,508.31,531.71
12.62,2.01,2.83,508.31,532.97
12.82,2.01,2.83,537.63,532.97
13.02,2.00,2.86,527.86,529.23
13.22,2.00,2.83,498.53,531.73
