# material: PETG
# geometry: cyl
# preform_diameter: 15.0
# material_color: Green
# temperature_C: 150.0
# drawdown_ratio: 50.0
# trial_number: 040
# operator: Akila
# start_time: 2025-11-04 13:58:15
# notes: Temperature is uncertain. The heat element is set to 330. Fluctuates by +- 20
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.03,3.15,263.93,507.35
1.42,2.02,3.15,303.03,506.19
1.62,2.01,3.17,273.70,503.95
1.82,2.02,3.14,312.81,507.27
2.02,2.02,3.17,332.36,505.11
2.22,2.00,3.17,371.46,502.78
2.42,2.02,3.14,400.78,507.27
2.62,2.01,3.15,312.81,505.02
2.82,2.02,3.17,312.81,505.11
3.02,2.01,3.14,322.58,506.10
3.22,2.01,3.14,332.36,506.10
3.42,2.02,3.17,351.91,505.11
3.62,2.01,3.15,312.81,505.02
3.82,2.03,3.15,283.48,507.35
4.02,2.01,3.14,273.70,506.10
4.22,2.03,3.17,273.70,506.28
4.42,2.01,3.18,244.38,502.89
4.62,2.02,3.14,283.48,507.27
4.82,2.02,3.15,293.26,506.19
5.02,2.02,3.17,293.26,505.11
5.22,2.03,3.15,312.81,507.35
5.42,2.03,3.13,293.26,509.53
5.62,2.02,3.14,381.23,507.27
5.82,2.02,3.15,391.01,506.19
6.02,2.03,3.14,400.78,508.44
6.22,2.01,3.17,371.46,503.95
6.42,2.02,3.17,351.91,505.11
6.62,2.02,3.14,322.58,507.27
6.82,2.01,3.15,322.58,505.02
7.02,2.02,3.14,361.68,507.27
7.22,2.01,3.14,283.48,506.10
7.42,2.02,3.15,303.03,506.19
7.62,2.02,3.14,263.93,507.27
7.82,2.02,3.15,303.03,506.19
8.02,2.02,3.17,303.03,505.11
8.22,2.02,3.14,263.93,507.27
8.42,2.02,3.15,312.81,506.19
8.62,2.01,3.17,312.81,503.95
8.82,2.03,3.17,351.91,506.28
9.02,2.01,3.17,322.58,503.95
9.22,2.02,3.15,312.81,506.19
9.42,2.01,3.13,283.48,507.18
9.62,2.03,3.15,283.48,507.35
9.82,2.01,3.17,273.70,503.95
10.02,2.02,3.15,293.26,506.19
10.22,2.01,3.15,283.48,505.02
10.42,2.01,3.14,263.93,506.10
10.62,2.03,3.14,293.26,508.44
10.82,2.01,3.14,293.26,506.10
11.02,2.03,3.15,283.48,507.35
11.22,2.01,3.14,303.03,506.10
11.42,2.02,3.14,312.81,507.27
11.62,2.02,3.17,303.03,505.11
11.82,2.01,3.15,283.48,505.02
12.02,2.03,3.15,293.26,507.35
12.22,2.00,3.13,312.81,506.01
12.42,2.02,3.15,332.36,506.19
12.62,2.01,3.15,283.48,505.02
12.82,2.01,3.15,312.81,505.02
13.02,2.01,3.17,293.26,503.95
13.22,2.02,3.13,273.70,508.36
13.42,2.03,3.17,263.93,506.28
13.62,2.02,3.15,293.26,506.19
13.82,2.01,3.15,273.70,505.02
14.02,2.02,3.14,254.15,507.27
14.22,2.03,3.17,293.26,506.28
14.42,2.02,3.14,273.70,507.27
14.62,2.02,3.14,273.70,507.27
14.82,2.02,3.15,293.26,506.19
15.02,2.02,3.19,283.48,502.99
15.22,2.03,3.23,293.26,501.00
15.42,2.03,3.26,322.58,498.93
