# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 110
# operator: Akila
# start_time: 2026-01-23 10:25:44
# notes: Test of preform alignment.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.98,4.99,498.53,398.60
1.42,2.01,4.99,557.18,401.39
1.62,2.00,5.01,547.41,399.93
1.82,2.00,5.01,547.41,399.93
2.02,2.00,4.99,527.86,400.46
2.22,2.01,5.01,557.18,400.86
2.42,1.99,5.01,527.86,399.00
2.62,2.00,4.98,527.86,401.00
2.82,2.01,5.01,537.63,400.86
3.02,2.01,5.01,518.08,400.86
3.22,1.99,4.99,518.08,399.53
3.42,2.00,5.01,518.08,399.93
3.62,2.00,4.98,498.53,401.00
3.82,1.98,5.01,478.98,398.06
4.02,2.00,5.01,498.53,399.93
4.22,2.01,5.01,469.21,400.86
4.42,2.01,5.02,508.31,400.32
4.62,1.98,4.99,488.76,398.60
4.82,1.99,5.01,518.08,399.00
5.02,1.99,5.02,537.63,398.46
5.22,2.00,5.01,557.18,399.93
5.42,2.01,5.01,586.51,400.86
5.62,2.01,4.99,596.29,401.39
5.82,2.00,5.02,537.63,399.39
6.02,2.00,5.01,557.18,399.93
6.22,2.00,5.01,547.41,399.93
6.42,1.99,5.01,527.86,399.00
6.62,2.00,5.01,527.86,399.93
6.82,2.00,5.01,547.41,399.93
7.02,1.99,4.99,508.31,399.53
7.22,2.01,5.01,527.86,400.86
7.42,2.01,5.02,518.08,400.32
7.62,1.99,5.01,508.31,399.00
7.82,1.99,4.99,508.31,399.53
8.02,2.01,4.99,537.63,401.39
8.22,2.00,4.99,439.88,400.46
8.42,1.99,4.98,420.33,400.07
8.62,2.00,5.01,420.33,399.93
8.82,1.99,5.01,430.11,399.00
9.02,2.01,4.99,459.43,401.39
9.22,2.00,5.01,459.43,399.93
9.42,2.01,4.99,430.11,401.39
9.62,2.00,4.99,449.66,400.46
9.82,2.01,4.99,508.31,401.39
10.02,1.99,5.01,508.31,399.00
10.22,1.98,4.99,518.08,398.60
10.42,2.00,5.02,527.86,399.39
10.62,2.00,5.01,537.63,399.93
10.82,1.99,4.99,566.96,399.53
11.02,2.00,5.01,596.29,399.93
11.22,1.99,5.01,557.18,399.00
11.42,1.99,5.01,566.96,399.00
11.62,2.00,5.01,518.08,399.93
11.82,1.99,5.02,518.08,398.46
12.02,1.99,5.01,527.86,399.00
12.22,1.99,5.01,518.08,399.00
12.42,2.01,5.01,518.08,400.86
12.62,1.99,4.99,508.31,399.53
12.82,2.00,4.99,518.08,400.46
13.02,2.01,5.01,518.08,400.86
13.22,2.01,4.99,557.18,401.39
13.42,2.00,4.99,566.96,400.46
13.62,1.99,5.01,576.74,399.00
13.82,2.01,5.01,576.74,400.86
14.02,2.00,5.01,586.51,399.93
14.22,2.01,5.01,586.51,400.86
14.42,1.98,4.99,557.18,398.60
14.62,1.99,5.01,576.74,399.00
14.82,2.01,5.01,615.84,400.86
15.02,1.99,4.99,606.06,399.53
15.22,1.99,4.99,625.61,399.53
15.42,2.01,5.02,615.84,400.32
15.62,2.00,5.01,615.84,399.93
15.82,2.00,4.97,606.06,401.55
16.02,1.99,5.01,586.51,399.00
16.22,1.99,5.01,566.96,399.00
16.42,1.98,4.99,518.08,398.60
16.62,2.01,5.01,518.08,400.86
16.82,2.01,4.99,518.08,401.39
17.02,1.96,4.99,508.31,396.72
17.22,2.00,5.01,518.08,399.93
17.42,1.99,4.99,488.76,399.53
17.62,1.99,5.01,469.21,399.00
17.82,2.01,5.01,488.76,400.86
18.02,2.00,5.01,469.21,399.93
18.22,1.99,4.97,478.98,400.61
18.42,1.99,5.01,478.98,399.00
18.62,1.98,5.01,439.88,398.06
18.82,2.00,5.01,459.43,399.93
19.02,2.00,4.99,430.11,400.46
19.22,2.01,5.01,478.98,400.86
19.42,2.00,4.99,449.66,400.46
19.62,2.00,4.99,449.66,400.46
19.82,2.01,4.99,439.88,401.39
20.02,2.00,4.99,391.01,400.46
20.22,2.00,5.01,410.56,399.93
20.42,2.01,5.01,391.01,400.86
20.62,2.00,4.99,400.78,400.46
20.82,1.99,5.01,449.66,399.00
21.02,1.98,5.01,391.01,398.06
21.22,1.99,5.02,410.56,398.46
21.42,2.01,5.02,410.56,400.32
21.62,2.01,5.01,420.33,400.86
21.82,1.99,4.99,449.66,399.53
22.02,2.00,4.99,498.53,400.46
22.22,2.00,5.01,498.53,399.93
22.42,2.00,5.01,449.66,399.93
22.62,2.00,5.01,459.43,399.93
22.82,2.00,5.01,449.66,399.93
23.02,1.98,4.99,410.56,398.60
23.22,2.00,5.02,439.88,399.39
23.42,2.01,5.01,449.66,400.86
23.62,2.00,5.01,391.01,399.93
23.82,2.00,4.99,420.33,400.46
24.02,2.00,4.99,430.11,400.46
24.22,2.01,4.99,420.33,401.39
24.42,1.99,4.99,449.66,399.53
24.62,2.00,5.01,449.66,399.93
24.82,1.99,5.01,439.88,399.00
25.02,2.01,4.99,498.53,401.39
25.22,2.01,5.01,478.98,400.86
25.42,1.99,5.02,449.66,398.46
25.62,1.99,4.99,439.88,399.53
25.82,2.00,4.99,439.88,400.46
26.02,2.01,5.01,410.56,400.86
26.22,1.99,4.99,430.11,399.53
26.42,2.01,5.01,439.88,400.86
26.62,2.01,5.01,459.43,400.86
26.82,1.98,4.99,478.98,398.60
27.02,2.00,5.01,508.31,399.93
27.22,1.99,5.01,508.31,399.00
27.42,2.00,4.99,557.18,400.46
27.62,2.00,5.01,576.74,399.93
27.82,1.98,5.01,586.51,398.06
28.02,2.00,4.99,586.51,400.46
28.22,2.00,5.01,576.74,399.93
28.42,2.01,5.01,508.31,400.86
28.62,1.99,4.99,498.53,399.53
28.82,2.00,5.01,469.21,399.93
29.02,2.00,5.01,459.43,399.93
29.22,1.98,4.98,478.98,399.13
29.42,2.00,5.01,508.31,399.93
29.62,1.99,5.01,469.21,399.00
29.82,2.00,4.99,469.21,400.46
30.02,2.00,5.01,508.31,399.93
30.22,1.99,5.01,508.31,399.00
30.42,2.00,4.99,537.63,400.46
30.62,2.00,4.99,498.53,400.46
30.82,2.01,4.99,488.76,401.39
31.02,2.00,5.01,488.76,399.93
31.22,2.00,5.01,478.98,399.93
31.42,1.99,4.99,469.21,399.53
31.62,2.01,4.99,469.21,401.39
31.82,2.00,4.99,459.43,400.46
32.02,1.99,5.01,459.43,399.00
32.22,1.99,5.01,469.21,399.00
32.42,2.01,5.01,488.76,400.86
32.62,2.01,5.01,498.53,400.86
32.82,2.00,4.99,488.76,400.46
33.02,2.01,4.99,478.98,401.39
33.22,2.01,5.01,478.98,400.86
33.42,2.00,4.99,449.66,400.46
33.62,2.01,5.01,430.11,400.86
33.82,1.98,5.01,400.78,398.06
34.02,2.01,4.99,459.43,401.39
34.22,2.01,5.01,478.98,400.86
34.42,2.00,5.01,469.21,399.93
34.62,1.99,5.01,527.86,399.00
34.82,2.01,4.99,518.08,401.39
35.02,1.99,5.01,478.98,399.00
35.22,2.00,4.99,518.08,400.46
35.42,2.01,4.99,527.86,401.39
35.62,2.01,4.99,518.08,401.39
35.82,2.00,4.99,508.31,400.46
36.02,2.00,5.01,498.53,399.93
36.22,2.00,5.01,488.76,399.93
36.42,2.02,5.01,527.86,401.78
36.62,2.00,5.01,537.63,399.93
36.82,2.00,5.01,537.63,399.93
37.02,2.00,4.99,488.76,400.46
37.22,2.01,5.01,547.41,400.86
37.42,1.99,4.99,547.41,399.53
37.62,2.00,4.99,547.41,400.46
37.82,2.01,4.99,586.51,401.39
38.02,1.99,4.99,557.18,399.53
38.22,2.00,4.97,576.74,401.55
38.42,2.01,5.02,606.06,400.32
38.62,1.98,4.99,596.29,398.60
38.82,2.01,4.99,586.51,401.39
39.02,2.01,5.02,527.86,400.32
39.22,1.99,5.01,478.98,399.00
39.42,2.01,4.99,439.88,401.39
39.62,2.02,4.99,459.43,402.32
39.82,1.98,4.99,420.33,398.60
40.02,2.00,5.01,459.43,399.93
40.22,2.00,5.01,459.43,399.93
40.42,1.99,4.99,449.66,399.53
40.62,2.01,5.01,459.43,400.86
40.82,2.00,5.01,439.88,399.93
41.02,1.98,4.99,449.66,398.60
41.22,2.01,5.01,478.98,400.86
41.42,2.01,5.02,488.76,400.32
41.62,1.99,5.01,469.21,399.00
41.82,2.00,5.01,478.98,399.93
42.02,2.01,5.01,469.21,400.86
42.22,1.98,5.01,449.66,398.06
42.42,2.01,5.01,439.88,400.86
42.62,2.01,5.01,439.88,400.86
42.82,1.98,4.99,410.56,398.60
43.02,2.01,5.01,430.11,400.86
43.22,1.99,5.01,391.01,399.00
43.42,1.99,4.99,391.01,399.53
43.62,2.00,5.01,439.88,399.93
43.82,1.99,4.99,420.33,399.53
44.02,1.99,4.99,400.78,399.53
44.22,2.00,5.01,439.88,399.93
44.42,1.99,4.99,400.78,399.53
44.62,1.99,4.99,420.33,399.53
44.82,2.00,5.01,439.88,399.93
45.02,2.00,4.99,449.66,400.46
45.22,1.99,5.01,420.33,399.00
45.42,1.99,5.01,459.43,399.00
