# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 210.0
# drawdown_ratio: 50.0
# trial_number: 111
# operator: Akila and Ahmed
# start_time: 2026-01-23 11:23:20
# notes: Alignment test 2
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,5.01,537.63,399.93
1.42,2.00,5.01,557.18,399.93
1.62,2.01,5.01,537.63,400.86
1.82,1.99,4.98,459.43,400.07
2.02,2.01,5.02,498.53,400.32
2.22,1.98,5.01,400.78,398.06
2.42,2.01,5.01,488.76,400.86
2.62,1.99,5.01,488.76,399.00
2.82,2.01,5.01,576.74,400.86
3.02,1.99,5.01,694.04,399.00
3.22,1.99,4.99,557.18,399.53
3.42,2.01,5.01,566.96,400.86
3.62,1.98,4.99,488.76,398.60
3.82,1.98,5.01,518.08,398.06
4.02,2.00,4.99,557.18,400.46
4.22,2.00,4.98,547.41,401.00
4.42,2.00,5.01,586.51,399.93
4.62,2.00,4.99,498.53,400.46
4.82,1.99,4.99,518.08,399.53
5.02,2.00,5.01,498.53,399.93
5.22,2.01,5.02,488.76,400.32
5.42,2.01,5.01,518.08,400.86
5.62,2.00,5.01,478.98,399.93
5.82,1.99,4.98,449.66,400.07
6.02,2.02,5.01,527.86,401.78
6.22,1.98,4.99,498.53,398.60
6.42,2.00,4.99,635.39,400.46
6.62,1.99,4.99,557.18,399.53
6.82,2.00,4.98,508.31,401.00
7.02,2.01,4.99,459.43,401.39
7.22,2.00,4.99,469.21,400.46
7.42,2.02,5.02,488.76,401.25
7.62,1.99,4.99,478.98,399.53
7.82,2.00,5.01,508.31,399.93
8.02,2.00,5.01,498.53,399.93
8.22,2.01,5.01,508.31,400.86
8.42,1.99,4.99,527.86,399.53
8.62,2.00,5.01,566.96,399.93
8.82,2.01,4.99,557.18,401.39
9.02,2.00,4.99,547.41,400.46
9.22,2.01,5.01,527.86,400.86
9.42,2.00,4.99,527.86,400.46
9.62,2.00,5.01,606.06,399.93
9.82,2.00,4.98,527.86,401.00
10.02,2.00,5.01,518.08,399.93
10.22,1.99,5.01,606.06,399.00
10.42,2.00,4.99,459.43,400.46
10.62,2.00,4.99,576.74,400.46
10.82,2.00,5.01,557.18,399.93
11.02,2.00,5.01,557.18,399.93
11.22,2.01,4.99,518.08,401.39
11.42,2.00,4.98,527.86,401.00
11.62,1.98,4.99,488.76,398.60
11.82,2.01,5.01,557.18,400.86
12.02,1.99,4.99,586.51,399.53
12.22,2.00,5.01,566.96,399.93
12.42,2.01,4.99,645.16,401.39
12.62,2.00,4.99,615.84,400.46
12.82,2.01,5.02,645.16,400.32
13.02,1.99,5.01,576.74,399.00
13.22,2.01,5.01,557.18,400.86
13.42,1.99,4.98,518.08,400.07
13.62,2.02,5.01,527.86,401.78
13.82,2.01,5.01,449.66,400.86
14.02,2.01,4.99,508.31,401.39
14.22,1.99,4.99,488.76,399.53
14.42,2.00,5.01,488.76,399.93
14.62,2.00,5.01,488.76,399.93
14.82,2.00,4.99,518.08,400.46
15.02,2.01,5.01,488.76,400.86
15.22,1.98,4.99,488.76,398.60
15.42,1.99,5.01,606.06,399.00
15.62,2.00,4.99,645.16,400.46
15.82,2.00,4.99,625.61,400.46
16.02,1.99,5.01,586.51,399.00
16.22,2.00,4.98,606.06,401.00
16.42,2.01,4.99,19.55,401.39
16.62,2.00,4.99,0.00,400.46
16.82,2.01,5.01,0.00,400.86
17.02,1.98,4.99,606.06,398.60
17.22,2.00,4.99,469.21,400.46
17.42,1.99,4.99,478.98,399.53
17.62,2.01,5.01,508.31,400.86
17.82,1.99,5.01,547.41,399.00
18.02,2.00,4.99,566.96,400.46
18.22,2.01,4.99,488.76,401.39
18.42,1.99,4.98,469.21,400.07
18.62,2.01,4.99,459.43,401.39
18.82,1.99,4.98,459.43,400.07
19.02,2.01,5.01,9.78,400.86
19.22,2.00,4.99,459.43,400.46
19.42,2.01,5.01,508.31,400.86
19.62,2.01,5.01,508.31,400.86
19.82,2.00,5.01,518.08,399.93
20.02,2.01,4.99,527.86,401.39
20.22,1.99,4.99,469.21,399.53
20.42,2.00,5.01,469.21,399.93
20.62,2.00,4.98,430.11,401.00
20.82,2.00,4.99,478.98,400.46
21.02,1.98,4.98,469.21,399.13
21.22,1.99,5.01,478.98,399.00
21.42,1.99,4.99,498.53,399.53
21.62,2.00,5.01,439.88,399.93
21.82,2.00,5.01,449.66,399.93
22.02,2.00,4.99,410.56,400.46
22.22,2.01,4.99,430.11,401.39
22.42,2.00,4.99,420.33,400.46
22.62,1.99,5.01,410.56,399.00
22.82,1.99,4.99,488.76,399.53
23.02,2.00,5.01,459.43,399.93
23.22,1.99,4.99,469.21,399.53
23.42,2.00,5.01,518.08,399.93
23.62,2.00,4.99,508.31,400.46
23.82,2.00,4.99,459.43,400.46
24.02,2.00,4.99,459.43,400.46
24.22,1.99,4.99,420.33,399.53
24.42,2.00,4.99,449.66,400.46
24.62,2.00,5.01,459.43,399.93
24.82,2.01,5.01,488.76,400.86
25.02,2.01,4.99,400.78,401.39
25.22,1.99,5.01,410.56,399.00
25.42,1.99,4.99,459.43,399.53
25.62,2.00,5.01,469.21,399.93
25.82,1.99,4.99,449.66,399.53
26.02,2.00,4.99,488.76,400.46
26.22,1.99,4.99,400.78,399.53
26.42,2.00,5.01,361.68,399.93
26.62,2.01,4.99,400.78,401.39
26.82,2.00,5.01,263.93,399.93
27.02,1.99,4.99,400.78,399.53
27.22,2.01,4.99,410.56,401.39
27.42,1.98,5.01,391.01,398.06
27.62,2.00,5.01,371.46,399.93
27.82,2.01,4.99,391.01,401.39
28.02,2.00,5.01,420.33,399.93
28.22,1.99,5.01,449.66,399.00
28.42,2.00,4.99,557.18,400.46
28.62,2.01,5.01,371.46,400.86
28.82,2.01,4.99,498.53,401.39
29.02,2.00,5.01,469.21,399.93
29.22,1.99,5.01,351.91,399.00
29.42,2.01,5.01,381.23,400.86
29.62,2.00,4.98,351.91,401.00
29.82,2.01,5.01,400.78,400.86
30.02,2.00,5.01,371.46,399.93
30.22,2.00,4.99,410.56,400.46
30.42,2.01,5.01,400.78,400.86
30.62,2.00,4.99,449.66,400.46
30.82,2.01,5.01,449.66,400.86
31.02,1.98,5.01,469.21,398.06
31.22,1.99,5.01,537.63,399.00
31.42,2.00,5.01,508.31,399.93
31.62,2.00,5.01,527.86,399.93
31.82,1.99,4.99,361.68,399.53
32.02,2.00,4.99,410.56,400.46
32.22,1.99,4.98,381.23,400.07
32.42,2.00,4.99,400.78,400.46
32.62,1.99,4.99,439.88,399.53
32.82,2.01,5.01,566.96,400.86
33.02,2.01,5.02,449.66,400.32
33.22,2.00,4.99,518.08,400.46
33.42,1.99,4.99,371.46,399.53
33.62,2.00,5.01,478.98,399.93
33.82,1.99,4.99,420.33,399.53
34.02,1.99,4.99,469.21,399.53
34.22,2.01,4.99,478.98,401.39
34.42,1.99,4.99,518.08,399.53
34.62,2.00,5.01,527.86,399.93
34.82,1.98,4.99,654.94,398.60
35.02,1.99,5.01,527.86,399.00
35.22,1.99,4.99,469.21,399.53
35.42,2.00,5.01,469.21,399.93
35.62,1.99,4.99,459.43,399.53
35.82,2.01,5.01,439.88,400.86
36.02,1.99,4.99,430.11,399.53
36.22,1.99,4.99,469.21,399.53
36.42,2.01,5.01,430.11,400.86
36.62,2.01,5.02,439.88,400.32
36.82,2.00,5.01,410.56,399.93
37.02,2.00,4.99,488.76,400.46
37.22,2.00,4.99,478.98,400.46
37.42,2.00,4.99,439.88,400.46
37.62,2.00,5.01,469.21,399.93
37.82,2.00,4.99,527.86,400.46
38.02,2.00,5.01,498.53,399.93
38.22,2.01,5.01,371.46,400.86
38.42,1.99,5.01,459.43,399.00
38.62,2.00,4.99,518.08,400.46
38.82,2.00,4.99,488.76,400.46
39.02,2.01,5.01,478.98,400.86
39.22,2.00,4.98,508.31,401.00
39.42,2.01,5.01,547.41,400.86
39.62,2.00,4.99,498.53,400.46
39.82,2.01,5.01,498.53,400.86
40.02,2.01,5.01,410.56,400.86
40.22,2.00,5.01,606.06,399.93
40.42,2.01,5.02,586.51,400.32
40.62,1.99,5.01,518.08,399.00
40.82,2.01,4.99,518.08,401.39
41.02,1.99,5.01,586.51,399.00
41.22,2.01,5.01,518.08,400.86
41.42,1.98,4.98,469.21,399.13
41.62,2.00,4.99,371.46,400.46
41.82,1.99,4.99,420.33,399.53
42.02,2.01,5.01,469.21,400.86
42.22,2.01,5.01,391.01,400.86
42.42,2.00,5.01,439.88,399.93
42.62,2.01,5.01,351.91,400.86
42.82,2.00,4.99,449.66,400.46
43.02,2.01,4.99,361.68,401.39
43.22,2.00,5.01,439.88,399.93
43.42,2.01,5.01,518.08,400.86
43.62,1.99,4.98,459.43,400.07
43.82,1.99,5.01,439.88,399.00
44.02,1.98,4.98,527.86,399.13
44.22,2.01,5.01,488.76,400.86
44.42,2.00,4.98,537.63,401.00
44.62,2.01,5.01,478.98,400.86
44.82,1.98,5.01,391.01,398.06
45.02,2.00,5.01,430.11,399.93
45.22,2.01,4.99,488.76,401.39
45.42,2.00,5.01,459.43,399.93
45.62,2.01,5.01,351.91,400.86
45.82,1.98,4.98,351.91,399.13
46.02,2.01,5.02,361.68,400.32
46.22,1.98,4.99,459.43,398.60
46.42,2.01,5.01,400.78,400.86
46.62,1.99,5.01,312.81,399.00
46.82,2.00,4.99,361.68,400.46
47.02,2.00,4.98,283.48,401.00
47.22,2.00,4.98,351.91,401.00
47.42,2.01,4.99,547.41,401.39
47.62,1.99,4.99,449.66,399.53
47.82,2.01,5.01,391.01,400.86
48.02,2.00,4.99,410.56,400.46
48.22,1.99,5.01,342.13,399.00
48.42,2.00,4.99,371.46,400.46
48.62,2.00,5.01,420.33,399.93
48.82,2.00,4.99,400.78,400.46
49.02,2.00,5.01,351.91,399.93
49.22,1.99,4.98,312.81,400.07
49.42,2.01,5.01,518.08,400.86
49.62,2.01,5.01,332.36,400.86
49.82,2.00,5.01,420.33,399.93
50.02,2.00,5.01,361.68,399.93
50.22,2.01,4.99,391.01,401.39
50.42,2.01,5.01,449.66,400.86
50.62,1.99,4.99,449.66,399.53
50.82,2.00,4.99,430.11,400.46
51.02,1.98,4.99,371.46,398.60
51.22,2.01,5.01,449.66,400.86
51.42,2.00,4.99,312.81,400.46
51.62,2.00,5.01,371.46,399.93
51.82,2.01,5.01,410.56,400.86
52.02,2.01,5.01,381.23,400.86
52.22,2.02,5.02,371.46,401.25
52.42,2.00,4.99,342.13,400.46
52.62,2.01,5.01,547.41,400.86
52.82,2.00,4.99,361.68,400.46
53.02,2.00,5.01,420.33,399.93
53.22,1.98,4.99,283.48,398.60
53.42,2.01,5.01,410.56,400.86
53.62,1.99,4.99,410.56,399.53
53.82,1.99,4.99,400.78,399.53
54.02,1.99,4.99,351.91,399.53
54.22,2.01,4.99,371.46,401.39
54.42,1.99,4.99,361.68,399.53
54.62,2.00,5.01,332.36,399.93
54.82,2.01,4.99,400.78,401.39
55.02,2.01,5.01,381.23,400.86
55.22,2.01,5.01,459.43,400.86
55.42,2.00,4.98,430.11,401.00
55.62,2.01,5.01,391.01,400.86
55.82,1.98,4.99,400.78,398.60
56.02,2.00,5.01,381.23,399.93
56.22,2.00,5.01,430.11,399.93
56.42,2.00,4.99,439.88,400.46
