# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 280.0
# drawdown_ratio: 50.0
# trial_number: 112
# operator: Ahmed and Akila
# start_time: 2026-01-23 11:53:58
# notes: Alignment test 3
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,4.99,586.51,401.39
1.42,1.99,5.01,723.36,399.00
1.62,1.99,4.99,713.59,399.53
1.82,1.99,5.01,615.84,399.00
2.02,2.00,4.99,684.26,400.46
2.22,2.00,4.99,635.39,400.46
2.42,2.01,4.99,654.94,401.39
2.62,2.00,5.01,674.49,399.93
2.82,1.99,4.98,615.84,400.07
3.02,2.00,5.01,762.46,399.93
3.22,2.00,5.01,684.26,399.93
3.42,2.00,5.01,733.14,399.93
3.62,2.00,5.01,586.51,399.93
3.82,2.01,4.99,606.06,401.39
4.02,2.00,5.01,635.39,399.93
4.22,2.00,5.01,703.81,399.93
4.42,1.99,4.99,576.74,399.53
4.62,2.01,5.02,586.51,400.32
4.82,1.99,5.01,527.86,399.00
5.02,2.01,5.01,576.74,400.86
5.22,2.01,5.01,508.31,400.86
5.42,2.00,5.01,566.96,399.93
5.62,2.00,5.01,566.96,399.93
5.82,2.00,4.98,527.86,401.00
6.02,2.01,5.01,488.76,400.86
6.22,1.98,5.01,625.61,398.06
6.42,2.00,5.01,606.06,399.93
6.62,1.99,4.98,606.06,400.07
6.82,2.01,5.01,606.06,400.86
7.02,2.00,4.99,606.06,400.46
7.22,2.00,5.01,615.84,399.93
7.42,2.00,5.01,635.39,399.93
7.62,2.00,5.01,791.79,399.93
7.82,2.00,4.99,742.91,400.46
8.02,2.01,4.99,713.59,401.39
8.22,1.98,4.99,703.81,398.60
8.42,2.01,4.99,742.91,401.39
8.62,1.98,4.98,713.59,399.13
8.82,2.00,5.01,684.26,399.93
9.02,1.99,4.99,635.39,399.53
9.22,1.99,4.99,654.94,399.53
9.42,2.00,5.01,596.29,399.93
9.62,2.01,5.01,508.31,400.86
9.82,1.98,4.99,518.08,398.60
10.02,1.99,4.99,566.96,399.53
10.22,2.01,5.01,547.41,400.86
10.42,2.00,5.01,654.94,399.93
10.62,1.99,4.99,469.21,399.53
10.82,2.00,5.01,635.39,399.93
11.02,2.01,4.99,625.61,401.39
11.22,2.00,5.01,733.14,399.93
11.42,2.00,5.01,703.81,399.93
11.62,2.00,5.01,674.49,399.93
11.82,2.00,4.99,596.29,400.46
12.02,2.00,4.98,625.61,401.00
12.22,2.00,5.01,586.51,399.93
12.42,1.99,4.99,547.41,399.53
12.62,2.00,5.01,625.61,399.93
12.82,2.00,4.99,596.29,400.46
13.02,1.99,5.01,527.86,399.00
13.22,2.00,4.99,469.21,400.46
13.42,1.99,5.01,508.31,399.00
13.62,2.00,4.99,498.53,400.46
13.82,2.01,4.99,449.66,401.39
14.02,1.99,4.99,518.08,399.53
14.22,2.00,5.01,547.41,399.93
14.42,2.01,5.01,381.23,400.86
14.62,1.99,5.01,459.43,399.00
14.82,2.00,5.01,391.01,399.93
15.02,2.01,5.02,586.51,400.32
15.22,1.98,4.99,478.98,398.60
15.42,2.00,4.99,488.76,400.46
15.62,1.99,4.98,469.21,400.07
15.82,2.00,5.01,557.18,399.93
16.02,1.99,4.98,488.76,400.07
16.22,2.00,5.01,449.66,399.93
16.42,2.00,4.99,439.88,400.46
16.62,1.99,4.99,498.53,399.53
16.82,2.01,4.99,449.66,401.39
17.02,2.00,5.01,459.43,399.93
17.22,1.98,4.99,459.43,398.60
17.42,2.01,4.99,508.31,401.39
17.62,1.99,4.99,537.63,399.53
