# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 
# drawdown_ratio: 50.0
# trial_number: 201
# operator: Ahmed and Akila
# start_time: 2026-01-28 11:20:44
# notes: Heating element test.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.02,801.56,400.32
1.42,2.01,5.03,791.79,399.79
1.62,1.99,5.03,791.79,397.93
1.82,1.99,5.02,840.66,398.46
2.02,2.00,5.03,889.54,398.86
2.22,2.01,5.03,938.42,399.79
2.42,1.99,5.03,928.64,397.93
2.62,2.00,5.02,977.52,399.39
2.82,2.01,5.02,1006.84,400.32
3.02,2.01,5.03,997.07,399.79
3.22,1.99,5.05,967.74,397.40
3.42,2.00,5.02,948.19,399.39
3.62,2.00,5.03,909.09,398.86
3.82,2.00,5.03,928.64,398.86
4.02,1.99,5.02,928.64,398.46
4.22,1.99,5.02,938.42,398.46
4.42,2.00,5.03,938.42,398.86
4.62,2.00,5.02,928.64,399.39
4.82,1.99,5.03,938.42,397.93
5.02,2.02,5.03,928.64,400.71
5.22,1.99,5.02,928.64,398.46
5.42,2.00,5.02,918.87,399.39
5.62,1.99,5.03,909.09,397.93
5.82,2.00,5.02,928.64,399.39
6.02,2.00,5.03,997.07,398.86
6.22,2.00,5.02,1026.39,399.39
6.42,1.99,5.03,1016.62,397.93
6.62,1.99,5.02,1045.94,398.46
6.82,2.00,5.03,1016.62,398.86
7.02,2.00,5.02,1016.62,399.39
7.22,2.01,5.03,957.97,399.79
7.42,1.99,5.02,938.42,398.46
7.62,2.00,5.02,928.64,399.39
7.82,2.01,5.03,928.64,399.79
8.02,1.98,5.02,879.77,397.53
8.22,2.01,5.02,860.21,400.32
8.42,2.00,5.02,889.54,399.39
8.62,2.00,5.03,899.32,398.86
8.82,2.01,5.02,918.87,400.32
9.02,2.01,5.02,957.97,400.32
9.22,2.00,5.02,948.19,399.39
9.42,2.01,5.03,967.74,399.79
9.62,2.01,5.03,918.87,399.79
9.82,2.02,5.02,889.54,401.25
10.02,1.98,5.02,909.09,397.53
10.22,2.00,5.03,918.87,398.86
10.42,2.01,5.03,928.64,399.79
10.62,2.01,5.03,938.42,399.79
10.82,2.00,5.02,948.19,399.39
11.02,2.00,5.05,938.42,398.33
11.22,2.01,5.03,938.42,399.79
11.42,2.00,5.02,899.32,399.39
11.62,1.98,5.02,928.64,397.53
11.82,2.01,5.03,918.87,399.79
12.02,2.01,5.03,899.32,399.79
12.22,2.00,5.02,869.99,399.39
12.42,2.02,5.02,879.77,401.25
12.62,2.00,5.02,899.32,399.39
12.82,1.99,5.02,860.21,398.46
13.02,1.98,5.02,860.21,397.53
13.22,2.00,5.02,879.77,399.39
13.42,2.00,5.02,879.77,399.39
13.62,2.01,5.02,909.09,400.32
13.82,1.99,5.03,957.97,397.93
14.02,2.00,5.02,977.52,399.39
14.22,2.01,5.03,948.19,399.79
14.42,2.01,5.03,889.54,399.79
14.62,1.99,5.02,869.99,398.46
14.82,2.00,5.02,811.34,399.39
15.02,2.00,5.03,850.44,398.86
15.22,2.01,5.03,830.89,399.79
15.42,1.99,5.03,830.89,397.93
15.62,2.02,5.02,860.21,401.25
15.82,2.00,5.03,909.09,398.86
16.02,2.01,5.03,957.97,399.79
16.22,1.99,5.02,977.52,398.46
16.42,1.98,5.03,1006.84,397.00
16.62,2.00,5.03,1045.94,398.86
16.82,2.00,5.03,1045.94,398.86
17.02,2.01,5.03,1006.84,399.79
17.22,1.99,5.02,987.29,398.46
17.42,2.00,5.02,967.74,399.39
17.62,2.00,5.03,928.64,398.86
17.82,2.02,5.03,879.77,400.71
18.02,1.99,5.02,850.44,398.46
18.22,2.01,5.02,840.66,400.32
18.42,2.01,5.03,830.89,399.79
18.62,2.01,5.03,850.44,399.79
18.82,2.00,5.02,879.77,399.39
19.02,2.00,5.03,879.77,398.86
19.22,2.01,5.02,948.19,400.32
19.42,2.01,5.03,938.42,399.79
19.62,2.00,5.02,879.77,399.39
19.82,2.00,5.02,918.87,399.39
20.02,2.01,5.03,928.64,399.79
20.22,2.01,5.03,918.87,399.79
20.42,2.00,5.02,860.21,399.39
20.62,2.00,5.03,879.77,398.86
20.82,2.02,5.02,977.52,401.25
21.02,1.99,5.01,977.52,399.00
21.22,2.01,5.03,1036.17,399.79
21.42,2.00,5.02,1085.04,399.39
21.62,2.01,5.03,1094.82,399.79
21.82,1.99,5.02,997.07,398.46
22.02,1.99,5.02,1006.84,398.46
22.22,2.00,5.03,1006.84,398.86
22.42,2.00,5.03,1045.94,398.86
22.62,2.01,5.03,1045.94,399.79
22.82,1.99,5.02,1036.17,398.46
23.02,1.99,5.02,987.29,398.46
23.22,2.01,5.03,997.07,399.79
23.42,2.01,5.01,957.97,400.86
23.62,1.99,5.03,909.09,397.93
23.82,2.00,5.03,957.97,398.86
24.02,2.00,5.02,938.42,399.39
24.22,2.01,5.03,948.19,399.79
24.42,2.00,5.03,899.32,398.86
24.62,1.99,5.02,918.87,398.46
24.82,2.01,5.03,928.64,399.79
25.02,2.02,5.03,977.52,400.71
25.22,2.00,5.02,987.29,399.39
25.42,1.99,5.02,997.07,398.46
25.62,2.00,5.03,967.74,398.86
25.82,1.99,5.03,938.42,397.93
26.02,1.99,5.03,938.42,397.93
26.22,2.01,5.02,967.74,400.32
26.42,2.01,5.05,997.07,399.25
26.62,2.00,5.03,987.29,398.86
26.82,2.00,5.02,967.74,399.39
27.02,2.00,5.03,987.29,398.86
27.22,2.01,5.03,997.07,399.79
27.42,2.00,5.03,1026.39,398.86
27.62,1.99,5.02,1016.62,398.46
27.82,2.00,5.03,1016.62,398.86
28.02,2.01,5.03,997.07,399.79
28.22,1.99,5.03,977.52,397.93
28.42,2.00,5.03,987.29,398.86
28.62,1.99,5.02,997.07,398.46
28.82,2.00,5.03,1006.84,398.86
29.02,2.01,5.03,1006.84,399.79
29.22,1.99,5.02,977.52,398.46
29.42,2.00,5.02,987.29,399.39
29.62,2.01,5.02,1016.62,400.32
29.82,2.01,5.03,1045.94,399.79
30.02,2.00,5.02,1075.27,399.39
30.22,2.00,5.03,1094.82,398.86
30.42,1.99,5.03,1094.82,397.93
30.62,2.00,5.02,1085.04,399.39
30.82,1.99,5.02,1094.82,398.46
31.02,2.01,5.03,1133.92,399.79
31.22,2.00,5.03,1114.37,398.86
31.42,1.99,5.03,1124.14,397.93
31.62,2.00,5.02,1133.92,399.39
31.82,2.01,5.03,1085.04,399.79
32.02,2.00,5.02,1075.27,399.39
32.22,2.00,5.03,1065.49,398.86
32.42,2.01,5.02,1016.62,400.32
32.62,2.00,5.02,1045.94,399.39
32.82,2.00,5.03,1036.17,398.86
33.02,2.00,5.03,1036.17,398.86
33.22,2.01,5.03,977.52,399.79
33.42,1.99,5.03,1006.84,397.93
33.62,2.02,5.03,1026.39,400.71
33.82,2.01,5.03,987.29,399.79
34.02,1.99,5.03,899.32,397.93
34.22,2.00,5.03,909.09,398.86
34.42,2.00,5.03,821.11,398.86
34.62,2.01,5.03,840.66,399.79
34.82,1.99,5.02,811.34,398.46
35.02,1.99,5.02,782.01,398.46
35.22,2.01,5.03,782.01,399.79
35.42,2.00,5.03,801.56,398.86
35.62,2.00,5.05,821.11,398.33
35.82,2.01,5.02,840.66,400.32
36.02,2.01,5.03,821.11,399.79
36.22,2.00,5.05,830.89,398.33
36.42,1.99,5.03,811.34,397.93
36.62,1.99,5.02,840.66,398.46
36.82,2.01,5.03,928.64,399.79
37.02,2.01,5.03,918.87,399.79
37.22,2.00,5.02,850.44,399.39
37.42,2.00,5.02,840.66,399.39
37.62,2.00,5.02,791.79,399.39
37.82,2.01,5.03,801.56,399.79
38.02,2.01,5.02,830.89,400.32
38.22,2.00,5.02,791.79,399.39
38.42,2.00,5.03,811.34,398.86
38.62,1.99,5.03,772.24,397.93
38.82,1.99,5.02,782.01,398.46
39.02,2.01,5.02,811.34,400.32
39.22,2.01,5.02,811.34,400.32
39.42,2.00,5.03,821.11,398.86
39.62,1.99,5.02,791.79,398.46
39.82,2.00,5.02,801.56,399.39
40.02,2.02,5.03,801.56,400.71
40.22,2.02,5.03,830.89,400.71
40.42,1.99,5.02,811.34,398.46
40.62,2.00,5.05,840.66,398.33
40.82,2.00,5.03,869.99,398.86
41.02,2.01,5.03,860.21,399.79
41.22,2.00,5.02,840.66,399.39
41.42,2.00,5.02,782.01,399.39
41.62,2.02,5.05,840.66,400.18
41.82,2.01,5.03,840.66,399.79
42.02,1.98,5.03,879.77,397.00
42.22,2.00,5.02,909.09,399.39
42.42,2.01,5.02,909.09,400.32
42.62,2.01,5.03,928.64,399.79
42.82,1.99,5.03,918.87,397.93
43.02,2.00,5.03,899.32,398.86
43.22,2.02,5.03,928.64,400.71
43.42,2.01,5.03,928.64,399.79
43.62,1.99,5.02,938.42,398.46
43.82,1.99,5.02,977.52,398.46
44.02,2.01,5.03,987.29,399.79
44.22,2.01,5.03,928.64,399.79
44.42,2.00,5.02,889.54,399.39
44.62,1.98,5.03,909.09,397.00
44.82,2.00,5.02,909.09,399.39
45.02,2.02,5.02,928.64,401.25
45.22,1.99,5.03,909.09,397.93
45.42,2.00,5.02,948.19,399.39
45.62,2.00,5.02,909.09,399.39
45.82,2.01,5.03,918.87,399.79
46.02,2.01,5.03,938.42,399.79
46.22,1.99,5.02,918.87,398.46
46.42,2.01,5.03,889.54,399.79
46.62,2.01,5.03,869.99,399.79
46.82,1.99,5.05,860.21,397.40
47.02,1.98,5.02,889.54,397.53
47.22,2.00,5.03,948.19,398.86
47.42,2.00,5.03,967.74,398.86
47.62,1.99,5.02,987.29,398.46
47.82,1.99,5.03,977.52,397.93
48.02,2.01,5.03,977.52,399.79
48.22,2.00,5.03,967.74,398.86
48.42,1.99,5.02,928.64,398.46
48.62,2.01,5.02,928.64,400.32
48.82,2.00,5.03,938.42,398.86
49.02,2.01,5.03,938.42,399.79
49.22,1.98,5.03,899.32,397.00
49.42,1.99,5.03,957.97,397.93
49.62,2.00,5.05,1036.17,398.33
49.82,2.01,5.01,1104.59,400.86
50.02,1.99,5.02,1094.82,398.46
50.22,2.00,5.02,1153.47,399.39
50.42,2.00,5.03,1133.92,398.86
50.62,1.99,5.05,1075.27,397.40
50.82,2.00,5.02,1094.82,399.39
51.02,1.99,5.03,1085.04,397.93
51.22,2.01,5.03,1065.49,399.79
51.42,1.99,5.03,1036.17,397.93
51.62,2.00,5.03,997.07,398.86
51.82,1.99,5.03,997.07,397.93
52.02,2.01,5.03,1045.94,399.79
52.22,2.00,5.03,1026.39,398.86
52.42,2.01,5.02,997.07,400.32
52.62,2.01,5.02,938.42,400.32
52.82,2.00,5.02,928.64,399.39
53.02,2.00,5.03,928.64,398.86
53.22,2.01,5.02,899.32,400.32
53.42,2.00,5.03,909.09,398.86
53.62,2.01,5.02,899.32,400.32
53.82,2.00,5.02,967.74,399.39
54.02,2.01,5.03,967.74,399.79
54.22,2.01,5.03,938.42,399.79
54.42,2.00,5.05,889.54,398.33
54.62,2.00,5.03,899.32,398.86
54.82,2.00,5.03,879.77,398.86
55.02,2.02,5.03,889.54,400.71
55.22,2.01,5.02,830.89,400.32
55.42,1.99,5.02,830.89,398.46
55.62,2.00,5.02,811.34,399.39
55.82,2.01,5.03,801.56,399.79
56.02,1.99,5.05,801.56,397.40
56.22,1.99,5.02,830.89,398.46
56.42,2.00,5.03,889.54,398.86
56.62,2.01,5.03,948.19,399.79
