# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: Clear(White)
# temperature_C: 170.0
# drawdown_ratio: 50.0
# trial_number: 003
# operator: Akila
# start_time: 2025-10-10 14:15:57
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,4.99,293.26,400.46
1.42,2.00,5.01,303.03,399.93
1.62,2.00,5.02,303.03,399.39
1.82,1.99,5.01,293.26,399.00
2.02,1.99,5.01,312.81,399.00
2.22,2.00,5.01,332.36,399.93
2.42,1.99,4.99,312.81,399.53
2.62,2.01,5.01,371.46,400.86
2.82,2.00,4.99,381.23,400.46
3.02,2.01,4.99,361.68,401.39
3.22,2.01,4.99,322.58,401.39
3.42,1.99,5.01,312.81,399.00
3.62,1.99,4.99,322.58,399.53
3.82,2.00,5.01,312.81,399.93
4.02,2.01,5.01,351.91,400.86
4.22,2.00,4.99,332.36,400.46
4.42,2.01,5.01,332.36,400.86
4.62,2.00,4.99,381.23,400.46
4.82,2.00,5.01,400.78,399.93
5.02,2.00,4.99,400.78,400.46
5.22,2.01,5.01,371.46,400.86
5.42,2.00,4.99,391.01,400.46
5.62,2.00,5.01,342.13,399.93
5.82,2.00,4.99,322.58,400.46
6.02,2.00,4.99,293.26,400.46
6.22,2.00,5.01,303.03,399.93
6.42,2.00,5.01,322.58,399.93
6.62,2.01,5.01,303.03,400.86
6.82,2.00,5.01,312.81,399.93
7.02,2.01,5.01,273.70,400.86
7.22,1.99,5.01,283.48,399.00
7.42,2.00,5.01,283.48,399.93
7.62,2.00,4.99,293.26,400.46
7.82,2.01,4.99,312.81,401.39
8.02,2.01,5.01,322.58,400.86
8.22,1.99,5.01,293.26,399.00
8.42,2.00,4.99,312.81,400.46
8.62,2.00,4.99,332.36,400.46
8.82,2.00,5.01,322.58,399.93
9.02,1.99,5.01,322.58,399.00
9.22,2.01,5.01,332.36,400.86
9.42,2.00,5.01,351.91,399.93
9.62,2.00,5.02,351.91,399.39
9.82,2.01,5.01,371.46,400.86
10.02,1.99,5.01,351.91,399.00
10.22,2.01,4.99,361.68,401.39
10.42,2.00,4.99,351.91,400.46
10.62,2.01,5.01,371.46,400.86
10.82,2.00,5.01,381.23,399.93
11.02,2.01,4.99,371.46,401.39
11.22,2.01,4.99,371.46,401.39
11.42,2.00,4.99,400.78,400.46
11.62,2.01,5.01,361.68,400.86
11.82,2.00,4.99,391.01,400.46
12.02,2.00,5.01,410.56,399.93
12.22,2.01,4.99,420.33,401.39
12.42,2.00,4.99,439.88,400.46
12.62,2.00,5.01,449.66,399.93
12.82,2.00,4.99,420.33,400.46
13.02,2.01,5.01,430.11,400.86
13.22,2.00,5.01,439.88,399.93
13.42,2.01,5.01,391.01,400.86
13.62,2.00,4.99,391.01,400.46
13.82,2.00,5.01,420.33,399.93
14.02,2.01,4.99,430.11,401.39
14.22,2.00,5.01,351.91,399.93
14.42,2.01,5.01,400.78,400.86
14.62,2.01,4.99,351.91,401.39
14.82,2.00,5.01,322.58,399.93
15.02,2.01,4.99,312.81,401.39
15.22,2.01,5.01,342.13,400.86
15.42,2.01,5.01,312.81,400.86
15.62,1.99,5.01,342.13,399.00
15.82,2.01,4.99,361.68,401.39
16.02,2.00,5.01,322.58,399.93
16.22,2.01,5.01,342.13,400.86
16.42,2.00,5.01,332.36,399.93
16.62,2.01,5.01,351.91,400.86
16.82,2.01,4.99,312.81,401.39
17.02,2.00,5.01,351.91,399.93
17.22,1.99,5.01,342.13,399.00
17.42,2.01,5.01,342.13,400.86
17.62,2.01,5.01,361.68,400.86
17.82,2.00,4.99,351.91,400.46
18.02,2.00,5.01,410.56,399.93
18.22,2.00,4.98,361.68,401.00
18.42,2.01,5.01,391.01,400.86
18.62,2.01,4.99,420.33,401.39
18.82,2.00,4.99,439.88,400.46
19.02,2.01,5.01,459.43,400.86
19.22,2.00,5.01,439.88,399.93
19.42,2.00,5.01,459.43,399.93
19.62,1.99,4.99,478.98,399.53
19.82,2.00,5.01,469.21,399.93
20.02,2.01,4.99,459.43,401.39
20.22,2.00,5.01,371.46,399.93
20.42,2.00,5.01,342.13,399.93
20.62,2.00,4.99,332.36,400.46
20.82,2.02,4.99,303.03,402.32
21.02,2.00,5.01,283.48,399.93
21.22,2.00,5.02,293.26,399.39
21.42,2.00,5.01,303.03,399.93
21.62,2.01,5.01,303.03,400.86
21.82,2.00,4.99,303.03,400.46
22.02,2.00,4.99,351.91,400.46
22.22,2.00,4.99,322.58,400.46
22.42,2.00,4.99,342.13,400.46
22.62,2.00,5.01,303.03,399.93
22.82,2.01,5.01,322.58,400.86
23.02,2.00,5.01,332.36,399.93
23.22,2.00,4.99,342.13,400.46
23.42,2.01,5.01,351.91,400.86
23.62,2.00,4.99,293.26,400.46
23.82,2.01,4.99,293.26,401.39
24.02,2.00,4.99,303.03,400.46
24.22,2.00,5.01,322.58,399.93
24.42,2.00,4.99,303.03,400.46
24.62,1.99,4.99,312.81,399.53
24.82,2.00,5.01,244.38,399.93
25.02,1.99,4.99,303.03,399.53
25.22,2.01,5.01,283.48,400.86
25.42,2.00,4.99,293.26,400.46
25.62,2.01,5.01,312.81,400.86
25.82,2.01,4.99,273.70,401.39
26.02,2.00,5.01,263.93,399.93
26.22,2.00,5.01,283.48,399.93
26.42,1.99,4.99,254.15,399.53
26.62,2.00,5.01,283.48,399.93
26.82,2.00,4.99,283.48,400.46
27.02,2.00,5.01,283.48,399.93
27.22,2.00,4.99,273.70,400.46
27.42,2.00,5.01,283.48,399.93
27.62,2.01,5.01,303.03,400.86
27.82,1.99,5.01,283.48,399.00
28.02,2.00,5.01,293.26,399.93
28.22,2.01,4.99,273.70,401.39
28.42,2.02,5.01,273.70,401.78
28.62,2.00,5.01,263.93,399.93
28.82,2.00,5.01,263.93,399.93
29.02,1.99,4.99,244.38,399.53
29.22,2.00,4.99,263.93,400.46
29.42,2.01,4.99,244.38,401.39
29.62,2.00,4.99,244.38,400.46
29.82,1.99,5.01,234.60,399.00
30.02,2.01,4.99,244.38,401.39
30.22,2.00,4.99,234.60,400.46
30.42,2.00,4.99,244.38,400.46
30.62,2.01,4.99,234.60,401.39
30.82,2.00,4.99,224.83,400.46
31.02,2.00,5.01,273.70,399.93
31.22,2.01,4.99,254.15,401.39
31.42,2.01,5.01,254.15,400.86
31.62,2.01,4.99,215.05,401.39
31.82,2.01,4.99,234.60,401.39
32.02,2.01,4.99,215.05,401.39
32.22,2.00,4.99,215.05,400.46
32.42,2.01,4.99,224.83,401.39
32.62,2.00,4.99,195.50,400.46
32.82,2.00,5.01,215.05,399.93
33.02,2.00,4.99,195.50,400.46
33.22,2.01,4.99,205.28,401.39
33.42,2.00,5.01,205.28,399.93
33.62,2.00,4.99,175.95,400.46
33.82,2.01,5.02,175.95,400.32
34.02,2.01,5.01,175.95,400.86
34.22,2.01,5.01,195.50,400.86
34.42,2.00,5.01,185.73,399.93
34.62,2.00,5.01,195.50,399.93
